signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
58,0.000688383558533,1.6145323710199866e-06,-20188997.194700453,4.997456741312806,8.550690953063472e-12,44040.15415129472,4.997461114978636,1.781740839183413e-14,166.3738060499915,4.997278906011166,1.681414179483665e-11,-58540.4676425146
55,4.997457736977935,2.2747115503958126e-10,6760.316210427909,7.290692848506965e-05,7.2296282650186466e-12,-24447.43599596563,4.997460877022696,2.281072422532324e-12,483.4629117759084,4.997460305262774,2.0430005004662077e-07,5543899.88550479
15,0.0019814189291892,1.63907745510861e-05,-51089084.85493868,4.9974600993597775,6.404258928649026e-13,6999.279769640944,7.369521744022231e-05,3.3233492911325925e-22,0.0024129110824684,6.396029410068183e-05,1.8623590394322893e-13,6388.263623584481
3,7.369521626956768e-05,0.0,0.0,7.36952162727447e-05,0.0,0.0,7.369521626925665e-05,0.0,0.0,6.437806368873044e-05,0.0,0.0
2,7.369521627249032e-05,0.0,0.0,7.36952162694011e-05,0.0,0.0,7.369521626967039e-05,0.0,0.0,6.437806355179695e-05,0.0,0.0
50,1.495866248731336,2.496403676836755,-30212954078.35147,1.4966076349543218,2.4981347103311102,-30226082976.48101,4.995745480721318,2.311840263848331e-06,30858129.406306725,4.999551979751367,4.830438574443965e-05,-95049310.19553684
51,0.0001802954246308,3.274873544442813e-08,-3446624.103359964,0.0001801162456729,3.258440037354588e-08,-3440094.1350480937,4.997450861672952,1.5538142346959303e-10,185097.9486686986,4.997273836016934,5.0206530359534396e-11,118314.99835200224
60,3.9614264917865016,2.0713289491081617,24717385629.355022,4.997460213271356,3.881347510596797e-13,5130.815752241356,4.997461140587192,8.335085399627697e-15,1102.5646193603095,4.987118948404479,7.28248874855274e-05,195681340.32286003
18,4.997456865474559,2.1253215077617363e-09,-422868.4809424862,4.9974611394768615,4.6443233579502655e-14,-1774.6832250044304,7.369521755941028e-05,5.407065377939472e-22,0.2309864700850389,6.596072370096921e-05,1.947587624471213e-12,-28789.36946761468
52,7.6141758344368e-05,2.0423662268634322e-10,-54151.83465550232,7.61255975249782e-05,2.1377310361491047e-10,-56428.16044346502,4.997458329970732,4.096101875503208e-11,21515.338770266266,4.997322923134272,1.844140508735521e-08,1361704.2901507977
24,4.997461250976071,8.383875739840121e-17,125.42677851003953,7.416837237933158e-05,1.3592904821513224e-10,72168.97069938695,4.997460930257989,1.8121691565262468e-11,-25755.754094426626,6.436513808267862e-05,2.1560247439663656e-15,388.7328474094404
