signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
58,0.0006883778186949,1.6143161350370966e-06,-20188371.527102843,4.997456741571138,8.532205461293859e-12,44036.39869013109,4.997461114939833,1.7681022157668672e-14,166.7882594882978,4.997278906133303,1.6817725213070076e-11,-58540.48838708953
15,0.0019814189269984,1.6390774486776826e-05,-51089084.78099061,4.997460099359776,6.404258970842674e-13,6999.27976583999,7.369521743958026e-05,3.321898437922026e-22,0.0024332660100654,6.396029410083704e-05,1.8623589703741101e-13,6388.263729288856
25,4.997461268051781,5.1431424414185976e-17,29.431630879383956,7.378219277358196e-05,2.0678525106123936e-10,190439.7907252836,4.997461069522164,2.067333802143541e-11,-56575.14013774839,6.437261053315937e-05,4.147720424172208e-15,835.1988218031153
3,7.369521627260794e-05,0.0,0.0,7.369521626927802e-05,0.0,0.0,7.369521627563902e-05,0.0,0.0,6.437806369107231e-05,0.0,0.0
24,4.99746124784247,8.153548775502034e-17,124.34806479758186,7.45653254711911e-05,1.7015220971985406e-10,89689.20719618055,4.997460902377212,1.920272164774955e-11,-29832.817620085538,6.436286060636981e-05,5.6430509843828046e-15,653.6685636768874
51,0.0001801935171822,3.2568164520020774e-08,-3440657.9971538177,0.0001800505928342,3.2495604392084015e-08,-3438289.885321208,4.9974508564838525,1.5478221806936388e-10,185088.45070558824,4.997273831529558,5.022889230657649e-11,118431.64487681436
60,3.961433357555461,2.071307679095504,24717221467.5044,4.997460213206763,3.8647725914372483e-13,5129.899761213388,4.997461140594985,8.318943232127134e-15,1102.6789510333767,4.987118976069342,7.28242402790281e-05,195680693.55079177
2,7.369521626938745e-05,0.0,0.0,7.36952162726787e-05,0.0,0.0,7.369521626971666e-05,0.0,0.0,6.437806354950375e-05,0.0,0.0
54,4.997395115040391,6.353671190024932e-09,1202665.2369226587,7.374150291329984e-05,1.202084638047566e-13,-201.6172807826125,4.997460289823238,3.278024429122668e-12,3509.543758590736,4.997258538516049,1.1705079948298326e-09,510192.0178602748
44,0.0001834470766844,4.159524212539113e-08,-4327989.177949361,4.997457882585826,2.3904925668038386e-12,32260.695103020767,7.369368498199489e-05,1.0791319347167137e-13,1151.733225986871,4.9972771474209,4.631036728982188e-13,-10717.667717433802
37,7.417851086185718e-05,5.84217586878283e-10,150504.88498670375,7.427556718893132e-05,5.841927302321775e-10,147986.7024607978,7.415341958752939e-05,5.846652554523118e-10,151150.729578717,4.997276978734296,6.11975548351668e-13,1566.2469660892225
55,4.9974577402541565,2.3131424057288926e-10,6497.5507106623945,7.290718644992944e-05,7.231954486893216e-12,-24375.099317834527,4.997460876898491,2.264058212840516e-12,490.3477848155082,4.997460201641625,2.040956807555888e-07,5542353.696974739
61,4.9974462878712735,9.56233430778092e-11,194437.61961310805,4.997460540226597,3.036600275205333e-13,1426.0518356521864,4.997461217873536,1.6839993195819466e-15,179.7188436521886,4.997276935265417,1.382324880467625e-13,-591.3915538729458
62,4.997458636403486,4.2886415886121366e-12,23653.029776307438,4.997461042874623,2.966544531135976e-13,1726.0819211686332,4.997461214977289,1.6357147392941433e-15,69.75223949149738,4.997277154491473,1.494669174170565e-13,521.0302612150707
59,0.1000774762527457,0.0515397283561893,3225966969.2213798,4.9974597054122025,1.6686175868110018e-12,7637.534446652953,4.997461179096085,8.942357398800825e-14,1013.79965977388,4.993804572288359,0.0001409193971253,-138142072.94113135
4,7.369521627075965e-05,1.2017041745179778e-30,4.449651916608827e-06,7.369521627077648e-05,2.2153908113394903e-30,-1.4060621726578231e-05,7.369521626957825e-05,4.367489422446294e-28,-4.193176604662416e-05,6.437806395812536e-05,4.646884770444302e-24,0.0042670021795388
52,7.615859691413978e-05,2.035960004971233e-10,-54517.58720264047,7.616315632048838e-05,2.2587455444751303e-10,-57068.16432888458,4.997458330362661,4.065476048220298e-11,21511.967295527887,4.997322955016288,1.8451786247933105e-08,1361381.5056772947
33,4.997461332175214,2.770286643959415e-18,28.765316933672544,4.997461699521029,4.490730738348128e-10,-139677.6538692006,4.997461316285074,8.459554452093906e-13,-6108.99969375257,6.407314819650308e-05,3.211135196520881e-13,-5338.05510075748
