signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
24,1.4416686868560404,3.960961133305063,43511768102.50081,7.374934266106809e-05,1.172625914108368e-11,-4098.6306985866,4.997460945877549,5.478239993881385e-12,-800.651704871757,0.0001682143167809,2.29314914094314e-06,14769949.251543952
31,1.6278847407534238,4.292528014378674,48067364459.420616,4.997460978718394,1.3090271357565842e-13,1178.0997568456205,4.997461299992603,1.2206582530526267e-14,19.04127993738869,0.0001088293996836,2.8610630999338624e-06,8617836.27248533
3,7.369521627209522e-05,0.0,0.0,7.3695216272699e-05,0.0,0.0,7.369521096924653e-05,0.0,0.0,6.438093428193882e-05,0.0,0.0
2,7.369521626946091e-05,0.0,0.0,7.369521626919295e-05,0.0,0.0,7.369521096398146e-05,0.0,0.0,6.438088764028879e-05,0.0,0.0
46,7.369743578439289e-05,3.5285210882746706e-12,-11360.830789605532,7.369701270965266e-05,2.3105227130754407e-12,-9193.199270314431,4.995713685548761,3.1656688470992027e-10,337140.63247003814,4.997271975962409,3.934800275652081e-10,386466.0789549148
55,4.997457561904679,6.292609358579345e-11,17846.23597772108,7.313559918099187e-05,5.193146899370133e-12,-18663.85169528555,4.99746084201827,1.0242862101998745e-13,1987.439861522056,4.997423206540173,1.3364918035405908e-07,4706468.787747592
29,0.0826862218301352,0.0157636672247469,-2644522333.346256,4.99745882199695,1.126999587681865e-12,22674.656512123747,4.997461261039375,5.845163039510009e-15,53.85344545887071,6.179141983417204e-05,1.1913249275502932e-11,69942.2349498022
22,0.0009381347363688,9.7471403473554e-07,-15537557.807037096,0.0009244715985623,9.244176173149684e-07,-15469633.02927664,4.997457516191272,3.552510375638319e-11,73396.71842986227,6.361831171494913e-05,2.765378706304284e-13,8337.630594950495
54,4.997401912307415,4.4510792423558735e-09,1066427.3964808483,7.373972401228962e-05,1.113742518206532e-13,-134.33629846674384,4.997460557237408,1.5249115921109293e-14,2354.3451569389517,4.997261572681587,8.390633158966535e-10,423270.2644889633
25,4.9974175068066105,2.6666014077753194e-09,1037225.681366608,7.406036222420094e-05,3.978659226448319e-12,4436.465169943309,4.997461284265499,1.3716007089007222e-12,3428.2051642236625,6.669031185821797e-05,2.3599634108709695e-11,-88744.25534313939
60,3.945499576939287,2.161417086728024,23853367469.201397,4.9974602237916885,6.370838283096743e-13,5164.504567964874,4.997461142854891,6.2892113521291845e-15,1099.5919538528328,4.987143791207134,7.640223645565468e-05,187749067.1303112
58,0.0008649124817522,2.0145226989107945e-06,-22412046.788148243,4.997456396917668,1.2464123216543669e-11,51685.45088250824,4.997461106201703,2.979147295216822e-16,330.55352431940605,4.997279439743087,2.059482167196541e-11,-63309.90496622584
15,0.0019814150123457,1.639066376096147e-05,-51088950.712142825,4.997460099359779,6.404318761999874e-13,6999.2640699429,7.369521218997931e-05,8.834170074206397e-22,-0.0346322304952821,6.396460725103719e-05,1.8458333859764882e-13,6388.490234061509
5,7.36952162712503e-05,5.7811471340346186e-30,-3.737476676523848e-06,7.369521627100679e-05,5.785620095640807e-31,-5.755046120907674e-06,7.369521096636478e-05,1.0727505582725751e-28,4.702425583383245e-05,6.43809029698927e-05,4.4968319154233576e-24,-0.0365935955570828
49,7.392663662982291e-05,3.0136155393746975e-12,-1302.5357332737258,7.388248838817212e-05,1.973442565360292e-12,-1053.9998645199069,4.996467577988485,2.6326337816405303e-08,3286187.0396427056,4.996814690134474,1.4444493153702956e-07,-2541933.3033171147
51,7.369191087466744e-05,2.611285927499888e-12,7529.295286421991,7.369254758378201e-05,1.7100526306280925e-12,6092.958164107046,4.997450573741832,6.410273330591167e-11,170097.18276975973,4.997272786426075,1.1041233498147424e-10,181486.8950715371
36,0.0195020536747169,0.001485543634627,-636221605.4404825,0.0195028809326698,0.0014856812939711,-636278775.523064,4.995644519778127,1.9018098754640228e-08,2464135.6527699423,4.994522560659391,1.936696515304095e-05,83571450.23660898
52,7.369527650790772e-05,1.9254093557758044e-12,1867.8657575656405,7.368709315401774e-05,1.1155389491254384e-12,1508.008252491996,4.997458664546879,5.806619794018907e-13,16093.956960509517,4.997332646184199,2.543980590106111e-08,1589244.1788648076
18,4.997456865494527,2.125380711130964e-09,-422874.726136468,4.997461139477142,4.6443834614731295e-14,-1774.6965764687436,7.369521259938202e-05,8.511965560649797e-22,0.2865693612267303,6.596270128125022e-05,1.9389099719792534e-12,-28734.771856257918
