signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
24,1.1282910108655573,3.19289949002462,34860237467.08992,6.796951327154895e-05,1.5242165564303189e-12,-1344.140507575291,4.997489860427432,4.739013459279496e-12,-1864.307778630667,0.0001834339468804,2.301096295494913e-06,14121655.568182416
25,4.99667158041501,2.516565086986618e-06,18306764.33800529,6.795737203294168e-05,3.7290735881785914e-13,-2945.184888284336,4.997489946265127,4.740525891001462e-13,4227.041486117189,0.0001330642701968,5.6589958248735765e-09,-1062697.4255116987
58,0.0004148786993548,3.447000464388579e-07,-11588688.698036466,4.997486271768855,3.4582716220997784e-12,32300.561123842795,4.997490041951235,1.451603198193409e-14,-182.42498956464448,4.99730815617108,2.4780433145979907e-12,-21625.04273251902
15,0.0001710979353017,3.1504448062355825e-08,-3302697.3024226027,4.99747892362053,2.9022898369837885e-10,297860.341753534,6.794678835446828e-05,2.7979002120422837e-16,312.2586151391243,0.0001375983634309,4.3078243843789035e-10,-424528.3910118554
59,0.0917779738957334,0.0472453708180288,2739041981.863863,4.997488757500564,8.590960208580228e-13,7943.367364063035,4.997490103817202,8.616658773123569e-14,776.5434648251605,4.994085090722972,0.00013265729406,-117049036.2302561
44,0.0001799488007165,4.480919344205177e-08,-4132056.620744845,4.997487087625355,1.614612944046434e-12,27316.514836986305,6.797095402246838e-05,2.9306523826988804e-14,-105.60583331905102,4.99730719159234,6.675063372934894e-13,-11321.208976198322
19,9.22423640927414e-05,3.569249961903709e-09,-837194.3264648025,9.217273942268625e-05,3.422379226146683e-09,-825205.2314530361,6.793407240898541e-05,2.1459600148690865e-14,-982.751339322704,4.235904976632963,3.8474130262890785e-09,-942987.893882568
53,1.955856274719931,4.570175222580216,58115087207.90976,6.7935926175926e-05,6.135161016461775e-12,3524.973896625796,4.99748901567497,7.316743038963203e-12,355.83560311114104,4.988815002824463,0.0001501648155892,-93028883.0102741
18,0.1572128614761501,0.0612598157081106,-4810086555.487898,0.157568463152443,0.0614239053513131,-4818621008.096502,6.796611650154098e-05,1.504836872048691e-16,-241.32748079193436,4.222605155710735,0.0004026569238758,384895655.8438683
60,3.9479938583429655,2.137345246013043,24342236937.68949,4.997489245007495,1.995091808082427e-13,4584.199324076275,4.997490065800383,7.665884715724265e-15,1129.8397246039544,4.987120596180435,7.574960893553207e-05,192264212.1666751
23,6.796382665121589e-05,2.6045290422810618e-12,-4732.889121208683,6.796570777827454e-05,4.246362556047209e-12,-6040.281462750544,4.997489804053515,5.615415278129652e-10,-64134.25593739431,0.0001060504281624,2.7619837252451374e-11,-129971.55226278218
3,6.795643765801403e-05,1.5988611250301236e-29,-9.384456634240367e-06,6.795643765899659e-05,1.0454602139696108e-29,2.043963695085256e-05,6.795643765355715e-05,2.659881986725841e-28,-0.0001512430572651,6.126936646006496e-05,7.46770990702799e-24,-0.0038642828459364
51,0.0001751799732194,5.0344241297473615e-08,-3460337.8352247938,0.0001749982042724,5.076322564352586e-08,-3456933.620003592,4.997478865855406,1.2126232167797048e-10,165047.35239177087,4.997302722654587,9.913723034109111e-11,167372.2621659426
30,6.976207546550011e-05,9.475659117971882e-12,-53176.90779459861,4.997486937706974,2.249943305104582e-09,160751.64993018043,4.997486935321876,2.3440300641245542e-09,163561.44033458072,0.000113060322845,4.4903392904104566e-11,-177231.55481784648
22,6.804152811941861e-05,3.7448352158850926e-12,-12004.285963113642,6.804246802183228e-05,6.0455366235364895e-12,-14761.48114444885,4.997478530533155,2.337415997564466e-09,-9373.988031655766,0.0001390925985611,4.020964964838869e-10,-388889.9536906452
