signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
24,1.3587102237493238,3.815350667933288,42886171599.16138,7.365194368131335e-05,1.1396456653487691e-11,1033.5441356043068,0.3783763556551531,7.070362310565246e-08,115388.83147312637,0.0001583648208607,2.330752582470904e-06,15435552.150942553
58,0.0006884084186918,1.6161709607127865e-06,-20193121.207498062,4.9974567432191765,8.484849916701944e-12,44025.31296557147,4.9974611150055726,1.7877493874426068e-14,166.16071841699323,4.996020985888723,2.2186129051595256e-11,-68158.83311088667
15,0.0019814309676084,1.6391116771056247e-05,-51089495.027382426,4.997460099359769,6.404215011148488e-13,6999.291587270529,7.369521396401741e-05,1.6125131143665752e-22,0.0140115365170835,6.24857860600389e-05,1.867330240430028e-13,6393.551639468811
50,1.4958257026426307,2.496326031338131,-30210789141.078987,1.496567335378782,2.498057635982583,-30223923218.40491,4.99574565770887,2.3111059755286743e-06,30852594.251387406,4.998382337798239,4.772157896354154e-05,-95997519.76243412
25,4.997386266586819,1.3344865363868726e-08,1207060.4743739234,7.369852427773929e-05,3.675917281646172e-12,-14308.406908866064,0.3781661710398494,2.1495797777593336e-11,108427.031709435,7.052374360425435e-05,2.3078739990767414e-10,-240404.0530665685
3,7.369521626944942e-05,0.0,0.0,7.369521626938321e-05,0.0,0.0,7.369521304974986e-05,0.0,0.0,6.290393695870948e-05,0.0,0.0
55,4.9974577481699685,2.3628989950977863e-10,6092.428785423609,7.290834844606557e-05,7.215260688533309e-12,-24436.246781126185,4.997460876830661,2.287660864841102e-12,472.4816570800856,4.996197245793218,1.9377468599007457e-07,5403654.399707853
2,7.369521626927945e-05,0.0,0.0,7.369521627260163e-05,0.0,0.0,7.369521304673781e-05,0.0,0.0,6.290393682813012e-05,0.0,0.0
51,0.0001802455542928,3.2663495627997673e-08,-3442448.811839761,0.0001800979759752,3.258135656467289e-08,-3439754.7434912515,4.997450862922902,1.556127645707275e-10,185122.7659378139,4.996015411635256,5.7122576201002594e-11,126733.8030612067
52,7.612122656215845e-05,1.924155426141161e-10,-53826.0156300364,7.612384672641715e-05,2.133636335887537e-10,-56397.81787930966,4.997458329690784,4.108651678648735e-11,21519.943404223304,4.99606355724558,1.7498981799621943e-08,1326536.6832363687
59,0.1001001692516733,0.0515564256664983,3227744969.186076,4.997459704924464,1.6460279903077013e-12,7633.232890056743,4.997461178645204,8.86131843284904e-14,999.9793681314352,4.992638175416337,0.0001347284604908,-134837105.88955277
18,4.997456865521242,2.125504709248814e-09,-422888.19675832056,4.997461139476552,4.6443021327423983e-14,-1774.6697474111666,7.369521455128812e-05,2.9942474151457183e-22,0.1646332274776038,6.448849399687194e-05,1.9325548415594824e-12,-28717.240026932184
53,1.8927782629649632,4.555410626493923,55784335089.50995,7.360197014810751e-05,2.28142052143655e-13,3351.131648445851,4.997459990458176,9.443991251587425e-12,3259.272056529985,4.987970362593115,0.0001424480924706,-92493605.11075585
29,0.0711565469920547,0.0122959071100489,-2303799941.128947,4.997458976019156,7.225250919445512e-13,22797.65100444043,0.3781738811629061,3.966272822415545e-12,-53373.4012567903,6.069759302510928e-05,6.9233407500879815e-12,56974.9897995605
60,3.9616515616864136,2.0706642766729373,24710251179.64193,4.9974602136505855,3.814103686781264e-13,5104.1223126365,4.997461141148501,7.980444571196713e-15,1081.3275274757436,4.985853063513413,7.127711709034765e-05,194635773.34793383
26,4.997461943042629,5.064827730797233e-09,-580399.5343240626,7.370135353688022e-05,3.1362858911663426e-12,-13311.151511033197,0.3781685115820963,4.573223721217699e-11,-92362.5624897776,6.289589289679443e-05,6.02218625993669e-14,-2007.8940249204757
22,0.0011076556530164,1.121107138122252e-06,-27237666.806047,0.0010921969647618,1.086519120136653e-06,-26756637.91788631,0.3773921761848212,6.15550296408256e-07,20325664.35321431,6.202658493498748e-05,2.938092495217451e-13,14612.09573586547
5,7.369521627108057e-05,2.4392990093734562e-30,-3.426133146375184e-05,7.369521627102631e-05,1.924118099328737e-30,1.79736788286707e-05,7.369521305123999e-05,3.831291151592077e-28,2.4285733156421904e-05,6.290393680402509e-05,3.0227346723528824e-24,0.0084878443330316
54,4.997395173638592,6.36778706040522e-09,1200343.0725888596,7.37352746381785e-05,8.999167889110104e-14,-174.03706783549933,4.997460288641845,3.314541099327213e-12,3507.968800974117,4.995997805128104,1.4794822197429087e-09,577523.7079318609
6,7.369521627103974e-05,1.5552365837044956e-30,-7.231811886761697e-06,7.369521627082675e-05,5.039978527923454e-30,7.905018062738984e-06,7.369521304759781e-05,3.029507338355979e-28,8.816109117623599e-05,6.29039367886847e-05,1.3250430012547717e-25,0.0019479017531947
31,1.655971899161339,4.28937096383186,48920040342.34989,4.997460970477838,5.138636683024678e-14,1503.9365465770295,0.3783856767514422,6.464376623386817e-08,-1853299.193036247,8.319298302886304e-05,2.854997679537865e-06,8918272.579609768
4,7.369521627191682e-05,1.1484930350510246e-29,-9.4422413041396e-06,7.36952162712045e-05,1.813368663517151e-30,-3.760538557808593e-06,7.369521304748485e-05,3.578196607472053e-28,-4.086052576577394e-05,6.290393716965522e-05,3.660520377513281e-24,0.003287299981847
44,0.0001698170685841,3.7636781583865926e-08,-3313666.111304143,4.997457842964582,1.6103691616167664e-12,29382.062277031364,7.369493325718883e-05,1.2189953217764836e-18,-7.099764543661333,4.996019012985949,7.689507165659887e-13,-10873.474646260787
9,7.359085157267526e-05,1.2527161168437737e-12,-3659.413386119,7.36947565413846e-05,1.1813277338744979e-17,-13.38715411682531,7.369463355548679e-05,7.887444219198036e-17,-24.180730525346824,2.326098991431958e-05,3.063509050838098e-08,-1145501.3588278294
30,9.23061626875897e-05,1.2120638621919762e-09,-582037.4137593859,4.99746066979199,1.1391054610243537e-13,4293.244500345379,0.3781622342906269,1.3913916943912235e-10,-186366.37237203968,6.277173778311458e-05,3.9461680020524075e-14,-666.8735316172094
57,2.8049840506095496,4.284473249799624,-52077531774.6196,4.997384449810466,3.7124832101617357e-09,1437847.348357121,4.997461026108625,4.462172689016482e-14,244.18546064756967,5.00225982439676,2.6001344021711303e-05,-109004007.27436692
62,4.997458550767079,3.381658128270091e-12,23272.974347685355,4.997461041886175,2.928463501124952e-13,1721.2413493535005,4.997461214919233,1.652979036797654e-15,69.43581274253022,4.996018939835115,8.923109552784219e-14,400.0949583279922
48,4.997457668152405,3.7694602157536287e-10,57091.86860288864,4.997460928207633,5.736621575324489e-15,870.6546309985117,7.508425740280129e-05,1.9283288447044378e-10,16910.047792636284,4.996215450931072,1.0333103873705785e-07,2145109.2142166854
32,4.997454470019404,2.121931790389496e-09,342536.5483195178,4.99746109373516,1.1012899545186396e-14,556.280094659509,0.3781699910932195,1.840646781504032e-12,29568.59458503888,6.819518411149734e-05,2.6571789958994813e-11,-104702.62269852051
7,7.369521627135244e-05,3.911872119840193e-30,3.67531613587516e-05,7.369521626926983e-05,2.8435081382440164e-29,-1.5034298824114804e-05,7.369521304664562e-05,5.228173936833311e-29,-4.530014222924605e-05,6.290393687367553e-05,1.053102182028324e-26,0.0012198045649871
28,3.9384149106985658,2.818922451292232,-35340829426.816086,4.996657484517256,6.43433689107207e-06,32167798.822962683,0.3780420073082418,1.8869513911307773e-08,3195262.976310896,0.0002057697552116,7.957344841312572e-07,-6229429.113313704
56,4.997424768985499,6.005274179836552e-08,-1085254.1045551847,2.796856734033288,5.1487550832885045,50587045056.297424,4.9974609325836585,5.811900271312229e-13,587.2019479306077,4.991124158631065,0.000168460887617,93575472.23580033
8,7.369521627070502e-05,1.2003376325804462e-30,9.222825204187876e-06,7.369521627071331e-05,2.2364626942199136e-29,-2.172220128893631e-05,7.369521304947436e-05,1.0013368893950389e-29,-1.3453855422655865e-05,6.290393684224673e-05,3.125478929452701e-26,0.0005469764013286
61,4.9974463803126925,9.319211540476539e-11,194483.46651574995,4.9974605412775865,2.998082522583541e-13,1427.8806969061538,4.997461217939485,1.7016185109337645e-15,179.83394473275953,4.996018765601744,8.491240202099156e-14,-329.3473294876577
19,4.997461830386172,9.189568246784578e-10,-126556.47626594215,4.9974612142658446,3.721768089918042e-14,-545.4216012007241,7.367170157951538e-05,1.7077479606873538e-14,-1336.8419507253902,5.483357070349415e-05,3.838856248391332e-10,-396343.9721402116
46,4.514596674251387,0.6399932869911359,11899729420.581371,4.997460312135614,2.2550002834288712e-14,3490.6161304643897,7.369310850066637e-05,2.7569826036006178e-17,67.0352652311089,4.988592418535373,4.0961397924697794e-05,146236674.58925867
17,3.0185107566413576,3.937213353898759,54969745367.2824,4.997461029108767,1.085615383646421e-13,-650.8990821485623,7.369468187072514e-05,6.978806441509956e-17,46.10842108823622,0.0008293426867128,2.8013594409052133e-06,-24331129.27790679
12,4.997460347500463,6.030578465933676e-12,11800.31643877678,7.380455398123883e-05,1.969767528733081e-13,3210.4312891694804,7.369568423628951e-05,1.4427106075724011e-16,19.259329837419383,6.128736284583172e-05,9.610637799975268e-10,-72450.5411145376
36,0.030981533357315,0.0022006437774998,-756027077.0680321,0.0309836708511012,0.0022009281738024,-756072824.7561158,0.0001056447582408,8.326268211229204e-10,-593312.3695889841,4.9918940302671615,2.713238969417597e-05,94277736.25886828
38,0.0166906911775686,0.003758739084055,555067502.2004504,7.389983503809929e-05,4.3869855317070336e-11,-5266.728776059802,7.369359474723073e-05,2.130772535883002e-15,1.443839912253253,4.996399477677588,3.853979196230871e-05,-6946066.037132741
23,7.945088965911169e-05,5.47007253922052e-10,-191088.07947668005,7.915918323742086e-05,4.4475777564603544e-10,-171190.98604150335,0.3781693127458075,6.483873480246823e-11,-120986.69279964973,6.279707853966971e-05,7.378706537235221e-15,981.6499281145246
27,4.997461161857673,1.0601346410789833e-10,-13226.5897928621,1.0577670818818914,3.052940862414447,31540423920.696957,0.3782684296863161,1.1509212986937705e-07,-1434434.515897737,3.288340956842837e-05,2.539893118504211e-06,6157770.424889904
11,4.997454631776463,3.062629529455996e-11,105598.2891195031,7.369524480057105e-05,8.880389076055074e-22,-0.5722229548191377,7.369521472869044e-05,3.7034082981563554e-23,-0.0663952693704921,6.286284321404127e-05,3.7745939362154634e-14,-179.60358236493383
40,4.997441885308342,1.2519874172957492e-08,1028983.8049741932,7.36917214074544e-05,8.891831155555749e-12,21033.061973937238,7.36952386298306e-05,1.6787046782424246e-16,-91.09423472320148,4.996018521911576,3.140208636751197e-13,8531.593629136567
43,1.5261187727801644,2.395574397422266,-31726915182.019512,4.997421801253693,5.640856180647454e-10,553870.9054943857,7.369587672842473e-05,7.65138722006076e-18,-25.832808192445498,4.9995113576394585,1.2530575637774118e-05,-74202062.2680284
34,4.997431024222886,1.1192476502777196e-08,-1003055.83873043,4.99743050360267,1.0933834653921025e-08,-975700.3767010628,0.3751386584013628,0.0001082738047932,-116774094.2858534,0.2680211792735706,0.1362290116942384,6904536837.695292
47,4.997455783751756,1.4568060348092491e-09,301158.5084466247,4.997460680904879,1.0125259170790964e-14,1535.3381313405464,7.369513840797721e-05,8.667085231631156e-20,-0.283673880908021,4.99601869058819,1.2877235142925254e-13,2660.4156802946945
39,3.415262950345583,3.364831692020126,40624208678.64082,7.36645346836439e-05,1.114599500810971e-11,8101.264004891214,7.369602024657241e-05,1.0647813340640249e-15,-142.6513948608554,4.982621473165057,0.0001108996051451,275360099.1576798
42,4.996980178983262,8.756145559358687e-05,-20784835.518249974,3.640193064997688,3.977538785488055,38557685981.766464,7.369324978898969e-05,1.5073469726094533e-15,-10.612368875148023,4.993586458134228,0.0002027060537916,234998727.10612324
