signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
18,4.997486212405581,2.7818902299894222e-09,-490739.84857993474,4.997490062595177,4.386739075632936e-14,-1748.4849243084072,6.795643886029452e-05,6.894855962262604e-23,0.076596980429739,6.246588482377972e-05,2.1179971172144077e-12,-28941.87830962522
55,4.997490168195915,4.59389519209736e-12,-991.6339735255548,4.997490156181706,5.2464535945838404e-15,44.94925536401804,6.795467334569984e-05,2.484001811434888e-15,-105.06253671176243,4.997307291730477,4.116320100189046e-11,-21133.04609153583
58,4.997490225802123,9.208826972102653e-13,-1133.1072764656922,4.997490184475508,8.733664517990748e-16,13.239943162115026,6.79579417768656e-05,3.450482428025263e-16,-27.865837971742888,4.997307410879743,1.5272292378359076e-14,337.03667831177336
24,6.780387711547834e-05,1.760484766286386e-12,-1425.16257527951,6.818985231293084e-05,2.434017151685708e-12,353.5916124182557,4.997489748678855,6.501864527130663e-13,1080.5853880453478,6.090843195915389e-05,4.977172570935876e-15,190.11885588600035
15,0.0006416367685225,9.123676569865466e-07,-17939423.905710917,4.997489216823953,7.440170299077019e-13,10595.916443453338,6.795643638143116e-05,2.7239745574398213e-22,0.0690074179774757,6.064892910745587e-05,1.3110569588743897e-13,5970.638743811732
57,4.997490124525121,1.051037018787011e-12,-5220.936513131853,4.99749017186844,9.811814657915541e-16,-103.53992068410504,6.795649780065515e-05,3.964589582203869e-16,-103.80177305075996,4.997307392481512,2.2432634615618032e-15,12.541974759663372
50,4.997488203683673,5.444566101999562e-11,274.6904970603978,4.997489996685216,2.399859806687198e-14,279.6760685435981,6.794172147084011e-05,6.492240671446072e-15,-28.671223279562927,4.997307451658216,1.268471991317069e-13,-284.4592259300148
56,4.997490057609412,1.876075668183756e-12,383.5896231153821,4.997490161424833,1.9625368911959324e-15,81.47555049752606,6.795617106963549e-05,7.961168113159739e-16,-59.84386687621425,4.997307717036957,8.259802659311861e-12,27418.086175725097
59,4.997490113404486,6.783256971447943e-13,345.9678240783757,4.997490187044738,6.329795671977375e-16,53.18381476781369,6.795546384750485e-05,2.7755435040956347e-16,2.973473967994951,4.997307222424877,1.9266546242906404e-12,-2301.1412764379347
62,4.997490418598725,6.620456290788925e-13,-79.6623752771803,4.997490211046571,6.000849107698759e-16,24.99876679618341,6.796092212256314e-05,2.403181134663601e-16,-2.417275608144226,4.997307385792132,9.363813706734845e-16,9.720893529387936
