signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
24,1.419718711270277,3.921709000586304,43574828872.25507,6.791123445133069e-05,1.1917364634875977e-11,864.53904763006,4.997489821490056,4.110178846287809e-12,2727.339463935725,0.000150733387073,2.366166354132876e-06,14948838.817434205
15,0.00064163986165,9.123823574096216e-07,-17939540.709591657,4.997489216823398,7.440463931805386e-13,10595.988258490948,6.795643633089748e-05,3.321487571506229e-22,0.0754969761964763,6.057576391189016e-05,1.330570718172049e-13,5938.790682275559
31,1.6234317242730396,4.283569121420363,48485792770.356125,4.997489904163897,1.4248537746887148e-13,1351.3587635216695,4.997490200908676,1.1692057210472554e-14,20.05822270244669,0.0001054812510923,2.9643175131608e-06,8743212.025489997
58,0.0006016231037903,9.417956458727908e-07,-17078144.828263015,4.997486130119226,5.420354519187443e-12,39460.37266270813,4.99749023757786,1.2118109081089425e-18,5.444931249896831,4.997316079626064,3.0507775261380045e-12,-18827.86670527053
25,4.9974504698676485,3.014273966577121e-09,856050.8513883519,6.795920575473425e-05,3.6151964850262996e-12,-11679.559047142511,4.997490009177905,9.194228016865731e-13,-5254.97135576775,6.343965296023083e-05,3.13453027112586e-11,-66430.48941246573
18,4.997486212418519,2.7819928146757635e-09,-490749.2969135165,4.997490062596055,4.386968541336904e-14,-1748.5446934005768,6.79564392097304e-05,3.891931183012745e-23,0.0481288261341009,6.238185621442053e-05,2.111442116757664e-12,-28851.166823650587
22,0.0009437496849792,1.0103841117759143e-06,-15773783.377957275,0.0009289777707968,9.531159343423612e-07,-15667424.863866858,4.997486611396192,3.0296322238185705e-11,70391.17332829091,6.009419591905245e-05,4.831157883249381e-13,6538.845209125939
29,0.0737827522220847,0.0145400842365641,-1849552373.99756,4.9974880862997,1.0689365458654554e-12,15409.807787849137,4.9974901755225245,3.899955678670779e-15,378.5697212160191,5.8621474289244455e-05,9.679768824301666e-12,46765.04350509286
3,6.795643766214456e-05,0.0,0.0,6.795643765988308e-05,0.0,0.0,6.795643766469051e-05,0.0,0.0,6.086725334146744e-05,0.0,0.0
30,7.975782730646539e-05,2.8177941311520116e-10,-332361.54055718164,4.997489686809996,4.193090498488466e-13,2483.903719504953,4.997490188631277,2.75397068985634e-15,170.45512126338494,6.077158563102581e-05,2.79191168836835e-14,-425.7417833496186
2,6.79564376569337e-05,0.0,0.0,6.795643765991224e-05,0.0,0.0,6.795643766415302e-05,0.0,0.0,6.086725319537492e-05,0.0,0.0
38,0.0222477488381692,0.0061973838004801,679332004.8192474,6.822034758470247e-05,3.3318585601306195e-11,-6786.509358296213,4.997490232827389,3.054938055039885e-15,138.80393635639294,4.997151349011974,6.193115675379011e-05,-22945761.568477347
36,0.0193850939241454,0.0011215051283717,-540217423.631656,0.0193868247766812,0.0011217325468232,-540287371.9358991,4.997490219602028,7.601402714453477e-17,113.09157421084862,4.995530525807121,6.643357669403717e-06,46939671.681870505
53,1.8955175243978395,4.561943609078034,56297934440.56548,6.809144105290262e-05,2.4661960988583508e-11,-1915.163242189254,4.997490266245954,5.106467596091467e-14,-890.8417422586527,4.98915154696673,0.0001646534842787,-89125800.9614419
6,6.795643765975049e-05,3.991210025005648e-30,-3.0561428349611994e-05,6.795643765942254e-05,1.448324519352796e-29,-8.370032199902236e-06,6.795643766582819e-05,2.187961831224518e-28,7.28355928070844e-05,6.086725315255711e-05,1.4461130208368057e-25,0.0020599408948013
5,6.795643765983841e-05,1.672972868352499e-30,-1.0236893700733106e-05,6.795643765938467e-05,3.8926359130012096e-30,-1.5752482494867323e-05,6.795643766903876e-05,3.631929162254449e-28,1.8584753714838792e-05,6.08672531657742e-05,3.92967458489797e-24,0.0096057050740911
4,6.795643765945483e-05,3.7711590337250824e-30,2.762984227013922e-06,6.795643765931299e-05,3.321712205769377e-30,-1.8269102882506384e-06,6.795643766658777e-05,2.524581041740964e-28,-5.250551200089191e-05,6.0867253587115714e-05,4.768424758690034e-24,0.0036924674141195
59,0.0906949819434012,0.0464405878735761,2733531854.8893585,4.997488744818352,1.2498209657026286e-12,10364.156059559851,4.997490255725997,3.419422569485897e-14,309.1648898959935,4.993862479064284,0.0001489254056694,-126299920.12774484
21,3.0381745696992954,4.111262917143851,-50135996495.97543,3.0210643233605325,4.131167759112138,-50230574529.76399,4.99415154004891,4.4242770208793785e-05,99051399.44008912,0.0002918289656051,5.3309780320034e-06,-23816244.407076027
23,6.447792877415066e-05,1.8760997148663816e-09,237165.5463389501,6.479270454843453e-05,1.537331350685953e-09,204701.9200987283,4.99748944605722,1.4772785343014348e-11,12994.42926142206,6.077617808654466e-05,8.700934022970257e-14,166.25322757059385
28,3.873011433535385,2.906079114808908,-35822346634.00184,4.99661112017942,7.473110243050779e-06,36415994.89377066,4.997490155483569,1.5886562889405304e-14,346.8060090152386,0.000191296955205,8.619197394693365e-07,-6449557.73483969
17,3.015424525028263,3.9579952497454345,54888579754.9177,4.997489966559436,1.0444997170012825e-13,-770.6686432020789,6.795530069723408e-05,1.245075904525719e-16,70.48259752978701,0.0008346019211881,2.955403148990991e-06,-24857558.368023973
44,0.000180205642007,4.5063168498682666e-08,-4140815.1837534886,4.997487063311547,1.887532500311021e-12,27471.503131721467,4.997490237791703,8.473623965469721e-19,-5.405385350677222,4.997309583059742,3.744583807377176e-13,-6691.4039087065785
14,2.9540905430316133,4.200026067762744,-49795389273.19482,4.997478791566006,7.554385128893001e-11,195491.96252926503,6.795597951869725e-05,1.6423121165301616e-16,14.907841157178645,0.0001955685266471,8.820710298549339e-07,-10189845.474326072
26,4.997488784102589,2.5628701006415796e-11,43960.81406503261,6.814123986938778e-05,3.1422330754099704e-12,-5791.299312550368,4.997490195616599,8.062839492626408e-13,-2621.1846464936457,6.084830588763464e-05,1.284837544637547e-13,1965.143002045743
39,3.4916961939968907,3.159162147838695,42426278860.39342,6.782479880178368e-05,9.85639356752285e-12,-1572.60689331082,4.997490226149664,2.8930560974752728e-15,143.55921091473016,4.984041605641168,0.00012325649696,308199767.8941205
50,1.402942884182763,2.065136273600451,-30555576592.94104,1.4037950195986475,2.0667759081633856,-30571935679.94846,4.997489880462752,8.748347438790012e-10,-178527.2395422599,4.998612129342155,3.3503535861028694e-05,-82844164.8241773
47,4.997489563562287,2.5286230466437763e-09,306871.23875218845,4.997489748424027,4.350085497957661e-14,1859.6417908746544,4.997490240081554,3.483293264291446e-20,3.970822717806833,4.997309894484629,3.687080851545894e-13,746.7724813268651
12,4.997489362010679,5.800708017160001e-12,12088.866820862895,6.801448115277709e-05,3.506390531830955e-13,1084.5931728525886,6.7957257346625e-05,3.563468374517538e-16,1.7428662462860611,4.158453182892077e-05,1.0244874271975736e-08,-678450.4457439363
54,4.99742385003181,7.649730461121688e-09,1585566.104503607,6.795220704676525e-05,1.0096658348207568e-11,21686.485543346807,4.997490242547868,7.343593712863605e-18,-19.68272022677741,4.997300488772576,4.481414161092955e-10,359178.6254479473
55,4.9974856534894805,3.844155403061958e-10,69700.99949062301,6.722184976771362e-05,1.3205480065442131e-11,-20493.263662854737,4.997490268166576,5.2440583585844495e-14,1230.4573995941255,4.997484403863197,1.808080916944998e-07,5655901.683597536
8,6.795643766005483e-05,2.6497602282070845e-30,1.371024364638394e-05,6.795643766003403e-05,1.4400658939480886e-30,1.1558230996115972e-06,6.795643767809652e-05,1.5069744991134769e-27,0.0003345918862241,6.086725343003216e-05,4.812373119862089e-25,0.0068360051198802
40,4.997468521107877,2.2687036912965307e-09,560745.3291215034,6.795823442693548e-05,7.937552146542107e-12,-21560.107413722657,4.99749023335881,2.918170762057769e-18,20.71196740161512,4.997308586026577,2.882837025450717e-13,3163.0447548823886
9,6.7757390355879e-05,2.339424592124217e-12,-6863.522907451153,6.795601999580079e-05,1.415365028943549e-17,-12.504509279447408,6.795647096164461e-05,1.4518287417450422e-16,-14.550580216285496,6.862909578543022e-06,4.8347564810310195e-08,-1633047.376133463
32,4.9974844548552175,3.759552737272584e-09,423634.28236752143,4.9974900683653445,3.5462711837212846e-14,803.222925862592,4.997490203793968,2.5996742501879583e-16,29.32332897842556,6.684442019706895e-05,3.4742022500381494e-11,-123375.5032951704
11,4.997483875504597,2.9321596028923875e-11,103172.54684868825,6.7956467574227e-05,1.0460169960789164e-21,-0.538247329367863,6.795644053869749e-05,1.1411627267370643e-23,-0.0655214447793194,6.079878062890559e-05,1.207447602626882e-13,-534.577998476003
7,6.79564376601866e-05,1.3275737948903475e-30,5.926716241801262e-06,6.795643765968171e-05,2.2260015051367357e-31,2.895870406282932e-06,6.795643766389414e-05,3.6844221270857713e-29,-6.726642506962991e-06,6.086725325193013e-05,1.6530943788078292e-26,0.0013492450091992
51,0.0001819051376026,8.28741305299538e-08,-3292193.1624328,0.0001817706199299,8.357392460948668e-08,-3287539.977405327,4.997490273577473,1.729105120440795e-16,-111.68459238593688,4.997307347266846,7.352346690414357e-11,148054.54697220097
