signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
15,1.796113184254152e-05,3.422785929697124e-09,229986.1528331524,4.998256024783601,3.109027633568005e-13,-1866.6442965261224,1.95960781991122e-05,5.845590545293116e-21,0.2994499426027452,2.438383729169447e-05,3.964415263785629e-14,-495.89048032033264
25,4.9982695504530685,2.2934593895684566e-09,-285011.3737503233,2.0473226352128483e-05,9.253429073899578e-12,-17289.191740286456,4.998255903122361,2.0959858457251345e-13,2574.271633179749,2.430752154737745e-05,9.0635272781924e-14,1419.8773508074005
18,4.998255940507272,1.0778090897143209e-10,-211937.5834344314,4.998256034941562,8.637386266031584e-15,-1897.2660176262657,1.9596078062368964e-05,6.26692510880926e-22,0.5110510789790299,2.4533981898703177e-05,3.629030679859381e-14,-3888.950156970801
55,4.998257057559626,4.18335137149587e-10,-70610.53869820882,1.877237220210609e-05,2.373060266375113e-11,-32755.14661980093,4.998256216720248,5.544443373218994e-13,6293.037595568798,4.998306446638518,2.627859751910624e-07,5952022.087497365
54,4.998245135917033,2.8789799335966e-09,-6473.859207910638,1.952487755282799e-05,1.5178165439190746e-13,-364.5711079754875,4.998256183844896,2.581048275924088e-13,401.0293768877224,4.998142482708031,1.5320692728277409e-13,-929.780295944032
16,1.0093234374926747,3.177546596464357,30051321884.432858,4.998256045644987,1.2431303677685057e-13,-200.26677946632623,1.959623149935778e-05,9.998761855697198e-16,-7.366843860762815,6.284092522345849e-05,3.176825330445585e-06,5621020.661040286
17,4.998192865778659,1.5566805602431614e-08,1627187.540564604,4.998256038441213,5.098249351196438e-15,-341.27214684204694,1.959620600341733e-05,8.672951897329828e-20,-3.474509343768706,3.2775653069777575e-05,9.229295041995768e-11,-173146.89929899655
50,0.0012382347001501,1.7023256804178712e-06,-27508838.624384765,0.0012389577342422,1.7056145722344974e-06,-27510822.96311532,4.998248402967079,8.617876204751424e-11,183747.737729792,4.9981304081017495,2.5240301548880063e-10,332450.69837280834
21,0.067777376206221,0.0163209433730038,-1984017276.6749988,0.0653345860059047,0.0155271046989137,-1917520815.0818372,4.998254065901045,1.6331735808707194e-11,18818.99782768587,2.037164169531911e-05,6.627844296930015e-11,109414.84946289715
33,4.998255527807227,8.21738066963598e-10,126074.74983110811,4.998256031071233,4.520458131459465e-15,-344.58760402346763,4.998256015211649,6.992751391135735e-19,2.516502004315877,2.445553332539697e-05,2.5482720212781573e-13,-1527.3239965988776
