signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
15,6.823901259433508e-05,8.564884381980496e-09,-1528320.1113711472,4.997887182237069,7.884275781702021e-12,1305.1245675185592,2.6632174309044173e-05,1.0846590254097693e-22,0.0016858966176591,3.324639216280248e-05,5.363284203869795e-15,1094.9594469405529
16,0.0764862284465984,0.0424972010189807,2403145316.8662643,4.997886861774752,3.644032530795229e-12,2015.1676714440096,2.663105631921589e-05,6.824938992109396e-16,-67.10572823141062,-8.07342491974707e-05,3.550241786544713e-06,4812618.017919766
3,2.663217325289904e-05,0.0,0.0,2.663217325534825e-05,0.0,0.0,2.663217325242019e-05,0.0,0.0,3.331728392462022e-05,0.0,0.0
2,2.663217325260521e-05,0.0,0.0,2.663217325265381e-05,0.0,0.0,2.663217325277418e-05,0.0,0.0,3.331728379277578e-05,0.0,0.0
58,4.827825762914975e-05,1.275319240848556e-09,-760835.2447298211,4.997886343623354,5.732275771180848e-12,12327.67758073453,4.99788693733612,1.1777190650587334e-16,-3.4911129859533654,4.997735993519823,5.263031498721448e-14,2645.22944178947
29,0.0007622785293327,7.910348278897937e-07,-13705899.19446759,4.9978863696273015,1.7160173841348753e-12,2504.226342810772,4.997886875942748,6.550790785338614e-17,-38.12181478550062,3.294090531460291e-05,2.8151247924557653e-13,3875.194127320332
14,1.568297968031667,3.080743711834017,-36014426519.41107,4.99788422108907,1.3934356362596048e-11,38142.587898357815,2.6633299094419144e-05,1.7873797750409512e-17,-39.455236456144085,-0.0003479580909352,2.5663485953072685e-07,7750646.527774959
36,0.0002578541386018,3.976109241336626e-07,-7442071.262371686,0.0002571590329259,4.013867218416573e-07,-7442388.307778826,0.0002570751160252,4.020997210470874e-07,-7442934.7954520015,4.997648999753424,2.130575835151372e-08,2531463.3852318386
18,4.997898190358447,1.6474024001189894e-09,108734.7060910772,4.9978867103982765,4.018472343579781e-13,-1711.8392195357517,2.6632152585144364e-05,5.2152835549762004e-21,-0.2078723614424117,3.39108234764307e-05,3.224918843923671e-13,-4112.048826773949
60,4.833448105923256,0.0839048152712758,3867927551.655934,4.997887028508846,3.601121971917192e-13,673.2237916804808,4.9978869315313466,1.8942623529898855e-16,-210.1848012669189,4.99198052965755,3.042546630413121e-05,113919282.13125382
11,4.9978853681052,1.8031771540322158e-10,-119400.73344355651,2.6632180636186644e-05,3.6615575978400984e-22,0.0320786727819334,2.6632174045496248e-05,5.323156732406622e-22,-0.2603272230409202,3.331594781555689e-05,9.59198604424536e-14,3287.3716940668764
8,2.6632173253957752e-05,5.5615016224304646e-30,1.8193231264253733e-05,2.663217325313752e-05,8.92313667872318e-30,-8.326168871955981e-06,2.663217325755608e-05,1.3435110876948932e-28,8.948903268751565e-05,3.331728393080563e-05,1.741352670095513e-25,0.0037534794624963
5,2.6632173253634155e-05,1.1371228760492749e-29,-1.489729374867956e-05,2.6632173253912507e-05,5.372669826524772e-30,-2.252574114702765e-05,2.663217325338964e-05,5.946640554770012e-28,-0.0001809566759247,3.331728380521166e-05,4.76414821687357e-24,-0.0167769866690776
50,0.3145729646733447,0.1444874660697633,-7255418055.019108,0.3146716499117224,0.1445403237088063,-7257154459.707739,4.997571456102238,1.6637973525966645e-07,7314162.196294874,4.996489329701467,1.7811365353864635e-06,24314421.25294148
4,2.663217325345706e-05,2.1739304110886093e-30,-2.8887588829806416e-05,2.6632173252703903e-05,1.7854571169626886e-29,-1.2093962284673988e-05,2.663217325153941e-05,6.390737950020074e-29,-0.0001486863215127,3.3317283475715666e-05,3.426090218831581e-24,-0.0236076989744755
22,9.44375453267062e-05,7.804326180675133e-09,-921648.8465287024,9.453994364475812e-05,7.0659259309804325e-09,-1033636.0037846006,4.997886497294642,1.576405320701907e-12,-7216.5791748532,3.3099697097126655e-05,4.4972640429935455e-14,3711.9529365980097
9,2.868349333913408e-05,5.190050306099797e-10,76630.32987558995,2.663791413416422e-05,2.887319090649873e-16,172.0087077661568,2.663064727072821e-05,2.243084900554632e-16,-53.89443625484595,-0.0002195763103135,2.544227086534093e-07,-6926503.168649717
62,4.997886744407973,2.5644586603726253e-09,1173216.0786226897,4.997886971324077,5.500279197334039e-13,17181.95283383662,4.99788690615031,2.7754910839686833e-18,38.59669102037245,4.997735866725755,2.737688411832489e-13,-12121.940942339186
44,3.2117156977315564e-05,4.4784393083984403e-10,-308749.1081409896,4.997886500238945,8.797363077253615e-12,10165.951940289118,2.6644644697251765e-05,2.074141589745396e-14,-308.44626337159093,4.997735867708927,2.765048292066932e-14,315.8198263907176
61,4.997884629763743,1.893115870741754e-09,401091.074190364,4.997886984023062,3.7185300148996765e-13,5189.439657262826,4.997886912458138,7.596626528431068e-18,-22.580596731323585,4.997735878827803,1.7148011514069285e-13,-3551.0248352764497
30,2.6439515638440134e-05,1.1747673686205387e-10,61080.474100938445,4.997886884315862,1.107405030844175e-12,-3165.392880853376,4.997886850609946,3.328836570693085e-15,-900.3972671266501,3.440322136317712e-05,3.459538488168611e-11,47797.250138502335
42,4.432174947702253,1.6289755269290305,-20140378798.72325,4.2657436719412605,2.2781908593960614,24485133204.9484,2.662766915545099e-05,2.6991501967697813e-13,206.2732194014812,4.996558198420814,0.000213015045538,276385431.13608074
52,2.7589906757037253e-05,1.7535624953786378e-10,-2356.3236579934537,2.71544048172476e-05,7.965011631179849e-11,-22297.043898198597,4.997886844974305,1.7410175208464022e-12,2812.8228887524247,4.998177996941384,6.992834810427171e-07,11909752.292916965
43,0.2301928609999177,0.1002161230421538,-6083943538.149112,4.997880398042469,3.594176857102022e-11,117345.10870564551,2.6620388064723404e-05,2.367916785146013e-14,-153.32990614191985,4.998186496739022,5.090466200617944e-07,-12534646.145586008
