signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.79564376595771e-05,7.201295019509374e-30,-1.3942401590537342e-07,6.795643765980332e-05,2.6372807635384486e-30,-1.294741328505464e-07,6.795643765967263e-05,1.8689909358739886e-29,-2.1166908851835257e-07,6.094256721743521e-05,6.652393897569636e-26,-0.00011637694944028744
2,6.795643765984169e-05,,,6.79564376568007e-05,,,6.795643766410808e-05,,,6.094256933633493e-05,,
3,6.795643766076056e-05,1.3028029483614166e-29,-1.7831694864861088e-05,6.795643766074293e-05,3.1045258052790863e-30,-3.528972062617162e-05,6.795643765177647e-05,5.152465163744216e-28,-0.00013129021336550674,6.094256601485266e-05,2.0505150427297485e-23,-0.005736989216853934
4,6.795643765826478e-05,3.460030247965768e-30,2.1054471292350266e-06,6.795643766029762e-05,9.04604208937072e-30,2.019319067990761e-05,6.795643765947657e-05,2.5364029238154325e-27,-0.00019011645425895195,6.0942568240981227e-05,1.3110615152780107e-23,-0.012772095635764275
5,6.795643765978573e-05,3.1344244239749642e-30,-1.1149168111475086e-05,6.795643765961991e-05,9.336474650295811e-30,3.981276923132485e-05,6.795643766447738e-05,6.472891216034584e-28,-2.5192359762857036e-05,6.0942567239602966e-05,4.749912014348192e-24,0.009359459081351327
6,6.795643765939876e-05,7.677534880413e-30,-9.943899108944607e-06,6.795643765969056e-05,3.875978365179118e-30,9.66758510542796e-06,6.795643765884672e-05,3.9601734739497166e-28,0.00010015205373817676,6.0942567215697744e-05,3.0906842811441763e-25,0.0031132012911934074
7,6.795643765940145e-05,3.375322799247068e-30,-3.86102501585416e-05,6.795643765936702e-05,4.222109381082201e-30,4.31555225550264e-05,6.795643765616844e-05,8.620934265932252e-29,3.2044740725650234e-06,6.094256725727947e-05,6.674453040248984e-27,0.0004796238836133566
8,6.795643765980192e-05,2.658597284866905e-30,1.7629961713570295e-05,6.795643765986821e-05,2.0160053938256287e-30,9.932936621755476e-06,6.79564376712753e-05,1.522156441212407e-27,0.0003090546935493971,6.094256752731125e-05,5.466436106090196e-25,0.007050762873878895
9,6.77452896633228e-05,2.481000164823551e-12,-7238.5783564914755,6.795604388741256e-05,1.421120339628451e-17,-11.779455707379341,6.795642727155003e-05,1.4842663132014228e-16,-15.810633210678086,7.63611134314337e-06,4.678530058923889e-08,-1613270.5406391807
10,2.116126508336166,4.674635246147825,58208540905.46382,6.795699478350382e-05,6.972573379247999e-16,-12.882005208178715,6.79569733717645e-05,7.173979690133894e-17,0.5545657314598594,0.00021014557963575857,3.0773625189444453e-06,20477928.264441714
11,4.997483877054582,2.936716221590245e-11,103192.00202534934,6.795646808992705e-05,1.136166217678294e-21,-0.5324907219134009,6.795644045648082e-05,8.835567098803972e-24,-0.057708915268554054,6.0872595788368154e-05,1.2246059761366836e-13,-493.774244928991
12,4.997489361856924,5.799883699948649e-12,12102.080428932946,6.801449367257994e-05,3.5062558559817386e-13,1084.9431339197097,6.795725476561523e-05,3.6093121052225975e-16,1.4776473332684497,4.2485311950767414e-05,9.522291645357997e-09,-649809.1639569487
13,4.99751362037658,2.2391148822266976e-07,1585174.591117164,2.5779926869598473,5.177012378752327,53447548405.342804,6.795666379587482e-05,6.867575361442689e-16,0.2427265773082354,0.0005248915914111676,5.181527830713964e-06,22892179.303353596
14,2.954089873729695,4.20002726001207,-49795371945.77023,4.997478791582379,7.554225871088339e-11,195490.47963978138,6.795598306840042e-05,1.6400468454617633e-16,14.777174390377306,0.00019213358615911009,8.557892215650273e-07,-10095310.421532776
15,0.0006416428186008647,9.123949744294326e-07,-17939656.91151638,4.997489216822495,7.439277500817103e-13,10595.742142097635,6.795643637128657e-05,2.4225852885783657e-22,0.06569468986952852,6.0648927210170154e-05,1.311727775445385e-13,5971.106665972076
16,0.00036218826316877437,4.3160771102682405e-05,10793516.98257141,4.9974897762198225,3.117055434136946e-13,2079.232367142619,6.795788120119459e-05,3.8099509577645535e-16,45.871769915597326,-0.0005948479671211626,1.0076416202928577e-06,-15449123.81961278
17,3.0154226572243594,3.958002937564222,54888562908.12599,4.997489966628208,1.0461357675095331e-13,-771.4900893819687,6.795532255657801e-05,1.3203582881085506e-16,70.8414942474306,0.0008299349112290498,2.8498091435452635e-06,-24213491.672833495
18,4.997486212429821,2.7821624288778825e-09,-490765.5730994292,4.997490062595214,4.3860218666379736e-14,-1748.3078738673707,6.795643886438294e-05,6.465846981298818e-23,0.07384523053078375,6.246588146885656e-05,2.1181066421383077e-12,-28942.31247498943
19,4.997492142477144,1.1167423360427019e-09,-77326.52885256083,4.997490142374191,3.415084085162213e-14,133.87984350556928,6.649565639248207e-05,7.601257792031592e-12,-60744.250792728344,-6.323469842383932e-05,4.825771666129304e-08,-4970918.795761683
20,4.997489646157911,3.632514068515849e-11,11853.736207248114,4.997511892740991,5.863790352211352e-07,1808718.5400538673,1.418371611527112,2.948722754744552,32384766307.596447,0.00027008010955655167,8.748645903752669e-07,5111618.270582516
21,4.9974900105856195,1.3680212075613553e-13,40.99669356148313,2.890754053742591,4.132801831269998,-51296226371.14491,4.994885519833848,2.8945614825445243e-05,82743235.93560375,0.0001529549940108934,5.694504207102677e-07,-7205676.229469528
22,4.99749007850943,7.186257034628207e-15,-288.34406297238365,0.0023533691015435163,9.669332221871507e-06,-61761385.347240224,4.99748556926764,3.9680725044775775e-11,100503.48258402805,6.040845483522672e-05,2.4453815230571545e-13,4952.631183818925
23,4.9974901309298385,6.783738754658847e-15,-171.20267413307167,6.567146456236693e-05,1.3784391405039527e-09,126844.19209047081,4.997489410700737,2.4386462143823404e-11,28653.262638184653,6.0894814873384274e-05,1.508658014955374e-13,-1382.9879031725286
24,4.997490158705791,5.422911306871175e-15,-151.97168168950785,6.768360205573033e-05,8.633163380508174e-11,-25395.820360170645,4.997489840711034,1.7777411622868155e-11,18782.55424629325,6.0945817897904264e-05,6.904403881736704e-14,-1458.9292649635966
25,4.997490188524721,5.26930834201354e-15,214.01688344218175,6.975125333382846e-05,9.702641148363576e-11,14881.82071836678,4.997489268581644,1.6249514286987692e-11,-5283.16053337117,6.096350142045299e-05,1.5688643307296476e-14,138.9662318761028
26,4.997490188145539,4.071101949190822e-15,203.4113661421293,6.766084923406392e-05,9.64147670141431e-11,14550.922148229643,4.997490361131446,1.2556933257328982e-11,-7144.307603551097,6.093807064156371e-05,2.0421286679354183e-14,-12.21420493797221
27,4.997490288532835,3.9870284736415054e-13,1188.2960193090719,0.924942620308866,2.6952382372874717,30615106552.35851,4.997490113448312,3.303533026824023e-12,2202.3805436573116,-9.117369623028797e-05,3.055173741222789e-06,7026046.899521568
28,4.9974901970638035,2.959156743356811e-16,253.5519900808159,4.99567050244135,1.6070434601047553e-05,45154324.82029667,4.997490103764357,3.6684633431198236e-13,-228.51709213213604,4.569130310516727e-05,4.383090085394762e-09,569219.093910961
29,4.997490209421447,1.3539980532811075e-16,-16.26400383787421,4.9974982028261605,1.1632469098709002e-09,156895.84722579241,4.997490364180064,4.24979095899807e-13,2951.737308795317,6.166196664600518e-05,4.757350793662349e-13,-5786.937022496792
30,4.997490218742494,1.001153905695519e-16,21.518979009788413,4.997488286103118,4.902321913606428e-10,45170.41247795855,4.997490157695565,2.9550923430114973e-13,537.960633637617,6.085056321955128e-05,2.4253777383119367e-13,-764.6706397145146
31,4.997490220533462,8.99634148573252e-17,35.97090888870696,4.997491732001913,1.8517469763493209e-10,-15932.726024793423,4.997490267931009,2.6148236308061855e-13,-423.9266633249691,6.08037826263363e-05,9.335478826923763e-14,-1083.9905298460567
32,4.997490226416266,8.74711446213028e-17,31.82637866660617,4.997487692501485,1.650040523610774e-10,-13122.770741487682,4.997490112958453,2.63575771900035e-13,-590.5800332511064,6.0675583024316235e-05,8.006721889023711e-14,-422.0025946745439
33,4.997490228197706,8.866689541309049e-17,99.7622919556138,4.997490203640157,1.4332473940933578e-10,-110169.85557811476,4.9974902120680715,2.5700134187806405e-13,-4643.326105773266,6.0583099122559626e-05,2.6711685075911035e-13,-5816.136912251128
34,4.997432263759922,2.4508954927310634e-08,-1790774.8104909216,4.997432593027498,2.4451794997290445e-08,-1797769.0675386423,4.997432251744004,2.4465931594507968e-08,-1791419.5524089148,0.33244468976730085,0.17941139397325528,8295813090.774157
35,3.2937158172394487,3.7663919960337515,-51523093304.03508,3.2936931413741686,3.7664150702021777,-51523375218.235634,3.2938232690562406,3.7661871672001075,-51521482169.972435,3.6493361277798004,1.1265239997626935,30220283363.66063
36,0.027754792046049817,0.001795174194463035,-667825495.5207462,0.02775313458120486,0.001794972248122023,-667799061.3210804,0.027763584003858668,0.0017962729777737285,-668038757.6516875,4.993611882059347,2.2317711948552558e-05,83751641.22992575
37,6.633038715515834e-05,6.883261784780034e-10,118152.7918464749,6.638018769441097e-05,6.227114344608006e-10,109154.31154158915,6.633533910974912e-05,6.839215974163498e-10,117596.45779453241,4.99730741289306,9.300458249671243e-13,-2538.6453454260622
38,0.022488683551497014,0.006142888594515703,694799915.3518367,6.805996764357308e-05,1.0022139405508915e-11,-2301.325696353164,6.802157586180093e-05,2.69049275047149e-12,-1428.6716907270534,4.997204469603565,5.3225009228483896e-05,-21047913.471530985
39,3.490399077176579,3.1629069406856787,42492350386.38,6.789178351924607e-05,2.324108307018744e-12,-710.5081571637976,6.79219456181717e-05,6.174631240777997e-13,-349.632820979627,4.984043956320287,0.00011066986506826548,297939221.9728752
40,4.997468461038798,2.345614847789638e-09,568552.9250158237,6.795732704954372e-05,1.8307957378667946e-12,-10369.12170856624,6.79569021865766e-05,4.799832518322009e-13,-5309.187540005444,4.997306584780299,2.066198277483072e-12,15800.739653122964
41,4.9974871028502745,1.4848877507753543e-10,44222.59204476862,5.86634204500324e-05,1.736384008426978e-08,-363834.5452754065,6.79616164938548e-05,2.3106456391862776e-13,-633.5289497701144,4.998448602182274,5.501340136710904e-06,33640025.865560435
42,4.99337653421486,0.0008890099571866792,-162574028.0422924,3.6140739964156685,4.021561480288489,37820576277.350945,6.79577549729578e-05,3.3354297678267757e-14,-114.55755201236597,4.994495477491193,0.00020617842803246066,232641897.89123657
43,1.3855410259314316,2.073907290084374,-29621307820.611652,4.997454788676768,4.3744660412344554e-10,501215.42036801385,6.795977313348817e-05,3.899798845427401e-15,-16.91055605717811,5.000400038912233,9.870130379507887e-06,-67215668.12034358
44,0.00018011915941274504,4.497347797447183e-08,-4137814.5512151006,4.997487069827758,1.7988849293359222e-12,27430.957462973736,6.795159685427367e-05,2.6766425992596623e-15,17.674225453336607,4.997307488172674,6.891938568574693e-13,-11346.350603141533
45,0.25400227298394246,0.2547092206714999,7870641179.411716,4.997488929899099,1.931080750671898e-13,5879.198588367563,6.795672481070974e-05,2.537021063564233e-15,-69.89253706291127,4.991529971333438,0.000174316630792827,-189584771.00120848
46,4.651630245066867,0.3212749622999839,8535784979.224659,4.997489353586867,3.6810384718730776e-14,2318.9609883548524,6.795534177078823e-05,3.279721005782141e-16,-9.755326266211945,4.990587047962761,3.5115623035479e-05,134917238.77738914
47,4.997489361511399,2.4743074394227777e-09,306863.37633905676,4.997489741272972,3.450322148288269e-14,1816.1462382910536,6.796170955014949e-05,3.3311171586543e-16,34.89765312737472,4.9973071733772825,3.717061136672417e-13,1000.1798316030516
48,4.99748646554668,7.563329031813822e-10,64309.38800574855,4.9974898769972125,2.2148924072996847e-14,870.0581551011948,7.042957607264187e-05,1.5540939792339833e-10,54776.20756198968,4.997508074871658,1.0926477090473162e-07,2187179.6722070337
49,4.989171955660577,0.0021108304277742736,-315888906.4039266,4.989229116135701,0.0020927799468571356,-313637862.36304164,2.353268533023438,4.292930792685261,48598905982.32899,5.006093854487598,0.00018007428684540814,235679161.6950296
50,1.2934549427594375,1.8737455277889383,-28216457476.842773,1.2942500421887204,1.8753524736948624,-28232159147.167934,4.996071010753541,1.202386873125437e-06,26308126.512712844,4.99855166616847,2.946512328140034e-05,-76798933.47163129
51,0.00017515318473367437,5.068732043753383e-08,-3456097.556672706,0.00017496960882581815,5.111424525436148e-08,-3452656.5797036574,4.997478857303488,1.214826633482381e-10,165108.25284056016,4.99730300831124,9.943992172164734e-11,167567.08023727144
52,6.870102458305582e-05,4.0762912487435864e-11,-22845.87014259962,6.881785138494804e-05,3.2602886420497867e-11,-20527.721958122136,4.9974879151839575,3.00108097971613e-11,6498.2911208177575,4.997381104397148,4.428657326049858e-08,2132056.8766078027
53,1.9561025395767466,4.570529160746642,58108801441.2824,6.79365870183323e-05,5.850291540266804e-12,3436.9572796275443,4.997489015723662,7.338456619924055e-12,350.4904618081925,4.988815707019137,0.00015015535663283818,-92963750.52846333
54,4.997415475245009,9.156579514538151e-09,1775734.610290329,6.795451858309078e-05,2.249543510116895e-12,10634.811036093155,4.99748950836961,2.5965561755556313e-12,-9310.275775045602,4.997280619804634,1.998856504138681e-09,775709.9534186964
55,4.997485900637243,3.633627442686758e-10,76195.7141676585,6.704716401364867e-05,9.969246370939079e-12,-27199.184158057647,4.9974898621650405,1.8362776169791763e-12,870.5355017701193,4.997516424562215,2.542514201021474e-07,6504589.92943799
56,4.997470512175234,8.036582795055898e-08,-288493.5467843992,2.884199816887064,5.091591006979736,49858759152.3142,4.997489884158328,4.659182420732078e-13,1135.4800596113316,4.992420416381172,0.0001739618202556909,107182322.43894932
57,2.6452114505884765,4.351783075811975,-48726993450.84002,4.997422673163221,2.9245191351041968e-09,1188682.421085869,4.9974899653977936,3.4203620359872287e-14,417.0325080129059,5.003456584118929,2.8034032675078564e-05,-112011377.15247819
58,0.0004145488902205421,3.4334206885055416e-07,-11577385.884675713,4.997486272388582,3.490126425506563e-12,32239.695175260495,4.997490041958115,1.4564256294061932e-14,-183.11491874086516,4.997308451704996,2.484175990949373e-12,-21686.284869576946
59,0.09181753718295024,0.04727580902536378,2740073709.237411,4.997488757623152,8.783924792702375e-13,7928.901941584263,4.997490103812304,8.618834259221735e-14,775.8361848426373,4.994084290430918,0.00013268258886000198,-117075115.01377167
60,3.948119379580435,2.136407885239051,24344278680.709324,4.997489245240514,2.0368380951236353e-13,4587.882434954912,4.997490065807246,7.669094495774081e-15,1130.0203825023054,4.987121183756399,7.571510163104503e-05,192289290.25370753
61,4.997477942638939,5.84303053867274e-11,163104.41205171743,4.997489580681996,1.5517862952209212e-13,1358.4642357486573,4.997490113818209,1.4173591655725481e-15,118.7934956303322,4.997307274151943,1.7526276265801122e-13,-755.9636342800555
62,4.997487415116669,1.0718043037830512e-12,19629.875682123653,4.997489963024738,1.4784334587073727e-13,993.4965239336716,4.997490151804895,1.3947649367516101e-15,118.45571592041509,4.997307517914199,1.9486981194947382e-13,151.3338243693493
63,4.9974899577105765,1.7495773009745064e-13,224.36979076204517,4.9974901289469305,2.4852472188504725e-14,80.49797150232713,4.997490205774155,1.2166490889890617e-15,22.16162817115217,4.997307370324773,7.966301515260861e-15,20.359318520370124
