signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,7.369521627082672e-05,1.691317378470377e-30,1.3010549748284937e-07,7.369521627039339e-05,2.191893771426313e-29,-8.806535633278651e-07,7.369521627098658e-05,1.6170179528179477e-30,-4.295578728049925e-08,6.437806357493904e-05,3.1082801217282746e-31,-5.90019645386802e-08
2,7.369521626949663e-05,,,7.369521626932808e-05,,,7.369521627281052e-05,,,6.43780635495067e-05,,
3,7.369521627561079e-05,,,7.369521627278595e-05,,,7.369521626646229e-05,,,6.437806369103807e-05,,
4,7.369521627009602e-05,5.5026938204732966e-30,2.4124742982660108e-05,7.369521627075299e-05,1.396192806044326e-29,2.3520309121744642e-05,7.36952162709362e-05,2.490310410521177e-28,-6.216200443490583e-05,6.437806395769927e-05,4.62939317750104e-24,0.004268306266885473
5,7.369521627083356e-05,7.553511538285768e-30,1.4986194623293245e-06,7.369521627100319e-05,2.8883889887346423e-30,4.529217849112459e-06,7.36952162733995e-05,4.645780364015093e-28,2.8366408344979344e-05,6.437806349586757e-05,3.783670186860903e-24,0.009796282167360722
6,7.369521627080262e-05,1.619882001244926e-29,1.6247778237604892e-05,7.369521627052137e-05,9.812896933110328e-31,1.0588263006273675e-05,7.369521626982322e-05,1.1960087232735845e-28,5.130086645939724e-05,6.437806351105922e-05,1.0294543100247959e-25,0.0017108672632306463
7,7.369521626960789e-05,1.92093946479931e-29,-1.8505004616475723e-05,7.369521627314283e-05,2.018903208314031e-29,5.166259374715894e-05,7.369521627065556e-05,1.4324758138128966e-29,-4.051494899142482e-05,6.437806361022725e-05,2.1062286073778907e-26,0.0013319360770650932
8,7.369521627130393e-05,3.74239534762502e-30,-1.5210586513002216e-05,7.369521627108424e-05,8.625816166879418e-30,2.5254971176968942e-05,7.369521627188403e-05,6.684228128924663e-30,5.568615354772259e-06,6.437806358698934e-05,3.605668898064472e-26,0.001493151585852706
9,7.359084926995686e-05,1.2527130619746339e-12,-3659.475549373527,7.369475303270403e-05,1.184921113660936e-17,-13.48341919128453,7.369547663392927e-05,1.1928536191301904e-16,-4.239114004063595,2.438844881610728e-05,3.121776098851074e-08,-1155542.524815054
10,2.1161992569520245,4.673397737735777,57531427972.58545,7.369580947646763e-05,6.7804551144074515e-16,-15.923226290992254,7.369552247936892e-05,7.40909498296206e-17,10.831882526656276,0.0002151197449139955,3.031087378728513e-06,20098953.492115907
11,4.9974546317914115,3.062662071745297e-11,105598.37621046079,7.369524456135662e-05,8.78133782434216e-22,-0.574800455093897,7.369521696969756e-05,1.4587337606259565e-22,-0.08118407843511326,6.433657302187642e-05,3.845950090218826e-14,-184.32092917817178
12,4.99746036445505,5.821064336666958e-12,11892.800619820566,7.36950821801062e-05,7.075253963580951e-19,-4.78264369603308,7.36954940849339e-05,9.417242163166726e-17,5.64472530873285,6.438595578958062e-05,4.198928646087686e-14,12.7304596268882
13,4.997481185451361,2.438015279458191e-07,1283086.804756173,7.36956866561569e-05,3.5139065583744724e-17,8.284216498993086,7.369556596994382e-05,7.242373378150945e-16,16.869720961405406,0.00014179117463312244,1.5183588839856942e-07,2242092.864692132
14,2.897419518350497,4.2080398096518765,-50126150754.78409,7.369532514464515e-05,2.2410113182514964e-16,1.824647511247268,7.369503707002736e-05,4.661183669845941e-17,10.08262797511408,-2.1829958213486934e-05,1.0491493051501017e-06,-8916658.055930723
15,0.0014396561719870762,5.75111511351535e-06,-33960122.71270397,7.369520559638279e-05,2.4664968974741716e-22,0.09728297290620631,7.369521754186274e-05,1.1902838323018893e-21,-0.061971690879054006,6.399953135936362e-05,2.3968731795649557e-13,6261.909235639433
16,0.00020919025871654108,3.3919004225347806e-05,5782719.607934029,7.369507218231516e-05,4.5202973327909453e-17,4.061532799982243,7.369762485229157e-05,3.841202904343861e-16,53.85976822596138,-0.0006595611370351238,1.336154102575216e-06,-17287507.290104173
17,3.077488464848069,3.9163321280835315,52753118455.69383,7.369546778739497e-05,1.885068415808922e-17,-20.14099324249678,7.369355761831581e-05,5.598510906433598e-17,96.65211631150005,0.001019312995404757,1.296074943061347e-06,-13792941.471330391
18,4.997466084389534,2.2408433928143454e-09,-9350.981572419289,7.369521089492935e-05,1.5933101371793532e-21,0.017689669345348435,7.369520665841035e-05,3.2070818523719417e-21,0.03694427477009522,6.442142925637388e-05,5.2114856512270187e-14,-362.9721788007492
19,4.997458920614389,7.739685425969119e-10,84912.15729758222,7.36951414666255e-05,9.971388657972265e-19,-2.139971513184926,7.24209439242334e-05,6.829559769620496e-12,-45602.20213434212,-5.75922995494749e-05,4.811587198076752e-08,-4176845.383791517
20,4.997482024430468,5.585885008307468e-07,1676669.3400406,7.369520205033824e-05,1.844074432390053e-16,-14.849984566873573,1.3231290484715437,2.8761762385264786,31495388874.07764,0.0003999334321630828,9.960700869199415e-07,8849608.161411168
21,2.8000837618735983,4.223209119362225,-48831233611.99683,7.369522070838574e-05,2.221084319062131e-16,7.772296890746571,4.994672784002544,3.402016231868583e-05,83531811.41726424,1.2812998888201859e-05,9.048905997809306e-07,-6926599.237885922
22,0.000987688506300337,1.307405658488212e-06,-18734855.11157851,7.369521679651804e-05,1.2594204331372942e-21,0.22392102775910536,4.997457468888839,5.2312961205863394e-11,79864.30233832412,6.39962445233589e-05,7.881951738269895e-14,5178.041202522445
23,7.673810285394328e-05,2.456586069862576e-11,-82066.74427331121,7.369521636754104e-05,1.6005173995978931e-22,0.023535375867286146,4.997460441180411,2.588832922973207e-11,15924.652186216348,6.431845917714753e-05,9.345735924181055e-15,393.8490566701351
24,1.4453922161819064,3.958029029814821,43658475021.67907,7.369555822486162e-05,4.2033151434844447e-17,2.163307352256589,4.997460887775045,7.112083772550906e-12,4613.965615451579,0.00016690113965842,2.2500423126149995e-06,14993220.315374952
25,4.997420848297456,2.960173726583699e-09,848860.5641007457,7.369523486915748e-05,1.2681168715900912e-21,-0.5209224206349896,4.997461077150814,1.7346816463071242e-12,8722.2962497622,6.716735335631604e-05,3.67312818411319e-11,-72141.77551253939
26,4.997460076284347,9.842533749387322e-12,29545.973926585404,7.369522623153626e-05,3.409501553118115e-21,0.4869790792718844,4.997461100300539,1.3325753464821441e-12,2595.3642622303823,6.435913429127588e-05,9.334628710378849e-14,176.90380973300492
27,4.997460794986312,3.281284407478813e-12,4417.38119345241,0.9853714131109246,2.814473751795126,30112323196.739223,4.99746124205691,4.17586329844758e-13,100.98494339971339,0.00038241203794599736,5.177108728208406e-06,26073453.40640878
28,3.8980150731428793,2.869558745690614,-34384952199.466965,4.996133468241538,1.6778136927707187e-05,52961630.372651085,4.997461240151487,2.9002677212716956e-14,496.42896221046874,0.00046005668099465355,1.1043656927849812e-06,-15948633.55857084
29,0.08207544527723624,0.015567959292018886,-2630699137.7801785,4.997458835655723,9.64523890565697e-13,22810.795247925395,4.997461278014869,6.9806008973309646e-15,208.2665392360023,6.179496121961975e-05,1.1760964008735868e-11,69801.49088877815
30,9.049541986332112e-05,9.49021335458731e-10,-574469.2657648986,4.997460682886924,1.9406176611418647e-13,2469.070038612779,4.997461287775554,5.8135343935019204e-15,340.6788925465914,6.426778448384156e-05,3.8489415013033825e-14,748.0473187421386
31,1.6283206797119878,4.293714079786996,48057212154.661446,4.9974609768070675,8.928547218131607e-14,1212.5832652080055,4.997461298012263,1.18183228654604e-14,58.36331009067738,0.000108007542128296,2.8482469310928295e-06,8602979.393892743
32,4.997456541323325,4.035771277097917e-09,394590.92074700445,4.997461080929843,2.608168533583796e-14,505.7173536624305,4.997461311208654,5.799486261362071e-16,79.20018490158157,7.034478407565076e-05,3.54952393674634e-11,-120396.0766048901
33,4.997449933480082,3.5869812817307223e-09,396937.4682581389,4.997461226350433,2.3528105720386774e-14,-564.3955891321465,4.99746131020306,6.143138577387634e-16,155.8061220934303,6.432424547903439e-05,4.296738473827916e-13,-635.3610490498025
34,4.997432233526563,1.1487746941271568e-08,-988208.8382946837,4.997431001883719,1.0772407753701056e-08,-952145.8492314252,4.997431031209531,1.0780997822863988e-08,-954368.3899825406,0.2678136962933128,0.13667715712905662,6851146976.867655
35,3.296515062543024,3.774963528491761,-48935092035.12645,3.2965447167792687,3.7749313874887083,-48934733051.57699,3.2967300917201934,3.774594426229226,-48932122387.195045,3.610673682334735,1.2408675764651111,30283319283.05127
36,0.02339397078686231,0.0012729859712391038,-553756994.4041615,0.02339533163052577,0.0012731316772141977,-553805726.7161855,0.02340781978473248,0.0012744624250131452,-554103779.1328529,4.993938612437635,1.7934439278378014e-05,74435161.49995038
37,7.223068506549561e-05,1.362485181191803e-09,157159.51636759305,7.227360710688084e-05,1.2974281845823691e-09,144120.6345140136,7.227325583592785e-05,1.2988618072180868e-09,144520.69391977633,4.997277056594058,9.736598757194996e-13,-3309.9040303644724
38,0.01305395913035511,0.00260957850914045,437716008.70098644,7.400257920515645e-05,1.0811125721234995e-10,-8127.92614059343,7.40013250165024e-05,1.0662186274910215e-10,-8059.3668096277925,4.998017554925886,3.4646643750319754e-05,3905653.1703495295
39,3.3713526541621635,3.4053071549073364,44396514801.02449,7.364438385484437e-05,2.5451505447336764e-11,12670.183566297554,7.364441480341058e-05,2.5100608371558957e-11,12588.96858446929,4.983517698673264,0.00011352666162388632,298645253.5977518
40,4.997438491707579,2.833968498185863e-09,610379.8582903483,7.369235677415912e-05,1.9735768911246023e-11,33836.68553614539,7.369237674758053e-05,1.9460805484120917e-11,33600.14106575338,4.997276277882083,1.8153795561128528e-12,14521.706620433848
41,4.997457773006806,1.8885074662178161e-10,46627.692647333955,7.752375522275343e-05,2.9434817767348343e-09,109866.37946496473,7.361406500686036e-05,9.102944088496337e-12,1799.3024343276795,4.998189282823535,3.674688137433112e-06,28284928.820600424
42,4.997148832936436,7.072817764674614e-05,-14916436.867756551,3.5587306349915844,4.065147171869817,38647745448.65016,7.370765061779823e-05,1.2724802223614445e-12,-834.166232876006,4.99399244326648,0.0002049246343457245,228782451.4138603
43,1.5254151695960296,2.4640790284118985,-32098110749.07816,4.997422056143218,5.788994569023573e-10,556786.7756489741,7.369933966495183e-05,1.4513200230128589e-13,-754.9720357947205,5.0007424739920685,1.313096787512378e-05,-75025085.28611703
44,0.0001838014930772168,4.204805641396983e-08,-4345922.820268043,4.997457883958707,1.6789062219283377e-12,30563.504154782364,7.369629072968045e-05,9.550824204118863e-14,-1095.3104423201044,4.997277147451437,4.2748203517297567e-13,-10603.466351508758
45,0.19734289284066356,0.1522854771695335,6041334007.17398,4.997459829154847,1.5638497667641124e-13,7448.326719008779,7.370097996613324e-05,4.9112550654236926e-14,-183.1171717968051,4.992059611964636,0.0001708125613887476,-177345237.58423212
46,4.512071429464839,0.6460616068934123,11988061853.63965,4.997460314328468,2.4452180674785072e-14,3485.1092881355253,7.368711761092897e-05,1.2270019318186716e-14,-45.70098422983203,4.989890879161386,4.129307831888112e-05,146447859.88281113
47,4.997454599168875,1.1901101354086756e-09,296641.32983614743,4.997460678213341,1.1666387498202804e-14,1517.9257451322605,7.372672335797374e-05,1.1899165270062215e-14,208.44185348356388,4.997276918279309,8.082916644535127e-14,1720.802226462625
48,4.997457765084878,3.0509057023292996e-10,53680.954041880475,4.997460928621538,6.59350585093006e-15,862.549906477433,7.524178744555397e-05,1.8331226181725265e-10,22877.857542893875,4.997475054127458,1.070043001616074e-07,2141126.701307317
49,4.996124452792555,0.00022167902919030123,-55273679.705551095,4.996155698298441,0.00021784295772490553,-53954498.961237274,2.286598838807903,4.212241273285192,48235602373.20877,5.005760693077371,0.00018090084106668733,235239151.86956158
50,1.4959596525978196,2.497044395228733,-30210581425.912678,1.4967007404308974,2.4987751119495405,-30223704439.579548,4.995745419906883,2.313087191066853e-06,30857447.509607162,4.999552783379933,4.832167289726802e-05,-95042747.5102088
