signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.795643765960086e-05,1.0416007221851766e-29,-1.3360399994637094e-07,6.795643766001642e-05,2.0682133752847066e-30,-2.0067036422102547e-07,6.795643454326389e-05,3.8408876234689314e-30,-1.160374620639881e-06,6.094639689870748e-05,1.9331780128915054e-28,1.3260554271520224e-06
2,6.795643766256343e-05,,,6.795643765680083e-05,,,6.795643454579109e-05,,,6.094639733688135e-05,,
3,6.795643765988976e-05,1.163510910497719e-31,-2.4880667090797102e-06,6.795643766063492e-05,9.573077796411685e-30,-1.740251400979983e-05,6.795643453705307e-05,3.4671244272317193e-28,-0.0001204101201137965,6.09463961008896e-05,6.5116571684282545e-24,-0.01642669144390513
4,6.795643765978303e-05,1.3989285823830776e-32,-7.779590628894995e-07,6.795643765964438e-05,3.984772122728129e-30,1.3256981703501756e-05,6.795643454328903e-05,2.0441401817489473e-27,-0.00014832263740447623,6.0946397400190455e-05,1.21575919267626e-23,-0.010925277344591073
5,6.795643765913743e-05,3.6018315708003355e-30,-1.6578084398862705e-06,6.795643766007695e-05,6.987032589510892e-30,6.379756000568424e-06,6.795643454794679e-05,2.9126320989133186e-28,-6.977920641962493e-05,6.09463969910237e-05,2.3970591625045824e-24,0.002937935510671822
6,6.795643766081286e-05,1.3676757097308852e-30,2.6738793754922182e-06,6.795643765957027e-05,1.8829497202910278e-29,2.0773742488580885e-05,6.795643454256419e-05,1.13340625199214e-28,4.114577747051815e-05,6.094639683108531e-05,4.199155977091736e-25,0.0035165812925323494
7,6.795643765944232e-05,4.163982915155609e-30,4.203853231971646e-05,6.795643765952242e-05,1.127698486527536e-29,2.6168660106482886e-05,6.795643454424564e-05,3.7957338455223175e-30,1.010170705312011e-05,6.094639684243013e-05,2.8557757185243954e-26,0.00018832556015060942
8,6.795643766030695e-05,3.850260249062237e-30,1.619978399909599e-05,6.795643765978156e-05,1.9752129930190105e-30,-2.8399191854322055e-06,6.79564345550208e-05,1.508910166773019e-27,0.000337031448396499,6.0946397141657046e-05,5.416589791679613e-25,0.006799531291284293
9,6.774528726661639e-05,2.481011832507371e-12,-7238.646758687332,6.795604195896584e-05,1.4238101355979535e-17,-11.833858699944045,6.795637677558744e-05,1.5035744059269542e-16,-17.144819711286573,7.315393665802573e-06,4.7310884318646544e-08,-1623013.7200231587
10,2.11612648296802,4.674635256742141,58208539681.45618,6.7956993774443e-05,6.964352038098707e-16,-12.894387933225381,6.795711894061253e-05,8.341784074279049e-17,0.5578754661734486,0.00021038197660359025,3.086672277609919e-06,20462146.317811538
11,4.997483877047788,2.936698659841936e-11,103191.94209459831,6.795646802298621e-05,1.1237011485563693e-21,-0.5331258935683114,6.79564390307621e-05,3.4034981127397365e-23,-0.06965074231098589,6.0876542451604974e-05,1.2318105419949854e-13,-502.4968365400143
12,4.997489361854315,5.799876920469923e-12,12101.921661010603,6.80144916926402e-05,3.5062975733734886e-13,1084.8768046868167,6.795723138970513e-05,3.598458817846172e-16,0.9740857563339315,4.234994124687485e-05,9.64521650791459e-09,-654631.9231813374
13,4.997513620173103,2.239110030161176e-07,1585164.8749352866,2.577992720734398,5.177012363746595,53447549903.209694,6.795664774996435e-05,7.361245604973347e-16,-0.1914350760974571,0.000525420198060515,5.198861162100438e-06,22874835.464804254
14,2.9540902952780836,4.200026489626648,-49795386861.39372,4.9974787915754915,7.554256761349049e-11,195490.86467114332,6.795590582586955e-05,1.7907847263824008e-16,14.686800157190739,0.00019277705850972494,8.60273867377861e-07,-10112048.18218016
15,0.0006416408730241963,9.12386275210364e-07,-17939581.8265933,4.997489216822904,7.439333753438428e-13,10595.74812542444,6.795643307021609e-05,6.321068731673905e-22,0.10637973414974929,6.0654296145653673e-05,1.3172096359567763e-13,5966.199798157083
16,0.00036222012886244915,4.316296227610787e-05,10794512.632782267,4.997489776219294,3.1170407512864204e-13,2079.229007507678,6.795797476562905e-05,3.665327019594301e-16,49.164372554918366,-0.0005961192738774701,1.0121308461212247e-06,-15477242.342546234
17,3.0154233916147786,3.9579997365357946,54888583320.89467,4.997489966615662,1.0458221122149222e-13,-771.3357205700506,6.795550036058903e-05,1.7262307951163216e-16,73.2328886655984,0.0008306994742007963,2.8669250490325906e-06,-24323825.86569666
18,4.997486212423616,2.782084713041475e-09,-490758.1875382264,4.997490062595378,4.386053763031793e-14,-1748.317712642991,6.795643599712172e-05,2.5109373888933176e-22,0.14817769421908858,6.246900951383323e-05,2.1173262665314865e-12,-28928.834691713946
