signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,7.369521627058082e-05,1.7996711470236905e-30,5.707699223536207e-07,7.36952162711009e-05,1.335576320259495e-29,4.2430601402226824e-07,7.369521627097001e-05,1.210757969364832e-29,-6.778449698054635e-07,6.43780630048035e-05,1.5788624592831967e-32,8.579031974702603e-08
2,7.369521626950903e-05,,,7.369521626940168e-05,,,7.36952162730062e-05,,,6.437806297938291e-05,,
3,7.369521627553052e-05,,,7.369521626965185e-05,,,7.369521627249142e-05,,,6.437806312155376e-05,,
4,7.36952162706299e-05,6.2271012461885784e-30,2.5069060923475937e-05,7.369521627066718e-05,6.310872826120674e-30,-2.3523348264627943e-05,7.369521627062743e-05,3.168845179775459e-28,-3.209439308844156e-05,6.437806339406119e-05,4.481370055288712e-24,0.0045619920820976455
5,7.369521627106256e-05,1.3395272783291327e-30,-8.382494668443704e-06,7.369521627085342e-05,6.854376691569556e-30,8.247454310751613e-07,7.369521627297516e-05,4.411932434701911e-28,-1.0657941297988917e-05,6.437806291099609e-05,3.597889156681664e-24,0.00972949404617939
6,7.369521627056368e-05,1.3178129453896691e-29,-2.0612930740844278e-05,7.369521627089402e-05,6.973244005841524e-30,1.5503273084919214e-05,7.369521626979118e-05,9.360417755565187e-29,6.0489613335499816e-05,6.437806294704455e-05,6.671256973430013e-26,0.001361862003711596
7,7.3695216271658e-05,3.386559264706909e-30,4.783852190195175e-06,7.36952162712206e-05,1.3307298492661377e-29,4.639283529579478e-05,7.369521626930725e-05,2.924932606016064e-29,1.9046601606020796e-06,6.437806304609607e-05,2.6014521841580056e-26,0.0012760549944621788
8,7.369521627059577e-05,1.5357285547161251e-30,1.2627380461835145e-05,7.369521627086198e-05,3.752648788875542e-30,1.3176972623691216e-05,7.369521627128181e-05,1.494774085738067e-29,-5.899397728683621e-06,6.43780630173465e-05,3.754846236735149e-26,0.0014879747603585805
9,7.35908488996597e-05,1.2527210296176745e-12,-3659.485485444496,7.36947530239371e-05,1.1849468906171144e-17,-13.48364028509899,7.369545734004286e-05,1.2123317558545026e-16,-4.848985968745026,2.4388672749030076e-05,3.1218462013395565e-08,-1155537.9011641806
10,2.1161992711670834,4.673397427833239,57531437507.89533,7.369580948441195e-05,6.780450494345484e-16,-15.923475478887207,7.36955366924676e-05,7.384419237342976e-17,10.16591380902946,0.00021512013759869645,3.031086271280043e-06,20098955.775934707
11,4.9974546317653346,3.0626015384310544e-11,105598.18706694183,7.369524456209603e-05,8.782196330090653e-22,-0.5747938170116393,7.369521685092707e-05,1.6100487981837586e-22,-0.08233500656033035,6.433656979997837e-05,3.8465133840935246e-14,-184.34739895687517
12,4.997460347496759,6.0305722634594515e-12,11800.100319950689,7.380455145343875e-05,1.969787862901993e-13,3210.344897487534,7.369720669002951e-05,2.1668758910889865e-16,70.28792523402682,6.27928577551252e-05,9.839828709087254e-10,-71515.23606560829
13,4.997523050781331,3.29792958041293e-07,3243758.9138647737,2.576568442340014,5.20937376571351,51617924344.162285,7.369494198320592e-05,7.04669502762786e-16,45.90434262314488,0.0005325151416973156,5.186965030203353e-06,20685210.960764475
14,3.087389114125354,4.0666013835282415,-52750535105.430855,4.997449045904018,7.368125920582706e-11,210020.24020365192,7.369551211706081e-05,1.9048500547984612e-16,-4.961803667771153,0.00021615992774397892,8.789156324644837e-07,-11775630.90916321
15,0.001981421094204084,1.639083779975149e-05,-51089159.575137615,4.997460099359483,6.402425651125119e-13,6999.76894684974,7.369521742394897e-05,3.26937565278883e-22,0.002711629785617877,6.396029007371684e-05,1.8641325871871831e-13,6386.126743220134
16,0.0006271965406719557,6.044462953279633e-05,20071381.2343465,4.997460851496043,3.089400517994782e-13,1086.4193936874206,7.369669242796759e-05,3.7818961449130394e-16,49.59206154544022,-0.0006145963198195578,1.0266584108053936e-06,-16660227.711037576
17,3.01851139534255,3.9372102031625613,54969773603.598816,4.997461029090084,1.0848566802906849e-13,-650.6322948688205,7.369412868178497e-05,1.2855556688406684e-16,70.51336141152463,0.0008316076482831882,2.812753982818208e-06,-24463884.047462717
18,4.997456865503331,2.125424167054995e-09,-422879.4562463998,4.9974611394769575,4.642434584485005e-14,-1774.228401273016,7.36952175474023e-05,5.332897383374029e-22,0.22944024533661134,6.596074836076311e-05,1.9517393622561554e-12,-28810.62992795373
19,4.997462859927438,8.566406920248355e-10,-60713.75827644997,4.997461229084739,3.656233791626678e-14,200.6942615203797,7.231972291078363e-05,6.819337406749222e-12,-56753.92339522158,-5.682072304122596e-05,4.736235718301761e-08,-4818718.657332795
20,4.997491955557406,5.395134567972486e-07,2000503.5736289504,4.997509679597671,6.085994607212984e-07,2539681.7861499474,1.4339201208594814,3.0297672998114438,32701540477.74868,0.0003886137001783924,1.5939835536781067e-06,6668771.610496644
21,3.033854417875915,4.121080837618668,-49888177922.79075,3.01691658499922,4.1405159836864005,-49977643310.65246,4.9943280250990085,3.38709788996144e-05,89927000.11480553,0.0003381036046021338,5.122716023576925e-06,-24146991.494854722
22,0.0009381323663319334,9.747070193334594e-07,-15537511.723524906,0.0009244693665817833,9.244113024268965e-07,-15469593.051853467,4.997457516170688,3.554099364711474e-11,73406.01161784508,6.361389412319179e-05,2.762388539060582e-13,8376.929598766608
23,7.023053567093585e-05,1.2357445339273824e-09,182436.62465989057,7.080520429596644e-05,9.921235997211132e-10,156928.57752203502,4.997460247590869,1.7814501645931525e-11,6247.581801936961,6.428734206302934e-05,1.4241055731903053e-14,739.3742588447602
24,1.4416722145335361,3.9609453761042515,43511924237.28008,7.374934332316985e-05,1.1726110591799482e-11,-4098.6588933547355,4.997460945788135,5.481345906027696e-12,-803.0807835872614,0.00016826651093236803,2.286789925976936e-06,14772178.272949934
25,4.997417506692781,2.6661896856427156e-09,1037347.9742270929,7.406035371225014e-05,3.978474203289014e-12,4436.539565167664,4.997461284318978,1.372380838459382e-12,3429.2388493454573,6.671600758646743e-05,2.4160917335746416e-11,-89820.16022551636
26,4.997460542170832,5.5095807661092477e-11,-37995.03606970144,7.3567321254819e-05,3.177040637124632e-12,6359.266671112766,4.997461106973107,1.0838870561454548e-12,4065.4531981555947,6.436266111315607e-05,7.280792264429475e-14,-1887.8543502649375
27,4.997460843964673,5.8763594061808085e-12,4083.040157733002,1.077775377591816,3.0884895936732693,32937440640.14323,4.997461238729368,3.4242018669397477e-13,-53.35989946553573,3.510165035533099e-05,2.604978715570726e-06,6678468.669814219
