signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,7.369521627079186e-05,1.2711501467513202e-29,4.847256164103311e-08,7.369521627111361e-05,1.8016074376956953e-30,-2.3449120470387192e-07,7.369521340570919e-05,8.449966533774853e-30,-1.5540673817525302e-08,6.290386083910069e-05,1.9346069304776417e-31,-1.6671032637659086e-08
2,7.369521626639796e-05,,,7.36952162695367e-05,,,7.369521340641848e-05,,,6.290386081523146e-05,,
3,7.3695216275411e-05,,,7.369521627205314e-05,,,7.369521340712259e-05,,,6.290386094637819e-05,,
4,7.369521627091206e-05,1.0733068572628457e-29,2.3712988040018206e-05,7.369521627031132e-05,1.0070324455992309e-29,8.063895897979303e-06,7.369521340422015e-05,2.650380285268846e-28,-5.7955853057075584e-05,6.290386115907122e-05,3.694598079710428e-24,0.003324385799525306
5,7.369521627091992e-05,7.002608224491506e-32,4.359325274993913e-08,7.369521627087178e-05,2.542109648384993e-31,6.300530862573026e-07,7.36952134083643e-05,2.4600307623396303e-28,-2.865165708009264e-05,6.290386079006893e-05,3.0608352234897146e-24,0.008535605748729818
6,7.369521627124297e-05,1.423620715682143e-29,4.1208430758954825e-06,7.369521627099549e-05,3.8559958919862605e-30,7.984532878521206e-06,7.369521340519826e-05,9.191622358205983e-29,4.660591747150176e-05,6.290386077533651e-05,1.2992236343521613e-25,0.001928299705924372
7,7.369521627102417e-05,7.848649506633196e-32,-9.827271601181964e-07,7.369521627027326e-05,2.495992821337807e-30,3.9317505203794865e-05,7.369521340485691e-05,1.6760185929591045e-29,4.38416039165819e-05,6.290386086256634e-05,1.1791478851688034e-26,0.001240853648729654
8,7.369521627041166e-05,2.519723946676653e-30,-2.0707245857825387e-06,7.369521627097333e-05,8.79229345031749e-30,3.006956565029272e-06,7.369521340502936e-05,1.8621169308915897e-29,-8.692800957231101e-06,6.290386083032634e-05,3.194451185559194e-26,0.0005977615180275896
9,7.359085172363691e-05,1.252715558407594e-12,-3659.4092495614373,7.369475674542144e-05,1.1811231284145141e-17,-13.381470805579127,7.369466492460767e-05,7.30781765414954e-17,-23.11651730769627,2.3287790492026755e-05,3.059954723979277e-08,-1144733.9542606852
10,2.1161993188570856,4.673397397244714,57531436957.99762,7.369581270513896e-05,6.787009748537001e-16,-15.875967776858465,7.369588837904972e-05,3.484993013219901e-17,-14.556551704844594,0.00021345359345135783,3.0239495737665742e-06,20126647.226128064
11,4.99745463177661,3.062629946911442e-11,105598.29085984698,7.369524481024803e-05,8.885813987779631e-22,-0.5721490840062545,7.369521428695516e-05,9.713136096666727e-23,-0.0740305700227334,6.286275682766905e-05,3.7703230192446416e-14,-178.04302694952625
12,4.997460347500555,6.030579743871088e-12,11800.321197058374,7.380455404062555e-05,1.9697665000433603e-13,3210.433504658613,7.369563579379724e-05,1.4236277163291198e-16,17.672720741881143,6.129297564367064e-05,9.598322658106017e-10,-72242.04069422648
13,4.99752304956571,3.297886752102152e-07,3243703.9301300463,2.576569539789303,5.209371111701244,51617942849.05574,7.369505072242775e-05,4.811666177066906e-16,11.536292720308893,0.0005306931308620191,5.169505550690486e-06,20706656.537000548
14,3.087389433859874,4.066600147297399,-52750547736.211044,4.997449045885151,7.3681643981572e-11,210020.44047284027,7.369541057095655e-05,1.272434026479023e-16,-4.6016330535642025,0.00021397804169970676,8.724796034131996e-07,-11755131.043888073
15,0.0019814301372470247,1.639109248032726e-05,-51089466.3988077,4.997460099359758,6.404210657660722e-13,6999.292643689644,7.36952143249964e-05,2.3895557042320854e-22,0.0003255085876005883,6.248560368174096e-05,1.8688926747826787e-13,6395.505570012232
16,0.0006271679925371402,6.044243740381105e-05,20070449.239564944,4.997460851500827,3.090675441719762e-13,1086.3631274252307,7.369622357819922e-05,1.8412748496231868e-16,33.185512402407646,-0.0006144166541259334,1.0214349627427713e-06,-16624501.3147673
17,3.018510696876924,3.9372136770150354,54969740318.164856,4.997461029110291,1.0856509366630438e-13,-650.9243243373359,7.369467001941434e-05,6.935000010547675e-17,45.74106323418539,0.0008292393967033628,2.798311810139076e-06,-24316153.447992116
18,4.997456865523864,2.1255141992719687e-09,-422889.2123349644,4.997461139476557,4.6443048403473414e-14,-1774.6701291044963,7.369521501544317e-05,1.277255582797282e-22,0.10111360318667645,6.448863723162535e-05,1.9332076087551254e-12,-28722.12302650705
19,4.997461817846745,9.194410775109577e-10,-127219.32424805839,4.997461214249924,3.7223250697647677e-14,-547.0484965336703,7.36732171925893e-05,1.7130093463511852e-14,-1258.6098925418448,5.4966301254888855e-05,3.868141219315889e-10,-392386.6412140697
20,4.997481696693787,3.480814774133442e-07,1294078.603215279,4.9974919128150965,4.0150469160966214e-07,1657911.8628926624,5.329716962895177e-05,2.1435991773984227e-09,-616676.2186327494,0.00024626890170633347,6.769377631019932e-07,3199041.53380391
21,3.212168912765438,4.059552730394945,-51260785940.66157,3.197919811841222,4.076982690789405,-51369427168.78517,0.004692657698553611,5.757040193665089e-05,196165360.10186157,0.0005421032838608947,6.285517169452916e-06,-30905032.416199293
22,0.002864543572374314,2.5117206607217622e-05,-62725924.51554189,0.00274564804267468,2.2545763182316048e-05,-59834116.897526845,0.024573246486489057,3.150919885119054e-07,8988758.231143301,6.182111464091071e-05,8.440989182831717e-13,15068.055720924662
23,7.724646492867219e-05,2.0178008464818265e-10,-115087.58883764733,7.713659394451257e-05,1.2750067455948487e-10,-116472.47820663286,0.0250351535924943,1.9534522546189774e-11,-60628.954602044796,6.280468626655826e-05,1.2365660074424568e-14,697.417382544676
24,1.3729223978195169,3.7988361525216763,42584294661.32464,7.376761298369729e-05,1.8817441218508016e-11,-5360.331336365019,0.02513316573209996,2.190458378320058e-08,-216781.26523891225,0.00017786335870690123,2.315434851744385e-06,15462214.812111316
25,4.997383293174884,1.0689291782469109e-08,1622858.2191012362,7.369913815112077e-05,5.693579896273089e-12,-17970.18919683842,0.025029742547467718,4.422613924033475e-11,152786.68192102388,7.085062256059829e-05,2.477990159525056e-10,-251838.86883498853
26,4.997462982438169,1.247650310454089e-09,-238395.06150791113,7.388114639896502e-05,4.660660613311744e-12,-10169.637873262765,0.025035923249472295,4.5453887663942055e-12,-26869.06506657651,6.29229017932926e-05,2.5416226379421246e-14,-807.2313099062947
27,4.997460689127361,1.4048423959479722e-11,10310.248412881689,1.0546180493960324,3.0473125796224756,31251646933.949356,0.025077300152383054,3.586148813563815e-08,-1033123.0898236627,3.4854657622799846e-05,2.51897808047965e-06,6024234.753922707
28,3.9381317643472142,2.819981431098767,-35330494890.95366,4.996644678183246,6.653898737633869e-06,32672256.088002685,0.02497662217105522,5.5458488024769306e-09,1684731.6114387726,0.0002067226491598197,7.956689461909699e-07,-6229166.045049093
29,0.07062962363015697,0.012145784413376657,-2289272983.550509,4.997459020264766,1.134104271545523e-12,23226.757866191143,0.02503881550659029,3.0161500070306065e-12,-45956.80380562062,6.071385009836213e-05,6.758778022208066e-12,56561.85278678129
30,9.239825268675038e-05,1.2479674140556496e-09,-585752.710967452,4.997460667068177,4.586003613224636e-13,5097.69914291489,0.02503193087835366,4.378293293919841e-11,-93900.64286984787,6.277122353517999e-05,4.436538092840667e-14,-595.9541306641412
31,1.6566651069449525,4.291106287836764,48925927229.368835,4.997460968035702,1.5574843402808114e-13,1733.611320210204,0.025138445915073786,2.0502189756833095e-08,-1297346.3600971745,8.287965919794039e-05,2.8524754342811445e-06,8915199.914746296
32,4.997454570355365,2.1439627955291357e-09,341210.8157329426,4.997461075941921,4.0279267544854526e-14,459.4301788863863,0.02503507236878632,3.3820249340566085e-12,38800.984745454254,6.818054350612874e-05,2.6415328396542552e-11,-104319.4701848066
33,4.997453182796672,1.8263297601334114e-09,336442.2358004976,4.99746123535469,3.682262128859346e-14,-964.9788713438202,0.025036809216228362,3.697513404068923e-13,3734.7525340778784,6.289035046516756e-05,5.668718591026327e-14,-3398.1890203019443
34,4.997431310618495,1.1045822299727465e-08,-995409.0013312985,4.997430783650134,1.0783861598437361e-08,-967639.8192352828,0.023831622227028972,1.5349238344054466e-05,-48299477.719438955,0.268042984712691,0.13592124816089038,6904044056.167963
35,3.296925601535984,3.7735074140396927,-48956701401.736694,3.29695763405227,3.773474486642784,-48956335013.00393,0.0010967991993401892,2.8256478095615572e-06,-34297878.59600559,3.618381510787318,1.255822841895204,30369892624.553505
36,0.024668238307184998,0.0014124862320240342,-589038608.4092388,0.024670150493529792,0.0014127046181425056,-589077856.6776104,8.241826531519154e-05,6.128117797439244e-11,-158954.99961524218,4.988950795633254,1.808917441708266e-05,75485415.55161053
37,7.089672421459863e-05,1.9774745230289324e-09,201852.51422972078,7.087300125024894e-05,2.0246573254502012e-09,208237.91552941487,7.370570935620191e-05,6.88731556880168e-16,-208.17181305737736,4.992314202920832,2.6441105869662035e-13,2481.080740165384
38,0.013830974061505527,0.0028435430646309295,462335942.793775,7.402829130648019e-05,1.286813544335189e-10,-8718.193759522146,7.369295802594263e-05,7.598103249783823e-16,-35.344700421520955,4.993000324216222,3.404499477737137e-05,1943169.9753380897
39,3.3724657102663076,3.4012446744677187,44353320694.91756,7.364043557339812e-05,2.9749057519633994e-11,13756.077888760596,7.36966208292092e-05,8.690310243811035e-16,-162.72836374706742,4.978829372490221,0.00010807426281032128,291829810.70986027
40,4.997438514455784,3.1019685723339243e-09,629579.1068476095,7.369213667244232e-05,2.3114936603925813e-11,36597.8796763248,7.369521990748383e-05,2.0271707212507875e-17,-34.02644462820549,4.992313391683515,2.176693965790777e-12,16355.03780598568
41,4.997457730960231,2.240046728885379e-10,47906.5718136091,7.815856879877545e-05,2.606186749026294e-09,134061.89256166125,7.369636739739385e-05,4.351513569264538e-16,37.5670972803982,4.993190580366826,3.337112579936158e-06,27143564.471088704
42,4.99717607125754,6.569045404616426e-05,-13748099.0338378,3.5305743267171863,4.106573242982601,38908357355.12679,7.369388916995799e-05,1.4855774401332949e-15,30.770787509198733,4.989020426093385,0.00019713418592831968,222715344.2109291
43,1.529711500505285,2.4757498599530594,-32158811648.348064,4.997422134513598,5.737297834120896e-10,553937.5052430307,7.369590894941643e-05,7.094845710914562e-18,-28.115054312022743,4.99576012806967,1.2619486531575052e-05,-74050049.34192684
44,0.00018360289557789263,4.1699728804131075e-08,-4337723.570792187,4.997457889332273,1.427170434005454e-12,28592.31179607231,7.369503005783666e-05,5.610317360371471e-19,-7.643651759402535,4.992314312777081,2.942607266032114e-13,-10188.055975111252
45,0.1972284568707486,0.15209189635527162,6038080544.336138,4.997459838863228,1.3348604710919653e-13,7131.900195557489,7.369543293609499e-05,1.0888268992435983e-15,-6.029294378322868,4.987217183148544,0.00016186740740200962,-173084902.3391226
46,4.511685787856684,0.6473320226878746,11995933750.029268,4.997460304822286,2.3051916999224675e-14,3322.09868600466,7.369310986174291e-05,2.823116594986923e-17,67.0585417167601,4.985039516730547,3.9801262337904743e-05,143959251.17764798
