signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.795643765912461e-05,5.275948530873086e-30,1.3806228553208356e-07,6.795643765952602e-05,7.172908998042797e-31,2.7998794446584325e-07,6.795643765959078e-05,1.472890696602502e-29,-3.3318898224499665e-07,6.094256728530617e-05,9.097566133065115e-32,1.1038484460189561e-07
2,6.795643765670478e-05,,,6.795643765967162e-05,,,6.795643765686637e-05,,,6.094256725704214e-05,,
3,6.795643766288977e-05,,,6.795643765982578e-05,,,6.795643766291273e-05,,,6.094256740826219e-05,,
4,6.795643765956463e-05,2.0455047805218284e-29,-8.757115093236927e-06,6.79564376593111e-05,6.495813550286956e-30,8.306371479995361e-06,6.795643765845078e-05,4.285554905015869e-28,-5.2189808820581126e-05,6.094256766930659e-05,5.1628607367389645e-24,0.003952468265273949
5,6.795643766034449e-05,3.440629617268771e-30,-1.1595999274338221e-05,6.795643765974273e-05,1.5458700242017503e-30,6.982164571843743e-07,6.795643766251853e-05,3.532158421296505e-28,2.8402490997672946e-05,6.094256722089899e-05,4.1557042746479716e-24,0.010022593578205268
6,6.795643766018087e-05,1.1486180683168092e-30,1.4274336674524604e-05,6.795643765925211e-05,2.3154579960443958e-30,1.8450322997783343e-05,6.795643765901259e-05,1.5271776270109848e-28,6.407565371419593e-05,6.094256721516513e-05,1.4527706616786811e-25,0.0020727968149658036
7,6.795643765816169e-05,8.4635438742309e-30,-4.158232119739701e-05,6.795643766067281e-05,7.439395008456815e-30,8.399076516294015e-06,6.795643765810282e-05,3.0273871488321194e-29,-7.071898982229671e-06,6.094256731368808e-05,1.5711581248780275e-26,0.0013285931154667604
8,6.795643766011922e-05,6.450487005846033e-30,-3.140308843922297e-06,6.795643766032288e-05,2.630934733165045e-30,1.1951628201744292e-05,6.795643767138766e-05,1.513658100600489e-27,0.00032232654215569605,6.094256751704828e-05,5.64157733099385e-25,0.007520512005964459
9,6.77573978367585e-05,2.339437621954685e-12,-6863.319426446619,6.795603108512807e-05,1.4003779045206135e-17,-12.191370252286282,6.795647183583367e-05,1.455512007024662e-16,-14.546778645941142,8.787993075631367e-06,4.537432935944776e-08,-1577572.8855534438
10,2.1161312437336037,4.674603929037494,58206762290.7913,6.79569982171272e-05,6.969568984994178e-16,-13.036989418142838,6.795695902963257e-05,7.242900170671312e-17,1.2435172621846622,0.00021011286351158275,3.077428594594824e-06,20481418.48472355
11,4.997483875523771,2.932211054191999e-11,103172.7364422058,6.795646795287689e-05,1.1113893536846155e-21,-0.5348382076206737,6.795644040623932e-05,8.93249718540548e-24,-0.05844142957519408,6.087451860565042e-05,1.1522231041085463e-13,-472.33266200537605
12,4.997489362027349,5.800752979964662e-12,12089.623076083017,6.801449215879346e-05,3.506166692750105e-13,1084.9593174632496,6.795726903670615e-05,3.5614099491894856e-16,2.1422290678635565,4.248504517583275e-05,9.521859355514825e-09,-649822.5893290103
13,4.997513619563488,2.2390910225179317e-07,1585136.0590898965,2.577993303479265,5.177010259282331,53447551272.77873,6.795665951880923e-05,6.773014249952551e-16,0.8077514656454764,0.0005248938515623015,5.18153016777315e-06,22892182.832453534
14,2.954091219812951,4.200025025452756,-49795419625.442856,4.997478791586418,7.554238141886936e-11,195490.69958014673,6.795598257689784e-05,1.6400784343309983e-16,14.789137952171963,0.0001921336546400549,8.557897015203657e-07,-10095329.18402583
15,0.0006416367685225045,9.123676569865466e-07,-17939423.905710917,4.997489216823953,7.44017029907702e-13,10595.916443453338,6.795643638143116e-05,2.7239745574398213e-22,0.06900741797747575,6.064892910745587e-05,1.3110569588743897e-13,5970.638743811732
16,0.00036229268483072794,4.316791942006348e-05,10796774.131646028,4.9974897762190595,3.1175371759479394e-13,2079.2616227213175,6.795788079025177e-05,3.7753182070906044e-16,45.894303765930886,-0.0005948519886882446,1.0076458598759415e-06,-15449208.64982895
17,3.0154250215073524,3.9579922411365906,54888657267.42218,4.997489966628249,1.0462561061320867e-13,-771.5445654549565,6.79553185807892e-05,1.3217740473997984e-16,71.01459978611544,0.0008299375410824438,2.849800003444381e-06,-24213750.3086377
18,4.997486212405581,2.7818902299894226e-09,-490739.84857993474,4.997490062595177,4.3867390756329364e-14,-1748.4849243084072,6.795643886029452e-05,6.894855962262604e-23,0.07659698042973907,6.246588482377972e-05,2.1179971172144073e-12,-28941.87830962522
19,4.997492146331022,1.11774542641111e-09,-76804.76499011926,4.997490142340491,3.414126375322132e-14,133.87214665332235,6.650888073317364e-05,7.531755326072813e-12,-60055.62391132386,-6.227620136177067e-05,4.7829403376215676e-08,-4919649.075566357
20,4.997484223890859,4.98470562220829e-07,1014219.6876873623,4.9974996837680585,5.623941857107555e-07,1487483.7341683817,1.462799229956095,3.004888349124505,32999654198.86372,0.0004462458985545293,1.5855296418929419e-06,7405480.552686821
21,3.10793523399059,4.168252100786003,-49291769480.38621,3.0935570921164177,4.184816361561505,-49371279827.674126,4.994253230190242,3.756709939342573e-05,88215684.22395335,0.000506622170346065,5.790009979616247e-06,-26047224.20974693
22,0.0009337914664537751,1.0051441271449858e-06,-17036854.815123428,0.0009191398842757137,9.74741696898355e-07,-16791701.681874163,4.9974867281208715,4.447245545595959e-12,27685.667799636063,6.018780131712248e-05,2.6858267441777535e-13,9582.273217710908
23,7.088843259452746e-05,5.95048141242671e-11,-24444.587459401315,7.083629018332885e-05,5.815763166171077e-11,-35241.23892126223,4.997489413358878,1.2926421053415453e-12,5238.772370461959,6.0833763000405355e-05,4.741629918245383e-15,1191.6440402942287
24,6.780387711547834e-05,1.760484766286386e-12,-1425.16257527951,6.818985231293084e-05,2.4340171516857078e-12,353.59161241825575,4.997489748678855,6.501864527130663e-13,1080.5853880453478,6.0908431959153885e-05,4.977172570935876e-15,190.11885588600035
25,6.795784701570093e-05,1.9979294215766438e-12,-15332.86452082451,6.795534123645479e-05,2.7404396697505662e-12,17952.248430484076,4.997490010472692,7.00700144315967e-13,-8557.185234263101,6.093553106541231e-05,4.754299674308682e-15,-706.4399543940626
26,6.806111737318482e-05,1.498219564115201e-12,-3529.975450541262,6.783333159722173e-05,2.0693571454429654e-12,4122.067804613308,4.997490164099676,5.417779522848946e-13,-1779.6229050238114,6.09697798716296e-05,5.636601028021016e-15,771.8988442151287
27,6.79416523608219e-05,5.266969356028505e-13,407.4740430751456,1.0087146865286618,2.917911543061789,30544150253.3821,4.997490124382428,1.954361326821631e-13,548.3746108596904,0.00013005822766920495,2.073269092475214e-06,12314397.726034557
28,6.798743786878343e-05,1.247106463026419e-13,213.89288556297956,4.995932060532869,1.1978257632067706e-05,37996177.89973321,4.997490172314853,3.395377198315133e-14,268.8208647644874,0.00012015097675908507,9.922192331759222e-09,-1396703.2313170198
29,6.79562354106682e-05,2.183787331681979e-13,13213.988321172035,4.997488684433957,1.3109553234888641e-08,-3237596.2862917697,4.997490175324531,6.08984069204328e-14,6978.012022918008,6.0942847811890496e-05,3.268329338656279e-13,-16165.593496099962
30,6.795314546830284e-05,9.637526947573832e-14,1018.6175480228924,4.99749122111842,2.4885557733571815e-09,-191845.4295204486,4.997490190967883,2.592052265489621e-14,684.3293465684262,6.0918104590334415e-05,1.5596919031222006e-13,-1954.4280022552016
31,1.6237924819422813,4.284338808256442,48558190342.80264,4.997490102446151,2.1032188447735792e-11,-7086.312409171097,4.997490198303192,1.8927920244129526e-14,76.62458856961162,9.167698638189158e-05,2.8959273987916524e-06,8590497.899260303
32,4.997484146470483,3.5274239384294417e-09,420152.64942711254,4.9974899024897885,5.398503322904097e-13,-179.42264277895848,4.99749021582282,2.4828305821971887e-15,99.40353533785266,6.868797069035961e-05,6.896921984326915e-11,-173167.54810100718
33,4.997488463884551,2.970046314598255e-09,510560.2516534867,4.997490115944046,5.117234458772189e-13,-6183.785669365721,4.997490213304669,2.3706597688806906e-15,455.35070384862405,6.10496688314758e-05,8.518735362406419e-14,-2275.239696105103
34,4.997435799223903,2.269685086081059e-08,-1530115.994965228,4.997436963898798,2.2357812662825156e-08,-1589962.1177715948,4.997437002445026,2.229312400346876e-08,-1589432.0211346187,0.33737185709704215,0.17867390569264274,8132554354.61477
35,3.2494475730328336,3.7955423030539803,-51650437633.22219,3.249478229626947,3.7955096682351015,-51650066893.86315,3.24961380705191,3.7952745882933105,-51648193710.731384,3.681528549281958,1.1046448677611123,29792490731.348797
36,0.023858188960732843,0.001331562330416982,-572470040.6111448,0.02386007852428672,0.0013317630785394938,-572502983.023277,0.023869206664867502,0.0013327604179797325,-572725190.7727325,4.993918058852615,1.8453728176144766e-05,76454018.46366383
37,6.486004070670447e-05,1.5545926957398748e-09,260618.7572668915,6.465491736550448e-05,1.613771033161662e-09,263394.01512400486,6.467351421570639e-05,1.608036500966416e-09,263129.98129857174,4.997307359989057,1.5159729932249714e-13,397.47986259571064
38,0.024856381386731494,0.006849209380981085,830943613.4916114,6.770221799157044e-05,1.0786777742540831e-10,6722.02492957423,6.7698800944971e-05,1.1101583333538396e-10,6839.67665052715,4.997119423759395,5.835620068105925e-05,-28529312.472055115
39,3.4915961669561937,3.1594103559446993,42423366527.42972,6.816617808630545e-05,2.6215365011375653e-11,2483.7599138391765,6.816890735967049e-05,2.697339186366706e-11,2526.4020141872816,4.984042421845384,0.00011086221995760275,297933605.62809277
40,4.997468517068848,2.995270471634508e-09,618162.1168832408,6.795348581046054e-05,2.08609097667171e-11,34953.87744506226,6.795344359605392e-05,2.1461556918575042e-11,35453.50808154814,4.997306595759516,1.8331799215502223e-12,13992.062567449133
41,4.997487005983104,2.35672434237398e-10,45809.49220605233,-4.184208918391382e-05,4.402543614445127e-07,-3788770.5394150945,6.787009802176726e-05,1.0197444031589781e-11,2013.229407900461,4.998685021828794,7.798943968844125e-06,40124273.09379468
42,4.993116935640413,0.0009724458629898037,-175094947.02120405,3.6693452034187217,3.8309534022084275,37032188331.8546,6.796981937710853e-05,1.3778885890389621e-12,-864.2655450199981,4.994231260093278,0.0002080686135558666,254014549.21272597
43,1.4007692792008404,2.019286839773922,-29457589629.940357,4.997454524977495,4.220719493956465e-10,498263.4636335959,6.797429429082266e-05,1.5479676781688098e-13,33.06794524511219,5.000426586012691,9.563518924955377e-06,-66818044.006479494
44,0.0001526067913635752,4.799446775947747e-08,-3008376.693246042,4.997487046343894,2.185314309076719e-12,27388.208545110105,6.792803433135959e-05,1.0435951202286155e-13,146.51894834734514,4.997307499499027,1.1010963074818706e-12,-10784.63418296493
45,0.2447540012752149,0.24118603466917723,7711765454.94885,4.997488930162623,3.414450165181949e-13,5609.495057291284,6.795829022211422e-05,5.3772868241305794e-14,-332.04470525009674,4.991749143411603,0.00017219895373044687,-187928573.33799466
46,4.649743399841568,0.35372053663774344,8091745626.094123,4.997489359579462,6.024291648625788e-14,2163.327223086549,6.795606673410207e-05,1.3136139055080465e-14,-274.23110805586293,4.990763363805215,3.593404190737935e-05,124769084.8771866
47,4.997479759140594,3.2372324835474425e-09,-286642.8056973839,4.997489729256227,4.750352451837555e-14,-349.84741594553196,6.795657047681359e-05,1.3499567092213372e-14,-851.8138645496653,4.997307422365321,2.264495223261385e-14,2262.872366774005
48,4.997489180250161,9.120344378462145e-10,-79957.36748216792,4.997489884814279,3.2367361480759415e-14,735.912283772604,6.79614756971574e-05,8.317802948837374e-15,-19.23933274164321,4.997307351357426,8.613990475903184e-14,-1457.6211705484816
49,4.997488991263897,6.230246369574686e-11,51255.011711311396,4.9974899622259175,2.713994189966962e-14,1419.5047242195624,6.795637365369652e-05,6.657449665619544e-15,480.12528529430176,4.997307392493042,1.0123333422227501e-13,-2277.689239695277
50,4.997488203683673,5.444566101999562e-11,274.6904970603978,4.997489996685216,2.399859806687198e-14,279.6760685435981,6.794172147084011e-05,6.492240671446072e-15,-28.671223279562927,4.997307451658216,1.2684719913170687e-13,-284.4592259300148
51,4.997489880208109,4.313633676182411e-11,-28531.311558895417,4.997490073145821,2.1072924878017125e-14,-424.10228428721246,6.795665047953301e-05,5.920185983315498e-15,-344.79439449107235,4.997307390897353,5.510310022378989e-14,1083.6847159182264
52,4.99748997412298,1.676564731403359e-11,-6803.421058911461,4.9974901002300784,1.3702141763234575e-14,-19.67519027835187,6.795059182190271e-05,4.6551191561769e-15,-283.94078853880893,4.9973082468026115,4.138369544971673e-11,7437.663410193928
53,4.997490200810072,6.6911779571206524e-12,4438.6495902854795,4.997490122719375,7.820211805251349e-15,280.05671528940286,6.796885379167058e-05,2.8118259612364923e-15,-163.63347638195756,4.997304829758164,2.5837801054313e-11,81047.18428937266
54,4.997489558711086,6.779471930915606e-12,2811.817517829833,4.997490119537893,7.91147378234506e-15,197.93724660457065,6.794743900103808e-05,2.441696104228674e-15,46.77123811502822,4.997307419285599,1.7320434780796563e-14,-144.8896518246927
55,4.997490168195915,4.59389519209736e-12,-991.6339735255548,4.997490156181706,5.2464535945838404e-15,44.949255364018036,6.795467334569984e-05,2.4840018114348877e-15,-105.06253671176243,4.997307291730477,4.116320100189046e-11,-21133.04609153583
56,4.997490057609412,1.876075668183756e-12,383.58962311538204,4.997490161424833,1.9625368911959324e-15,81.47555049752606,6.795617106963549e-05,7.961168113159739e-16,-59.84386687621425,4.997307717036957,8.259802659311861e-12,27418.086175725097
57,4.997490124525121,1.051037018787011e-12,-5220.936513131853,4.99749017186844,9.811814657915541e-16,-103.53992068410504,6.795649780065515e-05,3.964589582203869e-16,-103.80177305075995,4.9973073924815115,2.2432634615618032e-15,12.541974759663372
58,4.997490225802123,9.208826972102653e-13,-1133.1072764656922,4.997490184475508,8.733664517990747e-16,13.239943162115026,6.79579417768656e-05,3.450482428025263e-16,-27.865837971742888,4.997307410879743,1.5272292378359076e-14,337.03667831177336
59,4.997490113404486,6.783256971447943e-13,345.9678240783757,4.997490187044738,6.329795671977374e-16,53.18381476781369,6.795546384750485e-05,2.7755435040956347e-16,2.973473967994951,4.997307222424877,1.9266546242906404e-12,-2301.1412764379347
60,4.997490308722277,6.090521952693045e-13,278.2740227916079,4.99749019833437,5.581164885042733e-16,44.36986942703162,6.795920698382169e-05,2.221648602722174e-16,2.8742702767258144,4.997307385751353,7.307488076564153e-16,54.55303955236698
61,4.997489940353076,6.677728756154581e-13,440.3004814630993,4.997490192541211,6.096738945073284e-16,44.4975972439298,6.795195571807769e-05,2.42093783380338e-16,7.247496555887599,4.997307403852247,9.991764034807537e-16,-21.367133980012984
