signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.795643765938402e-05,6.000784159349142e-30,1.499321319798661e-07,6.795643766020303e-05,1.0256101587827391e-29,1.0768852487624642e-06,6.795643765922432e-05,7.659157085188761e-30,-6.441309986319342e-07,6.094256721560258e-05,6.935324383354551e-26,-0.00011892169451856471
2,6.795643766538155e-05,,,6.795643765451129e-05,,,6.795643766410347e-05,,,6.094256938465796e-05,,
3,6.795643765803075e-05,1.3989753532798546e-29,4.9418151531846716e-05,6.795643766149451e-05,4.1188041752947016e-29,-9.031470909240041e-05,6.795643765265451e-05,5.397562275550527e-28,-0.00016932206448456584,6.0942565976359204e-05,2.177108522440789e-23,-0.00607666398900415
4,6.795643765996535e-05,2.452426038022003e-30,-7.598570265383384e-06,6.795643766010905e-05,3.371197762313914e-29,7.290753050038128e-06,6.795643765919446e-05,3.0665582239648398e-27,-0.0001897954937649802,6.094256827643219e-05,1.383732277894504e-23,-0.01307765625444632
5,6.795643765975166e-05,6.93845524994119e-30,-1.8389184167915903e-05,6.79564376587447e-05,2.631214143037796e-29,2.074429221473813e-05,6.795643766498086e-05,4.479315270357931e-28,-7.538377600814341e-05,6.0942567234847364e-05,5.026027571489113e-24,0.009763054845584386
6,6.795643766005342e-05,1.4369579164304981e-29,2.6678438144970894e-05,6.795643766002949e-05,5.231665062448339e-30,-3.1287692623532925e-06,6.795643765806319e-05,2.272105717254991e-28,7.747589622414186e-05,6.094256721326543e-05,3.1554984501229886e-25,0.003127996468386818
7,6.795643765802774e-05,2.820779571520937e-29,-2.018485041024723e-05,6.795643765948463e-05,3.491625686304084e-30,3.452985295659819e-05,6.795643765768281e-05,4.8384063863020614e-29,-1.843680635562394e-05,6.094256725657882e-05,6.446936395491829e-27,0.0005048849355583284
8,6.795643766025935e-05,5.766687007734415e-30,-4.385737772813461e-06,6.795643765977235e-05,5.654539436737074e-30,1.7038578931520814e-05,6.795643767110216e-05,1.5065610026151482e-27,0.00030054812126911377,6.094256752794313e-05,5.481384289271284e-25,0.0070686660560837266
9,6.774528985657731e-05,2.480997350717961e-12,-7238.572422767649,6.79560438875873e-05,1.421121128925719e-17,-11.77946233417857,6.795642555118153e-05,1.4870072830769584e-16,-15.86971162807753,7.636152171041602e-06,4.6785361015007655e-08,-1613269.6069375095
10,2.1161265114685115,4.674635243879162,58208541018.97331,6.795699478397195e-05,6.972571175622007e-16,-12.882003532882935,6.795697478255696e-05,7.154300855796086e-17,0.4746381109498491,0.0002101455832950805,3.077362993513484e-06,20477928.475702748
11,4.997483877055455,2.9367182977738676e-11,103192.00777885575,6.795646808821832e-05,1.136236302635782e-21,-0.5325260700323723,6.795644042971322e-05,8.801979120640603e-24,-0.057845302020504925,6.087259578631757e-05,1.2246064271911946e-13,-493.773884283049
12,4.9974893618568315,5.799883032086699e-12,12102.086204780551,6.801449367281544e-05,3.5062557710343953e-13,1084.9431771902903,6.795725345370846e-05,3.6133969308640515e-16,1.4176874954710723,4.248534540430291e-05,9.522320762848494e-09,-649808.3538107816
13,4.99751362076628,2.2391263390579093e-07,1585192.9866268877,2.577992687813839,5.177012381971076,53447532451.65936,6.795666435353178e-05,6.870870135135108e-16,0.20470165794448808,0.0005248911186948714,5.181527935751526e-06,22892152.50358139
14,2.9540891136723313,4.200028621748232,-49795343448.58797,4.9974787915872065,7.55422002436082e-11,195490.25755293373,6.795598316685545e-05,1.640071517593065e-16,14.780104071196522,0.00019213355005275146,8.557889451686729e-07,-10095298.331014728
15,0.0006416463237549748,9.124108290120236e-07,-17939791.71413704,4.997489216821768,7.439283360674658e-13,10595.754546139055,6.795643636178314e-05,3.1196205566449097e-22,0.07310772120266341,6.0648926419330456e-05,1.3117841209881099e-13,5971.157324535003
16,0.0003621209112512248,4.315616741156074e-05,10791418.420731066,4.997489776219533,3.1170583278762794e-13,2079.230928179657,6.795787961863115e-05,3.8121027879438564e-16,45.81934694232039,-0.0005948454679007546,1.0076390232023336e-06,-15449073.576779187
17,3.01542113102587,3.9580098426009918,54888502151.11208,4.997489966628407,1.0461374868185297e-13,-771.4937075073769,6.795532490775219e-05,1.3189641143552395e-16,70.71387298197514,0.0008299332952596154,2.8498152557077627e-06,-24213328.179674357
18,4.9974862124453345,2.7823374832932493e-09,-490782.1210558773,4.9974900625952685,4.3860431563193934e-14,-1748.3113711310446,6.795643886078109e-05,6.631463126213592e-23,0.07494683033317642,6.246587919240298e-05,2.1181441217005285e-12,-28942.43772166335
19,4.997492148142338,1.118289951147768e-09,-76560.89022377087,4.997490142327697,3.414129074571522e-14,134.26667250051455,6.652097584229721e-05,7.402750141461146e-12,-59563.25982463121,-6.157860365800569e-05,4.74084126145564e-08,-4891786.848310495
20,4.9974896139154135,4.184021694325063e-11,12362.032881042578,4.997463281667032,4.152970860237131e-07,247084.95415147042,1.3896654184767014,2.8386738978014803,31759014451.30739,0.0003114702558071688,8.828550320775376e-07,5587454.798991879
21,4.997490022814362,1.293771467529496e-13,-346.81110350087516,2.923269030017353,4.2332843462221845,-49259332551.76573,4.994215541777063,6.11844726648273e-05,100900109.27983929,0.00012671266690325133,5.838977564878834e-07,-5541690.305153994
22,4.997490086939687,7.578592441671655e-15,-197.91350516488328,0.0009606141554586563,1.2028871598886103e-06,-18333162.827303838,4.997486709543527,7.38516781583314e-12,46735.38093171599,6.056270225884842e-05,1.1146431266696256e-13,5789.325034660693
23,4.997490144040545,7.570041056250227e-15,193.17210406329372,7.04081452744528e-05,1.947425850290531e-11,-84988.67634497258,4.9974892872622885,1.878147032440039e-12,5302.763497396795,6.088138567773644e-05,1.445669533231126e-14,571.3554182887019
