signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.795643765980408e-05,4.7747248833667315e-30,2.423912220808791e-07,6.795643765976396e-05,6.201059934842702e-30,-2.818576266265078e-07,6.795643766004851e-05,1.4192026644834695e-29,3.4492450075956437e-07,6.0942567285705295e-05,9.718016265005624e-32,1.828561322923977e-07
2,6.795643765671653e-05,,,6.795643766014148e-05,,,6.795643765974605e-05,,,6.094256725764805e-05,,
3,6.795643766271419e-05,,,6.795643765926874e-05,,,6.795643766021715e-05,,,6.094256740718803e-05,,
4,6.795643765937718e-05,4.5270277180984925e-30,6.10558967959986e-06,6.795643765995075e-05,2.157061408160008e-31,1.4171515694188012e-06,6.795643765982708e-05,2.8155030030580214e-28,-3.88904096383402e-05,6.094256766234798e-05,4.7855176002720775e-24,0.004024631659846581
5,6.795643765973197e-05,9.96455899788899e-31,9.781648453881877e-06,6.79564376593462e-05,1.0728924576404058e-30,-1.4671125199679885e-05,6.795643766242597e-05,3.871479151063637e-28,3.776185465455101e-05,6.0942567215670124e-05,3.809681963449082e-24,0.009772771221682172
6,6.795643765921908e-05,5.761680626050563e-30,9.81522256959626e-06,6.795643765996784e-05,9.711566010391633e-30,-1.1205431118120302e-05,6.795643765849335e-05,1.342759123760035e-28,6.758719781773821e-05,6.09425672201201e-05,1.197977717736303e-25,0.0018782299695918828
7,6.795643765988358e-05,1.397915532780226e-32,-7.413386445092869e-07,6.79564376599066e-05,1.1089043239351032e-29,4.918971849624393e-05,6.795643765803035e-05,7.83521940377817e-31,9.066639539208249e-06,6.094256731556663e-05,1.6446627691588438e-26,0.0012850826458323977
8,6.795643766008862e-05,3.541102897449019e-30,1.4045711530714265e-05,6.795643765976035e-05,1.9847858233180004e-30,4.417064374296228e-06,6.7956437671582e-05,1.520811761794354e-27,0.000353278478407568,6.0942567528999944e-05,5.946534170285426e-25,0.007852474105814081
9,6.775739167892612e-05,2.3395091345050964e-12,-6863.503403692746,6.795603108803519e-05,1.400419423470225e-17,-12.191138459880337,6.795641172967204e-05,1.540005183202482e-16,-16.63823854190775,8.788650368079593e-06,4.5377651748347424e-08,-1577566.1322240902
10,2.1161312383073523,4.674603953036156,58206766183.55198,6.795699821160886e-05,6.969568887344568e-16,-13.036795078874285,6.795700329823082e-05,7.219396831492946e-17,-0.8081291215138626,0.00021011242200802147,3.0774245489802607e-06,20481447.735483453
11,4.997483875524793,2.932212843210352e-11,103172.73697311647,6.795646795288855e-05,1.1113261479933455e-21,-0.5348106076275366,6.79564400710476e-05,1.2695719771162116e-23,-0.06152018683489861,6.0874516023758094e-05,1.1523184393949934e-13,-472.36129340331473
12,4.9974892394337616,6.60351252587381e-12,8154.342512416714,6.8092050370201e-05,2.6403629199764063e-13,3911.3387893212807,6.795739437601881e-05,2.2672908207839394e-16,9.065173297906023,5.7776924906158176e-05,1.8843633232046708e-09,-136282.05448027025
13,4.997561559350494,4.026168867801249e-07,3886413.3407654027,2.498466321070254,5.192557134577593,52469017851.38551,6.79563184451063e-05,7.65768652492208e-16,5.344216934638988,0.00046981973283482604,5.221950248128899e-06,22565921.68867744
