signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.79564376595674e-05,9.030526925110283e-30,-1.4305742147637114e-07,6.795643765983621e-05,3.4946561954587494e-30,4.476075768526074e-07,6.795643765978183e-05,2.877446283191591e-30,4.6987984126988987e-07,6.0942567287151784e-05,3.797225022187131e-31,4.2816055649660895e-07
2,6.795643765997937e-05,,,6.795643765683644e-05,,,6.79564376627584e-05,,,6.094256725938041e-05,,
3,6.795643765929018e-05,,,6.795643766255358e-05,,,6.795643765734291e-05,,,6.094256740872782e-05,,
4,6.795643766030086e-05,8.799266570968644e-30,-8.065934099008751e-06,6.795643765980956e-05,2.5180735635365225e-30,6.666068783904399e-06,6.795643766037925e-05,2.772759395822679e-28,-4.397350605345495e-05,6.094256766389376e-05,4.7814836520383554e-24,0.004021513711909672
5,6.795643765931107e-05,2.082382210432421e-30,2.141944225629739e-06,6.795643765976268e-05,3.7743958897182865e-30,6.459884203218047e-06,6.7956437662925e-05,4.310695883521009e-28,2.8781601201938006e-05,6.094256721772954e-05,3.8096815111477045e-24,0.009775080926516147
6,6.795643765983326e-05,2.336846709235318e-30,-1.4922659207834095e-06,6.795643765936296e-05,4.8952647178292585e-30,-7.154589371849364e-06,6.795643765812537e-05,1.4306700279652925e-28,6.832794413771355e-05,6.094256722161098e-05,1.2014958261386719e-25,0.001878134709500876
7,6.795643765924118e-05,3.213524655423348e-30,-8.119647151123703e-06,6.795643766065868e-05,7.649710186620683e-30,1.2763443768461844e-05,6.795643766099541e-05,6.151322538680304e-30,5.43646100289558e-05,6.094256731714912e-05,1.6388565919115195e-26,0.0012888010752377433
8,6.795643766005862e-05,2.285038551340336e-30,5.439126606896321e-06,6.795643766007056e-05,2.9210644694602548e-30,2.0257379262884084e-05,6.79564376699848e-05,1.2735725553800205e-27,0.000337992260316358,6.0942567533315516e-05,5.517096161000172e-25,0.007927016805800324
9,6.775740742076341e-05,2.3393282526658077e-12,-6863.033179676704,6.79560310867488e-05,1.4003650780460127e-17,-12.191256576659804,6.795640990156825e-05,1.5396286639124364e-16,-16.683150703006614,8.790097230960138e-06,4.537586052081705e-08,-1577524.9512103612
10,2.116131260274797,4.674603903716095,58206765743.61432,6.795699820712816e-05,6.969565110174771e-16,-13.03652194773068,6.795700414434142e-05,7.213737735126167e-17,-0.8553226632473269,0.00021011239066494252,3.0774249106742974e-06,20481451.670052983
11,4.997483875527433,2.932216832877167e-11,103172.73262914679,6.795646795252437e-05,1.1113172917356999e-21,-0.5348318735096251,6.795644005486807e-05,1.3070250019279135e-23,-0.06170332266095815,6.087451868135653e-05,1.1522201935734148e-13,-472.3318828372659
12,4.997489264319144,6.045323441621943e-12,8307.616542672919,6.797718346018678e-05,1.0387795998299364e-14,736.7512724743774,6.795609717904646e-05,8.000557615295437e-17,-16.334216408932082,6.11391673820613e-05,2.9966415077220243e-12,7016.109214751843
13,4.9975897740915,5.563910449538417e-07,4506146.249265357,-0.00025005038847474915,4.273624178074888e-07,-10772198.566103507,6.795741033207593e-05,7.553492841356266e-16,9.649635958879461,7.67822813487187e-05,1.9822947935817247e-07,1731071.8502121996
14,2.6734510927919644,3.825299881830915,-51116423838.62388,2.623359162475042,4.505884232165438,53283562290.17922,6.795579708306376e-05,9.387445022467762e-17,28.689690654355015,2.690657383819869e-05,8.109554638437276e-07,3043347.6458356283
15,0.0005749235093914668,6.515878564138063e-07,-15436756.315833107,4.997485754669557,4.3540343576195857e-10,13590.46322415884,6.795643714549698e-05,4.2994268050461995e-21,0.21865363536365004,6.0663871679873585e-05,5.870220659653446e-14,4724.761660008923
16,0.0002375432257997786,3.402955072019927e-05,6895589.231655781,4.997489530039772,2.686909002606958e-11,-2800.8211422833606,6.795906319007418e-05,4.1176525340646784e-16,61.45004228166528,-0.000675518370510336,1.597029387969715e-06,-18342749.2433997
17,3.0136279284034515,3.960294679088395,55126113074.81896,4.997489739871897,6.767403581808161e-13,3461.972658154997,6.795318158165063e-05,2.0944680554220536e-16,123.40009424471137,0.0015972577064074342,4.346768469824248e-06,5625987.110079606
