signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.795643765957591e-05,5.549099997628377e-30,-7.060350747892383e-07,6.795643765976482e-05,7.438773320458534e-30,3.145576332834418e-07,6.795643765958088e-05,6.081461200566635e-31,-3.1149526870179516e-07,6.0942567281023256e-05,8.578085629835265e-32,1.3328872234613937e-07
2,6.795643765999894e-05,,,6.795643765990304e-05,,,6.795643765673022e-05,,,6.094256725554936e-05,,
3,6.795643765972272e-05,,,6.795643766239314e-05,,,6.795643766236106e-05,,,6.094256739154754e-05,,
4,6.795643765974147e-05,3.3127644355706866e-30,9.954667803541017e-06,6.795643765945681e-05,4.499644664944904e-30,2.9069173842369914e-06,6.795643765812269e-05,2.336834363067283e-28,-3.183341728924514e-05,6.094256761808791e-05,4.480068878008772e-24,0.003124034796718418
5,6.795643765949001e-05,3.299985832863923e-30,3.2024402618972873e-06,6.79564376598123e-05,2.149152634449952e-30,-2.8519510157785485e-06,6.795643766236833e-05,2.4996207122583547e-28,-9.517596988031589e-07,6.094256724559964e-05,3.746595821904516e-24,0.009146775091741341
6,6.795643766035179e-05,3.4345081242089087e-29,1.2083804840198605e-05,6.795643765981586e-05,5.824594684178864e-30,-7.371735415083408e-06,6.795643765897751e-05,1.7612654266941442e-28,6.454927752909654e-05,6.094256720804653e-05,2.007694202717651e-25,0.0024268815644723587
7,6.795643765873594e-05,3.172315748716295e-30,2.9820203305118572e-05,6.795643766021324e-05,1.5925649173834818e-30,8.284998582406713e-06,6.795643765875403e-05,3.769091450007429e-30,4.1083953252706344e-05,6.094256729622668e-05,7.667452894294028e-27,0.0012698828153353018
8,6.795643766000947e-05,5.9491308856016845e-30,1.0780875525419127e-05,6.795643765973202e-05,5.923631287853533e-31,1.8728612603235876e-07,6.795643767150445e-05,1.5772312079487768e-27,0.0003431696792345623,6.0942567519293055e-05,5.912137751258631e-25,0.007593475035492177
9,6.775740199942837e-05,2.339390452718829e-12,-6863.195153473808,6.795603107585039e-05,1.4003960659291267e-17,-12.191589322452103,6.795641452432636e-05,1.5354098876671187e-16,-16.538033497211096,8.789691010200494e-06,4.5375872446861953e-08,-1577534.3908754354
10,2.116131241600591,4.674603911086048,58206766009.9088,6.795699821608132e-05,6.9695662914488425e-16,-13.036999882330884,6.79570012452932e-05,7.21788014800034e-17,-0.7138353241792191,0.00021011229221726578,3.077425213242811e-06,20481454.885159764
11,4.9974838755217785,2.932204888304067e-11,103172.70825883048,6.795646795244941e-05,1.1113871017302063e-21,-0.5348424398999684,6.795644008912909e-05,1.234780222867676e-23,-0.06136670751811052,6.087451806116219e-05,1.1522429160001316e-13,-472.33897375571945
12,4.997489362027493,5.8007553778900586e-12,12089.605732614675,6.801449223425308e-05,3.5061611193130687e-13,1084.963105215187,6.795719942682988e-05,3.7962136615343026e-16,-1.0922798727587486,4.2487218122593956e-05,9.523088321790477e-09,-649762.5300612123
13,4.997513619279781,2.2390827081778704e-07,1585122.5268781958,2.5779932134180714,5.177010162150084,53447560437.257935,6.795668215382426e-05,7.174760953541761e-16,-1.9087267110667983,0.0005248924021290419,5.18153172011528e-06,22892223.135810513
14,2.954092775934153,4.200022231162949,-49795480748.63935,4.9974787915807175,7.554237946382313e-11,195491.03900432854,6.795598865720868e-05,1.6340434068104577e-16,14.580908116804267,0.0001921337679288412,8.557887469361741e-07,-10095357.50317922
15,0.0006416295545035901,9.123349864839891e-07,-17939146.637480978,4.997489216825526,7.440060034330059e-13,10595.86885823344,6.795643639037784e-05,3.001342873000248e-22,0.07180543697021909,6.0648931389364166e-05,1.311164201665087e-13,5970.681624823122
16,0.00036249484108285103,4.318171855612858e-05,10803055.721941922,4.997489776219967,3.1174795914516086e-13,2079.2640629930656,6.795789977621663e-05,3.95797470912421e-16,46.356875435930945,-0.000594858509141489,1.0076497837419985e-06,-15449316.5003952
17,3.0154296082456047,3.9579714876747323,54888839770.96411,4.997489966627612,1.0462397598460597e-13,-771.5277994495848,6.795531238531909e-05,1.3210330439343485e-16,71.68395465395336,0.0008299412988681426,2.8497811185742715e-06,-24214200.5282869
18,4.997486212358976,2.7813680871906083e-09,-490690.49008232495,4.997490062595007,4.386611644538364e-14,-1748.4584731310583,6.795643886990519e-05,3.0321471468770746e-23,0.04653743692830462,6.24658906822304e-05,2.1177841283311527e-12,-28941.04108073532
19,4.997492144450775,1.1172357809131687e-09,-77235.7119272813,4.997490142331063,3.413008279457023e-14,132.28964080260394,6.64987039983904e-05,7.63807330597785e-12,-60471.28959335385,-6.276202437539093e-05,4.807678286399845e-08,-4938003.27979431
20,4.997496648498309,5.436148618339685e-07,1425043.5652827022,4.9975135219625395,6.137289686865851e-07,1942884.0910846733,1.474768130010587,3.044351299663636,33383623430.907585,0.00044090695958821024,1.5953843238165046e-06,7207536.722938312
21,3.1051082278823423,4.163583075928625,-49452656401.76449,3.0897885109711347,4.181431526906127,-49537883994.09754,4.9944306653973785,3.12813599438068e-05,82755066.51245336,0.0005231508148739546,5.8234484614759355e-06,-26826408.447552882
22,0.0009255051064218176,9.69077542095272e-07,-16721536.993734444,0.0009108303281311507,9.40725062571812e-07,-16498515.208119348,4.997486735956389,3.442117163237334e-12,35577.46454099267,6.018899136825631e-05,2.5813258394839524e-13,9104.343163551903
23,6.86135597435727e-05,7.264174081767221e-11,10203.364577889626,6.89194177554936e-05,7.239403442646458e-11,5251.664098703465,4.997489468044461,9.787056675086405e-14,4342.036879660565,6.083737298686121e-05,2.2336600319127317e-14,498.03228527652203
24,1.3284093328623268,3.7725656712909545,42440159997.4122,6.795959612838392e-05,4.966346284644152e-12,1573.6933324720023,4.997489864520409,3.7034238707015483e-14,1453.8180026336356,0.00013490932267731174,2.3619689318023097e-06,15040446.154289218
25,4.997420235385582,1.2288304210103343e-08,1081902.0402089471,6.795492951324042e-05,1.5397751689259523e-12,9184.941543148696,4.997489998189594,3.9714787853635756e-15,262.11488607718275,6.818651255981232e-05,2.144634082792596e-10,-229956.76569214827
26,4.997493488514417,4.293458342575296e-09,-139419.9091014755,6.787496855400767e-05,1.2444841666914144e-12,1307.7717960840578,4.9974901031001355,3.356429303085201e-15,279.80613244319505,6.09951363547067e-05,1.8918039809371756e-13,-118.24748033548259
27,4.99748950892371,7.044296250667886e-11,16457.722140667945,1.055177656873163,3.057237775342522,31582852214.595337,4.9974901415613635,3.247403561574414e-14,336.70427419526595,2.9486935651859283e-05,2.5727475182045794e-06,6158808.572321399
28,3.8727346696094185,2.906932540549921,-35863890711.720566,4.996599973769375,7.685657906165472e-06,36900049.535821594,4.997490157382815,1.3803777070365e-15,200.8159596169727,0.00018972352521113965,8.349522313300745e-07,-6450116.800861755
29,0.07351727761608304,0.014449145612913133,-1844577507.2526076,4.997488080828148,8.546905381231604e-13,19729.72829674493,4.997490175771299,2.993148662094515e-17,87.7719660084761,5.8604545130508107e-05,1.0731553109424298e-11,48955.74999778133
30,7.982276213141841e-05,2.9442121871977826e-10,-332802.08431327855,4.997489644425931,4.646647314646091e-14,3345.259158361729,4.997490191516122,8.971024372311335e-17,113.71253341092813,6.085534753162224e-05,4.049294544312633e-14,-38.462044432319
31,1.623300712303137,4.283281555698681,48487734514.338554,4.997489914351627,3.32469313706444e-14,1136.0274928164856,4.997490200287635,1.1906011472550744e-14,32.79352021225483,0.00010730394717895023,2.87800360343093e-06,8821901.225086344
