signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,2.20631403309405e-05,1.5528072198511953e-24,0.00028379425935865014,2.2063140508787628e-05,5.427968722614931e-30,5.305867629796261e-07,2.2063140508248586e-05,3.2451476894701715e-30,-6.750795401672965e-07,2.7738431486224976e-05,2.9761421530602515e-20,-0.05649040678071083
2,2.206314057095718e-05,,,2.206314050772183e-05,,,2.206314050774311e-05,,,2.773839892397992e-05,,
3,2.206314050357615e-05,1.1567883042169327e-27,0.0006523446038372345,2.2063140508354946e-05,2.2401504549756313e-30,-3.086060284118185e-05,2.2063140509801977e-05,6.241651601404752e-30,1.924686508842634e-05,2.773839597110777e-05,4.1436363624466714e-24,0.04268135502558135
4,2.2063140507368624e-05,1.93653978319782e-28,0.0001375555323108096,2.2063140508452928e-05,3.2979933623576846e-30,-2.361056867568122e-06,2.206314050294865e-05,1.5487670348199504e-27,-7.076429534868342e-05,2.773839581184314e-05,1.2842577343443056e-23,0.025773955805000852
5,2.2063140507264696e-05,3.886910265842602e-29,-3.246615175269164e-05,2.2063140508395882e-05,1.4830704138157316e-30,-7.027085728713564e-06,2.2063140509516645e-05,5.122042597403418e-28,-0.00033578876701396667,2.773839561101685e-05,5.90315881504932e-24,-0.012211015855803389
6,2.2063140508863725e-05,1.9236624560722728e-29,-2.1405111595310442e-05,2.2063140508744876e-05,8.586954166097439e-32,1.209778760209014e-06,2.2063140508275925e-05,1.185738865732943e-27,-0.00016266009732065633,2.7738396005957438e-05,3.7203421242367386e-24,-0.0105643536350267
7,2.206314050881181e-05,2.477044298386333e-31,-5.365194922432046e-06,2.2063140508727197e-05,5.699253473716849e-32,-4.52123165420503e-06,2.206314050947308e-05,7.128263396239932e-28,-0.0003007680230824315,2.7738395923702776e-05,5.670794739351485e-25,-0.008462660166258166
8,2.206314050846696e-05,6.921448572810781e-31,3.628665963612983e-06,2.2063140508645994e-05,1.1345265533252595e-30,2.2138525390633593e-06,2.2063140507657015e-05,8.25028506764231e-29,-0.0001232807362252377,2.7738395815591977e-05,6.243508499392763e-26,-0.0033592251767006406
9,-0.0009142803025340565,1.3008156216407331e-05,-29752540.092665184,2.2059240010914534e-05,6.643147422685591e-16,-137.51013573055167,2.206406488860405e-05,2.5615229215279773e-16,27.49603638084078,-0.0005732248169435223,1.280573807550711e-06,-16655874.709366115
10,3.355654747874383,3.8938485306029227,34273005005.133068,2.206989403846136e-05,3.4942970174254714e-16,-176.92814955068974,2.206235358646534e-05,9.54900276344111e-17,30.748270189311878,0.0010885899770931371,1.6703651830156637e-06,-17080343.838568922
11,4.998120023501999,3.73293038213186e-09,90101.3459992938,2.2063131275839556e-05,1.1190640732724865e-21,-0.024378806757260056,2.206311457988694e-05,8.092164687986366e-21,-0.1398427529532241,2.7763057285230865e-05,7.817744456415417e-15,234.69383460343533
12,4.998101999542306,4.2611021015425584e-10,79538.83075645153,2.0091122834448096e-05,4.6441487878732275e-11,-94443.77753860176,2.2064097320021458e-05,3.231143331652972e-15,72.09428527893209,-0.00011720460818176582,1.7780468674348348e-07,-6679208.164296538
13,4.8181421054104,0.40253734805388175,-7462620464.86001,3.535099691631044,4.497342137782456,41806236308.047134,2.2062648371734713e-05,1.869050250623875e-15,12.96417310684005,0.00021567853536790858,2.703245628266773e-06,5836619.186088412
14,0.4004619487877972,0.19265791925527237,-8982856705.381073,4.998101401351408,6.067013910185057e-12,16152.699188187435,2.206318487826944e-05,2.4691739744734526e-19,-0.2718337720656781,-8.545843982931669e-05,3.023117299658757e-08,2855811.7938951617
15,5.0612159764359995e-05,2.9411946189715066e-08,-615387.7407091779,4.998103065169392,4.885852765781479e-12,-1450.7923746904291,2.2063132519133205e-05,1.935478763544695e-21,0.051897906207384145,2.7669774972542372e-05,4.945588696454022e-14,662.5920555133388
