signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,2.8500678377899758e-05,1.9090946949944903e-30,2.6202393265458276e-07,2.850067837790355e-05,1.537082342029498e-29,3.8832508249401993e-07,2.8500678376996695e-05,2.312173262076264e-29,-6.231182986319639e-07,3.508079473553395e-05,5.559385362848869e-31,4.5054363624726445e-07
2,2.850067837621999e-05,,,2.850067837644085e-05,,,2.850067837922124e-05,,,3.50807947025798e-05,,
3,2.850067837936338e-05,,,2.85006783791171e-05,,,2.85006783764277e-05,,,3.508079485011582e-05,,
4,2.8500678377797477e-05,3.0265028269896144e-30,7.426851694615295e-06,2.8500678377623354e-05,9.118626542868892e-30,4.112143933556588e-05,2.8500678382376384e-05,2.1643756098420278e-28,9.572914918092745e-05,3.508079522322008e-05,5.7763169894907624e-24,0.008339563347196186
5,2.8500678377019314e-05,3.5694125284621255e-30,-1.3257053368723415e-05,2.850067837727141e-05,1.637161525928725e-29,3.568665950078204e-05,2.8500678373657376e-05,4.605563636941527e-28,-1.5385250239991156e-05,3.5080794208591196e-05,3.828687380246077e-24,0.011508752177796644
6,2.8500678378223402e-05,2.6988603881913347e-29,1.3977591699330998e-05,2.850067837688141e-05,3.2271981853767815e-30,1.183025071859035e-05,2.8500678381137934e-05,3.174705127848167e-28,-2.626787730848157e-05,3.508079493414911e-05,1.0236448403869502e-24,-0.0037338470329838194
7,2.850067837772308e-05,6.415727509579506e-30,8.871875068456878e-06,2.8500678377774373e-05,7.626942282549681e-30,-1.80652212404251e-05,2.850067837557487e-05,1.067976652496365e-28,3.934700745155963e-06,3.5080794689478105e-05,6.692557600314386e-26,0.0013280188462836075
8,2.8500678377479646e-05,4.950175348551088e-30,6.048056318578888e-06,2.850067837729203e-05,5.830766554699568e-30,-3.407314820135428e-05,2.8500678373144396e-05,1.1925084355788362e-27,-0.0002977580824726975,3.508079472541346e-05,2.644254558084946e-25,-0.0014489919289948298
9,2.7778086544902396e-05,8.893203173121289e-11,-15309.045793045188,2.8504562669207895e-05,1.5127801542696784e-16,126.21487439895105,2.8499601381608936e-05,2.0079277999719316e-16,-53.87844876633791,-0.0001525798532610303,1.7046209970875587e-07,-5657482.37267179
10,2.5650039475258692,4.708262154242676,59775376720.927475,2.849777275338587e-05,1.2048400601997933e-15,173.99267405344588,2.8502884811374e-05,1.118367905852867e-16,-81.97990943161342,0.00032943154891130024,3.912401084984582e-06,17187576.043224152
