signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,0.0001329050179357,7.636688559420031e-30,-5.99406620722646e-07,0.0001329050179355769,2.846926393914251e-30,-1.7869472746495538e-07,0.0001329050179351,6.701661621522821e-30,-2.038664479364867e-07,9.855120970790891e-05,1.2854710031446109e-24,0.0006130591300782094
2,0.0001329050179352,,,0.0001329050179385,,,0.0001329050179358,,,9.855121009195646e-05,,
3,0.000132905017938,,,0.0001329050179317,,,0.0001329050179368,,,9.85512101497492e-05,,
4,0.00013290501793614,2.6029967665597463e-30,1.7085406933583235e-05,0.0001329050179368,2.0449941312244968e-30,-3.4706134839404397e-06,0.00013290501793547998,1.7317700911278527e-28,-2.0287050317854803e-05,9.855121052352132e-05,3.673403366409036e-24,0.006053976978755991
5,0.00013290501793621428,3.661423786389763e-30,1.3945512008763127e-05,0.00013290501793601428,5.634753896251185e-30,8.388012725111832e-06,0.0001329050179341286,4.555359134694463e-28,-5.9069816119010554e-05,9.855120987961661e-05,3.323738131674931e-24,0.005348586200907806
6,0.00013290501793525,2.6703364314675785e-29,-5.4810070751707395e-05,0.00013290501793657502,1.0491625302649952e-30,8.112468442809385e-06,0.00013290501793555002,1.3029662633596914e-28,-0.00012964402278498177,9.855121011713411e-05,1.2775289486555332e-26,-1.6625154296725835e-05
7,0.00013290501793745,1.340327987489583e-29,-3.482384557009482e-05,0.000132905017935875,1.5225156828957065e-30,-1.752180906753099e-05,0.000132905017935925,9.809207370298046e-30,-5.234267953345665e-05,9.855121007811987e-05,9.159567770886732e-26,0.0030219961345076063
8,0.00013290501793628183,2.0536176009448123e-30,2.2694904458850178e-05,0.00013290501793635455,3.380716690918882e-30,-5.476073752538608e-06,0.0001329050179400273,2.7260823990816084e-28,0.00017744143818396461,9.855121016503202e-05,1.719350340337186e-25,0.0058083357316294475
9,0.00013289341267568847,3.4163253513277885e-13,-838.9322927283229,0.0001329045250775808,7.4529888689338e-18,-15.363231538137406,0.00013290540745601926,6.642766831908645e-17,12.897047794305408,7.482893567494495e-05,1.2657695676130533e-08,-735561.1132064693
10,2.0150180710406453,4.602576163722366,57611689194.69973,0.00013290548445151748,5.728373311429887e-16,-21.0995715242294,0.00013290487327380753,7.638553197941745e-17,28.814843881202084,0.00021228888517461748,2.8816770533685876e-06,21267435.736155327
