signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,0.0002482349777496462,2.305270087573844e-29,5.793822494290048e-07,0.00024823497774866926,8.170605142794975e-30,-9.101067096822124e-07,0.00024823497762120774,4.769125044643843e-30,2.019646479830756e-07,0.0001610493948145154,1.3474260955408137e-31,-1.4446846112887148e-07
2,0.0002482349777454,,,0.0002482349777518,,,0.0002482349776215,,,0.0001610493948562,,
3,0.0002482349777555,,,0.0002482349777452,,,0.0002482349776211,,,0.0001610493947641,,
4,0.000248234977747775,1.324929460042864e-29,4.320775196919583e-05,0.00024823497774860003,6.913283747121817e-30,-1.68130936418594e-05,0.000248234977623325,5.194938722985275e-29,4.865303686427575e-05,0.00016104939488817503,2.2408366566046937e-24,-0.0045117687718957905
5,0.0002482349777494,3.3366808275742065e-30,-1.8478984318307802e-05,0.00024823497774911427,1.4181048493141116e-30,-8.20438807877752e-06,0.0002482349776222857,8.592314491103174e-28,0.00013772327024859927,0.0001610493948762857,4.549267176613801e-24,0.0035258585733891185
6,0.00024823497774938,1.4927068436461643e-29,-4.39879214373449e-06,0.00024823497774966,5.457962687151271e-30,6.263080858007748e-06,0.00024823497761788,3.165771822957229e-28,0.00012738295611627263,0.00016104939478812002,1.3992969363855546e-25,0.004729378476748815
7,0.0002482349777486,6.100201808230314e-31,-2.5223777908970815e-06,0.0002482349777476,5.880102441408285e-30,-1.1771957358311802e-05,0.00024823497762203336,4.763336123368969e-30,-2.7187467480054642e-05,0.00016104939467976667,2.5218947422365736e-25,-0.0035161410811965868
8,0.00024823497774899994,4.857772350003329e-30,-9.452416684266732e-06,0.00024823497774959007,1.6876726250639793e-30,8.63020575803275e-06,0.00024823497760565,2.5681019481249237e-27,-0.0004859456908624518,0.00016104939449139,1.526760559190594e-24,-0.012834335874408444
9,0.00024828064564302914,9.60116151232981e-14,1046.9090662175686,0.00024823455672004166,5.109307949097843e-18,-13.202170224587878,0.0002482360710365042,2.4526002513382184e-17,36.1380057293153,0.00015662785829411758,1.0532273047662849e-09,-139900.43251408654
10,1.8862664294114726,4.455548225279485,57509704483.60566,0.0002482352016967675,4.71350148239027e-16,-30.004518409485204,0.00024823432104295747,7.717151909932996e-17,50.85816574125991,0.00025981306173440704,2.6859180592718404e-06,22537049.100282714
11,4.99685189806008,3.1092427006287552e-09,175961.64667845407,0.000248235110195,1.365362535892991e-20,-1.961436244354439,0.0002482349933939333,1.0017416772081595e-21,-0.15324073482160921,0.00016117519287063334,8.658340027289734e-14,-3158.772873060615
12,4.996879284171893,8.878932416873838e-10,-67088.66286016422,0.00024824631750449,1.73652136490504e-13,-224.38983662910863,0.00024823629753787,1.5815268619565108e-16,28.155470076322693,0.00014514133222520386,4.874939611713654e-09,-500977.25147404027
13,4.996849088622515,2.3535068056914632e-08,-1421111.9917771914,2.4418116903785316,5.117243379776231,52795184453.321846,0.00024823520005009614,5.871518936417608e-16,15.68220980272853,0.0013511402825929124,9.56190850888907e-06,29140439.05830771
14,3.4228357416928334,3.5855259411647977,-50797061452.28907,4.9968539815248745,3.911346588316684e-10,502909.6601662377,0.0002482348387777829,1.120577211581868e-16,9.903315921280871,0.00035884679715658164,9.868126157487781e-07,-10626615.075929888
