signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.795643766025814e-05,3.305758113355687e-29,1.6820116603122753e-06,6.795643765958927e-05,3.789161185073983e-30,1.9212685362256874e-09,6.795643765979818e-05,4.0857600028971155e-30,-3.8628882240447815e-07,6.094256728350559e-05,6.819563423525983e-29,-3.8626785493690915e-06
2,6.795643765961701e-05,6.242593401867482e-30,1.2274222580644155e-05,6.795643766018768e-05,2.929949238654339e-30,3.44255570563182e-06,6.79564376599552e-05,2.688828242891169e-28,-1.96460444221109e-05,6.0942567629722055e-05,4.301898584345022e-24,0.002973628982521614
3,6.795643765946875e-05,4.297975373583532e-30,2.263234152673952e-06,6.795643765957119e-05,3.1148221378743936e-30,7.432193877280625e-06,6.795643766019945e-05,2.496705317319889e-28,-5.038282167460126e-07,6.0942567216002093e-05,1.93037760522352e-24,0.0012734738835602
4,6.795643765991135e-05,2.5409613905137856e-30,4.26849834921325e-06,6.795643765985718e-05,3.3754155871953955e-30,2.039370587646359e-06,6.795643766855588e-05,1.1800014053522419e-27,0.00011592215997097064,6.094256747673912e-05,4.524642125318014e-25,0.0024148946152524157
5,1.3226074363569569,3.959927355641634,22134046701.83303,6.795663554269491e-05,4.367846947648857e-16,1.950103395697072,6.795677633177543e-05,9.803124187809585e-17,0.8595556547735351,0.00013461603713687132,1.931290483393677e-06,4195037.425556649
6,4.997488447610086,1.317001219013944e-11,30808.16138160604,6.800482145759787e-05,2.9064925688322595e-13,472.84869607775204,6.795713093118693e-05,2.948360274670385e-16,3.9578761636246638,4.5549957418052154e-05,7.928763398535406e-09,-213878.05139892694
7,4.161568092390638,2.7106523873661605,-16768515914.774511,3.567782821341311,4.466162697849768,22204813421.22898,6.795638258808115e-05,4.631309442821909e-16,-2.190363903211399,0.0003887646802318244,3.4088068249014074e-06,683190.4338697699
8,0.0004304253878932026,3.259597243120609e-05,-137715.6790978116,4.997489639781228,4.603691757847947e-13,3940.5208293825,6.79575284954174e-05,2.8354328289095337e-16,17.697910069853872,-0.00043497371630769167,8.369547004947948e-07,-6746117.707311172
9,3.2631826703620277,3.890831403090617,19688139020.211006,4.997489978624113,9.641056279988166e-14,219.47397877258413,6.795545861595123e-05,1.152639502326673e-16,18.642227096044195,0.0007340035842715394,2.54858552286743e-06,-8180878.964423186
10,4.99748636955187,3.608937668727741e-07,191196.38908889788,4.997497099631565,4.0685671743110735e-07,397929.5446500325,1.066642451465377,2.6052703359652267,15430300925.339926,0.00030852116303685417,1.211345175615867e-06,4159335.3953717104
