signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.795643765895176e-05,5.288360337100656e-30,-2.009747032028345e-07,6.795643765953642e-05,6.636289819791334e-31,2.492682678635792e-07,6.795643765939618e-05,1.412608516339253e-29,-6.282577320844908e-07,6.0942567283287314e-05,5.714512093450939e-29,-3.583265764588595e-06
2,6.795643766011882e-05,1.8206788172047587e-29,-1.887715642409375e-05,6.79564376593969e-05,5.2407985074623204e-30,1.4499271661195212e-06,6.795643765919445e-05,3.4616255469290346e-28,-4.3628696690198346e-05,6.094256762579918e-05,4.1416459525731534e-24,0.002959314520471224
3,6.795643766026268e-05,2.09332316588952e-30,4.551747073504086e-07,6.795643765949743e-05,1.820797217077611e-30,6.15068877298904e-07,6.795643766076555e-05,2.3332209520292035e-28,-4.589139466268909e-06,6.0942567218032045e-05,1.955000485008322e-24,0.001229593728271046
4,6.795643765972772e-05,6.934212904231807e-30,6.553102871803599e-06,6.795643766039287e-05,3.1509243292093937e-30,1.1144574322293846e-06,6.79564376687307e-05,1.223882541449192e-27,0.00012133870461654123,6.094256747637624e-05,4.526007944091827e-25,0.0024155894102504518
5,1.322607436357691,3.959927355643941,22134046702.178986,6.795663554262753e-05,4.3678470038211664e-16,1.9501051064452424,6.795677633195799e-05,9.803125475688596e-17,0.8595571931486273,0.00013461603709810099,1.93129048121121e-06,4195037.425456855
6,4.997488447610086,1.3170012183814142e-11,30808.1613693003,6.800482145780737e-05,2.9064925640276477e-13,472.84869713945034,6.795713093162835e-05,2.948360298504179e-16,3.957873542922853,4.5549957414135684e-05,7.928763395719736e-09,-213878.05144324905
7,4.161568092392815,2.710652387358457,-16768515914.75191,3.5677828213412823,4.466162697849707,22204813421.262882,6.795638258802728e-05,4.631309819501658e-16,-2.190363501180042,0.00038876468009410977,3.408806820053835e-06,683190.4348958813
8,0.00043042538817018557,3.2595972450247025e-05,-137715.6744690134,4.997489639781229,4.603691775291404e-13,3940.5208508515166,6.795752849541747e-05,2.8354329158996993e-16,17.697908157293256,-0.00043497371605514694,8.369546991018423e-07,-6746117.703798097
9,3.2631826703696305,3.890831403053574,19688139020.217022,4.997489978624115,9.641056250883947e-14,219.47399752679138,6.795545861572737e-05,1.1526395891678189e-16,18.642214652115776,0.0007340035840501108,2.548585517679068e-06,-8180878.958213929
10,4.997486369551736,3.60893766405789e-07,191196.3867409765,4.997497099631426,4.0685671694039226e-07,397929.5422338902,1.0666424513315178,2.6052703354738886,15430300923.593473,0.00030852116316053133,1.2113451738878436e-06,4159335.398920486
11,2.6842532191009356,4.7499487616112335,-26363068164.694,2.6718337349938532,4.753470728267999,-26325002791.262787,4.994694161726238,3.358514524981695e-05,37503774.61231367,0.0004457447563875729,5.006119205685678e-06,-8958722.596704967
12,7.011729372476518e-05,4.631889719353901e-11,-18278.07491019132,7.017468071572933e-05,4.4982437463117856e-11,-16801.152035098057,4.997489497188872,1.1238617828131006e-12,2287.9220581684153,6.085243024009249e-05,5.702472746060089e-15,507.5598859338548
13,6.803357861118912e-05,1.500519087259821e-12,-657.2957837051606,6.786586750101722e-05,2.0684683640291183e-12,763.5329057318904,4.997490123132481,5.42079306485309e-13,101.52107345646996,6.096064685663833e-05,5.29068948356505e-15,183.37847309893877
14,6.795004637061485e-05,4.4995578386561403e-13,369.6540487316869,1.7397045384294334,4.794508988098281,28652795956.25549,4.9974901331700385,1.6510358395245502e-13,432.8460848412203,0.00012824189833568294,1.6884240696410093e-06,3997170.2859445564
15,6.795345446253938e-05,9.772502632603303e-14,516.2969539801305,4.9974909674499735,2.917188629709279e-09,-101541.62180683468,4.997490189403548,2.642040937346414e-14,386.23990580752957,6.092057891249002e-05,1.5681111462088e-13,-964.1937471902501
16,1.9611616483951015,4.892428307964795,32681150335.39442,4.997490082450515,1.893378805083303e-11,-3581.6181746442485,4.997490200055155,1.7227367983899362e-14,105.6400798032001,8.937808481273837e-05,2.6004787683776153e-06,3240385.515617141
17,4.9974479526071285,1.8355658959826325e-08,-688226.8842935875,4.997449229755394,1.7513604260271374e-08,-747645.3860217603,4.997449281874174,1.7465493901503535e-08,-747268.8261843211,0.2595309015366859,0.1567974447832633,4136579632.5742636
18,2.6043296962184135,4.721966059157518,-29279261205.71144,2.6043545994064146,4.721970504119592,-29279328842.514904,2.604464886974501,4.721917179715411,-29279575497.312267,3.9440064511960897,1.160539882278371,13967571879.990068
19,0.018142011022183116,0.005078706778214743,292748730.1751186,6.687690740534424e-05,4.919315055684583e-10,31503.299600995626,6.687945245579517e-05,4.927177252953868e-10,31398.182360095558,4.997170323154928,4.222224743387852e-05,-6617156.568891888
20,3.699302698006216,2.9873334501003446,13954760303.704197,6.813684122067168e-05,2.471098152468258e-11,2286.5166963741785,6.81391882198613e-05,2.5425220015235823e-11,2321.6165564784073,4.985871963074919,0.00011669203967045938,109941645.1809147
21,4.994797731926064,0.0005988429062811511,-59196492.35261201,2.258042493607989,5.563388237862393,27358879967.991203,6.793146500966957e-05,4.6967906160381614e-12,588.8433908808262,4.995944245376169,0.00013484638472971173,32035827.20132531
22,0.9476285910683626,1.7885414611550405,-9139817686.368845,4.9974650465960355,5.205308029785564e-10,195820.1899571345,6.795932783334933e-05,1.3530448514147026e-13,-195.09582532214782,4.999417469787683,8.569406240826926e-06,-20472505.380622797
23,1.6606434508143997,4.580769035755627,30269565590.018265,4.997489068189465,2.8927081985197816e-13,4586.75403327544,6.795757552953889e-05,4.0235834091979635e-14,-150.1204571978359,4.991432285680978,0.00012716562494969274,-44882867.767102905
24,4.997487385753099,1.2295826532194254e-09,18684.229795155523,4.997489855184173,3.693723912400378e-14,938.3294458603202,6.796054136947287e-05,8.683073043592961e-15,-41.6313426195092,4.997307364882738,7.312501009625425e-14,-423.18334384761647
25,4.997488633272886,5.3098664240323446e-11,3252.8893470450657,4.997489977889234,2.3493258321425954e-14,397.65669708618606,6.794971357057998e-05,5.984171954785779e-15,-8.782379982313856,4.997307419386303,1.0231023340623802e-13,-62.80799807325807
26,4.997489950644262,2.2181198889450282e-11,-3118.666875067803,4.997490093459015,1.5066486346439084e-14,105.25946041021771,6.795210648631029e-05,4.797718918353702e-15,-125.7446048870858,4.9973080328262975,3.085826322299678e-11,6326.369958863133
27,4.997490000154138,6.363127865154602e-12,-2437.761713064696,4.997490121725162,7.32552046306773e-15,34.15620043300046,6.796216166959791e-05,2.630763890205788e-15,-126.04574054292692,4.9973056389854875,1.8766531479027066e-11,23800.239102167885
28,4.99749010471107,2.97187617572085e-12,-745.9111203581696,4.99749015919165,3.2954917107098513e-15,49.813449320681315,6.795553315018142e-05,1.4822860836857327e-15,-15.531451038114236,4.9973075358878996,2.18070351264455e-11,3452.659220412489
29,4.997490183159175,9.229773529216212e-13,-12.799577373073108,4.9974901791672695,9.076705239045253e-16,52.49322924167528,6.795733378688228e-05,3.4640846052009143e-16,-3.4541596698185857,4.997307403133119,9.444085216897555e-15,121.78902677738857
30,4.997490154095693,6.433512150060457e-13,1054.2604756197113,4.9974901893967445,6.143743816241418e-16,70.97089151597841,6.795624366757086e-05,2.58265140514981e-16,19.178232737513408,4.997307256451226,1.5125346479456958e-12,343.8620232926022
31,4.997490179475901,6.005430724562497e-13,2634.1752025760275,4.997490201793892,5.866380224555062e-16,108.4910581499919,6.795643892032042e-05,2.17083681557701e-16,49.159800234930266,4.997307394822189,8.720734345602662e-16,-99.12271079165382
32,4.99749018162309,3.04730878512068e-14,50.216134446535165,4.997490227031616,2.4500234071417373e-16,9.945281875584781,6.795570275793227e-05,9.968093907785246e-18,0.7137793852114064,4.997307396086818,3.70833708347477e-17,-1.3376173504603708
