signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.795643765983597e-05,4.419024332886859e-30,-1.4589964734938668e-07,6.795643765959693e-05,3.934428880468398e-30,6.026896877443801e-08,6.795643765934794e-05,1.0149652205052584e-29,-7.922966649081424e-07,6.094256728345521e-05,6.842780981200734e-29,-3.939934409336097e-06
2,6.795643766020942e-05,3.718111250182586e-30,-1.0615630850509154e-05,6.795643765928166e-05,1.2984082285775747e-30,7.45480635377984e-06,6.795643765936406e-05,3.2062896294854715e-28,-4.4802136269939576e-05,6.0942567686024816e-05,5.401543949963064e-24,0.0036103715257205134
3,6.795643765958976e-05,8.381547160378839e-31,2.2976286448105017e-06,6.795643765962597e-05,2.250858183230923e-30,-2.9665728235095952e-06,6.795643766040549e-05,2.547582774444041e-28,-1.074173572912345e-05,6.094256720353283e-05,2.3340486643592117e-24,0.0015063186543387388
4,6.795643766003348e-05,3.665798482909538e-30,1.3114497458021872e-06,6.795643765969151e-05,3.5654673281384155e-30,-3.86078516437321e-06,6.795643766811686e-05,1.215713936805365e-27,0.0001140218565085009,6.0942567477055886e-05,4.543376035121408e-25,0.002410630890893646
5,1.3226074363572793,3.959927355642314,22134046701.834095,6.795663554288061e-05,4.367846980015652e-16,1.9501112480058282,6.795677633134445e-05,9.803136075924502e-17,0.8595495577444714,0.00013461603735649547,1.9312904826598806e-06,4195037.4273458375
6,4.9974884476100865,1.3170012191409345e-11,30808.161372664978,6.800482145773623e-05,2.906492567448542e-13,472.8486951559244,6.795713093178111e-05,2.948360281497881e-16,3.9578703702302485,4.554995751539631e-05,7.928763356627352e-09,-213878.0500850138
7,4.1615680923902545,2.7106523873669683,-16768515914.764156,3.5677828213410963,4.466162697851096,22204813421.25688,6.795638258858707e-05,4.631317367935845e-16,-2.1903624550594816,0.0003887646803640368,3.4088068276795667e-06,683190.4342544524
8,0.0004304253878360143,3.259597242756231e-05,-137715.68000908624,4.997489639781229,4.603691794825304e-13,3940.520870724485,6.795752849507866e-05,2.8354330252994473e-16,17.697902495826924,-0.00043497371620633237,8.369547002967512e-07,-6746117.705814316
9,3.263182670360396,3.8908314030987476,19688139020.24521,4.997489978624115,9.641056317984957e-14,219.47395999037118,6.795545861514132e-05,1.152641453150217e-16,18.642229168659952,0.0007340035845406897,2.5485855175084446e-06,-8180878.966003787
10,4.99748636955175,3.608937664562673e-07,191196.38700434007,4.997497099631441,4.068567169946505e-07,397929.54249752045,1.0666424513462849,2.605270335527234,15430300923.801641,0.0003085211627584111,1.2113451777904076e-06,4159335.39146191
11,2.684253219077023,4.749948761548265,-26363068164.430126,2.6718337349684145,4.7534707282074145,-26325002790.994793,4.994694161726444,3.358514524212845e-05,37503774.60936978,0.0004457447577456189,5.006119220156815e-06,-8958722.615766143
12,1.1105321070978935,3.4746886963143617,19222294715.853672,6.82409217134432e-05,2.3485750240852318e-11,-4710.159503978586,4.997489761829068,8.725507417633006e-13,2371.6642961446414,0.0001369010879546455,1.649786059275269e-06,3942921.832448536
13,4.997484660881039,4.137230713341597e-10,83356.65525715462,6.800684420507093e-05,4.732466709126189e-13,-322.81716972908384,4.9974900452763364,1.1605298110100028e-13,656.6949824532818,6.1013534261656013e-05,1.1682896467416217e-13,-760.3684840606853
14,4.997489709600095,6.164638912052954e-12,4320.442336115569,1.6782380961350767,4.610733962078668,30199121347.38477,4.997490139697935,4.6196722345810353e-14,103.8153655023931,9.66027217737067e-05,2.238455374261528e-06,2657779.279898327
15,4.997490206619659,1.543980731604355e-12,-221.87163587911425,4.997485161499504,2.11638669153139e-09,41921.21573198263,4.997490192410935,6.102058144428849e-15,54.39746644845917,6.114600322549168e-05,5.396807349297338e-13,-5015.096703830602
16,4.9974900513928135,1.4385159746372614e-12,-10.28838342344508,4.997492970924513,1.1738453580227993e-09,-1796.7689970223357,4.9974901957330635,5.673986932946432e-15,43.59997562911313,6.0702702162648354e-05,2.4065769137317354e-13,-311.5683191273506
17,4.9974481816333745,1.8193515313549126e-08,-725070.8132319882,4.99744763670082,1.8347389542517966e-08,-698015.3930984621,4.997448185161536,1.814399792396611e-08,-724137.2183163532,0.24141019106409475,0.15112832311622892,3677731243.218824
18,2.64151913485681,4.742485561203498,-29377184414.07803,2.641510333761588,4.742483360144645,-29377160831.888382,2.6416165570989665,4.7424301764001715,-29377371675.116554,3.9176916547678093,1.1953669196097072,14198922152.69891
19,0.018399757946677014,0.005177748360435063,296321320.2707218,6.748403297333356e-05,1.9776148278225725e-10,16298.844272196215,6.748099674109386e-05,2.0062888129444265e-10,16493.203145116007,4.997150903962415,4.2680152325908266e-05,-6916345.863672712
20,3.700735207361922,2.984086319927244,13916249802.32212,6.797791877320382e-05,3.878398667707795e-13,272.3085180953912,6.79726564668706e-05,2.3678453384230964e-13,212.5533225346614,4.9858784057304435,0.00011667454744993379,109716848.53945267
21,4.993998302518069,0.0008650459267506335,-75606911.98548464,2.2651680351311527,5.581493648402245,27170363665.634827,6.795356435105844e-05,3.851256950895359e-14,38.05086825640617,4.996167236316467,0.00013555756842707878,33122063.13922001
22,0.8617815239440891,1.7132629944157713,-9021591863.981092,4.99746662817378,4.888240060789948e-10,192994.15446140172,6.795779641820135e-05,1.0818896665047476e-15,-6.1262721384162875,4.9991966049541245,8.039984725606612e-06,-19916144.511229422
