signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.795643765956107e-05,1.7481054082656332e-30,1.9108954626823008e-07,6.795643765934301e-05,5.9081751307725025e-30,-4.854815728496497e-07,6.795643765958801e-05,6.464019024307882e-31,1.5957247302445966e-08,6.094256728367115e-05,5.60994605421248e-29,-3.598657554918177e-06
2,6.795643766021819e-05,4.4360307287116035e-30,-8.292919924316162e-07,6.795643765936862e-05,3.1128068243684615e-29,-2.2823832358071284e-05,6.795643765975085e-05,3.8790134771552994e-28,-2.7631034188494043e-05,6.0942567619872824e-05,3.8388659264965275e-24,0.0029664926102090207
3,6.795643765960487e-05,1.0579405674962893e-30,2.072170062384236e-06,6.795643766039437e-05,1.652426144252877e-29,-6.562642263742855e-06,6.795643766083543e-05,1.8533547114574289e-28,-1.1836430939481712e-05,6.0942567217969155e-05,1.785601750771092e-24,0.0012257431129607805
4,6.795643766016698e-05,3.780170217822916e-30,5.3417854604604975e-06,6.795643765917455e-05,6.027108751884762e-30,5.18314222590279e-06,6.795643766668658e-05,7.70323651294742e-28,9.75755189799827e-05,6.09425674830008e-05,3.8411281867118133e-25,0.0024778201620649877
5,1.3226074575399998,3.959927417761767,22134046392.477306,6.795663554034196e-05,4.3678478378661843e-16,1.9501197622698163,6.795678197160819e-05,1.0122184225100879e-16,0.8405215570463281,0.00013461610984119766,1.9312887505107563e-06,4195035.40791249
6,4.99748839893788,1.3347582756136371e-11,29745.23043078606,6.795644714682536e-05,1.2386387230203668e-21,-0.09189484960516518,6.795654499365089e-05,8.205785364875297e-17,0.6914118735036544,6.093663829131616e-05,8.511579105649737e-14,202.6948718124861
7,4.108495333939787,2.850151980664371,-16923773626.798965,6.795651569522403e-05,1.1935765544480665e-16,1.8776974798037334,6.795650767700678e-05,4.639906380532721e-16,-2.509979918183062,6.886345175338174e-05,5.307422868478814e-07,-1430429.488832867
8,0.00033166807721046,2.2830677108796878e-05,-7156901.662604234,6.795611672271324e-05,4.5758866210526797e-17,-3.4656844549545305,6.795839921820963e-05,3.280995319501199e-16,23.942464316961864,-0.0005051696086197382,1.1337915244925878e-06,-7220501.454587367
9,3.3644559774948237,3.798816845166024,15874605797.661705,6.795699251849907e-05,1.6687675646887118e-17,-7.08582235889635,6.795499783942503e-05,4.9752066928760056e-17,21.15691734366761,0.0008745599553486904,1.232937123108622e-06,-6180823.548144496
10,4.997576426796527,7.719912441762016e-07,1768276.5360680292,6.795645254990854e-05,8.441630762479768e-17,5.507143333555707,1.1313385576344799,2.869842992391632,15649637326.35281,0.0003252971338188856,8.489935685114264e-07,4327378.620636068
11,2.22052687735975,4.551573418327587,-22295331390.93426,6.795493764410787e-05,1.722635898773598e-16,23.779723332496157,4.996155258501537,5.878607196043759e-06,16589982.984225826,1.275862607328727e-05,8.229957396645633e-07,-1263488.4303534708
12,0.9516217591378933,3.05083269102376,14465431857.1609,6.795659632473627e-05,3.217362543796959e-17,1.3967294959534076,4.997489731259968,2.1923281722087626e-12,3180.4931340606645,0.00012359918217513927,1.6206977115963178e-06,3103463.995877668
13,4.9974705283575025,8.22566924709187e-09,356084.6551144129,6.795644303392682e-05,1.2070710923641824e-21,-0.10596379438681663,4.997490095968044,3.016570959626818e-13,398.9151411406068,6.329273328801273e-05,7.25154143172923e-11,-42678.06195509569
14,4.494176522745521,1.5897807160155084,-10286070718.655344,2.8523837688945615,5.543999587938031,26989795953.696243,4.9974901477475395,6.922709370026459e-14,209.44256234414487,0.0003906771044855303,3.2209881408874173e-06,2482170.9458439145
15,0.03502426942801447,0.009137795730876,-603304027.0936544,4.997489042403628,1.2079650924549633e-12,9670.290061719075,4.997490187018701,1.3981403881604641e-15,90.33174267887301,5.97439280422786e-05,9.715957909063978e-12,18738.846744467908
16,1.9609992721655007,4.892234753544725,32640130990.706284,4.997489920929328,9.537819033106956e-14,1186.9866478598142,4.997490201041176,1.2008964528356737e-14,51.43633573972816,0.00010224970248782667,2.5854471954907358e-06,3258261.9781268155
17,4.9974471675705825,1.8752590834951075e-08,-702175.3753266484,4.997448443119605,1.7803730829283777e-08,-763481.9955594178,4.997448502437376,1.7771926631580222e-08,-764110.9779856694,0.26067687449842797,0.15797805454835412,4172380933.365763
18,2.5992748341049587,4.734305080879208,-29046784938.966766,2.5992994176529782,4.734310064652906,-29046852988.294483,2.5994120990692284,4.734259953399305,-29047114654.300743,3.9469097236994988,1.1598162530506435,13824002569.560364
19,0.0162262792190234,0.004455865782237052,267241840.0942856,6.80726825922223e-05,2.263548191642912e-10,5754.633735317227,6.807219220334247e-05,2.2558505215334781e-10,5775.054529509331,4.997266407440456,3.8005703997954394e-05,-4826765.897541877
20,3.6967875555519325,3.0302795765777923,14272311761.548042,6.776755723080093e-05,2.6268332188580908e-11,-1203.8109457092323,6.776815741292695e-05,2.6026329375101273e-11,-1195.3140211195152,4.985984293557737,0.0001189381535337068,111763429.42887951
21,4.994470915101623,0.0007058710006399814,-66212884.6644144,2.3090109778071075,5.630311521666103,27929204374.748207,6.797512123588872e-05,4.9235598937557525e-12,-726.475414151964,4.996391634998256,0.0001364836630926109,37101567.84844144
22,0.8643450509352333,1.7108183079634673,-8851605210.39158,4.997466735268649,5.105936756195357e-10,192379.97533661607,6.796733183745726e-05,1.2822474952696358e-13,-15.577961020456504,4.999228166846868,8.095506195312937e-06,-19749580.752059773
23,1.6615731905555278,4.562183428902509,30754233830.173637,4.997489054186588,3.1294112237342193e-13,5368.546778279038,6.795420071291893e-05,3.8316618812184365e-14,136.305588184921,4.991334582678532,0.00012703210239108095,-49501142.30250544
24,4.997486763029294,4.081357836994757e-10,33081.074313827456,4.997489846089854,5.412853480726808e-14,1140.1337810575249,7.152432611302425e-05,1.6364276919262152e-10,40046.11868721255,4.997415566355826,6.91032052279798e-08,842294.4751256765
25,3.697907249981027,3.8216144900629065,-26628908025.654434,3.6981967222255707,3.821018081469407,-26625989021.588818,3.2495761327693153,4.432366311315796,28408056208.780163,5.0031936237968555,0.00013793557541290388,1822758.1846109766
26,0.00010029616381040083,2.3087306104352638e-08,-838290.4879919229,0.00010028108499031644,2.3242823656065215e-08,-837786.0919880528,4.997485490362314,7.559280976980607e-11,61701.37091835041,4.997343491466477,1.7462075429153344e-08,620573.144018365
27,2.378502883786752,5.0989714202724405,25484569485.527664,6.807774239481791e-05,6.465110795688807e-12,-1225.1191182352109,4.997489045117082,6.106132475455831e-12,4793.396062709051,4.990192407970446,0.00013692596847589012,18494229.378255807
28,4.997473907928874,4.6063583221060926e-08,-240262.15029388925,1.9506216690022284,5.240625995949778,27543475163.010605,4.9974898563927415,7.880373889113514e-13,1000.8789184426071,4.993776190833855,0.00012478464053581272,-5542051.229034285
29,1.9694825308309463,4.548607265523948,-18565307375.903328,4.997437939193435,3.154210757889365e-09,463144.9858579819,4.9974899921540805,2.805882831510936e-14,317.812153485094,5.001815382217364,2.7092506569793116e-05,-42040759.656499945
30,1.619310782161159,4.481028475159372,28173943386.95203,4.997488956347832,1.5004228445402255e-12,5131.839127966627,4.997490090340924,5.574877538077414e-14,87.096587362962,4.99131907629183,0.00012191009945214283,-47326250.678683445
31,4.997483250641973,1.2946794839958443e-09,-56952.09276868281,4.997489776281648,3.2427066948221753e-13,-807.8957913344162,4.997490133278216,7.675256116249326e-16,22.15686912092649,4.997307402906283,2.051445867624132e-13,1492.5745367546895
32,4.997491800012332,5.710713197425958e-11,-1552.614626708269,4.997490176526371,1.2679684804277563e-14,34.36307979534357,4.997490208818504,8.18123398725535e-16,19.107648391713784,4.997307363986576,1.3411300088531762e-14,26.281994732490883
