signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.795643765958541e-05,4.553700390307096e-30,-6.649109839529502e-07,6.795643765959365e-05,3.0747751073223467e-30,2.524074146890328e-07,6.795643765959902e-05,7.526810218283773e-31,-4.068280438133985e-07,6.094256728363092e-05,5.595996041246477e-29,-3.5786924877578972e-06
2,6.795643766014445e-05,7.637413721885053e-30,-3.108755572827285e-06,6.795643766052292e-05,4.2981779545597806e-30,-5.470340922712809e-06,6.795643766020644e-05,1.806345418608812e-28,-2.942244880112452e-05,6.094256761971265e-05,3.838365483696352e-24,0.002964739970574008
3,6.795643765952143e-05,1.8886290109606096e-30,1.7068911421623478e-06,6.795643766009096e-05,1.1471935423887346e-30,3.4886269767947722e-06,6.795643766008e-05,2.4563703473794344e-28,-9.296348339758436e-07,6.0942567217957235e-05,1.786884107968792e-24,0.0012244664673130019
4,6.795643765970477e-05,2.215790111000998e-30,6.359409582941801e-07,6.795643765994954e-05,2.852626939774583e-30,3.6060677177345527e-06,6.795643766861325e-05,1.2304640443257763e-27,0.00011885444601476592,6.094256748658192e-05,4.782960599322688e-25,0.002527829934493354
5,1.322607436257039,3.959927329269753,22134044520.22341,6.795663553654976e-05,4.3678452881677584e-16,1.9501292754515536,6.795678151214323e-05,1.0101833762680408e-16,0.8443405603330966,0.00013461654325879022,1.9312884370106293e-06,4195033.559924316
6,4.997488447328868,1.3174367923726178e-11,30812.235931709925,6.80045631727526e-05,2.9059675295132296e-13,470.0043046192744,6.795653414980216e-05,2.6606165500708025e-16,-3.607546667753499,4.5499756841757295e-05,7.951413290887627e-09,-214730.21638338323
7,4.161431276427499,2.7112312866840647,-16770564199.651812,3.56773508822892,4.466429928065691,22203830423.500607,6.795655009808363e-05,4.903709732335379e-16,-6.24559000867563,0.00038858819175000036,3.4081609606058294e-06,684137.895488263
8,0.0004154769914639647,3.1536516898025675e-05,-394354.72919339023,4.997489639733826,4.5290951599457794e-13,3939.39649449359,6.7957543499374e-05,2.981106863748582e-16,17.91005234720078,-0.00043437466781891287,8.360767274660995e-07,-6738853.1338049695
9,3.2627760388118303,3.892851481769212,19689329925.873222,4.997489978635112,9.490355903692139e-14,221.74304299284233,6.795544733404037e-05,1.1547531551496967e-16,18.84897739248752,0.0007335540690269638,2.5499960905958302e-06,-8170289.869096974
10,4.9975440925390116,5.681983414174919e-07,1234015.7205120723,4.997490133432681,2.911870318535874e-14,-91.934897879888,1.1091838323334404,2.8041527027632918,16364919197.952518,0.0002295267386608587,7.8172069378499e-07,3184645.698931294
11,2.5326231650563265,4.734085498535453,-25739730226.8678,4.997490165108163,2.128285942278634e-14,140.17866399562536,4.995861839295129,8.5250176286019e-06,21095478.368721444,0.00020892775636037098,5.920717040196346e-07,-2990182.0969128166
12,0.9543284941448971,3.0091717826100846,14708464872.13463,4.997490202466865,1.2878137220673151e-14,31.237076750913598,4.997489712208607,1.051785749154846e-11,3713.95055978514,7.941220594277635e-05,1.9163959258160158e-06,1625506.021845707
13,4.997466491400402,5.3335174770462914e-09,412922.15806386876,4.997490214458429,6.292024289506003e-17,42.384966985798116,4.997490121355067,1.1177110934882667e-12,303.57485841603625,6.35182087536122e-05,2.3956272215791518e-11,-39988.88886209765
14,4.459540946623454,1.692846965475516,-10041070027.906693,4.997490220350099,1.1136469041759122e-14,4.383454475575324,4.997490142607235,2.1164825723061915e-13,290.87692654495737,0.00012332232942988768,3.965371524631746e-07,-43725.55893746632
15,0.02537332613014806,0.005894373026045147,-506765827.81477004,4.997490228474248,2.2838448648680215e-18,15.573290598812063,4.997490183366087,7.703993572270597e-15,121.73583129167828,6.0080005593402675e-05,4.651115798994946e-12,14936.197318784221
