signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.79564376595655e-05,4.728377852700473e-30,-3.0797482393017854e-07,6.795643765957027e-05,6.356721624070301e-31,2.708852284399969e-07,6.795643765897941e-05,4.326657895121574e-29,-8.194356824909206e-07,6.094256728367397e-05,5.598778766445422e-29,-3.567616101416178e-06
2,6.795643766030269e-05,4.0720112982946294e-30,-9.098879340837264e-06,6.795643765925053e-05,6.2094303564910465e-30,4.976845128471965e-06,6.79564376599333e-05,2.7535048477499315e-28,-3.3106393597042895e-05,6.094256761972925e-05,3.8368568978309e-24,0.002966221818976445
3,6.795643765986601e-05,4.352027907858427e-30,-7.257001032862558e-06,6.79564376596594e-05,2.054114720628182e-30,-3.68974803833964e-06,6.795643766031299e-05,2.938963768338691e-28,-8.08228604914908e-06,6.094256721799753e-05,1.7862805460989967e-24,0.0012243795243838773
4,6.795643766002267e-05,2.2212640940174445e-30,-1.8389586375373032e-06,6.795643766018023e-05,2.173660429073461e-30,1.9998339719789655e-06,6.795643766879067e-05,1.2299134256930465e-27,0.00012206654118241181,6.0942567486602916e-05,4.783981476260429e-25,0.002527598047508221
5,1.3226074272967572,3.959927399081475,22134048377.081512,6.795663554457107e-05,4.3678527481094057e-16,1.9501025836546482,6.795678136210537e-05,1.0101398119436848e-16,0.8446887934047393,0.00013461542293859586,1.9312897546244707e-06,4195038.623841007
6,4.997488447355549,1.3174249127053315e-11,30811.978026446104,6.800447075723187e-05,2.906630106328206e-13,468.6817347113647,6.795654127856178e-05,2.6695852485454995e-16,-3.521603629170378,4.549164560973799e-05,7.95661120175963e-09,-214824.97374728773
7,4.161442465486275,2.7111838518506657,-16770320871.958662,3.567736947269743,4.466419678993407,22203918151.59356,6.795654878777523e-05,4.903999439965799e-16,-6.216527043776952,0.0003886078430028149,3.4081695040365132e-06,683880.7810871472
8,0.00041695236619763477,3.163690291407075e-05,-369392.30111419695,4.997489639744204,4.532031103202496e-13,3939.392610016194,6.795754294008516e-05,2.9783822759738754e-16,17.905024172106874,-0.0004344334536168787,8.361631026776122e-07,-6739538.362552257
9,3.2628135440165975,3.892663187909145,19689231851.491142,4.99748997863214,9.496189704369935e-14,221.68925892474812,6.795544749893779e-05,1.1547855793951994e-16,18.848236040653685,0.0007335974041857497,2.549862681805883e-06,-8171302.244357828
10,4.997544065008555,5.681120929579615e-07,1233508.175144597,4.997490133431274,2.9134660509976486e-14,-91.99144554670403,1.1092102046454624,2.8042097014555907,16364876183.857746,0.00022952908575170163,7.817530376158856e-07,3184573.943132649
11,2.5328075626850843,4.733846070152034,-25740305201.817028,4.997490165106008,2.128663940259743e-14,140.17529187918842,4.99586167651568,8.527694207268652e-06,21098565.856079657,0.00020889570028470692,5.919805227144004e-07,-2990148.6859716005
12,0.9543200264759643,3.009141716921548,14708253553.78296,4.997490202466988,1.2878511149157575e-14,31.233818064715344,4.997489712204566,1.0530508522232472e-11,3714.3903088981924,7.941813147683981e-05,1.916396376318436e-06,1625554.9054650776
13,4.997466491604503,5.33161512568654e-09,412909.6456517977,4.9974902144576445,6.295584126711683e-17,42.37852721255426,4.997490121393845,1.119104134867086e-12,303.43849738347075,6.351817650450723e-05,2.3956747576970584e-11,-39989.77884018078
14,4.456642612814226,1.7075949722249828,-10096651753.069565,4.997490220279502,1.1128291189833092e-14,5.563832066986766,4.997490141270239,2.12050881697017e-13,291.19836002163237,0.00012399815304651023,3.955242690103075e-07,-34565.5449293206
15,0.02528012223521285,0.0052028429158986955,-437572478.3387674,4.99749022840916,2.511597286785416e-18,15.53679247329095,4.997490182314542,8.16631592647947e-15,112.95211380398769,6.009415630764e-05,3.278921262029402e-12,12482.996383627145
16,1.9681796831224572,4.89130929403903,33205426245.711823,4.997490231280966,1.6916149204128647e-14,-15.955883816320277,4.997490201696873,1.3808333099229116e-14,-1.4357734681500836,0.00010457958973455203,2.5662371849541287e-06,3366496.6308874236
17,4.997455551785572,1.5430707671594272e-08,-610194.2618213384,4.997457171829328,1.4277022650888257e-08,-655332.7883983338,4.9974571220167,1.4263187700650659e-08,-655854.3028896282,0.22491500521997052,0.1389034553760335,3912885547.4094434
18,2.638066583453765,4.747826512949312,-29210373041.22441,2.6381123567557094,4.747838598166281,-29210500610.010727,2.638200053979059,4.747780796237615,-29210664911.797344,3.9173957002124102,1.200949603364182,14139032590.6359
19,0.018188585713045404,0.005133952202736214,290605792.70308256,6.720179599017344e-05,6.610056288329831e-10,29034.492111436477,6.720141140233438e-05,6.616945267777311e-10,29076.347064495963,4.997244636610982,4.324529524997604e-05,-5759600.371937242
20,3.7029169928656995,2.9829419633266196,13734786489.248766,6.80301709811478e-05,4.154670566429493e-12,912.0080381237798,6.802927710677604e-05,4.085513005793292e-12,906.7389150240978,4.985895945416292,0.00011672291700387138,108388851.15684131
21,4.994887069208983,0.0005691411490105096,-57000973.74254996,2.222044683356163,5.584081647630449,27202353780.71796,6.794655033524773e-05,7.276589773512756e-13,216.6791819853622,4.995944396497126,0.00013063471435284348,30190725.656889677
22,0.9516754923921205,1.8025341529413903,-9189426826.43107,4.997465004686753,5.240480471397374e-10,196428.4659857456,6.795779675866452e-05,2.2866010198681593e-14,-84.07098703602094,4.999424522199617,8.665885199842864e-06,-20573423.35622525
23,1.674261253010465,4.554953497124992,30406923109.268448,4.997489069765477,2.5148476585938063e-13,4631.500711157197,6.795666204135956e-05,7.52145962677618e-15,-67.90271589431691,4.991179439368769,0.00012878404852501282,-45946975.43365614
24,4.997486971837158,6.647914518873441e-10,21256.57428186835,4.997489857217345,4.0820846368033446e-14,769.0558980629512,7.031836320848633e-05,1.0807645763808194e-10,33163.73686898469,4.99746679060149,9.352105009612006e-08,1490372.0622882796
25,3.7229161475495887,3.7753340948033456,-26205579105.115707,3.723202155633158,3.774724881420322,-26202604590.244373,3.194237187808068,4.509181670499479,28653487778.670887,5.002946904169551,0.00013707575421748695,5897429.989491235
26,9.962841011419494e-05,2.6997539375721567e-08,-803124.2809629391,9.964002210540552e-05,2.6996720340313086e-08,-804147.030655874,4.997485441895119,8.74172098818105e-11,62558.58873580639,4.99734667612973,1.850215119815763e-08,669610.6673893584
27,2.320425024571569,4.99605131383858,29099761802.442085,6.804790397232916e-05,7.1324310538723765e-12,-2872.44557469421,4.997488991690098,7.757093335079846e-12,3607.4213315832494,4.989891321015456,0.00013948200665594025,14862083.109772118
28,4.997473918576974,4.5272132060980965e-08,-199759.31669135916,1.9240496994563885,5.224562930253636,27305954956.26895,4.997489873424454,9.46275678779656e-13,371.51535576804196,4.993855076734507,0.00012228368298524482,-6371512.932210254
29,2.072808901903137,4.69529178992768,-19423989236.9574,4.997435392543007,3.2407800220993022e-09,484054.52496740443,4.997489990303794,3.581947960791355e-14,300.44854227584534,5.002061821200412,2.8436311777946976e-05,-44112232.13972878
30,1.6005493798929489,4.434950873426995,28093964767.979992,4.997488953920726,1.2584400596658594e-12,5760.4937824334875,4.997490088979701,5.5285853136065076e-14,132.59754533514428,4.991335773642268,0.00012020553396991851,-50955344.78226513
31,4.997482078584917,1.062869524719492e-10,89422.97277734848,4.997489766980057,3.1338790974826176e-13,2849.5704728395053,4.997490132396663,1.568374811845855e-15,232.51715181420835,4.997307393740404,1.3572045434607455e-13,1166.0070028236719
32,4.997489731339425,1.6203931370029512e-12,457.1308203860623,4.997490119165654,3.57485110018822e-14,90.99934618965906,4.997490205256584,1.195534836262158e-15,22.55070773336246,4.997307371316735,6.8229681468088455e-15,20.02835889484437
