signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.795643766001727e-05,3.006373434526882e-30,8.904036977645109e-08,6.795643765937139e-05,7.613469995634791e-30,-1.9188034767771136e-07,6.795643765982559e-05,3.6474498176858896e-30,5.004786758478837e-07,6.0942567283718956e-05,5.785765111673358e-29,-3.5690332083206437e-06
2,6.795643765966277e-05,3.2795051826672605e-30,2.935535668670541e-06,6.795643765979626e-05,8.323773997252377e-32,4.455994974223602e-07,6.795643765951941e-05,2.6824742262786145e-28,-1.0349647074812996e-05,6.094256762882236e-05,4.013668186789072e-24,0.003062059903488461
3,6.795643765963694e-05,9.077335684948658e-30,-3.2861076284048503e-06,6.795643765996057e-05,5.6766127834650274e-30,1.6045845563462537e-06,6.795643766046546e-05,3.3895919553688694e-28,-9.341665474256644e-06,6.094256721621736e-05,1.859160062440119e-24,0.0012593267063370972
4,6.79564376594997e-05,7.412000789569702e-30,6.03448329578078e-06,6.795643765981401e-05,2.7572441864958975e-30,3.460986632440621e-06,6.795643766813157e-05,1.1909343997480538e-27,0.00011581052530829593,6.09425674771269e-05,4.504094226245215e-25,0.0024055406222505417
5,1.3226074363573814,3.95992735564302,22134046701.774853,6.795663554260903e-05,4.3678470135076087e-16,1.950103262357391,6.795677633145687e-05,9.803135965532286e-17,0.8595484343465132,0.00013461603735515507,1.931290482652829e-06,4195037.427352568
6,4.997488447610084,1.3170012208583699e-11,30808.161402007012,6.800482145764008e-05,2.906492563589072e-13,472.84869616694925,6.795713093149561e-05,2.948360187559157e-16,3.9578733638633667,4.5549957516409796e-05,7.928763356272033e-09,-213878.0500732971
7,4.161568092395475,2.710652387345629,-16768515914.72544,3.5677828213409835,4.466162697851571,22204813421.337418,6.79563825885167e-05,4.631317319374602e-16,-2.1903601391079235,0.00038876468036561757,3.408806827732813e-06,683190.4342560681
8,0.00043042538866368014,3.259597248409887e-05,-137715.6662021038,4.997489639781228,4.603691820277135e-13,3940.520857683216,6.795752849509137e-05,2.8354329302437933e-16,17.697903933868798,-0.00043497371623565174,8.3695470035154e-07,-6746117.706146201
9,3.2631826703828395,3.8908314029859845,19688139020.21283,4.997489978624114,9.641056226911892e-14,219.47397287731445,6.795545861555732e-05,1.1526415163449518e-16,18.642231484799265,0.0007340035845696002,2.5485855173663565e-06,-8180878.96660747
10,4.997486369562426,3.60893803696298e-07,191196.57409918407,4.997497099642392,4.068567560610835e-07,397929.7334447569,1.06664246197242,2.605270374551584,15430301051.063213,0.00030852115664580014,1.2113451776724284e-06,4159335.267181048
11,2.684253201517874,4.749948718442642,-26363067945.34952,2.671833716599648,4.7534706865388445,-26325002569.56804,4.994694161882792,3.358513955986768e-05,37503772.31134209,0.00044574474109104143,5.006119174927927e-06,-8958722.574821392
12,6.754461482225352e-05,2.561310490232867e-10,21055.365328284897,6.772790774035226e-05,2.2555211790338536e-10,19168.735086929795,4.9974898017428355,2.0037996564143137e-12,2309.1141142347824,6.089151060397649e-05,6.871132743504014e-15,380.64181024234136
13,2.002516140481477,5.117619014431017,29426826141.60796,6.794954475361201e-05,1.5075203767367891e-12,-100.91925164012832,4.997490053006851,6.162516723221965e-13,924.0982507024415,0.0001426904553310287,1.7752725357413865e-06,3535035.414163901
14,4.272922329002494,2.329393001984201,-15466637739.595139,2.778386248880945,5.493506254465489,29312436899.552685,4.997490145921289,4.1380732769785255e-14,233.08494696246905,0.00020802940836604065,1.935521169322075e-06,575461.6535504912
15,0.0036011395879384325,0.00018361817512368964,-76284749.51176581,4.997489121598119,4.476323612947274e-12,8760.210361555699,4.997490185578318,1.1917486888134648e-15,118.02174717891084,6.0633433111842174e-05,3.200306674725177e-13,4472.674393788222
16,1.982592220780619,4.9175831713417075,31739193306.599518,4.997489935981293,1.0569294140215071e-12,211.5186630332,4.997490201912764,1.0073891297372165e-14,31.666324804871262,9.10279809322769e-05,2.5716612250693256e-06,3116044.537489478
17,4.997443711801199,2.216087211753185e-08,-804287.4242990781,4.997446271572455,1.8925718011609255e-08,-895358.1290376891,4.997446320125847,1.8898713889143598e-08,-895282.3937822847,0.251817379568009,0.1552147476960405,4474304841.212068
18,2.640682718922426,4.742482341717184,-29363355228.03167,2.6407064855415916,4.742487357086346,-29363416588.51023,2.6408123396583676,4.7424341897426014,-29363626783.902264,3.9171701765627573,1.1927981212317715,14185517065.852234
19,0.01796981302230912,0.005084066287605824,288328410.1237818,6.750415864151733e-05,1.945650771126246e-10,16746.962818587388,6.750172597503282e-05,1.9555255394230524e-10,16798.984027029637,4.997241788398093,4.27191991916663e-05,-5723360.484038537
20,3.700449733089866,2.984519638946196,13925220270.097713,6.792785071642037e-05,5.355102361543223e-13,-315.5657358337698,6.792974399733396e-05,4.531500343137787e-13,-286.18019293404075,4.985874591132102,0.00011675782327855678,109803515.23912843
