signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.795643765957756e-05,4.261954340847337e-30,-5.482840196372493e-07,6.795643765979984e-05,3.77567830626078e-30,4.1418559343851915e-07,6.795643765935785e-05,5.90165576049048e-30,-3.781033538302661e-07,6.0942567285695544e-05,7.039785739067773e-32,9.867945823537882e-08
2,6.795643765693153e-05,,,6.795643765966015e-05,,,6.795643765968993e-05,,,6.09425672573617e-05,,
3,6.795643766227815e-05,,,6.79564376569764e-05,,,6.795643765989411e-05,,,6.094256740813951e-05,,
4,6.795643765878992e-05,7.248648830896781e-30,-1.3525616209872047e-06,6.795643765965709e-05,5.853798720142206e-30,-1.4817067907451483e-05,6.79564376594827e-05,3.3471362680828713e-28,-4.554347156983678e-05,6.094256767298757e-05,5.004152755327931e-24,0.004140683898226579
5,6.795643765984779e-05,2.1596071014480215e-30,5.969892425999038e-06,6.795643765933785e-05,2.6548352032589904e-30,8.805880872504263e-06,6.795643766248825e-05,3.365752977823566e-28,2.0095080454572868e-05,6.094256721267787e-05,3.96939967791176e-24,0.009997057965519677
6,6.79564376599851e-05,1.3981351647528616e-29,-7.574763238495596e-06,6.795643765986328e-05,4.189298721673734e-30,5.434036551670124e-06,6.795643765866327e-05,9.500125192168257e-29,3.412941413862985e-05,6.094256721932379e-05,1.213986069690493e-25,0.0018885185055841417
7,6.795643765872775e-05,1.0469773357049254e-29,-4.030268546561724e-06,6.795643766073666e-05,2.507771103827188e-30,3.8939720970896924e-05,6.795643766066292e-05,8.337289308386817e-30,2.1424298730072238e-05,6.094256731613833e-05,1.6946185306473045e-26,0.0012956679548702089
8,6.79564376599287e-05,2.8997962121509318e-30,-1.2468822963949817e-06,6.795643766010721e-05,3.4385049452789225e-30,1.2746161737035794e-05,6.795643767098322e-05,1.4917304038782194e-27,0.00033550205673620124,6.094256751730279e-05,5.612090442915632e-25,0.007515175875160858
9,6.775739783694471e-05,2.3394376194037873e-12,-6863.319415350038,6.79560310852594e-05,1.4003780115009668e-17,-12.191361807547358,6.795647183572288e-05,1.4555123287649944e-16,-14.546779678195357,8.787993153089088e-06,4.537432940261072e-08,-1577572.8834931722
10,2.116131243732268,4.674603929035989,58206762290.78787,6.795699821701101e-05,6.969568980525931e-16,-13.036998910348672,6.795695902887865e-05,7.242914941701432e-17,1.2435070708646607,0.00021011286387414104,3.077428596647766e-06,20481418.484130356
11,4.997483875523775,2.932211052792782e-11,103172.73647631137,6.795646795232919e-05,1.1114286223565069e-21,-0.5348588333178428,6.795644040603964e-05,8.936452612034007e-24,-0.0584517373878243,6.087451860207811e-05,1.1522232484811213e-13,-472.3326838781764
12,4.997489362027348,5.8007529885828756e-12,12089.623067792412,6.801449215846973e-05,3.506166693455035e-13,1084.959309501985,6.795726903692967e-05,3.561409941237437e-16,2.142234220766079,4.248504530018821e-05,9.521859307385197e-09,-649822.5853111559
13,4.99751361956349,2.239091022473748e-07,1585136.059041551,2.577993303478673,5.177010259284619,53447551272.836624,6.795665951906514e-05,6.773020832414758e-16,0.8077252213727752,0.0005248938517293438,5.181530175239158e-06,22892182.828228176
14,2.954091219805803,4.200025025461258,-49795419625.35784,4.99747879158642,7.554238142051898e-11,195490.69958592125,6.79559825782578e-05,1.6400877742601037e-16,14.789127805070471,0.00019213365503817896,8.557897093085851e-07,-10095329.195993414
15,0.0006416367685480955,9.12367657089395e-07,-17939423.906659964,4.997489216823953,7.440170278984192e-13,10595.916418882103,6.795643638142585e-05,2.7237655421291477e-22,0.06899846117927748,6.064892910766319e-05,1.3110570713339305e-13,5970.638827127091
16,0.0003622926842481561,4.3167919380254824e-05,10796774.113489637,4.99748977621906,3.1175371824022636e-13,2079.261636357852,6.795788078964083e-05,3.775318281043794e-16,45.89428771501023,-0.0005948519888606816,1.0076458613404432e-06,-15449208.653716346
