signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.795643765957193e-05,3.2558681128038165e-30,1.4414208156055698e-07,6.795643765958739e-05,3.2947924563419506e-30,-1.1334241837660483e-07,6.795643766003371e-05,6.308446463114133e-31,-1.660553792666275e-07,6.094256728570696e-05,1.095017564702531e-31,1.4506383620301188e-07
2,6.795643765997818e-05,,,6.795643765674366e-05,,,6.795643765983689e-05,,,6.09425672573169e-05,,
3,6.795643765936758e-05,,,6.795643766291773e-05,,,6.795643766297944e-05,,,6.094256740811854e-05,,
4,6.795643765982959e-05,1.4211493092648134e-29,2.7232530659617976e-06,6.795643765889454e-05,2.662421862400477e-29,1.3041082659429214e-05,6.795643765821702e-05,3.497696247813792e-28,-3.5312047003068745e-05,6.094256767295605e-05,5.00410337213739e-24,0.004141919887463238
5,6.795643766029966e-05,1.5458426736440819e-30,6.0055275331625805e-06,6.795643765973638e-05,3.0848172816324342e-30,-8.60172217155942e-06,6.795643766196011e-05,3.9338584967635624e-28,1.3888681145878719e-05,6.094256721285633e-05,3.970369689337565e-24,0.009998210213186882
6,6.795643766072621e-05,5.571218266219975e-30,-6.566989690984235e-06,6.795643765959311e-05,1.0846595251128744e-29,1.8667210631298416e-05,6.795643765842527e-05,1.3358695234250587e-28,5.849491782207301e-05,6.0942567219385495e-05,1.2142838047354458e-25,0.0018882394082588778
7,6.795643766002236e-05,4.551437227931189e-30,3.3611008945846966e-05,6.795643765961143e-05,3.521552451514243e-31,1.516561084901005e-07,6.795643765960498e-05,1.3121712764413305e-29,4.442494030778199e-05,6.094256731616783e-05,1.7056372589416752e-26,0.0012969701300286859
8,6.795643765978752e-05,3.157744671329683e-30,9.154433495472309e-06,6.79564376597769e-05,1.3689630970179367e-30,1.2707916342666895e-06,6.795643767114797e-05,1.4935538832852424e-27,0.00034861822904280835,6.0942567517206576e-05,5.610572321965276e-25,0.007514272516321017
9,6.775739783699686e-05,2.3394376230013335e-12,-6863.319423062874,6.795603108520953e-05,1.4003779583839868e-17,-12.191368180608496,6.795647183570194e-05,1.4555123189013823e-16,-14.546783822241341,8.78799312932718e-06,4.537432943154827e-08,-1577572.884221086
10,2.1161312437322493,4.674603929036642,58206762290.77124,6.795699821737799e-05,6.969568962970993e-16,-13.037000230190966,6.79569590286784e-05,7.242914648844367e-17,1.2434967004639177,0.0002101128638757887,3.077428596586383e-06,20481418.484037884
11,4.997483875523772,2.9322110542138385e-11,103172.73670231465,6.795646795209034e-05,1.1113657090583261e-21,-0.5348318045653281,6.795644040667535e-05,8.931669690801059e-24,-0.05842622904813407,6.087451860204734e-05,1.152223246313729e-13,-472.33268162642156
12,4.997489362027348,5.800752992252921e-12,12089.623071603757,6.801449215860565e-05,3.5061666955504366e-13,1084.9593163363588,6.79572690372046e-05,3.5614099940189293e-16,2.1422221499087257,4.248504530094259e-05,9.521859306972897e-09,-649822.5852891136
13,4.997513619563488,2.239091022521742e-07,1585136.0590967017,2.577993303478842,5.177010259284459,53447551272.76346,6.795665951888772e-05,6.773020695846963e-16,0.8077314317196372,0.0005248938517257303,5.1815301751559e-06,22892182.828156814
14,2.954091219814699,4.200025025445964,-49795419625.68875,4.997478791586419,7.55423814429359e-11,195490.69960986055,6.795598257819964e-05,1.6400877615412944e-16,14.78912498173504,0.00019213365503866522,8.557897092972427e-07,-10095329.196162611
15,0.0006416367685080899,9.123676569113434e-07,-17939423.905133802,4.997489216823956,7.440170310816038e-13,10595.916463443154,6.795643638194334e-05,2.724155139997428e-22,0.06899741607135719,6.064892910767783e-05,1.3110570689121046e-13,5970.638826409254
16,0.00036229268506209864,4.316791943586292e-05,10796774.138845604,4.9974897762190595,3.117537203749377e-13,2079.2616346666905,6.795788078986871e-05,3.775318376456638e-16,45.89430056046678,-0.0005948519888853947,1.0076458613558524e-06,-15449208.65420276
17,3.0154250215124097,3.957992241112018,54888657267.69245,4.997489966628249,1.0462561095335774e-13,-771.5446159884299,6.795531858009869e-05,1.3217762672945641e-16,71.01458854239674,0.0008299375416539399,2.8498000025223326e-06,-24213750.33557697
18,4.997486212405581,2.7818902306559726e-09,-490739.8486848952,4.997490062595171,4.386738496603863e-14,-1748.484672744025,6.795643886194993e-05,6.899316435278547e-23,0.07665454188588758,6.246588481471248e-05,2.1179967826170367e-12,-28941.876783625637
19,4.997492146331021,1.1177454262704987e-09,-76804.76493090615,4.9974901423404905,3.4141263227338195e-14,133.87211717986867,6.650888073371047e-05,7.531755327055394e-12,-60055.62382909502,-6.227620154244911e-05,4.782940361146686e-08,-4919649.081751337
20,4.997484223890875,4.98470562268719e-07,1014219.6881749211,4.997499683768072,5.623941857627532e-07,1487483.7345835208,1.4627992299693429,3.0048883491615155,32999654199.10142,0.00044624589808339303,1.5855296472724473e-06,7405480.529669319
