signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.795643766019996e-05,1.2097546198258627e-29,4.747385752621129e-07,6.795643765935315e-05,2.1762011457154052e-29,-7.524921946653255e-07,6.795643765962097e-05,3.0770186040168495e-30,-4.998601089881841e-07,6.094256728407504e-05,4.7308127094975254e-29,-3.205539701552262e-06
2,6.795643766019496e-05,2.825059508074227e-30,2.60055992478577e-06,6.795643765968532e-05,5.7040216482579855e-30,1.2574399114766915e-05,6.795643765837178e-05,1.8212480363069053e-28,-4.989410904481386e-05,6.0942567603510986e-05,3.812931699932694e-24,0.0026693064114323203
3,6.795643765969575e-05,1.3044435802466006e-29,-1.130440177351828e-06,6.795643766010547e-05,3.06930554899928e-30,4.056429097713817e-07,6.795643766066361e-05,1.752018040273144e-28,-6.789624836238863e-06,6.094256722680709e-05,1.8225464645206772e-24,0.0011371772930693794
4,6.795643766016412e-05,1.1288487161947455e-29,3.5496098793471728e-06,6.795643765968299e-05,2.5022142125513293e-30,9.099618741219258e-07,6.79564376690133e-05,1.2804747588026775e-27,0.00012364619220698575,6.094256747948071e-05,4.736948854761798e-25,0.0025093654990995446
5,1.3226074350295982,3.959927342373954,22134045270.04372,6.795663553884137e-05,4.3678461093182003e-16,1.9501197136673183,6.795678122198135e-05,1.0081850005065937e-16,0.8456878526517015,0.00013461631458866908,1.9312887154123414e-06,4195034.702381863
6,4.997488447609873,1.3170009022791172e-11,30808.16820102692,6.800482152052371e-05,2.9064879873418823e-13,472.84982167790616,6.795707299766104e-05,3.142308389447155e-16,2.9894387504085786,4.5551779337217195e-05,7.929743673175352e-09,-213856.07079621177
7,4.161568727835822,2.7106497127158677,-16768509816.999426,3.56778280355504,4.466162587037429,22204828081.68654,6.795639837569467e-05,4.863706128925294e-16,-2.732571487145191,0.00038876405536303603,3.4088094373282516e-06,683205.0569206752
8,0.0004305769589857559,3.2606324567690425e-05,-135213.4957459817,4.997489639782153,4.603700336159675e-13,3940.516975186619,6.795754284896595e-05,2.972496966151414e-16,17.898446208503138,-0.00043497865885895457,8.369591121627636e-07,-6746170.781917427
9,3.2631866958349542,3.890811213676575,19688129092.652576,4.99748997862357,9.641056573422202e-14,219.48064527595884,6.79554532357483e-05,1.1518214945495849e-16,18.79690452090041,0.0007340068582978435,2.548570236591647e-06,-8180969.344663257
10,4.997495421361206,3.9351767221976605e-07,352438.50411868794,4.997507182402696,4.440572401818051e-07,577194.0580581832,1.0753646227027063,2.640888063541989,15594829464.880274,0.0003045011084586503,1.2175473755218951e-06,4091062.047342096
11,2.6817945442798363,4.743799840364248,-26342394031.208057,2.66856139675391,4.747736344131963,-26301717733.28564,4.994847329577861,2.8045253344434874e-05,35173575.90895621,0.00045998321077892943,5.036618232774931e-06,-9201290.326338453
12,0.9377207277208713,3.0182240365627395,14695146608.426407,6.824172888610102e-05,2.4251022902177646e-11,-4350.998302509185,4.997489747912737,8.699684229052235e-14,2736.5039102534593,0.00011312353132267089,1.6580587275110535e-06,3104082.096936738
13,4.997470355970829,7.499344823326524e-09,355868.4631360396,6.790011806620414e-05,1.2633597525403597e-12,206.49121955902694,4.997490069977637,5.86726989663413e-15,498.89682880727304,6.326608257817222e-05,7.149341660205361e-11,-42034.98948115877
14,4.48729132973505,1.618875796469627,-10407380525.090105,2.8430457155491626,5.546377719411198,26888286141.46969,4.997490148737881,1.827327728315508e-14,164.30104607683964,0.00010217125105099359,1.7739925517763134e-06,1113987.635246586
15,0.025402978624090813,0.005906248442584731,-507150469.61761147,4.997489105260601,8.765756860030044e-13,9609.619341756168,4.9974901860871315,1.2535999728211063e-16,96.54120954943504,6.0079213125189147e-05,4.660808797650604e-12,14939.50728157321
16,1.960719088689288,4.891783856662291,32672677556.68983,4.997489924981107,3.135765811348126e-14,899.286541869546,4.997490200954087,1.0695233036675826e-14,42.044871043741175,0.00010327524296524583,2.5844827868173724e-06,3266487.3277784395
17,4.997488546569151,1.1248099626647681e-09,89048.67439567261,4.9974901309183055,3.576591827403333e-15,107.03732244909223,4.997490216740224,9.383120461485942e-18,33.8823228202626,6.670860881129874e-05,1.25251281321684e-10,34933.302137311606
18,4.022327471704344,2.6500418223794493,-14899957567.03695,4.0223382955200995,2.6500172498314214,-14899830175.328827,4.022363809359993,2.649946240825595,-14899509882.217985,2.5325327006326015,2.884242682370783,23260714566.172794
19,0.04416688889733743,0.01402233909367561,-508831204.6343647,0.02859298607875937,0.010621288958020081,-733803862.3062155,0.028594102493199988,0.010622012907852998,-733832060.4311965,4.984572161324363,0.001584457829570324,307105862.7124867
20,3.697347633747534,3.029316535562242,14231047859.875221,6.845055616725308e-05,1.9656620336124448e-11,-2040.1442075218174,6.845126981850346e-05,1.989213029882511e-11,-2030.9957561693375,4.985924915549359,0.00011924748033712444,111674592.173828
21,4.994849236682171,0.0005685649020326599,-61283550.03760812,2.3308756338388466,5.594784679988847,28784352087.661663,6.793408559584431e-05,3.877562763150144e-12,616.5937899769026,4.995769768677258,0.00013635334702160487,35934085.37185104
22,0.9383273299597488,1.820007300825299,-9211304341.190361,4.9974651360285565,5.322417031338768e-10,197786.527128286,6.795932902766459e-05,1.4058065185051306e-13,-198.23381462492202,4.999368666448921,8.743577822012408e-06,-20650942.69506757
23,1.6670785520284537,4.564758624740884,30881847179.40885,4.997489064614749,2.5874612914046757e-13,4712.730539266496,6.795780297232611e-05,4.256400421409719e-14,-159.38592835482817,4.991198303772474,0.00012830439416898086,-49005346.74120291
24,4.997486837587827,8.669919583071135e-10,14159.74004522682,4.997489858314858,4.605990860142006e-14,720.5663302682265,7.012824314130442e-05,1.330445256837614e-10,24845.371540680568,4.997450604785687,9.875947540511089e-08,1369709.2506753725
25,3.677166621484812,3.824104782262939,-26521278993.46942,3.6774864463546804,3.823373668965931,-26518079047.769474,3.291098769664985,4.369568203849147,28088940189.809216,5.003386473908822,0.0001384361824670036,144991.61032852795
26,9.77254983818782e-05,1.5333771291653895e-08,-758523.5967621548,9.7758392935659e-05,1.5429948284835392e-08,-756336.7903023935,4.9974854373313375,6.842942772919877e-11,56330.74334030198,4.997330440363429,3.318235411330512e-08,804995.7139754272
27,2.3529335991027516,5.03361817426359,29703566158.849903,6.794147128202863e-05,4.263557200863229e-12,1439.916018249625,4.9974890793876,6.593879535225139e-12,1866.407367905266,4.9898898947083685,0.00013844774191254131,14839060.86252433
28,4.997475188985726,5.57965752440736e-08,-147079.69086848732,2.0080659339574423,5.306884143036199,27897996678.85786,4.997489877351926,8.547210383496313e-13,480.5995273664562,4.993938368251078,0.00012609050101149985,-1068056.5707228335
29,2.0000696531961455,4.5861025419655785,-19076917431.753777,4.997438187004694,2.9588321286403744e-09,463051.08394982136,4.997489984067457,2.9741041365504933e-14,393.4332595400172,5.001928361166668,2.8173645192531325e-05,-44162201.54546668
30,1.5951538485424575,4.437067952818078,27845790866.55525,4.99748894788386,6.79074114214042e-13,5827.48679927668,4.997490088970086,5.5198109494946946e-14,135.13662198853345,4.991339865673408,0.00012052773974972218,-49192283.547998324
31,4.997482676532299,5.115818046679117e-11,70832.4130486305,4.997489771832415,1.6885312535230866e-13,2343.3385955669187,4.997490132800854,1.5401833288534712e-15,231.49021700056625,4.9972783171776305,1.6681953150964138e-13,1348.7721961123236
32,4.99748995069535,1.8916513995270715e-13,224.08941416656918,4.997490128760343,2.5126177554839092e-14,80.71184159802591,4.997490205805252,1.214940294140946e-15,22.147143555010086,4.997278390533353,1.8914533975045104e-14,36.497179604483215
