signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.795643765995348e-05,7.531539327269348e-30,-5.160584584552781e-07,6.795643765934908e-05,5.457908696314267e-30,-1.396660145169431e-07,6.795643766003102e-05,2.586681299297825e-30,-2.0544680260354382e-07,6.094256728444737e-05,4.778496333772363e-29,-3.2437858433725066e-06
2,6.79564376598045e-05,4.242651996930921e-30,-6.2220025629386e-06,6.795643765991335e-05,7.681172987858008e-30,-1.157722563017227e-05,6.795643765911679e-05,1.4068600024795099e-28,-2.6131246961374075e-05,6.094256762909922e-05,4.585408071432196e-24,0.0028474125993753208
3,6.795643765943132e-05,5.0402126193682435e-30,-2.2009666800107938e-06,6.795643766005316e-05,2.1972175497571588e-30,-3.7704100885135642e-06,6.795643765986446e-05,1.9365374586564342e-28,-1.3669618910977312e-05,6.094256722396419e-05,2.3393661161285772e-24,0.001188590594080012
4,6.795643765987312e-05,1.9147852365076944e-30,3.3837682863577664e-06,6.79564376597868e-05,1.253575685692447e-30,2.5523496810293224e-06,6.795643766885844e-05,1.317155062445911e-27,0.00011655613360680415,6.094256748002141e-05,4.7868572680222815e-25,0.0025062700099320904
5,1.322607435026843,3.959927342414635,22134045269.896133,6.795663553851576e-05,4.3678459716053864e-16,1.9501192573795447,6.795678125455387e-05,1.0082166411112185e-16,0.8454549086761857,0.00013461631799767287,1.9312886888469687e-06,4195034.6546240775
6,4.99748844760987,1.3170009070784409e-11,30808.168232969845,6.800482152054865e-05,2.9064879767230607e-13,472.84982658490543,6.79570734978212e-05,3.142423387146126e-16,2.9960127098966445,4.5551925616120594e-05,7.929711659993929e-09,-213854.0333372596
7,4.161568735924011,2.710649678872988,-16768509701.268816,3.567782802040121,4.4661626017671106,22204828380.680164,6.795639912500358e-05,4.862953018097954e-16,-2.733594955502996,0.00038876488171257095,3.4088184726030036e-06,683199.8994719447
8,0.00043057689613905533,3.2606321770849534e-05,-135213.49478129402,4.997489639782182,4.603688617112163e-13,3940.5165916158844,6.795754268249414e-05,2.973041678471169e-16,17.89515070347973,-0.00043497868872507316,8.369590532394025e-07,-6746171.3790333215
9,3.263186696335991,3.890811210946239,19688129114.811832,4.99748997862356,9.641032888076408e-14,219.48106908514035,6.795545385121416e-05,1.1520449711894407e-16,18.789319121178693,0.0007340070278437215,2.5485692923363153e-06,-8180970.605432239
10,4.997495443453375,3.935924396421555e-07,352825.1443321805,4.997507205411572,4.441386155818352e-07,577595.4437197016,1.0753790253850652,2.640947094250066,15595024946.968342,0.00030448729242059825,1.2175428308567037e-06,4090837.1101452494
11,2.6818424111214787,4.743864509261854,-26342759663.37737,2.6686107052846126,4.747798507294896,-26302087555.573124,4.994847522250851,2.8036080485076605e-05,35169920.34048855,0.0004600952662030056,5.036909654005365e-06,-9202560.138127262
12,0.9377211188177271,3.0182244102843123,14695137188.480955,6.824223627981813e-05,2.4121237363354267e-11,-4368.924298917914,4.997489747902229,8.660109859430937e-14,2736.989955713322,0.00011312332150568471,1.6580614810800618e-06,3104082.7425178634
13,4.997470355985789,7.499966440050754e-09,355871.13194022886,6.790042064596939e-05,1.2498550576166581e-12,205.38091233495075,4.9974900699570775,5.8214498490545305e-15,498.97583829857,6.326612812931188e-05,7.149498216635351e-11,-42035.30084390209
14,4.487291611322737,1.6188745302564598,-10407354681.477959,2.843031144510768,5.546389029704037,26888300693.295567,4.997490148738646,1.8265931593037347e-14,164.27045390629522,0.00010217202650371224,1.7739933269239935e-06,1113988.809158577
15,0.02540325326580118,0.005906361041482471,-507155933.2312965,4.997489105249205,8.767279108867123e-13,9609.725130040322,4.997490186086235,1.251788941325951e-16,96.54776285492778,6.0079187765984305e-05,4.660957773095795e-12,14939.527042092044
16,1.960719055083584,4.891783808140988,32672681093.768074,4.997489924982916,3.139330085070239e-14,899.1590463350086,4.997490200954559,1.0695319357409753e-14,42.038545077174575,0.00010327533572122074,2.584483280483902e-06,3266489.911596606
17,4.997428143962898,3.170499296921204e-08,-956418.91292798,4.997428273282815,3.039456373255289e-08,-1038324.7635085068,4.997427552977596,3.019852895049345e-08,-1053935.8505042952,0.4170703960375175,0.33838158412831415,6478267983.87528
18,2.4835268934696075,4.671393465466096,-28786931189.67631,2.483570569069177,4.671428656422604,-28787173610.738388,2.483604937806752,4.6714486031327525,-28787354635.856945,4.203433489957442,0.6850637447478501,10341105974.857368
19,0.016252824348450275,0.004466800520901543,269834045.1656985,6.746758613544042e-05,3.653450484899372e-10,24337.313627543255,6.746990433643819e-05,3.6529232320780996e-10,24303.140879491206,4.997261932489067,3.799533224411678e-05,-4995321.131535925
20,3.6970531450851207,3.0297399546323285,14259418607.740072,6.778918229073745e-05,2.0447258544880547e-11,-1050.1057919444363,6.778803502413871e-05,2.0664830488331625e-11,-1052.8298264554685,4.985986689352025,0.00011892381522729812,111669413.1283054
21,4.994779444333602,0.0005936928659772277,-59436583.790998966,2.3065703759441742,5.616175317933913,27772509231.21626,6.797331656629124e-05,3.939016065117536e-12,-668.3623774956297,4.996176939324562,0.00013670428233065042,35644556.40210194
22,0.9797989055438858,1.8250057387514418,-9609783514.539785,4.997464212909967,5.276742832025275e-10,204814.8893991364,6.796762190188707e-05,1.1617917059388488e-13,-15.567975161819579,4.9994836579032675,8.728542887849049e-06,-21486635.95867053
23,1.661121197185432,4.561351690429668,30746091575.01486,4.997489058486942,1.1298668685530743e-13,4966.016325983147,6.795425844567433e-05,3.556124305858324e-14,131.6348124743735,4.991333191180674,0.00012709814248584267,-49509111.57953508
24,4.997486772403323,4.152264305903463e-10,33395.38496810567,4.99748985890728,1.0268292064885668e-14,953.3354448640674,7.161887244270406e-05,1.5883543795383862e-10,41556.094232507014,4.997416086641378,6.941886379575578e-08,848712.7428836266
25,3.7007297297767914,3.8105880429833157,-26621440253.7425,3.7010204973407257,3.8099822361083096,-26618478307.650745,3.2485147551616778,4.433447071319301,28507317138.606197,5.003195406318721,0.00013798433390734997,2060447.5165323298
26,9.872426536480729e-05,2.669737519479608e-08,-805300.248623607,9.869658399358688e-05,2.6860824058127806e-08,-805267.6929391875,4.9974854259074775,7.500997520866932e-11,60312.70764358339,4.997345768957339,1.8341094966656302e-08,649721.7002630319
27,2.327621785399773,4.984972193374047,29159588021.042004,6.799875965834184e-05,3.328048271556956e-12,105.99331027493437,4.997489113502478,5.950523263978491e-12,3597.2739828906847,4.989861595657412,0.00013933037425689892,15060839.802404296
28,4.997475622879902,5.4337998412246514e-08,-147935.27090299965,1.9668162389906394,5.272915185142219,27219956437.52467,4.997489858155525,7.292454486232065e-13,1002.557300213691,4.9939632900078,0.00012479437516637343,-2971083.5260239313
29,2.0001422381395724,4.586105873910373,-19076490466.214466,4.997438225067031,2.962646916290517e-09,462282.21008891193,4.997489991823214,2.7460797574495476e-14,397.0687589619238,5.001957062458225,2.8171100841742324e-05,-44156768.743353784
30,1.5951590550840977,4.437053520971906,27847910074.63972,4.997488959126156,1.9481623086156776e-12,5652.883361184023,4.997490086734242,5.394893800295614e-14,169.92181707311926,4.991369558213703,0.00012051775254101217,-49188128.211664066
31,4.997482675873898,5.173310726430341e-11,71206.51349101476,4.997489771715119,4.888163199793622e-13,3305.0173661211393,4.997490132876294,8.320452688681353e-16,18.040404406199166,4.997307396124427,1.6992766935764149e-13,1266.3900258068904
32,4.997489945074668,2.034266341113599e-13,229.50858961723603,4.99749011397484,4.5787390975588733e-14,94.97310079207786,4.997490209096978,8.106456773427872e-16,18.975709516620828,4.997307370310992,8.135900709448351e-15,20.548643902051317
