signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.7956437659363e-05,2.3366581893033733e-30,-6.385531975463573e-07,6.795643766071713e-05,4.421856508901187e-30,5.170078628127466e-07,6.795643765956663e-05,8.061316317731779e-30,-2.0510850779918993e-07,6.094256727793097e-05,4.6628152108213544e-29,-3.196163968671266e-06
2,6.795643765983385e-05,4.921846257064882e-30,-1.2477601218377947e-05,6.795643765986122e-05,6.748773259227001e-30,1.4786935541857605e-05,6.79564376590605e-05,2.4320913628160017e-28,-5.3580502437420355e-05,6.0942567578897707e-05,3.588094758318464e-24,0.0024303036759227513
3,6.795643765984939e-05,2.3528033704475517e-30,-2.187447989200992e-06,6.795643765989521e-05,3.2421434472929194e-30,-1.899001822731567e-06,6.795643766019415e-05,1.8140384104678256e-28,-3.9760559390037476e-06,6.094256722562484e-05,1.792260171078336e-24,0.0010452460122935346
4,6.795643765981147e-05,8.232746686547594e-30,8.374142597253438e-06,6.795643765992115e-05,5.970214826052767e-30,-3.63210643419962e-06,6.79564376688175e-05,1.3153742347610494e-27,0.0001234082042056853,6.0942567473406536e-05,4.742089675215951e-25,0.002513545427084652
5,1.3226074350385568,3.9599273421630903,22134045266.074844,6.79566355382706e-05,4.3678466550824584e-16,1.9501219734127793,6.795678119220192e-05,1.0081999614101136e-16,0.8457901776302044,0.00013461632027914161,1.9312887070415235e-06,4195034.678542847
6,4.997488447609867,1.3170009018948435e-11,30808.168236045283,6.800482151919078e-05,2.906487979475634e-13,472.84980126006633,6.795707268416618e-05,3.142666123974465e-16,2.9851091185984755,4.5551682128374454e-05,7.929863208361582e-09,-213857.47743507134
7,4.161568729892312,2.7106497033835866,-16768509870.22179,3.5677828409252883,4.466162424004976,22204827625.4442,6.795639843875285e-05,4.863371031024619e-16,-2.735704929964459,0.0003887638478338056,3.4088044497939683e-06,683205.2502615144
8,0.00043057727232001535,3.260634609136754e-05,-135208.2296875223,4.997489639781987,4.603790565401806e-13,3940.5196779829625,6.795754278549981e-05,2.9723305945736136e-16,17.897808581134985,-0.0004349786577332079,8.369593376083782e-07,-6746170.846802711
9,3.263186712311268,3.890811135202208,19688129094.36717,4.997489978623605,9.641234735417125e-14,219.47727553324313,6.795545327391608e-05,1.1517025383070972e-16,18.796242051205144,0.0007340068824724737,2.5485697587182727e-06,-8180970.031465173
10,4.9974954240947325,3.935271295719045e-07,352486.79503335396,4.997507185239011,4.440675175050624e-07,577244.1351664533,1.075366643199425,2.6408961987867547,15594864421.302708,0.00030449899170600225,1.217546865575902e-06,4091032.774574199
11,2.6818006287280234,4.7438080181852555,-26342440289.66697,2.6685676638696596,4.747744204353806,-26301764522.96107,4.994847361048333,2.804397323760804e-05,35173048.427305,0.0004599963757784806,5.03664408170098e-06,-9201450.39163039
12,0.9377208246481592,3.0182241252012703,14695144998.481901,6.824179098785007e-05,2.4234615947671678e-11,-4353.212064246886,4.997489747912316,8.694071396420205e-14,2736.562372877134,0.00011312349052378697,1.6580591664775654e-06,3104082.552420296
13,4.99747035592349,7.499423204284851e-09,355869.5743531447,6.790015650889086e-05,1.2616399005890102e-12,206.3502179959998,4.9974900699749485,5.860842457437129e-15,498.9069653511691,6.326609332124139e-05,7.149392962765864e-11,-42035.139587683916
14,4.4872914117444145,1.6188754297609502,-10407372521.751036,2.8430412080411958,5.546381267031781,26888290484.252995,4.997490148737684,1.8272621677308424e-14,164.29540758931404,0.00010217143855862813,1.773989927009278e-06,1113986.8356444552
15,0.0254030563083933,0.0059062803504833635,-507152012.4713659,4.99748910525488,8.76653654278615e-13,9609.670583717048,4.99749018608706,1.2533613611596828e-16,96.54220608115244,6.007921134058068e-05,4.660819443797533e-12,14939.533374298164
16,1.9607190987003924,4.891783880240267,32672676723.55165,4.997489924982049,3.1376022277578163e-14,899.2209000586895,4.9974902009540205,1.0695608192697866e-14,42.042489448858134,0.00010327530548978843,2.584481403238725e-06,3266487.124646609
17,4.997488266918118,1.1336291503241205e-09,91566.89366220224,4.997490131413551,3.651807214503853e-15,180.87218492131663,4.997490216308304,3.831278163370776e-18,33.38959899675728,6.088033967010172e-05,1.8292223405639255e-13,-1582.7655197477802
18,4.997490851181986,9.781001953092368e-11,1493.5206294116808,4.997490164627741,2.7983308957748307e-15,109.71793960481004,4.9974902227769045,4.28190347199776e-18,22.507810746038952,6.0761607099889244e-05,9.408332350849596e-14,-93.87725039327897
19,4.997490841794558,6.472316054356377e-11,17329.199172366294,4.997490201140546,3.146581559801933e-15,38.279280927415904,4.997490228983922,1.5684512596777306e-15,12.376775190872666,0.0031008023452734437,3.074169659606195e-05,42882997.81494042
20,4.99748861608255,2.7234632663309478e-11,20901.270131819867,4.997490206793065,6.510340360191492e-16,50.8471403032703,4.997490230210501,1.6606708373060663e-16,29.999789412458806,0.0017065564544903329,8.053421944438984e-06,-17790590.014618706
21,4.997490129691775,4.985953067546587e-12,-477.0993371599928,4.997490378514492,2.2909791661936034e-11,161.69164047667414,4.997490233599734,1.5526244762786954e-15,-4.331961931378816,0.0022856226472460633,2.2983406249880348e-05,-5153566.988231213
22,4.997490204395598,2.3111914770289893e-13,-115.32102053882734,4.997490227202141,3.3950892731147137e-17,20.963152856838757,4.997490237577708,2.4827797947275465e-18,4.806879900562256,3.288187202917144e-05,2.244836183441442e-09,235922.02880907548
