signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.795643765913528e-05,2.166956497674157e-29,-4.817114203032607e-07,6.795643765937518e-05,3.549679486129837e-30,-2.6761835358396274e-07,6.795643557945555e-05,2.979931391783727e-29,-3.9108418423777805e-07,6.035715816008912e-05,5.238943533895795e-29,-3.453877351190213e-06
2,6.795643765995661e-05,1.2421481186481995e-29,-8.466056058965782e-06,6.795643765993032e-05,5.5031519283368794e-30,-1.208874593835269e-05,6.795643557863054e-05,2.1686183687390544e-28,-2.0962491870604973e-05,6.035715845560306e-05,3.3755392143208285e-24,0.002413860785995403
3,6.795643765913536e-05,3.839711547898318e-30,2.2482255585721467e-06,6.795643765988394e-05,4.2986777065122884e-30,-6.782189424546369e-06,6.795643558095409e-05,2.7769145375816717e-28,-2.7455238353838266e-06,6.035715810618934e-05,1.6421017572235253e-24,0.0010304531692952692
4,6.79564376600279e-05,4.756317501496188e-30,6.108808307035366e-06,6.795643765999997e-05,8.876616885331793e-30,1.5830084809771258e-06,6.795643558710801e-05,8.929134599977869e-28,0.00010785867992425176,6.035715826675917e-05,1.6523146008771103e-25,0.0013557745372429137
5,1.3226073850058844,3.9599273226959055,22134046380.147472,6.795662797645917e-05,4.3436198941055624e-16,1.9251678394628642,6.79564614282727e-05,5.986424483127304e-17,-1.5897038251193263,0.00013434573274757685,1.9674039786626337e-06,4194746.335777496
6,4.997488447593827,1.3169913879991786e-11,30808.00669137691,6.800481251313046e-05,2.906672863989774e-13,472.7309806896634,6.795594546226926e-05,2.210264313000682e-16,-11.097789427591428,4.4209046172626056e-05,8.545678141507047e-09,-224279.48267812954
7,4.161567621564749,2.71065438205306,-16768520786.028044,3.567782888497025,4.4661623675370326,22204800487.91916,6.79564962089776e-05,3.184912781574084e-16,-7.052754914051134,0.00039147920355572655,3.4785695080168e-06,659832.285041407
8,0.0004303737198633426,3.259239619430433e-05,-138602.25498713995,4.997489639777982,4.603689651632663e-13,3940.507659736991,6.795706520757538e-05,1.8191929482425528e-16,9.72887458828592,-0.0004411106834386259,8.579299834731696e-07,-6818855.048531702
9,3.263181384232195,3.8908385984019165,19688127978.690643,4.997489978564788,9.625974210681499e-14,219.95475372400807,6.795551190663101e-05,6.058167188428038e-17,12.6033684264521,0.0007375042975457487,2.6371171207422876e-06,-8322147.390118141
10,4.997556303678189,4.4619939330748205e-07,1396176.9205840796,4.997565439443867,4.963531517238231e-07,1589010.2990107348,0.09757161145213282,0.025489044635121846,1513920938.5833704,0.00017237588251850557,5.880815000131526e-07,1445449.698490015
11,2.169587478472854,4.887706867847259,-27142314103.126606,2.1581827399639018,4.879503092034717,-27068955077.291225,1.7529323790202698,2.6171812324758474,20870565112.874763,0.00037047191985611384,4.547981982014559e-06,-8474165.167560548
12,1.015197521391986,3.24379751912803,15391658780.177639,6.910408167977096e-05,1.8592781755848095e-11,-29156.491223237455,4.952022103125452,6.142011822809945e-06,29220191.498903036,0.00012965865141873248,1.6798319941572307e-06,3169488.6097558266
13,4.997476602252762,4.6792368386606e-09,240840.62399375893,6.795213940826011e-05,1.5735886564719162e-12,1009.494038460077,4.953121321629781,6.670922728844716e-10,221198.11887539126,6.094075837456745e-05,4.9639243640316556e-12,-10520.07014755318
14,4.4821043574567945,1.6326034777003524,-10438467939.41587,2.8594277091860163,5.537419029481895,26844450535.78198,4.9531615731802106,1.4569560432295098e-07,-2458407.0593672097,0.00010305751323366122,1.8072984109270432e-06,1088084.3017869047
15,0.025492843948188036,0.0059440254827534495,-508151787.3375381,4.997489085077849,1.6663938828675686e-12,9774.230816996214,4.953141268484434,1.7377287007618918e-10,-96583.69998950681,5.9518532068165746e-05,4.257768884621437e-12,14292.830333989214
16,1.9608496047951542,4.891984140199705,32661080897.146183,4.997489929490108,2.2009763628653583e-13,639.529959342369,4.953478243886148,1.0457352378141763e-07,514818.24996551225,0.00010109654960940276,2.6591649144089398e-06,3241664.066499726
