signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,2.6632173253874834e-05,2.727738506873604e-30,2.0105706006494594e-07,2.66321732534823e-05,2.797300720799265e-30,7.642181252690692e-08,2.6632173253350802e-05,1.8421146955514677e-29,-5.287841568419836e-07,3.3317283819962175e-05,6.164581558771085e-29,-3.5009078909586103e-06
2,2.6632173253317554e-05,1.5271337407241411e-30,-6.995889547557791e-06,2.6632173253364995e-05,1.365118359123557e-29,-2.033015871705601e-05,2.6632173251759603e-05,4.2798863458685005e-29,-5.870012682939305e-05,3.3317283587941805e-05,2.3344389689625754e-24,-0.011188812839995555
3,2.6632173253992653e-05,8.646504173645326e-30,4.830643199400831e-06,2.6632173254139786e-05,3.4341066688458764e-30,-1.3207008114541356e-06,2.6632173253979704e-05,5.063232783836623e-28,-3.729162854883798e-05,3.3317283864653124e-05,2.7625186951069245e-24,-0.0025726869240881105
4,2.6632173253956614e-05,4.9228701923905084e-30,3.807068698545079e-06,2.663217325322034e-05,6.686897033982677e-30,-2.3352901854066772e-06,2.6632173256688478e-05,1.1771326180302108e-28,2.029836842793395e-05,3.331728390837899e-05,1.2497495724622135e-25,0.0008034700318284942
5,1.3442116261038708,4.1334520922163405,24514062384.240417,2.663279223868129e-05,9.35414788599401e-16,2.429214650659237,2.6632461788600833e-05,1.7377724778882122e-16,1.798422097165822,8.996670860414671e-05,2.1476095406835237e-06,4026107.975314833
6,4.997886797236292,5.242193789248409e-11,-456.5721844454703,2.627712379402833e-05,7.359987549120625e-12,-4998.015248938068,2.6630781521402183e-05,2.984525885859532e-16,-22.062839951639695,-2.4616437975043497e-05,6.920104718469946e-08,-761006.9010543817
7,4.039687022699242,3.2331035093433487,-21137891283.861725,3.6956270826851796,4.248201446398955,21899114359.56199,2.6632758667317633e-05,7.135637881856287e-16,-11.177090479054815,0.00018741093339777956,2.347101933529606e-06,1810604.8170543828
8,0.06534193832080619,0.03691073800418953,1141885910.3920736,4.997886908508841,4.120872191408784e-12,-604.0434068528816,2.6631219359399182e-05,5.810048933438377e-16,-27.54456108024868,-6.411207233243088e-05,3.023135113947731e-06,1145235.282931773
9,4.156591629353064,1.8425252560688292,8077794893.18325,4.997886870560064,4.95013543465516e-13,-420.70427226878405,2.6635824611925033e-05,7.884340818327566e-17,-37.82358562634455,0.0001915622270843396,7.195337040272914e-07,-1958843.1692701
10,4.998715070513486,7.946609240374861e-06,14931785.655573439,4.998758055820485,8.78450429272217e-06,15716336.120986741,1.7641914719064815,4.562733993674877,24395139629.63306,0.0007768239135279166,2.979257061020348e-06,11769821.899596976
11,1.4853416595800635,3.057322776065163,-16973747328.440475,1.465247848570161,3.012787449476044,-16776241605.043018,4.997656904388577,1.5761648437002678e-07,2946728.3696853067,-0.0008429155764197446,1.2855326146969721e-06,9684132.78087047
12,1.0538608890971413,3.476491201883984,18398309099.50384,2.6251793083139607e-05,9.416614572111435e-11,12039.797310232416,4.997886892119188,4.959362016520073e-13,80.5538163337123,2.5174168872488177e-05,2.0398933696982827e-06,2803189.340741581
13,4.997883967338176,5.362062498204047e-09,86359.51145564033,2.663953044247883e-05,5.109579564964617e-12,-1965.1482641318892,4.997886891704388,3.341338664533448e-14,135.9228428556982,3.3335373565222225e-05,4.467266307992326e-14,308.2592923515195
14,4.314072046649116,2.3185057808808422,-14917955597.096785,2.92106237364712,5.575200895004632,28387453095.648342,4.9978868881688845,3.000977340755231e-14,-44.325746302101805,7.626186141487423e-05,1.9366580594952344e-06,708872.8368431175
15,0.00020405582928878797,2.7228608092741514e-07,-4294230.6028051935,4.997886760080691,1.248512257564283e-12,2115.608232811302,4.997886856724762,2.6323762068395778e-15,-220.32274119359437,3.4050248523866106e-05,2.6412415358530655e-11,12357.71742993508
16,2.1222829757118418,4.996469861913502,35514489342.56473,4.99788689742686,2.702979431914216e-13,-410.4998616585545,4.997886884627923,1.7473863475097096e-14,-397.23673930111204,5.0162055925370073e-05,3.2626814182994133e-06,4332749.035533442
17,4.997872950113765,1.6744031803728725e-07,-9002.782068177134,4.997869371054191,1.5652190954614862e-07,-98566.98776046107,4.997866627336521,1.4866302416787962e-07,-149325.4850812799,0.5060067751074137,0.4856332839239064,7690539938.293801
18,2.3688984565991658,4.688346133794531,-28314250696.47306,2.3689337380525766,4.688393560027509,-28314518097.432415,2.3690677124160193,4.688463976039064,-28315331362.50497,4.2646071253804605,0.6357910476543868,9683932676.113268
19,0.4637461174852179,1.29548579676044,8353670393.076035,2.9863058670606986e-05,5.051986634676457e-09,-127994.03599943439,2.986745672424469e-05,5.0673956391323195e-09,-128134.29159236126,4.993143467632756,0.00012247279643203058,-78665535.14936721
20,4.972958385588834,0.0036768641375161497,231990337.05746233,2.6620106093711056e-05,6.793572494090361e-12,2416.845982556,2.6619944310318763e-05,6.938272639147898e-12,2442.7401517798176,4.994985104928818,1.4023960239713967e-05,23935938.994139723
21,4.649756261415458,1.0728456807047522,-7551363981.69426,2.6257215381599837,5.738800079875394,29493315831.356815,2.662012840257085e-05,1.4525950783318628e-12,353.87875799274457,4.997462940639967,0.00014016480040254038,48665384.327045016
22,0.12470252007190336,0.06601000175458123,-1537423669.1785939,4.997883194882521,3.222365787946575e-11,37742.60277248684,2.6631505687965575e-05,2.152478097880546e-14,82.9099850436481,4.997979958433561,3.181955542916588e-07,-3060023.625325921
23,1.709863707981195,4.699653966990406,30672050185.09573,4.99788698588709,2.6791267684161236e-12,-47.71916901347118,2.6630533139542873e-05,7.91455733618956e-15,4.8473534273279455,4.9916245461287945,0.00013329711848877483,-37361284.30103244
24,4.997886702336021,1.0953950657320297e-12,6990.974409675564,4.997886965554625,3.4092139487324465e-13,707.0386255717663,3.5158781628884126e-05,3.128268971484849e-10,137698.64231603892,4.997913967953331,9.968006470891684e-08,1412592.485110756
25,3.566292345129235,4.153402897470698,-28617104733.996445,3.5665655702353103,4.15281811011772,-28615111991.166245,3.2394467846460575,4.487742893731325,27131817989.797287,5.003698151914203,0.00014719794351497216,-7030253.367736071
26,2.6192636954933383e-05,2.470008098126251e-09,87891.00696018862,2.5837858235194734e-05,2.3951234087601973e-09,79666.9841160089,4.997886762882963,1.8741990924596894e-12,3349.9836111310883,4.9980965688907855,5.971440631266138e-07,5803620.383285427
27,2.8105621037779462,4.88547660380501,23607628680.235363,2.6599121465758696e-05,8.909616954900935e-12,2196.5495891410674,4.99788697074744,2.4123813498217897e-13,-47.26439507343374,4.988602046423315,0.00015772459505495245,57889097.040098175
28,4.995680975060931,0.0005359744305267566,-52550920.79951638,2.3197709091973784,5.6694559203826405,30037984693.285023,4.997886963226997,2.1691796319355942e-13,-268.7602292897035,4.9960325181868095,0.00013974042807194423,32976060.089309398
29,0.9486073391083103,1.8475895433944414,-9173974703.400696,4.997874123822042,1.784959971326686e-10,109563.63624347677,4.997886951622209,6.353577468852874e-16,-114.39337400297681,5.000130862741441,1.073723592603783e-05,-23128880.551134888
30,1.6049748345781085,4.574041897354608,29836064742.061043,4.997886969620342,1.7308005429554187e-12,221.30005654723516,4.997886929917379,8.838838975155511e-14,-90.98797298285233,4.9916779777525715,0.00012927511679547787,-49180625.31953944
31,4.997885334645153,1.6499537132447078e-09,154160.3290565023,4.997886979790067,3.331603886309941e-13,1889.0640189817027,4.997886910355528,1.572339417528778e-17,-35.01971627480324,4.997735874793787,1.576808932069065e-13,-1416.2683229930578
32,4.997884828293565,7.386714999735297e-11,2027.1622272347618,4.997886866600503,1.3370679637856682e-14,5.369401031070945,4.99788687408317,2.817460340460838e-16,-11.849433581567052,4.997735899204088,9.225442815451231e-15,-22.195494995415928
