signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,2.15730354347779e-05,9.478817340052017e-31,3.2454643194959466e-07,2.157303543262154e-05,4.02594213089183e-29,2.213939105637569e-06,2.1573035434248815e-05,1.7295048238647133e-29,-6.524833297031648e-07,2.7073558824287693e-05,1.1235279511217462e-28,-4.33358989996171e-06
2,2.1573035434645955e-05,6.556341177264056e-30,3.772181819543842e-06,2.1573035434849037e-05,2.3849120431928523e-30,-5.011707354961345e-06,2.1573035431955606e-05,1.0122648643902947e-27,-4.2371928127500654e-05,2.7073558949293147e-05,6.89927307304848e-24,0.0005305778759524055
3,2.1573035434833644e-05,1.3825367676721165e-30,1.3223118842779843e-06,2.1573035434662706e-05,5.832313077398412e-30,5.368707958358079e-07,2.157303543526548e-05,6.157902269116393e-28,-9.690327536881949e-05,2.7073558717364024e-05,4.996581724508527e-24,-0.002320291802729423
4,2.1573035434837463e-05,1.6224234910367728e-30,4.070191410589757e-06,2.1573035435106457e-05,2.634600917283369e-30,-1.1536942824237622e-06,2.1573035439442733e-05,6.838030936409416e-28,2.5132872289701136e-05,2.7073558958894347e-05,8.284309475292093e-25,-0.0004545852251016975
5,1.3115905422478935,4.1907410104759935,26840553776.808437,2.15732566367381e-05,6.061362280066255e-16,1.711462015438922,2.1573312946722628e-05,2.242809174994904e-16,1.0589613149737533,6.798313085639839e-05,2.224055005192227e-06,3726681.3278925926
6,4.998131538558432,3.1994021249151654e-10,30077.1524811402,1.966031164391282e-05,4.092241090800877e-11,-27229.390262453628,2.1575561523836234e-05,3.0468125325541575e-15,40.967578541650255,-0.00011112522845409422,1.6107860830019606e-07,-1927213.4538127978
7,3.9189636162996977,3.552634654603422,-25322284874.687653,3.8835848939776043,3.7830076879774945,20863435022.543774,2.1572359147794857e-05,1.5363074778737952e-15,27.524530232105175,0.00017416768041561534,2.1919005558672408e-06,329042.7782694124
8,0.708837617098593,2.170806397372258,12831166179.909986,4.9981320543104575,8.773465923123474e-13,806.7247909804252,2.157378953878156e-05,7.581715719854945e-16,4.909508877847075,6.121666480555877e-05,2.9358073845288967e-06,2754834.3480201554
9,4.994710387910783,6.540660460055189e-05,37042400.90645708,4.998132083303731,5.6222825308297055e-14,-521.0762419182618,2.1572414173606537e-05,2.751767189851309e-18,6.911335168851951,-8.89053437575463e-06,7.785615566265393e-09,408712.4832684232
10,4.722150921141983,0.7665108701950302,-5832208452.857572,4.714951891605388,0.7947310476376416,-5976391223.306828,2.2771288257247497,5.348780375282025,30156259031.266422,0.00045071134487589934,4.739577191722263e-06,2596265.148513673
11,0.25415007374506937,0.12847382950361916,-2400474798.411102,0.2506152082814686,0.1258903236275949,-2369427397.159106,4.998126072651902,6.097022198668212e-11,52823.2262667521,-6.999490168947811e-05,3.76028375969442e-08,974728.21827017
12,1.1637605780901263,3.7928887194621708,22580138311.684082,2.145411324452489e-05,2.783108233999161e-10,5084.518999174126,4.998132079422542,2.779842549227778e-13,-170.74119958553445,0.00010277520971660265,2.0478368630777514e-06,3625616.59863966
13,4.998131142921579,5.877210857865908e-10,32211.26881552013,2.1596660371011246e-05,2.1536993403003102e-11,-5107.236874076241,4.998132061911879,1.1385163814956371e-14,-168.96407031472003,2.707271302756238e-05,8.744545230087669e-14,331.8864483947914
14,4.11748756630228,3.010456752969395,-20561163403.485325,3.15666760361551,5.368452601867635,28940475940.635487,4.998132065864772,3.427554785750558e-14,-103.81429864543159,7.093666882910917e-05,2.056118148213236e-06,318997.29328774265
