signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,0.0007092276712220214,5.826462240127778e-30,-1.9337091247527685e-07,0.000709227671214907,1.2740636730602398e-29,5.336749006794088e-07,0.0007092276451302143,1.3562886370130355e-29,-2.456777913149261e-07,0.00038149229701686427,5.644194849305413e-28,1.6083927386916713e-05
2,0.0007092276712213401,4.0029060668796744e-30,-8.654921575665768e-06,0.00070922767121422,2.9670575032604617e-30,2.0469855404248736e-05,0.00070922764512962,2.471168997115194e-29,-1.0458610193649942e-05,0.00038149229689068005,2.085634977290613e-25,-0.0029235788323141868
3,0.0007092276712223777,5.414408448992808e-30,-2.8359226774266363e-06,0.0007092276712143222,1.3794763397454077e-30,-2.1714667245722297e-07,0.0007092276451332667,1.840979077002984e-27,2.450422128617657e-05,0.0003814922971096667,1.1071155256437969e-23,-0.002145697054781133
4,0.0007092276712219865,1.6212647140011635e-30,-3.048312840487195e-06,0.0007092276712148733,4.852176915215216e-30,-1.6035782827259299e-06,0.0007092276451259867,3.6400384143722066e-28,-1.792316068272177e-05,0.0003814922967808733,1.2331546801607752e-24,-0.0022176588150758965
5,1.1972730405981966,3.6735686700628127,18731597497.688435,0.0007092269465039015,2.288927074647177e-16,-14.936365819621072,0.000709227530180441,4.358887706291912e-17,-1.671733515575676,0.00042134380980606316,1.484004422941982e-06,3337687.1904189014
6,4.995935507314508,2.1239919532229736e-09,278877.3182907014,0.0007091450992574,1.3789738910367413e-13,-1122.3300864481046,0.0007092269300329001,8.09640001471583e-17,-11.502722549751926,0.00035627624486280244,8.830361429078487e-09,-332012.87602354045
7,4.417666966176372,1.8318416927518277,-11505014239.418854,3.4915615070043335,4.59134368465529,22446847095.459343,0.0007092286435561575,4.561340017599065e-16,-4.059803626971425,0.0017665639506977962,1.2133749841079374e-05,-5577123.606583073
8,0.013406270563222765,0.00259395493075341,-317717923.43813145,4.995949691650669,7.56171080298023e-12,30453.02953214937,0.0007092291047106415,1.4001830030023269e-16,20.79532726492931,0.00016474930866577903,2.1371815821045365e-07,-2632412.9957660674
9,2.8911719863524246,4.5028085050757625,24334703637.417507,4.995952416972104,1.6031053969012918e-13,5961.871985535269,0.0007092261802878224,6.662656956181608e-17,19.46125999723963,0.0005120402629336294,2.634688229335802e-06,-295341.9122544399
10,4.995939027672,4.261973201283887e-09,-177710.43246049987,4.995940214558043,5.24870245582697e-09,-216631.55158782416,0.35903975625053386,0.2223691420731803,4642009547.576413,0.0006747240762845212,8.738239965340794e-07,5370205.697702249
11,3.2349099764122466,4.383042660936312,-28623523627.58281,3.2238571438195036,4.400351164734436,-28651287660.39425,4.835379163003881,0.2144656555692755,2825152474.5191684,0.0008874227388407249,4.767862953952672e-06,-9496722.397477817
12,0.7068204289276443,2.036698363659288,10520749765.341234,0.0007160935889831966,4.1166695594119326e-10,-187925.31389664928,4.995950425760726,1.2958491980307413e-11,25942.04184303,0.00044203873315476136,1.45511505132788e-06,3257458.5282066762
13,4.99046720889974,0.0002378195100397449,68683484.33048189,0.0007093245515440285,3.911405455702632e-12,-185.1217946509517,4.9959528405442555,1.508533061014476e-12,4988.061043264334,0.00043595519577810946,1.2658868501353584e-08,-668328.57152076
14,4.804620295790142,0.4991173774009993,-4217197718.5705023,2.895891297767057,5.43250191219016,26675781908.401714,4.995953756827249,2.6482376908821623e-13,1101.3668910474184,0.0005482290698056814,1.6555865915832311e-06,3986713.154246332
15,0.26288941365264823,0.1486452934022673,-3209562792.3006673,4.995942900693278,6.867732464851563e-11,77583.90856355365,4.995953963277987,9.446686904757551e-15,443.6029005510442,0.00031489290695407233,1.4956272999739785e-08,859737.7263354234
16,1.8797100334454848,4.792203485770708,32981019427.683506,4.995952103175051,2.461748418805886e-13,8275.84173292914,4.995954034477972,7.513659566084218e-15,156.19813460528556,0.0003338143204112576,1.923933969030441e-06,2885799.2120218957
17,4.99595031434675,4.07186307758613e-09,-44393.53449091296,4.995954040195974,1.3916917878969252e-12,8001.083705822207,4.9959544309894435,1.1704268692740192e-12,6144.821614545517,0.10699711976545405,0.04098290437835283,1638472782.6259387
18,2.9850174401659,4.5345907371991645,-30361201980.74817,2.9850349473560183,4.534591032954984,-30361209365.987644,2.985090203755632,4.534511763820138,-30361077746.095142,3.644517206829535,1.6580627330319448,18183789363.69149
19,0.0007177484614241138,5.484099142296663e-09,-473332.1042368752,0.0007236258557597916,3.80504923051301e-09,-381802.3316987384,0.0007236286201717667,3.8066181498730746e-09,-381843.95176865015,4.996181562083703,9.576989630267354e-07,6471220.987449523
20,2.8363637178354515,4.673008953588325,21901708221.810547,0.0007093297862165131,2.0920716640259834e-11,-3115.243235597534,0.0007093286725175,2.077856987363616e-11,-3094.6107511352534,4.987041654973558,0.00013221923228413462,52599232.745498
21,4.995945050883335,2.655418727643044e-08,387946.0887917714,2.0713651963181663,5.286311009479979,28283610127.809475,0.0007093049282087453,3.767911745742524e-12,-576.8277778904716,4.992221357586503,0.00010900587610035951,-1570404.8622924883
