signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,5.062948104978599e-05,2.5150651555123628e-30,3.4522948772516495e-08,5.062948104953617e-05,3.592650384951794e-30,-4.486953707796337e-07,5.0629481049217536e-05,1.3444961386841356e-29,-3.442914308317241e-07,5.033765332589917e-05,3.190091991731087e-25,-0.00014434376391227673
2,5.0629481050022305e-05,6.99644101258272e-30,6.396393429194525e-06,5.062948104965043e-05,4.928261506005058e-30,-9.733745198767809e-06,5.062948104853431e-05,3.4701223096417916e-28,-3.5123496220032765e-05,5.033765356917978e-05,4.005467995881589e-24,0.0023228569969350487
3,5.062948104975851e-05,2.9719180261656073e-30,2.958614371217656e-06,5.06294810494358e-05,3.548772516373388e-30,7.490959157571843e-06,5.0629481050502356e-05,3.5523535803580818e-28,-8.809800796239934e-06,5.033765320773414e-05,1.806442415586706e-24,0.001125333596598721
4,5.062948104904814e-05,1.4363511111605362e-30,2.912356360062446e-06,5.062948104982722e-05,6.751997182737755e-30,-6.625102515500289e-06,5.062948105038459e-05,1.6927403339558096e-29,1.854738580323905e-05,5.033765333936011e-05,6.121811671635169e-26,0.0009553711680099307
5,1.2802242884859467,3.9362199045615984,21797142741.23961,5.062962433421152e-05,4.57958499149873e-16,0.5067341221301596,5.062982983420822e-05,1.1404207901852115e-16,0.9880990936900624,0.0001027337833603319,1.8885580734473338e-06,3797702.555793887
6,4.997591516643747,5.482193541287953e-10,-1708.1385613377915,5.0763488859250764e-05,2.3599592781302944e-13,1731.2649982119026,5.063173063189455e-05,2.542616413637557e-16,31.043451342549027,5.042222513389593e-05,8.892771860239592e-10,-3511.720654126096
7,4.196026692748487,2.7118805626241973,-16927785764.418974,3.530222318279197,4.560556678975463,22559466793.568768,5.062895690515111e-05,5.56721970579803e-16,9.845221642345713,0.0002940350669871816,3.118135558473946e-06,1811229.2392619175
8,0.002755129093140112,0.00031266050140603353,40200774.33095867,4.997591639192046,3.4907889561351284e-13,2906.8502871991604,5.0630739430858125e-05,3.181132628802147e-16,17.048204863451897,-0.00048120134732722265,8.623587160721277e-07,-7174934.72485134
9,3.3664162524733157,3.6875318287076806,18841146718.94075,4.997591835898765,8.607021254434224e-14,155.65528160014344,5.062852721407231e-05,1.3364479858034556e-16,19.45051676135958,0.000812989944484592,2.5589015978449954e-06,-9833046.08993448
10,4.997718956070449,8.605643149165729e-07,2522099.082437428,4.99773007311571,9.118844820851503e-07,2734867.274861071,1.1627885472068034,3.0191502241026096,17226775970.57405,0.00024244948825086313,1.2584468357665342e-06,3444781.969656892
11,2.5115115895042446,4.738908953421049,-23747596376.23418,2.4983347280504566,4.7377665132605635,-23691517655.900368,4.996167486540073,4.854587826934215e-06,16566126.28312877,0.00043515226510910926,5.0146123634110095e-06,-8476915.812082293
12,0.9550135521726832,3.1197786697401724,15342120075.314106,5.1272956058819155e-05,1.381107605036313e-11,-16729.9988660002,4.997591666065275,1.1311204022185106e-11,3242.6139175237176,0.0001007244186201067,1.6366656464316393e-06,2961161.1308825323
13,4.997579105427764,6.683517285738507e-09,192094.79692820023,5.067734256557321e-05,7.402241981606012e-13,-215.3862647555677,4.99759184040736,1.1753041569737772e-12,540.0246995035328,5.079291675701218e-05,3.575089201177602e-12,-8749.371131584356
14,4.452324811634588,1.7507327946094164,-11107010618.94152,2.8292844017927137,5.574729608350386,26971335709.261623,4.99759194844653,1.8725630649937225e-13,-39.40459880405359,9.072225010882677e-05,1.7965918803125228e-06,986916.1368333086
15,0.013814039346699555,0.0015997924240330975,-264807930.6781219,4.997591291763736,1.1263424786436028e-12,6578.838231468935,4.997591955243987,3.857653707227843e-15,38.668873658196894,4.9785072074634765e-05,8.660634831016777e-13,6941.449710656197
16,2.0028701804137166,4.923965325950383,33353523280.76546,4.9975918033102165,2.3178149193699887e-13,595.0453841366535,4.997591968033035,1.2117033796064091e-14,-33.30486981442003,9.470122875461378e-05,2.7350470754345083e-06,3511125.5531870294
17,4.997544348138166,2.2972285071723997e-08,-958991.7914928972,4.997545438984302,2.2013347716632418e-08,-1018752.8907558215,4.997545488792762,2.1954555939353448e-08,-1018085.1690860672,0.23048322269088622,0.1651761598792587,4489440305.037056
18,2.595506846904565,4.726223684386289,-29913908580.98572,2.595534591872806,4.726232629503481,-29914004744.878845,2.595657648282563,4.726184297749283,-29914344563.316936,3.975174091050607,1.0873513396553272,13740065053.8339
19,0.024683396042150006,0.008731920985475138,389652721.9561846,4.938534115020343e-05,1.1243011975350461e-09,36530.047056249154,4.9385520994565546e-05,1.1239655816794312e-09,36554.39098530442,4.99679201614621,5.5972576623057664e-05,-13903869.932762338
20,3.8074772776593666,2.730216031700681,13148919947.214735,5.066929788713029e-05,2.3151815203603302e-11,-5458.014432751127,5.066888884782646e-05,2.3000880227426865e-11,-5437.384391238701,4.986486933191905,0.00010971059493599677,107687380.696472
21,4.98325512055946,0.007601317311242359,-310276005.87072587,2.250553119473222,5.595415858385991,27214854791.209274,5.065137559581688e-05,4.1563426734427125e-12,-566.9252468030214,4.996293856152091,0.0001345720712325938,34085525.60318657
22,0.6843898043296962,1.0833958826614902,-6888219248.749673,4.997574498252907,2.958328955957512e-10,145563.56929957465,5.0627163663924706e-05,1.0576173088984983e-13,157.30700817680642,4.9989610786324,4.832370945478512e-06,-15592595.329214554
23,1.6320232023722363,4.555080523889407,30278525578.06505,4.997591324907594,1.2028462865721738e-13,3278.439207482929,5.062623501822589e-05,3.1864877407607656e-14,28.43366954414091,4.991572678331018,0.0001278304278430729,-47189178.046987355
24,4.99759048216498,1.2558864222651254e-09,2541.818262361935,4.997591817017771,1.1302871661966238e-14,477.1987392304596,5.568228043797145e-05,1.3844387879901118e-10,77284.60192990895,4.997570210421485,1.0130195562858524e-07,1505009.7604428881
25,3.609108588182898,4.079783866617068,-25942348569.18825,3.6093764505390684,4.079274215350027,-25940225594.172012,3.2473810591427537,4.500912771294287,26244368837.36105,5.003086766762337,0.0001343839652434371,-1436625.93743922
26,5.825050025731903e-05,2.714993137073534e-09,-221614.55188710755,5.843300266428914e-05,2.782573552436758e-09,-217027.49708018856,4.997589632769427,4.910123849333631e-11,32128.247904905893,4.997490094709865,6.363988106899707e-08,1251888.4898656518
27,2.379291118963802,4.982723822133884,29930304362.05747,5.0590464858758713e-05,1.2170438611124454e-11,2716.846481188487,4.997591302534956,6.520368371159866e-12,4362.865911993142,4.9896929463766195,0.00014346961792769742,20266104.333114255
28,4.99758114184997,8.909709990105003e-08,-45069.66205370737,1.9293125879073316,5.294034346987862,26536411283.428684,4.997591811717475,7.662426411187376e-13,669.875903242709,4.994612596984307,0.00012206026810918708,293876.4470257101
29,1.9107227153551778,4.3631255236858735,-17606386142.543262,4.997549995868286,1.9650100695369564e-09,363652.3638657189,4.997591871954798,1.7891805047524206e-14,322.0481253263993,5.002110355023953,2.86353027044329e-05,-43556903.33929931
30,1.5916805599570483,4.458775047853098,28339153477.037113,4.997591257306401,1.0600758744733132e-13,3836.5321599624003,4.99759192673175,5.8234369907968e-14,58.64214495564112,4.991460063313048,0.00012286800684043234,-49277753.98675384
31,4.997586891328454,1.2792940151306832e-09,-69833.26975020279,4.997591767013048,1.7098242568346056e-14,965.6143946458953,4.99759194465373,4.8641839153023e-16,-31.27764983522726,4.997414963406745,3.137672793967009e-13,1918.8339821730476
32,4.997593624491436,5.4587875702736314e-11,-1608.0106194312957,4.997591940946658,3.2015817783226264e-15,29.371769656896475,4.997591971211075,7.091741362821658e-17,5.104746766159829,4.997414933599038,1.5791753407930287e-14,28.653202924595018
