signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,2.355912377907521e-05,6.98499251573696e-30,2.769511127119432e-07,2.355912377915624e-05,1.9168402894805758e-30,3.9613240065283737e-07,2.355912377895869e-05,5.994965078775015e-30,-1.4625251628435465e-07,2.9734270074974903e-05,2.339689426104524e-31,2.764772025631785e-07
2,2.355912378023496e-05,,,2.35591237802753e-05,,,2.355912378039939e-05,,,2.973427005389975e-05,,
3,2.355912377576664e-05,,,2.355912377807003e-05,,,2.35591237779379e-05,,,2.97342701482175e-05,,
4,2.3559123778949082e-05,1.4839540511572002e-30,4.952200890036486e-06,2.355912377866355e-05,3.2941842505827594e-30,-4.237513899236996e-05,2.3559123781758097e-05,2.802630157194139e-28,0.0002216018493212531,2.9734270314654087e-05,5.012857888363904e-24,0.025302059052223293
5,2.355912377935132e-05,8.551229464380417e-30,4.139086699847311e-05,2.3559123779546924e-05,4.3944377442979205e-30,-1.9129288585382227e-05,2.3559123776207314e-05,6.648866035115104e-28,3.685202483658829e-05,2.9734269699860142e-05,3.4247567783384395e-24,0.006049527227340845
6,2.3559123779402614e-05,1.2708399033569363e-29,2.9499472779585033e-05,2.355912377918439e-05,1.529387523810419e-29,-1.1192777493005755e-05,2.3559123779537438e-05,4.982498719347217e-28,-0.0001148271932610289,2.9734270179725635e-05,1.0611192099711358e-24,-0.005808507463842476
7,2.3559123778237256e-05,5.803193454069634e-29,7.563263194569763e-05,2.3559123779267963e-05,1.4794685126182074e-29,-4.042367857797774e-05,2.3559123779787787e-05,1.3993842780262589e-28,-0.00013934481429483565,2.9734270116973978e-05,4.7860061158778697e-26,-0.0024761144874904375
8,2.3559123779038793e-05,5.50845411328312e-30,3.424508622102995e-05,2.3559123779202677e-05,3.7278050122939545e-30,-2.7114508813370914e-06,2.355912378338018e-05,3.327777563892144e-28,0.00010445577432697406,2.973427015518e-05,1.8857579578419147e-25,0.002872427281723816
9,-0.0003131575755045613,4.087658129873413e-06,-11223196.095282108,2.3557684448148476e-05,6.447249101776413e-16,-64.81614530875565,2.356034977531552e-05,2.5301500381115834e-16,37.05058802365924,-0.0005071213833646711,1.178390382236991e-06,-15548313.267707905
10,3.0869514692786164,4.331088340666251,44684968726.1112,2.3561716489329062e-05,7.616637406805231e-16,-50.37067887172206,2.3558387050445744e-05,8.144460370649297e-17,32.26015328250572,0.0008606343013599714,2.3612992281387045e-06,-8985202.399152964
