signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,0.0013891076928707613,1.4758936288051027e-30,2.661476056543889e-07,0.0013891076928169922,7.342383373963758e-30,2.2394541935176743e-07,0.0013891072202514075,1.4389161531657117e-29,-5.080939356517609e-07,0.0006592046074038153,4.158613566067578e-27,3.4922404414238685e-05
2,0.0013891076928728,,,0.0013891076928153,,,0.0013891072202468,,,0.0006592046072995,,
3,0.0013891076928663,,,0.0013891076928217,,,0.0013891072202438,,,0.0006592046070888,,
4,0.0013891076928717334,1.301318558486706e-29,-2.4142737202171006e-05,0.0013891076928143002,4.8160434301339035e-29,-2.304463704755491e-05,0.0013891072202489665,1.226311239621047e-29,8.504030233140279e-05,0.0006592046078131333,3.9255346382573e-24,0.01506526520819615
5,0.0013891076928699,3.6668768880303916e-31,-1.6386113608944575e-06,0.00138910769281755,1.4390255094051687e-29,-4.539727610376003e-05,0.001389107220254375,5.164289350423389e-28,0.00023240066363656482,0.0006592046081116751,2.8540296952215446e-23,0.0421807513280353
6,0.0013891076928701,2.2720040623780783e-29,-3.734440903889812e-05,0.001389107692817375,8.349310428203222e-30,-3.8863887337015955e-05,0.001389107220257125,6.2192342400266136e-27,0.0006852020918463181,0.0006592046071278749,5.916103361194129e-23,0.0672164450630657
7,0.00138910769287085,1.324381971589811e-29,-5.6589103647357166e-05,0.001389107692816775,9.42233599606885e-30,-3.182066183057023e-05,0.0013891072202524251,8.781218160758405e-27,0.0009724162585335515,0.0006592046069254249,1.3293600671579002e-23,0.03644166668375917
8,0.00138910769287149,4.9564567115086464e-30,8.090048954592555e-07,0.00138910769281753,2.811323516703738e-30,1.1985479612735466e-06,0.0013891072203078998,2.8792555799950123e-26,0.001994812329406815,0.00065920460915779,4.5750421154111417e-23,0.0652749904233185
9,0.0013891293072428367,3.6093472237848346e-15,602.2041814827382,0.0013891076816127158,1.7194581154181384e-19,-0.5669198577983764,0.0013891073991174473,7.414585402251876e-18,5.079542064074408,0.000660800646028742,1.6820126654280996e-11,46251.062231231444
10,1.7718477379676902,4.450160381654164,51832897237.684135,0.0013891052119448075,3.408573491155782e-16,-80.19748532857734,0.0013891065045997513,6.44375848649238e-17,-6.871910653616408,0.0007097447359472272,2.0033971383578093e-06,16621249.636422927
11,4.99492620879604,6.113766586035536e-09,1298618.0726152756,0.0013891104470857,2.9129361495863015e-18,-33.15574430487519,0.0013891073705437,1.6953446881591788e-20,-1.9931604405053398,0.0006593092237547714,1.1200464336945454e-13,-3977.738233101067
12,4.994986924922515,7.039360186570923e-10,170754.31366378177,0.0013889310359271874,1.5638045151003143e-13,-5164.116729302421,0.0013891040564891375,9.514832973348465e-17,-100.71559907222112,0.0006056920216751,1.8105912046983043e-08,-1571373.6631047786
13,4.994991625334618,5.227010409478235e-11,4231.657960547542,2.4781839053925867,5.166580231494888,50861493850.46593,0.0013891081762056217,9.853516038070173e-16,-5.557203073664342,0.003409579457557412,2.8220608580960316e-05,26065874.072327714
14,3.626876002942494,3.325031497932624,-46068929389.818825,4.994933169005866,1.8566528549142352e-09,1075196.4663540057,0.0013891096743266673,8.386401343895036e-17,10.488541292423173,0.0012826274343187636,1.5773275395299135e-06,-15048947.078919156
15,0.04927265405148848,0.007852955274966506,-1626398056.2518454,4.994985799529891,1.5744074901435975e-11,84283.19936913517,0.0013891075107601335,2.981665880690377e-20,-3.9781339049313074,0.0006574368624085999,4.977485977607577e-12,43764.138437782094
16,0.0014274177769824262,7.783337345537233e-09,-1673072.4979219832,4.99499284032499,2.0734636233952623e-12,20570.088211914623,0.0013891097280867043,1.735328596144805e-16,76.32017867791515,0.0003835296311842908,1.9745588394129352e-07,-6072942.2414459335
17,2.6033687394096208,4.564888049860537,55501741340.36852,4.994994239181569,5.162565017937423e-13,9952.741655060998,0.001389104811842797,9.305253503050306e-17,61.57180824966365,0.0006585482666081674,2.700926034751821e-06,3811739.602566805
18,4.994959880547162,3.1683930782597184e-09,-286310.11634862324,4.994995165211544,2.8238317889457627e-13,8768.6603401806,0.0013891072401282499,7.22243160358029e-21,-0.9883245439074927,0.0006710935010351749,2.156998461628006e-11,-111566.93824794656
