signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,3.118863480310299e-05,1.2785425644236615e-30,-1.3079828538755567e-07,3.1188634803381085e-05,4.409241150196489e-30,4.194334590052046e-07,3.1188634803021564e-05,8.70803855842142e-30,3.445422754874224e-07,3.729225460318083e-05,6.183091921598743e-31,4.372283712720149e-07
2,3.11886348025726e-05,,,3.118863480250275e-05,,,3.11886348027476e-05,,,3.729225456778081e-05,,
3,3.118863480480378e-05,,,3.118863480530393e-05,,,3.118863480239576e-05,,,3.729225472750926e-05,,
4,3.1188634802902925e-05,1.5147990006251186e-29,6.322582324573147e-06,3.118863480247167e-05,3.8303901346214034e-30,9.367136237005935e-06,3.118863480874695e-05,1.6708853659175102e-28,9.159102105421338e-05,3.7292255072671936e-05,6.259176460407099e-24,0.007911392921866827
5,3.118863480299127e-05,2.7936979749930188e-30,6.349503178652834e-06,3.1188634803335223e-05,3.450972159489575e-30,-1.1733896094314339e-05,3.1188634800120794e-05,4.609010021477771e-28,7.63649752663515e-05,3.729225450914113e-05,2.114005325770942e-24,0.003919133784141699
6,3.1188634803429115e-05,6.462846666209897e-30,1.2142148628342377e-05,3.118863480285488e-05,3.6437706459987746e-30,-3.2357700064778725e-05,3.118863480590935e-05,1.6939452380536128e-28,-4.418299077743528e-05,3.7292254638991155e-05,3.9071538582823176e-26,-0.0014694878437025482
7,3.1188634803004366e-05,3.758227824406543e-29,5.122473950833451e-05,3.1188634801802406e-05,6.302434547025241e-30,-3.854732663911316e-05,3.118863480281864e-05,2.7977196336719834e-29,3.511458324734171e-05,3.7292254591928656e-05,3.0785504434855742e-27,-0.0004820761394918216
8,3.118863480315799e-05,9.38112004884159e-30,2.0929333379466027e-05,3.118863480280687e-05,9.152272844754218e-30,-7.730497239660539e-06,3.118863480532503e-05,4.6068593917218134e-29,9.87365048949392e-05,3.729225467916137e-05,5.563632746842344e-26,0.0018546143847286596
9,2.9528902406629533e-05,4.3981890342657506e-11,-47841.756375155026,3.11903882247873e-05,6.832619900289893e-17,53.45619600445143,3.118764005310927e-05,1.805145163860395e-16,-44.130147894016645,-0.0001204506194297237,1.4626827793774977e-07,-4576435.235306358
10,2.5313506437632176,4.772710064662607,56839279854.352715,3.1187507808467515e-05,1.035744594538425e-15,69.05917748120984,3.119041500639498e-05,1.0117795731331662e-16,-57.07314283015694,0.00029091252370915156,3.670217944719763e-06,16295781.386680024
11,4.9977792701925505,2.202330834591577e-09,620005.8050603461,3.118864684804073e-05,4.201324024652736e-21,-1.0325256537953587,3.118863621653486e-05,4.102848663301312e-21,-0.8235512712639862,3.7291530220562896e-05,5.3507551924905493e-14,2896.3978260193853
12,4.997781429170332,3.492635166258654e-10,59763.75829593794,3.132647532489838e-05,4.817122790690438e-13,4213.109066707492,3.118942173324826e-05,5.120265688012317e-16,-4.620332137476633,2.7472890614321126e-05,5.891997166221767e-09,-418678.76886644145
13,4.998028035214709,9.494391062624912e-07,9956977.02853899,2.8946278425210967,5.2023102085577975,49416790018.96575,3.1189146855811924e-05,1.0115780230205103e-15,21.257546710389235,0.0002692668857949687,3.654361348323635e-06,18077887.372188415
14,2.3276591327883978,4.105229376490516,-47753931501.18957,4.997777476540336,1.2475873447701634e-11,81282.69804246665,3.118734241664676e-05,1.4314327839884226e-16,38.436830967327985,2.7320903355451233e-05,9.351399487654387e-07,-7002770.191721594
15,0.00018181232367300797,8.690602230935316e-08,-4804213.576221195,4.997781931388358,3.8655063475504195e-13,3755.952669957675,3.118863411166108e-05,3.5012173628031306e-23,0.024517067662482413,3.710406576845801e-05,2.8931058097831856e-13,3185.100227906524
16,0.03911160927578995,0.01530536619001697,1254607525.5837836,4.997782197975224,2.0389368897307933e-13,1225.4549115238742,3.1188756710579424e-05,5.829464781551699e-16,-26.582667969361697,-0.00033704716497799116,2.1195964064266724e-06,-4541430.60827242
17,3.6700543485494332,2.8912333416769846,34333819018.272415,4.997782127143201,4.900372828977463e-14,2256.1452725056142,3.118997823947761e-05,1.2973904804252465e-16,-23.147050216030692,0.0006879551129098296,2.620785907829793e-06,-22436898.17583984
18,4.997751834303132,1.0045507581599218e-08,-170856.50113241305,4.997782142436745,2.6924326343096678e-14,-351.3084097476086,3.118864444826989e-05,1.0980793641199015e-21,0.0875564804567148,3.8389307541959206e-05,4.842422151447443e-13,-12819.13356701443
19,4.997785056424966,3.5292690291124854e-09,-156112.49918009012,4.997782197971193,1.832143607015126e-14,-185.80630978915582,2.968453034999182e-05,1.1260628233151818e-11,-50397.68678167975,-6.680319886378283e-05,4.656321370153208e-08,-3393039.846875952
20,4.998223366989301,1.6084527103171411e-06,13631603.37970313,4.998219847153248,1.6151047282864496e-06,13421540.970346052,2.228441107640391,4.538617033186797,46841348822.98216,0.0010121364188957554,3.99560945278704e-06,24506950.30358681
21,2.2953951703953677,4.066381867595949,-47701798796.77929,2.2765174311603436,4.0535565001842535,-47528134760.13022,4.997201525568743,4.880454421079828e-07,14804065.34046742,-0.0004553463994154225,2.821528486126709e-06,-361663.94265681267
22,0.00027579893971719556,9.636339984135728e-08,-5360927.523459444,0.00027492532722594586,9.562750369946267e-08,-5316524.846686145,4.997781873805805,1.1042392275869325e-11,16740.971666189977,3.691225523553604e-05,6.1944752853884e-14,4685.420760846219
23,3.26638864344956e-05,3.1646645298355206e-10,-19448.896648318212,3.2092493390687224e-05,1.873883770276433e-10,-11953.892610722778,4.9977820730854186,7.224878794912981e-12,5985.860778728272,3.7277857656268354e-05,4.9568095607300446e-14,2058.489569640349
24,1.5874831148447897,4.279523215095076,51560777107.20028,3.110638599955002e-05,4.604538644863977e-11,8308.066951048111,4.997782152222065,1.8160693551000093e-12,1907.2393168659287,0.0001573142769058461,2.701862419413989e-06,17521047.12966037
25,4.997780400986451,2.0786909672345515e-09,264624.6468202894,3.057462817967685e-05,1.1275541030792343e-11,-5995.290659189908,4.997782070184038,4.069151303924392e-13,-1085.3182160892266,3.749292344565667e-05,4.129476920757894e-13,-2472.0877700033197
26,4.997780539858138,1.065643419119792e-09,198970.3542461272,3.120421069106032e-05,9.666364604173692e-12,-18328.13325195583,4.997782191674234,3.5158713040329843e-13,-3567.0590590382512,3.729617274768239e-05,1.222895008594039e-13,2174.8950732786675
27,4.997783100349913,9.476633335044143e-11,45453.32511537397,1.4876403935880214,4.358776220909659,40928393807.54972,4.997782199815519,1.1278972677355831e-13,-123.19352254366285,1.6135142959182914e-05,2.495839386652207e-06,5270162.487250543
28,3.4560115718315085,3.837491047756098,-47736697270.00631,4.9977342189011855,8.784451734277022e-09,1527208.5008908282,4.997782187307478,3.4891383390698577e-15,-92.27806666264057,0.00015271768202268615,9.293296356559177e-07,-8795040.396243738
29,0.0020400198855908954,1.0197022018124768e-05,-49942283.30892792,4.997781943685951,5.820502503653186e-12,10167.625502469167,4.997782187502759,6.417672599266212e-16,18.08740910629092,3.6849237031018876e-05,3.1586094447497364e-13,8623.616514247075
30,3.2873863540335506e-05,1.6359822614366947e-10,-102850.29225288905,4.997782028519853,4.164662828844996e-12,2651.30101537047,4.997782168352724,2.1878414708371725e-15,-460.3027064289855,3.7067281422190445e-05,4.052465453847899e-13,-6094.425126359196
