signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,0.0012219353558476846,3.153004873692485e-30,-1.0948788513894727e-07,0.0012219353558107307,1.592229945096991e-29,-4.8042181206599994e-08,0.001221935078539654,6.154402593008617e-30,-1.7841871037486934e-07,0.0005945553714643308,2.7491571589907055e-27,2.1577174580011685e-05
2,0.0012219353558505,,,0.0012219353558102,,,0.0012219350785354,,,0.000594555371409,,
3,0.0012219353558466,,,0.0012219353558161,,,0.0012219350785371,,,0.0005945553711222,,
4,0.001221935355847325,8.250473546632412e-32,-3.2686914411425378e-06,0.0012219353558102501,3.663292993833831e-30,1.6078731798168796e-05,0.001221935078536525,3.980204128281149e-29,-3.914877557542412e-05,0.0005945553711826751,3.310154139311036e-24,-0.01495721213386324
5,0.001221935355847825,4.689362844272058e-30,-8.722587078474912e-06,0.0012219353558101,2.8867532912597195e-30,1.187882483328473e-05,0.0012219350785307,1.387524427943788e-27,-0.00036928757971709984,0.0005945553709332748,4.140584018783389e-23,-0.049149914788719974
6,0.0012219353558487,5.3931772504285915e-30,1.943455223892404e-05,0.001221935355810975,1.696257629478566e-29,-2.6737683133473693e-05,0.0012219350785381,7.739154694771091e-27,-0.0007654434240726566,0.000594555371958875,3.2448769874815005e-23,-0.05339972816898982
7,0.0012219353558477,4.0332609388059845e-30,-1.0996529091843178e-06,0.001221935355810225,9.768879285201622e-30,-2.7819249462197883e-05,0.0012219350785438751,5.298371979214439e-27,-0.0007610532817839846,0.0005945553717959,2.7392235458551727e-24,-0.015675924551805935
8,0.0012219353558483726,8.066145285270458e-30,1.8629300161310548e-05,0.0012219353558107092,3.668916024350066e-30,-3.833385703187229e-06,0.0012219350786033727,3.777371250134524e-26,0.0016295164827112645,0.0005945553743136909,1.1998874037322976e-22,0.08507566033855389
9,0.0012219694687218233,6.354277605529427e-15,937.4145288214745,0.0012219353543294117,2.1277097227057279e-19,-0.32373485851357214,0.0012219355244988883,8.394914767489462e-18,10.039061056290093,0.0005968314399511294,2.872308416936752e-11,64349.105291841195
10,1.773563618992796,4.448850983729147,51650912365.851524,0.0012219331683931854,3.32442459718933e-16,-75.99809785076597,0.0012219343937830902,6.264793239316218e-17,-0.03601036006898769,0.0006491956131426506,2.0443426769529327e-06,16642688.448977914
11,4.995142542280986,5.457905089524174e-09,1204220.5674201616,0.001221937447934757,1.6565110869129912e-18,-24.939688291146574,0.001221935199615271,1.3719146062783792e-20,-1.6394071426324652,0.0005946723220310858,1.2894127396721064e-13,-4160.566086570628
12,4.995197865231146,5.673768065790919e-10,128612.50569915104,0.0012218174794668502,1.1232781392739846e-13,-3719.7114098252837,0.001221933028664,8.129744288108351e-17,-70.0708429282499,0.0005597564752378277,1.0620523089860776e-08,-1081239.6506396893
13,4.9952032577181855,3.694447472469368e-11,13486.747932447777,2.4514312239776204,5.165012485581357,50793934521.534386,0.001221935660651154,9.20075824071766e-16,0.7420040922602233,0.0032218763553790303,2.5964616941686463e-05,27752012.632073764
14,3.6525960717980914,3.3388609886817107,-45261916693.78959,4.995145587558394,1.8952476291992623e-09,1056668.8908088778,0.001221936463304025,8.061270423648392e-17,19.417827126342928,0.001202410985196591,1.5219365941537701e-06,-14006442.980566919
15,0.042883642293972374,0.006188815896307416,-1271729600.7838023,4.995198110619864,1.4269562373361465e-11,73482.71670130576,0.0012219352652223555,2.1486390955488685e-20,-3.0543504357921316,0.0005930048925630889,3.6930483924344246e-12,34272.06281394604
16,0.0012569864072168391,6.020455087741197e-09,-1439559.7679617289,4.995204112688897,2.7195752936974412e-12,22024.38730681606,0.0012219374127045652,1.8051632294021662e-16,74.57034413392998,0.00031832315470224735,1.980598825858668e-07,-6110469.013111258
17,2.604914042608203,4.55948328797493,55428766636.73233,4.995205602883045,6.203423453644068e-13,7268.2699338443435,0.0012219328403292842,8.649142678038067e-17,56.99169764001193,0.0006149090191976632,2.775866638288158e-06,3660334.9531298405
18,4.995173638927702,2.7740429885057594e-09,-267631.0317784436,4.995206542129755,2.527626216275734e-13,-3038.1278329354104,0.0012219350938135751,1.4581729148563433e-21,-0.4554559385920904,0.00060474429604245,1.8667223796906133e-11,-101991.08143056053
