signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,7.369521627064044e-05,1.8322017466050922e-29,-8.535233846368089e-07,7.369521627087155e-05,1.6651577564802966e-30,-1.2877131897653796e-08,7.369521627065032e-05,9.253499229987565e-30,-4.0437973266148806e-07,6.437806357494953e-05,1.3095734786407163e-31,4.816779885134839e-09
2,7.36952162694127e-05,,,7.369521626933196e-05,,,7.369521626967854e-05,,,6.437806354971173e-05,,
3,7.369521627273116e-05,,,7.369521627279053e-05,,,7.369521626961901e-05,,,6.437806369076119e-05,,
4,7.369521627058776e-05,1.9313501699610415e-30,3.2159889657499806e-06,7.369521627097656e-05,6.913499813146627e-30,6.440689358075693e-06,7.369521627094726e-05,2.4151323567944025e-28,-5.2181163025883565e-05,6.43780639580543e-05,4.644970157484656e-24,0.004261213010330521
5,7.36952162710169e-05,1.951986789964427e-30,9.611101840083465e-06,7.369521627143581e-05,9.988062423359926e-31,-1.8221909106880207e-05,7.369521627437805e-05,5.280829166848618e-28,4.47533323997201e-05,6.437806349620841e-05,3.8063826283712e-24,0.009803222286998769
6,7.369521627088025e-05,5.3853911630271965e-30,6.38645390730211e-06,7.369521627120015e-05,2.1867705581821682e-29,1.135114894488586e-05,7.369521627011437e-05,2.0678639776862533e-28,7.285810604563533e-05,6.437806351072355e-05,1.0384983890760588e-25,0.0017214623088159648
7,7.36952162700431e-05,1.166911452058895e-29,-1.5496438741036335e-05,7.369521627093499e-05,1.0294050913443639e-29,2.6851498864928863e-05,7.36952162693919e-05,1.1879028496837082e-29,3.776196444517258e-05,6.437806361033973e-05,2.1324721446006936e-26,0.0013435675420072361
8,7.369521627110182e-05,2.1113702106736056e-29,-4.5467733581967365e-06,7.369521627054987e-05,2.5385554961929297e-30,-6.814321693340811e-06,7.369521627161115e-05,7.966458997731149e-30,3.264045636398124e-06,6.437806358675499e-05,4.056527147879818e-26,0.0014481245873932274
9,7.359084917468924e-05,1.252717216802469e-12,-3659.477288858583,7.36947530228612e-05,1.1849508160322937e-17,-13.4836749817749,7.369544549565807e-05,1.2311866389743343e-16,-5.248504557757932,2.438890746408102e-05,3.121896392438053e-08,-1155533.3589390838
10,2.1161993216291073,4.673397147271511,57531440533.66933,7.369580949216162e-05,6.780441806690446e-16,-15.923604574824347,7.369554716947201e-05,7.317240897429688e-17,9.659864954444998,0.00021512054064846349,3.0310870170642147e-06,20098953.11477779
11,4.997454631754459,3.062574193372647e-11,105598.08736305649,7.3695244561042e-05,8.781607550156568e-22,-0.5747946978718114,7.369521676655465e-05,1.7145673560656395e-22,-0.08292890327636568,6.433657217103945e-05,3.8461329809408184e-14,-184.32955529867655
12,4.997460347497552,6.030564622183288e-12,11800.038105621645,7.38045515610064e-05,1.9697858691785574e-13,3210.3497524483505,7.369719998993569e-05,2.197084912307406e-16,70.10505011217735,6.279328785852327e-05,9.840813389879662e-10,-71500.17461743322
13,4.997523047595048,3.297818601534458e-07,3243614.423863993,2.5765695087639786,5.209371046319358,51617974198.22664,7.369494076663987e-05,7.158495758812901e-16,45.70124711483277,0.0005326622799233253,5.188296125652318e-06,20685754.817725103
14,3.0873890098155488,4.066601672922338,-52750498960.12736,4.997449045893728,7.368176600896298e-11,210020.24686682477,7.369551182337338e-05,1.9046956173566492e-16,-4.947567561667522,0.00021616036965872647,8.788049083870356e-07,-11775651.408190148
15,0.0019814189347297203,1.6390774713210803e-05,-51089085.04130156,4.997460099359779,6.404258873713125e-13,6999.279856007743,7.369521744039753e-05,3.327167208873445e-22,0.002382148276249594,6.396029410035521e-05,1.8623592542795282e-13,6388.263332509719
16,0.0006272211351825636,6.044648957180701e-05,20072180.757236682,4.997460851497195,3.09063931667546e-13,1086.2646624943786,7.369669137699762e-05,3.817887665334911e-16,49.515787581184284,-0.0006145988655556073,1.0266751737109426e-06,-16660298.980196862
17,3.0185120415777775,3.9372067888752493,54969829007.8779,4.997461029090457,1.0851759045127701e-13,-650.7672769133201,7.369413398676748e-05,1.2826829867159087e-16,70.24018246692286,0.0008316224629670738,2.812533429728982e-06,-24464175.133670896
18,4.997456865474592,2.1253216149710753e-09,-422868.49231374863,4.997461139476867,4.644322926153553e-14,-1774.6829673144578,7.369521756023139e-05,5.404413871314537e-22,0.2309116461476078,6.59607236927931e-05,1.9475876472348023e-12,-28789.369489747187
19,4.9974628610507255,8.568199138920831e-10,-60508.6609445733,4.997461229075465,3.6585522516454755e-14,200.97698137801382,7.232934732034686e-05,6.7130386770912344e-12,-56358.13678421458,-5.607095854347367e-05,4.676917569678158e-08,-4787447.596394869
20,4.9974606902145515,3.161176686209339e-11,10858.061235704903,4.99739057543096,2.813589577746761e-07,-1181401.0811811863,1.3359599185804105,2.6957700570607788,30687099067.560593,0.00030162566904816217,8.922677764721479e-07,6107443.440982445
21,4.99746109180585,1.1347262364406674e-13,-279.70703269891317,2.9587291521148034,4.1309972436329785,-50140923031.72463,4.99284408195052,0.00015240980850548942,158246015.0839115,0.00013918051620961477,5.654833012802467e-07,-5879840.653021136
22,4.997461158470295,5.170595209980927e-16,536.107521312658,0.0025104531776380334,1.1616315797228798e-05,-66509559.95944812,4.997456339222697,4.140860378911712e-11,104063.75256684038,6.383853307561034e-05,1.518085442913662e-13,6373.0440785382225
23,4.997461219204852,1.964691187650986e-16,293.30323616855685,7.281780612860021e-05,4.858730044716323e-10,79059.24268226381,4.997460438174697,1.9630886235443286e-11,20662.004141871617,6.433511623172872e-05,2.0975228241525332e-14,64.24364069039324
24,4.997461251270298,1.4085570379421252e-16,214.72904068661742,7.371599128860785e-05,9.859037058864385e-11,-61916.22642136214,4.997460920854917,1.737693647122848e-11,27353.751543354047,6.436730276411192e-05,1.857510975369078e-16,13.961401699553878
25,4.997461267307133,5.958306329720184e-17,111.5734091314644,7.708557843641721e-05,1.1531293276559738e-10,47501.55803511618,4.997459828544755,1.858648365103721e-11,-9838.443760612648,6.437600965822753e-05,4.063492107378837e-17,1.4162902327615017
26,4.997461289969588,3.283605300071453e-17,58.09747891462249,7.358453188955243e-05,8.555859739584923e-11,56592.764514058785,4.997461212831917,1.3393823683396599e-11,-20837.609671054706,6.433739870011309e-05,2.947005237520945e-14,-1224.4899172514931
27,4.997461333161056,3.5287666409424386e-13,884.5336656331071,0.9949201612448644,2.8508953000023447,30419091734.32594,4.997461237283982,3.54587025731896e-12,-1393.537639348861,0.00010815026994546897,2.521714124943323e-06,6992636.694909875
28,4.997461293926046,2.2810584644718173e-16,325.1912874144596,4.995946380318574,1.0438979842041364e-05,42216864.477075726,4.997461249188638,5.445803716992793e-13,-2755.387458285328,5.445060941952023e-05,3.3263793719908014e-09,524870.946498171
29,4.997461312715963,4.249495902185618e-18,42.91523236330644,4.997444176512336,2.5283015143491167e-09,-66082.76936961437,4.997461495761207,6.230759191791299e-13,1797.9077419905989,6.519107602060547e-05,3.099994448675665e-13,-12232.68226838855
30,4.997461319860948,2.4200909448972396e-18,30.873943377620346,4.997461246265941,1.4240069323338346e-09,-185192.99405614482,4.997461285275571,4.922944052507975e-13,3558.1869204646864,6.428086959260309e-05,1.2207350821569142e-14,-980.6846081507321
31,4.99746132454041,2.0275157746306243e-18,24.879257498529494,4.9974614715760035,7.182983365949619e-10,-118514.14303868734,4.997461296937473,4.613701653849914e-13,3127.2829703099806,6.416309007495588e-05,1.1344469619453618e-14,114.43846140341135
32,4.99746132810442,1.908830787881218e-18,25.394254922222846,4.997465222979153,4.963372075755122e-10,16910.248029650793,4.997461182868561,4.577243786367902e-13,-716.4650561292893,6.411594657810577e-05,1.0986316057507387e-14,-232.75334487637735
33,4.99746133199964,2.1895230416419844e-18,28.207860548552546,4.997460901346183,3.840406881606081e-10,180089.1816873732,4.997461316210725,4.4196699958336686e-13,-5920.260276388035,6.411876594924604e-05,1.6618957928431403e-14,-1198.759824004241
34,4.99741717473304,1.7746939352427672e-08,-1304412.626716105,4.997416796708896,1.7696852107829106e-08,-1285015.578093404,4.9974171144814905,1.7752881806934707e-08,-1306609.2558403711,0.3073677422227161,0.15905798584445563,7369518733.155537
35,3.2591371832175198,3.8075471515988113,-49819061118.077934,3.2591138074833568,3.8075671610024306,-49819289983.306366,3.2592463404028877,3.8073488769197903,-49817598101.846825,3.660609545435854,1.158785843409851,29341041760.06908
36,0.017901316254817633,0.0007546421976012894,-397976991.02118087,0.017900336334999625,0.0007545586313912157,-397952895.26738626,0.017907394615288875,0.0007551562097733473,-398115704.7959543,4.994464040140227,1.2914664816001966e-05,59348240.54217911
37,7.286512671090795e-05,5.740758757440684e-10,160455.82339522144,7.282881639322489e-05,5.812903030733228e-10,161253.16973371568,7.288769913400421e-05,5.696621431842215e-10,159933.06754057307,4.997276958780126,1.024652002937491e-12,2897.339805433767
38,0.016590327001610183,0.0037231853323718878,551415713.0480351,7.349273497720836e-05,5.494351116827556e-11,4153.398057470514,7.348158115562136e-05,6.173131130684612e-11,4454.7355616213335,4.997652717689059,4.0639459237880446e-05,-7503572.265618783
39,3.4131299708243743,3.3673674521808166,40692595531.26856,7.373441086906122e-05,1.5532602210607092e-11,-9816.373977113366,7.373624470872078e-05,1.734366436190807e-11,-10359.363814498724,4.983774577600804,0.00011573724175222645,280194862.2870519
40,4.997441857895548,1.0818476263305642e-08,975074.2594292808,7.36993446765607e-05,1.2397656556402522e-11,-24865.79450514789,7.3699577809941e-05,1.3843239832216651e-11,-26275.55496368331,4.997276800078727,2.300891444446704e-13,4599.32779350684
41,4.997457161218862,1.2782940904173308e-09,91767.85461168055,5.9215869608517446e-05,2.4147716471279332e-08,-506679.2918277121,7.37164075999748e-05,7.311210396851107e-12,-3785.480003997191,4.998490288062985,5.770791755270469e-06,32743694.73814476
42,4.996978366411247,8.777544784458953e-05,-20859175.180227246,3.6399719206040175,3.9780596601947282,38561052629.47602,7.371312800876932e-05,1.0980135193952074e-12,-506.80492294165043,4.994857574593289,0.00020917190922915195,238571658.17433968
43,1.5257479597714567,2.3953583496914743,-31724013917.992813,4.997421797194451,5.66377097635669e-10,554729.0979582439,7.369271130316304e-05,1.0814563382052801e-13,602.0629818287138,5.000734609845125,1.2651573682449584e-05,-74020729.42039914
44,0.00017002002365606783,3.7539700862175184e-08,-3325160.844802544,4.997457813765007,1.922712209666063e-12,29754.251236800435,7.367217757774744e-05,7.088119346501095e-14,279.7315222495167,4.997277185256945,8.732412027784844e-13,-9881.55903752549
45,0.19353798804329916,0.15025346893098065,5860820673.330252,4.997459826399384,2.3750680020632813e-13,6900.218256469556,7.369777399332002e-05,3.6090109037320606e-14,-254.62273322585673,4.992148110964216,0.00016771798862211303,-171834338.82093576
46,4.514566453348128,0.6400421864481517,11901783748.491922,4.997460318361192,4.997950498224826e-14,3586.868423235816,7.36982022859499e-05,8.471569884540275e-15,160.0745764920474,4.989904148778071,4.1177798315296656e-05,145949960.83225006
47,4.997455724619737,1.4428709761628694e-09,300924.3463697386,4.997460650913913,3.7119186732628456e-14,1338.3033292735756,7.366871313260212e-05,8.42812108985899e-15,-174.65159980595044,4.997276883835927,1.6212886203181717e-13,1473.426630913243
48,4.997457674414805,3.7228860219079223e-10,56979.96029023144,4.997460932396415,2.3706284533506663e-14,823.0242344573165,7.509387297702455e-05,1.9237102111157725e-10,17086.923107007202,4.9974754780865,1.0708501582521814e-07,2139960.540364474
