signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,7.369521627055274e-05,1.7020298149337787e-29,-8.61773383130332e-07,7.369521627076157e-05,1.706378743994987e-30,-2.107271241304784e-07,7.369521627058092e-05,8.609147041287802e-30,-4.59000268754589e-07,6.437806357314683e-05,4.561705691660077e-29,-3.2767296533360317e-06
2,7.369521627094499e-05,2.310781760534756e-30,-8.182289660080424e-06,7.369521627127887e-05,6.079222888459668e-30,-5.239758248412905e-06,7.369521627072587e-05,1.935046277796809e-28,-1.766855758981124e-05,6.437806391350547e-05,3.727883728580238e-24,0.0031327210784807473
3,7.369521627094858e-05,3.340264335354828e-30,1.2305878854684235e-06,7.369521627131798e-05,1.0409015722616164e-29,-9.576903380020367e-07,7.369521627224621e-05,3.3898940496320523e-28,-5.442270329399793e-06,6.437806350346598e-05,1.777435854901646e-24,0.0012404488284608558
4,7.369521627083714e-05,1.7706349630330764e-29,3.5930229920276896e-06,7.369521627064615e-05,3.748206268040124e-30,-1.94496638626961e-06,7.369521627105634e-05,8.961027937105619e-30,1.258710989363393e-05,6.437806359265118e-05,3.349301400156259e-26,0.00019630419354319973
5,1.3023048097906718,3.924290835770225,20699417165.568096,7.36954031578153e-05,4.1789503800692744e-16,1.676105709557701,7.369550806415896e-05,9.076142067170077e-17,1.0898573604461768,0.00014176222019293176,1.8675206076627404e-06,3799028.245893731
6,4.997459454412693,1.3455581463291002e-11,32401.96935761473,7.378747234226197e-05,1.6683383786353328e-13,1232.8503455239288,7.369689011128239e-05,1.8480692063771247e-16,25.211563197637815,6.30344260323539e-05,8.256876312112432e-10,-23700.309189403153
7,4.233469432483249,2.4847314173488853,-15743747713.135614,3.5449213236158794,4.524571601085906,23033236866.00491,7.369516918933328e-05,5.012753490739614e-16,10.948843064035517,0.0004060615158174857,3.4595686873243114e-06,796070.7196131606
8,0.0009657705850693529,4.9082539938552265e-05,-7379589.405022271,4.997460663462841,4.863978765565393e-13,4293.432549759583,7.369632289284761e-05,2.8431207415847085e-16,15.968165799390889,-0.00044495907564161654,8.51971813138159e-07,-6197664.182248161
9,3.265880144564879,3.871334272971151,19818229344.313786,4.997461042888757,1.0038557059815907e-13,311.985806897145,7.369426943345047e-05,1.1185016598509681e-16,18.456828132861258,0.0007359147455577887,2.5158142287711384e-06,-8273839.667573233
10,4.997461290658599,2.471596762084676e-10,-12191.646280412824,4.997410117928376,2.0286503261322133e-07,-646087.0946668374,0.9664590960265772,2.2987653266774597,14151766506.650959,0.0002026883039696246,6.784633007436892e-07,3041390.744306573
11,4.997461101805516,9.666274446637531e-14,252.8691409489374,2.515296347274229,4.63828294873822,-29425112940.07512,4.993535920541348,0.0001317439939785219,70696097.44430564,0.00012787921873951412,4.79228190124255e-07,-2175111.017610702
12,4.997461227949974,3.8752260344556794e-16,226.9163145291113,7.306276571769319e-05,3.7069367738577627e-10,13011.832488730925,4.997460569814757,1.820783889236165e-11,8140.7349437825405,6.434389437692414e-05,1.5241799427814782e-14,172.12667359800844
13,4.997461285437097,1.2235508342359872e-16,107.04971859537878,7.428474119892538e-05,8.579914439296354e-11,-5999.798080001584,4.997460935974485,1.3507430721279236e-11,2730.679045609245,6.434512089173596e-05,2.3416412898363595e-14,-343.77790138053996
14,4.99746132683283,2.9527334100272697e-13,200.24907391335708,1.6402469707728817,4.584560122297753,30052383414.11991,4.997461239204088,3.044947460571724e-12,-712.272048860725,9.948903437676754e-05,2.1092056273404207e-06,2577127.3403274566
15,4.997461318212105,1.234078360376962e-17,39.57905323421276,4.9974573070920325,1.545422725004791e-09,41184.33399542294,4.997461333849178,4.815868294514175e-13,-239.01956544193425,6.449091722983439e-05,2.2014434525631964e-13,-4780.616642232211
16,4.997461325911184,5.07596059285896e-18,27.028657656200398,4.9974629144233695,5.880615669740442e-10,-1115.243490309389,4.997461253064815,4.250437270406365e-13,-79.49481566185628,6.414495796078275e-05,1.0849586808787557e-14,-259.9945971784869
17,4.997427364871485,1.3847648836336142e-08,-631596.0802241963,4.997426974702116,1.3885533098981841e-08,-611724.1708633109,4.997427314880544,1.3852978788331702e-08,-632958.9183318833,0.2364515214250007,0.13831831853218804,3841546233.753671
18,2.6249823396813388,4.736204784133529,-28167281328.56748,2.6249633457369392,4.736197421799866,-28167220480.779327,2.6250713292705314,4.736153751418856,-28167466885.48511,3.9215810770084487,1.2132449232013067,13675012685.633383
19,0.012640499161960356,0.002863816591506379,222891401.96328294,7.333397183756014e-05,1.707704802981075e-10,13385.11725358153,7.333956588958246e-05,1.7329862060534071e-10,13025.892515300327,4.997562862297791,3.0731630290375726e-05,66057.19788479993
20,3.6243715557671976,3.2029542325090086,14925356411.683113,7.372973537672783e-05,1.4672837506170828e-11,-3258.373568273814,7.373135578888348e-05,1.6383654804968996e-11,-3438.7476046743336,4.985574873931194,0.0001215668650190596,114066470.71257071
21,4.99715051735331,5.5910942387652735e-05,-7037055.458223473,2.331239262721983,5.617053199380068,27771512341.19781,7.371430718762972e-05,3.274278407049083e-12,-546.8286811730308,4.996163718762169,0.00013821565647316217,35486042.092218935
22,1.046280607279291,2.1367175881556726,-10204485293.079376,4.997433116688054,6.71483662600582e-10,221934.98016019608,7.368625784660385e-05,9.409828931298479e-14,-13.175602841530123,4.99964799068884,1.121034983420629e-05,-23351723.707887776
23,1.6338808098115756,4.528269756205797,29881651910.44321,4.997459990386652,2.277330481819539e-13,5619.772635479606,7.369791675752997e-05,2.6568296710843336e-14,-56.91150145772242,4.991400123568835,0.00012518834384052906,-49305251.90849541
24,4.997457408533658,4.5698984061569095e-10,30204.33962886824,4.997460894012438,3.363025897385182e-14,1344.200225704723,7.489953299823969e-05,1.6514083720929724e-10,10222.984620682077,4.997448397052331,9.665310595885514e-08,1358410.5082970825
