signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,7.369521627115801e-05,5.109969556223226e-30,-8.731249375535413e-08,7.369521627100107e-05,6.754465877964235e-30,3.657148921886527e-08,7.369521627083214e-05,1.4176391795346945e-30,-2.035341171456929e-07,6.437806357309781e-05,4.604487124467166e-29,-3.276628065679237e-06
2,7.369521627109434e-05,1.1247921912272574e-30,-3.71277710379122e-06,7.36952162714299e-05,2.232646243726806e-30,8.59628232591442e-06,7.369521627070107e-05,1.924254329135234e-28,-3.164661695719576e-05,6.437806391337789e-05,3.7162198945761875e-24,0.0031359017747229065
3,7.369521627097597e-05,2.0832823735770065e-31,-9.143682992759287e-07,7.369521627094393e-05,1.043862078631336e-29,-4.94035399816086e-06,7.369521627154052e-05,2.8229465390037456e-28,-3.4196917044989977e-06,6.437806350338689e-05,1.7669259616436205e-24,0.0012425470821129702
4,7.369521627099935e-05,1.0925392033784792e-31,-1.6705222724821963e-07,7.369521627109893e-05,4.496679946639502e-30,-4.1993535571845456e-06,7.369521627108168e-05,8.571042546520982e-30,1.2689471087774125e-05,6.437806359290453e-05,3.001141787477703e-26,0.00020848843192835772
5,1.3023047705869413,3.924291096980438,20699418413.073395,7.369540315226067e-05,4.1789572487873993e-16,1.6760553166790058,7.369550503929572e-05,8.999418106163596e-17,1.0979535863339975,0.00014176160193395354,1.867520267115918e-06,3799026.402896019
6,4.997459338663716,1.3100621183483895e-11,30841.74390637513,7.369277352206057e-05,1.128406947792581e-16,-32.74947546567735,7.369535440114228e-05,7.503153803058409e-17,1.3422936803411425,6.425849987745384e-05,9.77470920061288e-14,-1473.2681972846722
7,4.107438216798466,2.8236494812432764,-17024950777.858376,7.3084048435879e-05,8.27008969537485e-12,-9605.517574161373,7.369541782808565e-05,4.0585285913912616e-16,-7.124057423134776,8.245549211579603e-05,5.588859681278447e-07,-1282278.2678061903
8,0.0003649545388212222,2.7609014649431038e-05,-1300312.137818403,7.441251346942778e-05,5.598235710815119e-13,5443.64717313416,7.369648852727245e-05,2.810162568865078e-16,20.137160007452373,-0.0004934228996994936,1.1006736014667155e-06,-7579167.381899727
9,3.359377510533472,3.7972013576361023,16058795242.774755,7.30954032654971e-05,3.0417721418937886e-12,9996.082360084252,7.369376558054652e-05,4.959168278855567e-17,21.438349870131642,0.0008828397997938582,1.2176322137567776e-06,-6301691.574799217
10,4.997477572070598,3.8292931519080693e-07,533423.3454186902,7.501007755228537e-05,1.51302333900766e-11,18548.364278917696,0.924663904916857,2.3593823369001226,13765362373.097973,0.00024592550368566964,7.839407625999773e-07,3864235.4798166687
11,2.4354819538636296,4.579824330112856,-29261142372.551495,7.40120811032329e-05,1.1944210478682385e-13,-4273.185388325415,4.995033540512142,3.065448265687792e-05,41292938.72602947,1.9557779478692596e-05,7.783848802142722e-07,-2162373.0855622934
12,0.9403891945852284,3.0221535368393098,14002004367.421053,7.369537913839779e-05,2.9764087529798647e-17,1.09440164796224,4.997460818514711,2.363375212601199e-11,1254.708844840914,0.00012839491164470104,1.5819346382567364e-06,2978608.995415019
13,4.997436691311389,8.702421533759212e-09,384013.22685524495,7.369521810889042e-05,6.309159866219652e-21,-0.06278152518234434,4.997461237356174,2.8714139500116618e-12,5.543949781939445,6.72255650441374e-05,9.357161485811177e-11,-46209.68815115754
14,4.482191464103515,1.6328657205884418,-10344961762.20967,2.8639963074107584,5.53279978004417,26612778236.59044,4.997461229940581,5.060316900831252e-13,392.9521991550126,0.0004193849688933109,3.223928925681005e-06,2270538.766386772
15,0.02968543197272171,0.006835493993039988,-515543065.163242,4.9974600063880255,1.7484073556013174e-12,10242.50386714807,4.997461276990162,1.3110441606107091e-14,132.8226192433964,6.337409529306357e-05,5.4832146790624596e-12,15220.792845642805
16,1.9654771978869348,4.898547154157744,31994194794.914036,4.997460989975494,2.0915370449428137e-13,768.2704756366275,4.997461300460406,1.2806290949897992e-14,3.215335149943899,0.00010426596844732145,2.5573258507150504e-06,3139937.4724131995
17,4.997435906775725,9.694165933043969e-09,-418333.0137063009,4.997437296577867,8.590162932416136e-09,-493859.7713481772,4.997437333770162,8.598924434487395e-09,-494894.59052805207,0.21195922586956487,0.11930892954826541,3785787295.9828243
18,2.6559116672267584,4.743985930921765,-28866239217.39374,2.6559357836658184,4.743990077725606,-28866298861.15613,2.6560436180436033,4.743926288649973,-28866480825.369953,3.8813684225097957,1.3005736238934267,14563555515.116709
19,0.009351599550679992,0.0018856301683520544,154368467.0575633,7.350924178743287e-05,4.3035289259370915e-10,16421.44766623116,7.350816347193625e-05,4.2970537353621197e-10,16457.331710177685,4.997805668344902,2.4672015453127663e-05,4632447.892232039
20,3.5882212852479296,3.2516273115965775,14971676812.13862,7.365051497151571e-05,2.4261798169864517e-11,5124.153487701995,7.365055090291481e-05,2.3924208884574732e-11,5090.772963839252,4.985352424096305,0.00012050272362976407,112980609.52821776
21,4.997269720403828,4.298951251762804e-05,-4654940.941591253,2.189709692707845,5.514846122486989,27134473486.302673,7.367151674804346e-05,4.266043801330408e-12,529.4638693844613,4.995610437720741,0.00013088680928944485,26804503.001621805
22,1.017219252489164,2.1518348720045353,-10170646884.749744,4.997433998289275,6.743969774940503e-10,220261.12827836678,7.369833810584279e-05,1.2690786302900966e-13,-150.00888500713566,4.999587933181385,1.1380432582712714e-05,-23323962.69453359
23,1.6613793536926154,4.5605480972026795,30382822518.76165,4.9974599939179045,1.6107311676442438e-13,5745.202705155697,7.369628719980133e-05,3.6639211080354015e-14,-149.24680963174774,4.991323598001929,0.000126389526120911,-48839690.40610227
24,4.9974573405013345,3.833039238518195e-10,33493.87929342862,4.997460894528936,1.3966089987725446e-14,1233.8065954528877,7.50020006160049e-05,1.5929673012454982e-10,11654.316765382007,4.99744800619466,9.653308698644328e-08,1356479.7690631808
25,3.770927511127633,3.681254103382277,-25536082274.67573,3.7712072688753313,3.680688568054683,-25533318902.499302,3.234808543078514,4.410976076800254,27630343121.879433,5.003586834170727,0.00014180096022171893,3379345.0169758284
26,0.00010190341481546598,9.911137105847867e-09,-788699.1381013226,0.00010189525051902848,9.897502031853287e-09,-787715.0056851857,4.9974564533461905,7.736425215319057e-11,55708.57447815624,4.997325266036231,2.3568941974006434e-08,745855.0789174973
27,2.335406058794758,4.969338393601803,29436731979.75827,7.381988450059541e-05,2.584274985336896e-12,-2899.4468690409685,4.997460052751511,8.249404837377451e-12,4148.635159043984,4.989787907910186,0.00013797795083707909,13995987.56368855
28,4.997435068498149,4.0855397081556364e-08,-414809.0749689307,1.9297595312196836,5.199003504212806,26813835624.975613,4.997460885704996,9.552079649424143e-13,1095.8200621405806,4.99383118677977,0.00012357049393545296,-6044253.609181643
29,1.9763964634340767,4.664539585722287,-17898764152.28613,4.997405952007117,3.685275576071842e-09,473800.79579956096,4.997461055562118,3.248718298772445e-14,307.49219501980474,5.001687317128306,2.7089659945453548e-05,-39324390.82063304
30,1.6588505288086441,4.497736887718131,29943684581.30979,4.997459902352755,4.0911965789296995e-13,6211.20745713292,4.997461166108984,5.50145984146924e-14,124.56676613090949,4.991106901300442,0.00012256362343651437,-50531016.68232006
31,4.997452482346333,7.1698362696067e-11,80312.40312011946,4.99746079207765,9.25898260920001e-14,2111.4545833489838,4.997461216401967,1.5800757409574064e-15,252.22237156259365,4.9972770449562125,1.2862272809229266e-13,1148.6742977494803
32,4.997461024141968,2.2447269603212698e-13,260.3454490728585,4.9974612219425065,2.407916499340809e-14,88.64473131915778,4.997461304869041,1.6646493390386194e-15,26.932860909759846,4.997277024296083,6.4082767845481624e-15,19.423496005760434
