signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,7.369521627128952e-05,1.8910418518276234e-29,4.051889362085166e-07,7.369521627107035e-05,1.3957214780386281e-30,4.805200536696804e-08,7.369521078359776e-05,4.043246167946698e-30,2.0972740815214354e-07,6.437902232138484e-05,1.1553464381982317e-23,0.001869185093232667
2,7.369521626915047e-05,,,7.369521626922602e-05,,,7.369521078258556e-05,,,6.43788932764163e-05,,
3,7.369521627267936e-05,,,7.369521627246739e-05,,,7.369521078955881e-05,,,6.437894134576325e-05,,
4,7.369521627080735e-05,1.2544114506833253e-30,4.5113373596238415e-06,7.369521627128286e-05,2.2574640644609968e-30,7.96049336278322e-06,7.369521078191353e-05,4.664424188106591e-28,7.851451455107669e-06,6.437893284492826e-05,2.5929317184342343e-22,-0.05170259755178156
5,7.369521627059146e-05,3.992125173953323e-30,-9.767901441293921e-06,7.369521627057089e-05,2.994009532013779e-30,-2.6144499899795816e-05,7.369521078389855e-05,4.433518198066139e-30,1.570918202491548e-05,6.43789314762705e-05,2.1734050769704546e-24,-9.614460181840511e-06
6,7.369521627159863e-05,1.1496872860911305e-29,-1.7719528470973394e-05,7.369521627103238e-05,5.09059494490342e-30,-8.10293070170883e-06,7.369521078347189e-05,8.733150956850657e-30,1.249172113370323e-05,6.43789319654027e-05,9.240052391521602e-25,0.011089348910642102
7,7.369521627030112e-05,2.3263162685312523e-30,-3.7673753311613206e-05,7.36952162725966e-05,1.1652188375668875e-29,5.016661785455207e-05,7.369521078360706e-05,7.92505759544416e-31,3.974902453295318e-06,6.437893290594402e-05,1.5573903872170483e-25,0.007946421517900109
8,7.36952162711861e-05,2.3362248599861495e-30,-3.913758032833628e-06,7.369521627145431e-05,2.0864266695099385e-30,1.5749214768301784e-05,7.369521078398726e-05,9.968332633197533e-30,1.3249618241349472e-05,6.437893440925583e-05,1.6827289064734277e-25,0.009267289886147008
9,7.359084763065445e-05,1.2527243326416437e-12,-3659.5199147693684,7.369475138761614e-05,1.1866833777959565e-17,-13.528694982436276,7.369543344582149e-05,1.2234698506290883e-16,-5.369422716257956,2.4182900388683425e-05,3.151501253547207e-08,-1161464.3780692453
10,2.116199252312834,4.673397447706557,57531437379.847885,7.369580879975901e-05,6.774347699418594e-16,-15.938353812430407,7.369557352531665e-05,7.950394503549179e-17,9.881800655242582,0.00021532621744544019,3.0386894095232023e-06,20087970.465937983
