signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,7.369521627050631e-05,2.3459695353363102e-29,-5.78590118354372e-07,7.369521627096609e-05,5.02392099366205e-30,1.699831217801296e-07,7.36952111826904e-05,3.2633837738979095e-29,4.7008510551060335e-07,6.437847553132574e-05,1.5702964527854059e-22,-0.005613425451106023
2,7.36952162714592e-05,1.4097858017433205e-29,-1.2298192785759346e-05,7.369521627019722e-05,6.550201705405643e-30,1.6514879536041876e-05,7.369521118334652e-05,2.3331085277244446e-28,-7.15560027160304e-06,6.43784629218638e-05,1.2064143202567837e-22,-0.05528541144864883
3,7.36952162710732e-05,7.736401745063138e-30,4.471905125378804e-06,7.369521627105424e-05,1.7985954979009847e-30,-1.7729712239728484e-06,7.369521118230033e-05,7.501853610485678e-29,7.292582126312288e-06,6.437846253570922e-05,1.4901048849750318e-24,0.006809720037931548
4,7.369521627133923e-05,1.5948509266275175e-30,5.6791443496026735e-06,7.36952162713172e-05,2.4357404302391946e-30,3.2666469083055855e-06,7.369521118278655e-05,2.6304271221278048e-30,2.798531863676145e-06,6.437846495434408e-05,4.365617952410379e-25,0.007614596844095944
5,1.3023047725164476,3.9242909517420643,20699418082.597324,7.36954025433528e-05,4.176861655340598e-16,1.6735679843882658,7.369550660750043e-05,9.11547099376405e-17,1.1663441492409514,0.00014179131491334347,1.8703190967592313e-06,3798965.453500176
6,4.997459454412857,1.3455598935622625e-11,32401.932932423228,7.37874718331397e-05,1.6683430730251914e-13,1232.8425956005317,7.369688920285271e-05,1.823542709335555e-16,25.2592290115306,6.302227005795257e-05,8.312751454533277e-10,-23897.60881876776
7,4.23346937281465,2.4847317149667725,-15743746120.411638,3.544921348815363,4.524571513871195,23033236544.956596,7.369516185952316e-05,4.991822703382914e-16,10.97612948848132,0.0004062823715851621,3.465385279660957e-06,794438.7580908141
8,0.0009657555036688998,4.9081459370230195e-05,-7379768.750134732,4.997460663462567,4.863986580774828e-13,4293.428863393917,7.369632567853516e-05,2.8093899849644637e-16,16.092473585740635,-0.0004454237782719506,8.53711171188787e-07,-6203118.282468244
9,3.2658797835443956,3.871336541309138,19818204811.257114,4.9974610428838995,1.0037363860449287e-13,312.02480389491114,7.369427868968452e-05,1.176214441756245e-16,18.391084040489954,0.0007362303625290345,2.522891978866782e-06,-8285393.209312876
10,4.9974840848206314,3.9071093324922317e-07,617926.4433512599,4.997496566931783,4.407725954549733e-07,848583.8269752016,1.0456011108763708,2.6064252293131225,15151824029.865856,0.0002677309374970428,1.208084076960321e-06,3628777.492906592
