signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,7.369521627070984e-05,1.6253398993784488e-29,7.83803661985353e-07,7.369521627121591e-05,1.6725038410767617e-30,3.087436122028338e-07,7.369521116729748e-05,1.888159635533295e-30,-2.6332049001654603e-07,6.438230775376826e-05,2.8571917604795903e-22,-0.007454957565846111
2,7.36952162715956e-05,7.786752474205144e-30,-2.2015869034882635e-06,7.369521627149138e-05,2.3377594704600924e-30,-4.255252886007984e-06,7.369521116816339e-05,3.6234858977194765e-28,8.334995445201285e-06,6.43822639289524e-05,2.8951035786605723e-22,-0.11998105655755104
3,7.369521627111958e-05,5.981998780623218e-30,3.924143755755264e-06,7.369521627054134e-05,1.4538311654505936e-29,7.063218606452573e-07,7.369521116737676e-05,3.346504475261243e-29,7.170437878109241e-06,6.438225550559666e-05,4.756873700434671e-24,-0.01919175161963586
4,7.369521627126196e-05,3.4351599143062106e-30,5.563284586870145e-06,7.36952162711456e-05,8.614795867671699e-30,-9.289769935040951e-07,7.369521116848587e-05,5.555951918710467e-30,3.060503204605438e-06,6.438225394353088e-05,2.8610726668149507e-25,0.005765147467070053
5,1.302304762987932,3.9242909440801754,20699418025.31328,7.36954017889944e-05,4.174152487726251e-16,1.6701234099163484,7.369558910268816e-05,9.894378313490704e-17,2.1370083054626665,0.0001418027516046797,1.8733035959635238e-06,3798439.7986186706
6,4.997459454411761,1.345558985775594e-11,32401.929925245997,7.378747133916491e-05,1.668346931519074e-13,1232.8356713671017,7.369687886423586e-05,1.8318873489813435e-16,25.098593076184894,6.301300090247756e-05,8.377198702630883e-10,-24107.88744053282
7,4.233469357914967,2.484731798472607,-15743746375.506636,3.5449213549693153,4.524571476170247,23033235849.303455,7.36951268171955e-05,5.389329765051326e-16,10.496635126051759,0.00040652832132933203,3.471812035751922e-06,792661.4736519046
8,0.0009657586142550889,4.908170678403142e-05,-7379711.013032397,4.997460663462262,4.863984098334962e-13,4293.424534207844,7.369640473966476e-05,2.7253564721031034e-16,17.279216940006066,-0.00044594016379008477,8.557240213159436e-07,-6209236.378029509
9,3.265879894448222,3.871335979422157,19818206047.616478,4.997461042877774,1.0035916771387552e-13,312.07330424579044,7.369443458220101e-05,1.4837786782671808e-16,18.138450513066573,0.0007365463578547571,2.5308921679015843e-06,-8298266.548079031
10,4.99748408448696,3.9070969254972245e-07,617920.759099402,4.997496566596721,4.4077132660909826e-07,848578.1090035534,1.0456005491500031,2.606424186067266,15151820398.109802,0.0002676909052515978,1.2107310611867774e-06,3626412.6467660605
11,2.610656892576687,4.66307661390768,-26166070993.30359,2.5960805853960234,4.667151278622437,-26117695833.058517,4.994764829134302,3.023126538949122e-05,37205957.675328165,0.0003011207487489793,4.42226727323093e-06,-7596618.730086607
12,1.0328570569577973,3.249297289162157,15404568751.45157,7.291442263859609e-05,2.8072670044623277e-10,27498.28428659086,4.997460747904698,8.857396853271228e-12,3969.992616395632,0.00013873392931295131,1.635391371813662e-06,3244259.0407469
13,4.99744858844126,1.0598604987937472e-09,215025.30902158705,7.370427465380492e-05,3.2305240754990498e-12,-1327.9026773007902,4.997461156237202,1.0940726206980694e-12,-234.23357544593443,6.501296950651316e-05,6.754664347377082e-12,-13071.363930735224
14,4.476877749896246,1.6468491433165646,-10639695901.962757,2.8928093175314937,5.501898413585039,26919720471.657356,4.9974612424901785,1.9304337886804153e-13,85.07834482099314,0.00010928825341596378,1.780438135671807e-06,1131787.7310663313
15,0.029824835258251498,0.006891861314906138,-518439840.4632774,4.997460013870613,1.401015725978256e-12,10219.678775553624,4.997461278652334,4.941588401084372e-15,125.08211800509196,6.33808583345014e-05,5.472671390739595e-12,15226.970628869714
16,1.9648418509358783,4.897230244674194,32070891779.40979,4.997460988204113,1.2167880076789006e-13,855.457334820144,4.997461300314493,1.100403603196123e-14,20.247814400238788,0.00010494162845737468,2.569843737719279e-06,3152501.6194577827
17,4.997436372832346,9.39588123506824e-09,-407268.0325025139,4.997437730113135,8.35875137135997e-09,-480164.1807893053,4.997438566047619,7.769373111065914e-09,-464313.0013207312,0.21160653717146452,0.11849861182557403,3740908312.3858004
18,2.78550941225505,4.674137608314957,-28389115951.947433,2.7855327441883313,4.674139700958384,-28389157159.567535,4.964875244055411,0.0027861877362179116,26385949.512184802,3.8136612209499026,1.338405238253268,14637534366.126207
19,7.46800457906449e-05,1.618429543111894e-10,-32937.860111932554,7.464919380384007e-05,1.0051050173329407e-10,-30299.093051990076,4.996408726058779,1.3427609492972245e-13,-519.5059778609482,4.997288764111924,3.744293377067846e-12,235.17674299603829
20,7.37096504599313e-05,1.0108494248531444e-10,-15787.89237326583,7.370637199946228e-05,6.332988342128113e-11,-12497.275076121678,4.9964087956099545,8.092552517559392e-14,-621.1199295033535,4.997288891272144,3.520263899321794e-14,-248.16882644415966
21,7.378386811786275e-05,3.6682383834585684e-11,-1548.1080199216258,7.37655441026082e-05,2.3144383333262936e-11,-1223.1402163924845,4.996409650100462,4.1219487537028684e-10,34926.62488378163,4.997276759370967,6.533973747612621e-09,-181496.8387123778
22,7.368734451325134e-05,6.653837020288838e-12,2099.30785878646,7.368895102078701e-05,4.22703414462372e-12,1673.23425063804,4.996411723062693,4.217889696903789e-11,-44441.77255291452,4.997293615773872,1.0213171761969501e-10,-71793.85078676732
23,7.368355807828947e-05,3.488292132012347e-12,1757.3792119786247,7.368593413689588e-05,2.217045266107935e-12,1401.0314594058718,4.996406768740298,2.775626963276006e-10,-47192.463878707305,4.997312726553504,4.9314581085308155e-09,-82807.32007309016
24,7.36925206709495e-05,2.3470384697326144e-12,3119.9707450427995,7.369307058686737e-05,1.4921064720501188e-12,2487.642712157813,4.996420346098918,1.1254657768192023e-09,146638.49269048247,4.996949742033012,2.0256772058684394e-07,-4063748.229191007
25,7.369223851815797e-05,2.049566189538758e-12,2062.8694432355255,7.369284399520186e-05,1.303065324210802e-12,1644.8173160790948,4.997093246360112,4.0283711462746026e-08,1907604.2030007667,4.995698775553054,3.2290267866451688e-06,-7552955.703001641
26,7.369881516273308e-05,1.5445061486587507e-12,1055.1984785761904,7.369007711394652e-05,8.768811470022641e-13,762.8294697803786,4.997457496771854,7.649599176190828e-12,32598.000774598397,4.997317972513667,1.8755210277848034e-08,729102.2637777363
27,2.3693920820108807,5.054528736247289,25779067992.10296,7.369007244431912e-05,1.9632764738636116e-13,248.28755459854432,4.997460087098333,1.5340226044554175e-13,3557.608517764691,4.99008631812299,0.00013701905105950035,18515689.55321916
28,4.997434766985843,4.188209356451551e-08,-437205.9000073006,1.9504130582067192,5.239873407130151,27200276702.547737,4.9974609160297,1.307643235814711e-13,769.4836800167278,4.993837995584787,0.00012628145969871898,-4128513.493704271
29,1.9763372605430212,4.664249025694004,-17903128081.222874,4.997405812248134,3.7055157020330128e-09,474721.0253518208,4.997461061277642,8.722747882996031e-15,348.8942561855319,5.001687203535227,2.7088896145164452e-05,-39334512.058987245
30,1.6583212687130047,4.497080926839737,29944511844.74786,4.997459915621715,1.893131291477027e-12,5972.171345898234,4.997461168416181,5.0424592239424025e-14,138.79727859578745,4.991106929259224,0.00012259276043584817,-50542410.561645426
31,4.997452467616324,8.172107621945945e-11,85050.34071115236,4.997460791503506,5.019924400227292e-13,3494.5514105422144,4.997461218500725,1.605288967857542e-16,137.87757893947773,4.997277044902137,1.3007127376085873e-13,1156.5017329969578
