signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.795643765996372e-05,6.76990024275735e-30,1.1467802852380361e-07,6.795643765979993e-05,1.1035505958418871e-29,6.216731550488169e-07,6.795643438637528e-05,1.6733089063977944e-30,-2.5215825083188548e-09,6.094427551575108e-05,3.238593731863186e-25,0.00033835580225202765
2,6.795643765997537e-05,1.9610406025707356e-29,-9.863966041770006e-07,6.795643765920147e-05,3.746546581435483e-30,8.138897118256438e-06,6.79564343836364e-05,8.67444997203321e-28,9.648216683735507e-06,6.09442756012994e-05,7.845264356185104e-24,0.0040373561860645975
3,6.795643765924521e-05,6.566139793316232e-30,-2.821659981109286e-06,6.795643765944098e-05,4.768778785189354e-30,3.6235695641239535e-07,6.795643438786406e-05,2.3582182070221067e-28,-1.8916341331946404e-05,6.094427566315328e-05,1.2043882655373011e-24,0.00014853634516343167
4,6.795643765944864e-05,3.102431774840847e-30,6.176046163298825e-06,6.795643766028431e-05,1.477528887194402e-30,5.9925428636808256e-06,6.795643439580307e-05,1.1750135112290073e-27,0.00011875944287512337,6.0944275839729494e-05,4.4374156177032735e-25,0.0026418571245898645
5,1.3226044567067583,3.95994196570537,22153969745.265003,6.795663700207226e-05,4.366038440188117e-16,1.9371850179521346,6.795680012261981e-05,1.0330196758767035e-16,1.3862714939299063,0.0001342398170591954,1.9373882032978138e-06,4200848.1141410135
6,4.997488447720177,1.317280293164562e-11,30803.960133906807,6.800482123716327e-05,2.906597489160724e-13,472.8330897390124,6.795711176114948e-05,2.9651726366696946e-16,3.7386171656001363,4.544626237717669e-05,8.021786072483888e-09,-215319.99312385474
7,4.161567716038681,2.710653898472238,-16768522326.882677,3.5677824779787697,4.466164613799764,22204816662.46851,6.795635232208134e-05,4.932954130538434e-16,-2.4867710319558527,0.0003892790133745156,3.4196410119198236e-06,679707.6464794491
8,0.00043037154566559336,3.259226811306661e-05,-138621.08950013193,4.997489639781198,4.603136684772249e-13,3940.5053800522423,6.79575658925028e-05,2.790610642897358e-16,18.382613244007924,-0.000435843419250853,8.402658352239562e-07,-6757564.826391661
9,3.263181244989365,3.8908386528295966,19688140455.305664,4.997489978614434,9.637543145651624e-14,219.5702760564134,6.795553426401513e-05,1.392367371145247e-16,18.376342871617545,0.0007346264679739413,2.562113449833768e-06,-8202887.28614384
10,4.997487330133382,3.642356736630287e-07,207996.20577685343,4.99749886210148,4.1258611248456494e-07,428365.1734717702,1.0674746648719744,2.608826595263824,15442717793.284971,0.00030696283438463894,1.216157479009782e-06,4130818.531997908
11,2.682716257016338,4.74518117617512,-26339625378.995464,2.6695055185046046,4.749074299243981,-26299183468.515812,4.994707406489347,3.310023532242235e-05,37309714.06801476,0.0004453037897368034,5.021937041251577e-06,-8972536.396706287
12,0.8351901178229421,2.557537053097319,12675827625.740734,6.811602443164424e-05,3.892724627139297e-11,-896.7164551732304,4.997489795484144,8.52796752687727e-13,2140.377426190182,0.0001398990102431941,1.8075687815918533e-06,3648877.150174865
13,4.996798227355388,4.4523581668999446e-06,9003826.405304769,6.790216468103204e-05,1.1409660023111453e-12,212.5443819431491,4.9974900715722175,1.0469876913208701e-13,457.291007772343,8.965822586310341e-05,4.8583716685408164e-09,-369371.63341818756
14,4.546900361287519,1.4232349336765642,-8942522969.098608,2.952273438532533,5.465766549553402,25600357137.107845,4.997490141470604,3.0655056115278073e-14,210.1893659715691,0.00014696301900344246,1.7026046361101065e-06,740678.6482205037
15,0.04881618054753049,0.018664217315398794,-918315376.4257833,4.997489100474882,8.352317620252723e-13,9114.977001186842,4.997490185502266,4.807779587641951e-16,107.07080453169625,5.853028759497223e-05,6.590734523381455e-11,44364.047319312456
16,1.9606017827099478,4.891608759623695,32690061106.071545,4.997489926140824,3.5766939020508766e-14,882.7244625744994,4.997490200899973,9.979266926594792e-15,48.14726180851693,0.00010436520961542878,2.5946952585378527e-06,3272267.7291928986
17,4.997447441891473,1.857966932895268e-08,-697053.1447267937,4.997448707392544,1.7648857770101417e-08,-758027.5560687616,4.997449644571115,1.6771652190064788e-08,-741669.3702980076,0.2598451772172393,0.15733300110616086,4151256940.0672865
18,2.6780598750560185,4.675723607764015,-28892960022.006084,2.678084047858508,4.675726658410451,-28893020409.904972,4.9246656886700455,0.010933843546139967,96069375.7649325,3.9107092169416786,1.1722001753134903,13923523861.142408
19,6.73357105171287e-05,6.143926654071282e-10,26018.047305990058,6.742667957338509e-05,5.161088875403339e-10,24716.94531093025,4.995245778018739,3.905374113185858e-12,-297.5743637192243,4.997320941886292,1.2096398510947237e-13,413.9238009296792
20,6.859643382384927e-05,7.39619473894602e-11,3907.1115836552945,6.842931763288293e-05,4.047470299204735e-11,2903.8700496886568,4.995245604963459,2.880888889720651e-12,-787.750387464566,4.997320948479513,3.858703244861876e-14,-169.49403304123814
21,6.791572231403686e-05,2.36278919665659e-11,1842.759014694237,6.792631751907272e-05,1.3004145984192311e-11,1364.8399152686786,4.995245754923606,9.494638029451395e-13,423.7029208573713,4.997321025569122,1.564750656944675e-12,-468.3898152161552
22,6.795167806203072e-05,3.518243045303437e-12,1833.8551838731496,6.795290804218035e-05,1.9360064372545926e-12,1360.3651785793006,4.9952457360821185,9.534662189883243e-14,-384.35621357857696,4.997320963709469,1.2414041464325403e-15,-169.79495506327177
23,6.791335620603382e-05,2.0281452033916284e-12,-123.33135390981599,6.792447703723622e-05,1.1157840733997624e-12,-91.3999147233836,4.995245705234254,1.0934520358883034e-13,-421.07348902974223,4.997321071781466,6.694974236283076e-13,-142.0488483811512
24,6.805835903927949e-05,1.3800507008625773e-12,-550.9358989091638,6.803202995715353e-05,7.590852529048876e-13,-408.60555600187274,4.995245702211627,3.4943045380629755e-14,-101.91575475729077,4.997320978940976,2.2226844347231824e-15,243.4741879375623
25,6.795050964422248e-05,9.263914302187995e-13,1041.1641502009597,6.795202227775405e-05,5.095031587288607e-13,771.7773247574623,4.995437772574464,2.537980642730626e-07,4734331.453933065,4.99567057527786,7.3125403202577365e-06,-28634435.82370872
26,6.799291901908204e-05,5.727084044076624e-13,1073.9783176162618,6.795384059407983e-05,2.6153311517166184e-13,374.9730381375546,4.997475956468865,1.0279754813232197e-09,264261.8568816381,4.997298880786444,4.912167604837426e-08,1675725.613076361
27,2.2811222278516197,4.974139500181823,29900405987.11375,6.795296896174854e-05,5.978086968778818e-14,179.49733094106776,4.997488673149065,2.1395414090835743e-13,5484.400228722538,4.990026131905689,0.00013923334254640918,9522878.32245089
28,4.9974754305996845,5.5705848854919566e-08,-154827.82254919215,2.007491636250886,5.306806551550677,27877021634.275387,4.997489816214269,1.3213622677939812e-13,958.0649695069661,4.993975848411291,0.000125882579946389,-1093520.582054073
29,2.0001045021366988,4.586103601544166,-19078328001.640385,4.997438201237148,2.956638552458591e-09,462936.8988969688,4.997489961055516,8.807251183401905e-15,467.07608339024523,5.001957143420991,2.817005333977008e-05,-44160689.69498356
30,1.5951714957741578,4.437006241469029,27847742227.92056,4.997488947790753,6.757879298663815e-13,5829.485995641015,4.997490075459686,5.110010409030336e-14,185.1368728301099,4.991369921482432,0.00012048918629646243,-49187179.701114334
31,4.9974826742162595,5.207526350848047e-11,71417.11426705819,4.997489771803746,1.6903087352253485e-13,2344.1873066227463,4.997490125864675,1.5427398094286797e-16,136.5097584190304,4.9973073947059135,1.453262645138512e-13,1186.1804572330961
32,4.99748994525641,2.0640653006386518e-13,236.37815313225943,4.997490128701666,2.513555434561404e-14,80.73832219029059,4.99749020564427,1.0751188749491406e-15,21.667512177822044,4.997307371970411,6.935902254476241e-15,18.96289088103411
