signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.795643765935629e-05,3.286389060301579e-30,-2.1568966705377693e-07,6.795643765979627e-05,1.5772042368473328e-29,1.3748368316699453e-07,6.795643441523005e-05,5.488241580562903e-30,1.6085989288566488e-07,6.094477517258539e-05,4.1206730593992076e-26,5.429544699744608e-05
2,6.795643765916909e-05,9.667683724073706e-30,-1.644987643115078e-06,6.795643765980661e-05,3.213950598036032e-32,-2.7982701135937696e-07,6.795643441194236e-05,1.671770759858434e-27,7.41777731712708e-06,6.0944775080204775e-05,8.015182566659092e-24,0.003893552489048975
3,6.795643766013036e-05,9.63517051515925e-30,3.7339837554682074e-06,6.795643765963203e-05,3.470346518203134e-30,-9.368083060643203e-07,6.795643441644398e-05,2.531693823556148e-28,-1.3860198851818576e-05,6.09447751458884e-05,1.223245897647796e-24,0.00012109526696244009
4,6.795643765948684e-05,2.3138466327347314e-29,4.9869041194700794e-06,6.79564376595982e-05,1.3226402124327487e-30,-2.655544062028628e-06,6.79564344243626e-05,1.1885090001042512e-27,0.00011969282905445338,6.094477532278545e-05,4.444976638117523e-25,0.0026504910987110043
5,1.3226044564025645,3.9599419633596296,22153969394.338333,6.795663695031676e-05,4.3658317471114064e-16,1.9368990835487838,6.795681123643354e-05,1.0410712213796903e-16,1.522839671880472,0.0001342384511742397,1.9375609081109287e-06,4200772.654251362
6,4.99748844772006,1.3172802388366783e-11,30803.96012179205,6.800482118500244e-05,2.906598588413944e-13,472.8322912040159,6.79571085085557e-05,2.968779614846486e-16,3.6896475159730406,4.544307150830232e-05,8.025124183304179e-09,-215370.87068713206
7,4.161567713532441,2.7106539054802536,-16768522326.913586,3.567782474990176,4.466164631351037,22204816660.97935,6.7956349020696e-05,4.966127680619975e-16,-2.5316979823538657,0.0003892983553376525,3.4200145441232985e-06,679584.5723759637
8,0.000430371297263417,3.2592251001125655e-05,-138625.30255305846,4.997489639781186,4.603131355802823e-13,3940.505172669573,6.795757481359696e-05,2.7808360737619273e-16,18.53299584727366,-0.0004358733514642983,8.403884859360115e-07,-6757967.640145413
9,3.2631812381773564,3.8908386892125923,19688140426.5038,4.997489978614018,9.637428048330414e-14,219.5738784971808,6.795555516533102e-05,1.4287878832791663e-16,18.328407119013935,0.0007346439661635781,2.5626028221535752e-06,-8203658.171339929
10,4.997487329496525,3.642334610544402e-07,207985.04774077845,4.997498861448251,4.1258378908686893e-07,428353.79105295555,1.06747405472755,2.608824326846263,15442710419.857796,0.0003069800435307187,1.2162829685052098e-06,4131002.5576506713
11,2.6827177411137018,4.745183527381105,-26339637525.27652,2.669507052966013,4.749076562728764,-26299195779.93851,4.994707397089439,3.3100564630983385e-05,37309845.71911039,0.00044533595195092053,5.022618700336455e-06,-8972967.687174158
12,0.8351894355172295,2.557534023437422,12675815563.814339,6.811604358224461e-05,3.892117687317116e-11,-897.4584081657113,4.99748979549707,8.529034037911638e-13,2140.531630498824,0.0001399005864643074,1.8077317205139135e-06,3648863.231576174
13,4.996798216254181,4.45249274975439e-06,9003966.066183267,6.79021754470406e-05,1.1405110875782093e-12,212.49984724076734,4.9974900715684605,1.0471050528311182e-13,457.3528735723726,8.9653285968194e-05,4.8564612098449965e-09,-369299.87884670374
14,4.546900122171216,1.42323592240656,-8942507110.1868,2.95227176317951,5.465769651654109,25600331036.662895,4.997490141482409,3.064327068401146e-14,210.21416380096602,0.0001469620770592491,1.7028876808758029e-06,740749.5507673759
15,0.04881584629626103,0.018664021643965606,-918309838.482373,4.997489100474688,8.351898939531794e-13,9115.029834797453,4.997490185502114,4.806996753514611e-16,107.0678804864155,5.853125540821138e-05,6.587831350645814e-11,44356.06356627418
16,1.9606018520999122,4.891608842962952,32690054631.44397,4.997489926139965,3.575344921917198e-14,882.7623146503443,4.9974902009163475,9.985586635359842e-15,48.17663001336443,0.00010435454954925514,2.5951104637815453e-06,3272103.1004053103
17,4.997447702759904,1.847964125697725e-08,-692326.8111003963,4.997448967595317,1.75508720489738e-08,-753327.8237041758,4.997450173965761,1.645492463720165e-08,-732006.2034087887,0.2595753928910919,0.1568852640005628,4146322308.911477
18,2.731721777078365,4.644177058403815,-31149029651.1228,2.731746295297417,4.6441768189205,-31149071478.611107,4.942149526129753,0.006397015434899424,37756505.63187624,3.8852620226949144,1.1792192242057926,15212587517.036064
19,7.159478973520255e-05,2.320909394858044e-09,-152235.93859716164,7.155919423051508e-05,2.143632790488044e-09,-148711.16499699152,4.995554289232883,2.6354320197059873e-12,1108.925563210931,4.997320753561148,1.0920506702767154e-13,-293.4768774212905
20,6.796831778515419e-05,9.185100081128364e-11,-16847.28444139709,6.796547677358489e-05,5.450171018402346e-11,-12978.056804575199,4.995554283323778,2.50813508115262e-12,2748.617259750436,4.9973207501527215,9.009269597482122e-14,462.5957772399232
21,6.800557261070326e-05,3.035643916427904e-11,-2088.3423285749946,6.799430553498582e-05,1.8046497902354954e-11,-1608.9296790710177,4.995554285651881,1.0156030815979512e-12,1423.6835396115857,4.997320776778856,2.85169616806107e-12,-1553.1070197644367
