signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,7.369521627049811e-05,9.344320483036823e-30,-2.4958034938789676e-07,7.369521627102434e-05,2.1780263110110586e-29,-2.254970841236378e-07,7.369521627125803e-05,6.885290788647775e-30,4.3259547733135717e-07,6.43780630705897e-05,4.572591119626228e-29,-3.225428055856335e-06
2,7.369521627052806e-05,5.9544910925645205e-30,-5.028164748691569e-07,7.369521627131468e-05,7.307139593800092e-30,9.635028398351528e-06,7.369521627095554e-05,2.7905592438378563e-28,-1.822910920937548e-05,6.437806341634909e-05,3.611266975411748e-24,0.003287342956254626
3,7.369521627089292e-05,6.098105519550068e-30,2.481287328944113e-06,7.369521627083064e-05,5.129077270403184e-31,-4.466198280047028e-06,7.369521627141957e-05,3.0551452642029747e-28,-3.2089024636695393e-06,6.437806299683476e-05,1.677155891090335e-24,0.0012822663725642885
4,7.369521627094354e-05,1.539628233899597e-29,9.913045787046162e-07,7.369521627079472e-05,2.6233464176288745e-30,-6.217105100490511e-07,7.369521627093155e-05,5.53354009050476e-30,1.312869799357516e-06,6.437806309208471e-05,3.265996482076549e-26,0.00017728845739764876
5,1.3023047787347655,3.9242909554419705,20699418119.919174,7.36954031539748e-05,4.178955731356197e-16,1.6760783471591154,7.369550617469559e-05,9.046310891270886e-17,1.0980751227015793,0.00014176188057632818,1.867519950119153e-06,3799027.458262403
6,4.997459454413724,1.3455605029770355e-11,32401.938064960854,7.3787472251653e-05,1.6683400052352305e-13,1232.8487834061807,7.369689578051698e-05,1.822787368476062e-16,25.283519605881818,6.303405186228865e-05,8.25607518097166e-10,-23705.893067336292
7,4.233469469171023,2.484731242779891,-15743742161.7768,3.5449207940491445,4.524573993101191,23033247412.04311,7.369516995075036e-05,4.946546867161094e-16,10.978905538738381,0.0004059890297564667,3.4589336427870244e-06,796687.3348002133
8,0.0009657525954600143,4.9081182850814574e-05,-7379868.600931425,4.997460663462055,4.862860978023544e-13,4293.493911001723,7.36963237077252e-05,2.8163834200461776e-16,15.987737178803034,-0.00044495746029081935,8.519609345933698e-07,-6197643.219815473
9,3.265879591570414,3.8713374840968946,19818200761.639595,4.997461042888514,1.0036099126801451e-13,312.027270382709,7.369426470547147e-05,1.1210239831396724e-16,18.534607707441697,0.000735904167826187,2.5159694997764354e-06,-8273726.936896367
10,4.997484078777756,3.9068820984062364e-07,617823.421932154,4.99749656087327,4.4074950978958664e-07,848482.2860207455,1.0455916932308142,2.6064049066391055,15151796550.561739,0.0002679795547247386,1.2052142696710952e-06,3634716.0520473467
