signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,7.369521627102356e-05,2.5313923883247923e-30,-8.263556330927742e-08,7.369521627055991e-05,7.791633124158583e-30,-3.8953999276750434e-07,7.369521627134968e-05,1.6861362739895707e-30,2.402090623229346e-08,6.437806296855397e-05,4.755273878068733e-29,-3.2439483331128628e-06
2,7.369521627091683e-05,2.8343230781822614e-30,-9.105116298861592e-06,7.369521627037148e-05,2.7386856137891644e-30,7.698178610739246e-06,7.369521627113928e-05,1.6033535959318122e-28,-7.495583667162286e-06,6.437806331081751e-05,3.513812848821132e-24,0.0032619542860104957
3,7.369521627102011e-05,6.319734606044004e-31,-1.8808211684698932e-06,7.369521627122977e-05,2.3157447414710923e-30,-2.9482667458417646e-06,7.369521627118753e-05,2.138272596650287e-28,-8.182756924544998e-07,6.437806289512639e-05,1.6210131236137042e-24,0.0012728609460992781
4,7.369521627173627e-05,6.310480490500483e-30,3.929687670641072e-06,7.369521627077442e-05,6.737718859501719e-30,-2.379230476528612e-06,7.369521627069733e-05,7.071795572144829e-30,2.960657785370293e-06,6.43780629903787e-05,3.11547904891518e-26,0.0001775401433695072
5,1.302304778748735,3.924290955296606,20699418119.72158,7.369540315335538e-05,4.178955160431071e-16,1.676073885560751,7.369550616045539e-05,9.046011416702259e-17,1.0980717825363473,0.0001417618912205713,1.8675199310579928e-06,3799027.5573988697
6,4.997459454413722,1.3455604980759434e-11,32401.938119042716,7.378747225105883e-05,1.668340054923843e-13,1232.8487727705167,7.369689580411255e-05,1.8225713418653655e-16,25.283741862060737,6.303407587629988e-05,8.255954294332231e-10,-23705.563309673435
7,4.233469482744472,2.4847311781031345,-15743740411.156748,3.5449204127966025,4.524575620960589,23033253042.148884,7.369517022620213e-05,4.944680047777416e-16,10.977840458129648,0.00040592968434775264,3.458439392032016e-06,797196.6270929213
8,0.000965752610759568,4.908117633271273e-05,-7379876.308107921,4.997460663461517,4.862055541191832e-13,4293.538112298495,7.369632360337926e-05,2.8161597979693607e-16,15.986420491590383,-0.00044495631053075664,8.519524897403569e-07,-6197626.950546657
9,3.2658795428099774,3.8713376921090603,19818199620.310772,4.9974610428882835,1.0034327319584825e-13,312.0576324489522,7.369426499993317e-05,1.120825342786098e-16,18.531767608133755,0.0007358949634076314,2.516099121809642e-06,-8273648.766034755
10,4.997484087119343,3.907160962475968e-07,617962.4529317801,4.997496569433205,4.407782256282978e-07,848622.413960749,1.0455998958785044,2.6064079483428926,15151751188.586245,0.00026798972498099874,1.2052346413123784e-06,3634793.4973865817
