signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,7.369521627068142e-05,4.094677328370801e-29,-8.044954088953661e-07,7.369521627084675e-05,1.5811808617508447e-30,-2.600719370638579e-07,7.369521627127445e-05,5.361168802333785e-30,-3.8129804718212956e-08,6.437806325293518e-05,1.0306312255846823e-31,8.100000591992109e-08
2,7.369521626945065e-05,,,7.369521627271758e-05,,,7.369521627255095e-05,,,6.437806322753615e-05,,
3,7.369521627266829e-05,,,7.369521626949189e-05,,,7.369521626996833e-05,,,6.437806336971505e-05,,
4,7.369521627060977e-05,2.2578679349325806e-30,1.884572355760039e-05,7.36952162711464e-05,1.2306644855581019e-30,-4.540714478803493e-06,7.369521627094285e-05,2.732473937950651e-28,-3.8353532331774795e-05,6.437806364091877e-05,4.534526476493436e-24,0.004488645036061643
5,7.369521627191846e-05,3.642154012421849e-30,1.3653801087395388e-05,7.369521627139109e-05,3.9289933202684355e-30,9.178238945095272e-06,7.369521627289563e-05,4.597357177968611e-28,4.3730165210475715e-05,6.437806316325074e-05,3.6623193354936045e-24,0.009777145180016779
6,7.36952162712548e-05,1.0147182846943556e-29,2.66583552591438e-05,7.369521627087989e-05,1.4304271030501023e-29,-5.3489142894252785e-06,7.369521626984493e-05,9.908443604090355e-29,6.0683003987601395e-05,6.437806319306261e-05,7.685694630956323e-26,0.001462716764826739
7,7.369521626964768e-05,5.750560908577429e-30,-4.339220395221075e-05,7.36952162707922e-05,9.7811882449218e-30,-4.347825450904615e-05,7.369521627099665e-05,2.424733944020976e-31,7.54015210420119e-06,6.437806329308219e-05,2.5287909570198453e-26,0.0013192605692841832
8,7.369521627136755e-05,1.4094514910581112e-30,-1.7251522880299562e-05,7.369521627121168e-05,7.668249449719176e-31,-2.050708368168209e-07,7.369521627117643e-05,9.763767632366772e-30,3.470817290482062e-05,6.437806326495446e-05,3.9379024137989524e-26,0.0014846346733091017
9,7.359084890002556e-05,1.2527210273072944e-12,-3659.4854835398505,7.369475302447696e-05,1.1849460772285814e-17,-13.483640787810472,7.36954573430389e-05,1.2123443169289813e-16,-4.848987050250655,2.4388631705326304e-05,3.121849001012028e-08,-1155539.0666327735
10,2.1161992711622424,4.673397428095738,57531437502.95718,7.36958094848652e-05,6.780451889334338e-16,-15.923489144899431,7.369553669722833e-05,7.384419110150705e-17,10.165828717850955,0.00021512013881128995,3.031086294626858e-06,20098954.705432497
11,4.997454631765355,3.062601597369152e-11,105598.18723063396,7.369524456231709e-05,8.782773514613967e-22,-0.5748390011255039,7.36952168506899e-05,1.6097517730976823e-22,-0.08234920916976946,6.433657167773861e-05,3.8461672045227626e-14,-184.33136063018475
12,4.997460347496758,6.030572301311886e-12,11800.10051901955,7.380455145351008e-05,1.9697878127627804e-13,3210.3449107115075,7.369720672943116e-05,2.1668943275700238e-16,70.28925979838222,6.27927984352925e-05,9.839914700118185e-10,-71517.15394524753
13,4.9975230499878345,3.297901201860109e-07,3243723.1884048553,2.576569179240269,5.20937198919422,51617936155.80835,7.36949414615258e-05,7.048322947881144e-16,45.90212664197861,0.0005326194624780565,5.1878899550019905e-06,20685526.947115257
14,3.087388999853756,4.066601677959026,-52750520705.48371,4.99744904590283,7.368142478172733e-11,210020.05344677644,7.369551202225147e-05,1.9047188245885893e-16,-4.961289465923326,0.00021616099826240703,8.788399134985076e-07,-11775670.814828664
15,0.001981418882426416,1.6390773251960787e-05,-51089082.97187355,4.99746009935967,6.403677262982673e-13,6999.435060278334,7.36952174290232e-05,3.277591201793887e-22,0.002628033573229182,6.396029390364596e-05,1.8629342226520598e-13,6387.4478120429685
16,0.0006271961189519696,6.0444596763981776e-05,20071367.040253848,4.997460851496791,3.0902463592593026e-13,1086.3127063632166,7.369669259072699e-05,3.781933320034684e-16,49.59733253221303,-0.0006145978659778419,1.0266695411994273e-06,-16660277.363111237
17,3.0185114427978013,3.9372100499357208,54969774668.843925,4.997461029090408,1.0850749118197288e-13,-650.7252446428405,7.369412829555e-05,1.285499408341436e-16,70.5256639717315,0.0008316184310703242,2.812595497752251e-06,-24464043.232886504
18,4.997456865502416,2.1254187265298394e-09,-422878.8624759089,4.997461139476984,4.6437336630304946e-14,-1774.539109422349,7.369521755435457e-05,5.449998115147057e-22,0.23199431491158268,6.596071491027854e-05,1.94965884518915e-12,-28800.07493928694
19,4.997462859926476,8.566388891543666e-10,-60713.3753667007,4.997461229086701,3.6572382831452985e-14,200.68361971541384,7.231973094446146e-05,6.819314058336948e-12,-56753.50270104238,-5.6820227596470595e-05,4.736237153335784e-08,-4818676.803309147
20,4.997491961116637,5.395345458071708e-07,2000685.1063680172,4.99750968516067,6.086208142978124e-07,2539862.119831749,1.4339291860069678,3.0297796001137454,32701626736.26317,0.0003886223489126501,1.5939949014769508e-06,6668794.095886017
21,3.03385495526564,4.121079376188189,-49888227597.01882,3.0169171247909006,4.1405145552654785,-49977693261.83265,4.994328098279228,3.386842382946538e-05,89924631.04530454,0.00033812818752390275,5.122807644887683e-06,-24147849.01788069
22,0.0009381361192869835,9.747179101020259e-07,-15537586.142560333,0.0009244728691765666,9.244210791221122e-07,-15469658.139347274,4.9974575161926085,3.5533574874604526e-11,73401.59631767613,6.361389784340615e-05,2.7635662156558534e-13,8374.065182157721
