signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.795643765952665e-05,1.6977942066748186e-30,3.2204280679462893e-07,6.795643765954952e-05,4.1218077381725436e-30,3.246070971901134e-08,6.795643765971127e-05,2.3919123780977915e-30,1.7114192881525286e-08,6.116529281502264e-05,1.0370563889716407e-24,0.0005676605684571652
2,6.795643765963169e-05,3.9457107177731625e-30,1.3386656088770988e-06,6.795643766036152e-05,1.79699970701829e-29,-5.893765153616507e-06,6.795643765679768e-05,1.068235031975506e-27,-1.8187556885799702e-05,6.11652931027581e-05,5.477867470226529e-24,0.005712446637818377
3,6.795643765956294e-05,4.391432541123234e-30,1.643426288593643e-07,6.795643765934945e-05,2.1646773103612373e-30,6.256946346391787e-06,6.795643766142988e-05,2.6053132443416818e-28,-2.2281081076694914e-05,6.116529302594245e-05,7.5981113928390515e-25,0.000976582732267111
4,6.79564376598977e-05,4.4270104393683456e-30,-2.787975279563433e-06,6.795643765981868e-05,4.232831370802657e-31,1.72122342198363e-06,6.795643766821565e-05,1.1261869406467928e-27,0.00011580062386768404,6.116529324687244e-05,3.8289626574631e-25,0.0023857771772086774
5,1.3226044611262573,3.959941965124154,22153971210.57534,6.795663776055754e-05,4.369451038081253e-16,1.93774511489186,6.795676139818179e-05,9.544458303608086e-17,0.9308079468420383,0.00013438906715129218,1.931255469587457e-06,4200232.051431366
6,4.997488447722398,1.3172812946007414e-11,30803.98968663437,6.800482251679508e-05,2.906570481239028e-13,472.8499068098847,6.795719082529033e-05,2.750867230257152e-16,4.964241491860061,4.577156423216811e-05,7.935252429233159e-09,-213889.23446597258
7,3.1285561779283464,4.809825973128503,-25937390858.152744,2.6444525037651365,4.165439777896846,8272776709.347616,6.790862565603482e-05,6.866720383986034e-12,-22.889011503828605,1.1530189822636057,1.5665720489591777,299608082.8481191
8,0.00019955744585816934,2.6805711657581757e-05,1256587.2506773719,4.997488682126227,2.31539739383642e-09,12725.910791588516,6.795769655607317e-05,4.474927431267637e-16,105.91977652376487,-0.0008861265754798213,4.853043135083758e-06,-14148097.724610891
9,2.619208144839908,4.156138833810178,-11322194218.678892,3.50106611419731,4.137722114001003,-27100415086.594288,6.790561175362282e-05,2.0863670643729276e-12,-663.6939476675586,2.455978616346737,2.0553380585387626,19592606037.256535
10,7.163439576789055e-05,4.418235324825369e-10,-121144.90725951576,7.162548623122437e-05,4.183060070530744e-10,-123353.50025634399,6.789326773234958e-05,7.81098078664241e-12,-721.519091712233,4.050566807592379,0.00011739671771459301,-36435538.806062706
