signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.795643765960124e-05,1.1738351210441783e-29,1.367981263374059e-07,6.795643765956924e-05,6.918590225731125e-31,-2.996523644924142e-07,6.795643765992627e-05,1.3192547747788074e-29,2.819371235598851e-07,6.120963964424235e-05,1.4909894232068665e-25,7.798372273526802e-05
2,6.795643765981019e-05,1.2153815263548168e-31,-1.0071219242397523e-07,6.795643766023188e-05,6.96722888866417e-30,-5.583745744814046e-06,6.795643765710345e-05,7.300492067225172e-28,-1.6280189136489023e-05,6.120963962033904e-05,5.381029102247295e-24,0.005529983732146501
3,6.795643766001756e-05,1.615779142324283e-30,-1.5433978339607615e-06,6.795643765988737e-05,2.725116194038633e-30,4.320986572646935e-06,6.795643766077847e-05,2.3282813957909394e-28,-1.1600199124486916e-05,6.12096395533598e-05,7.4848092795438515e-25,0.0009427141443022014
4,6.795643765990364e-05,9.193780651907568e-30,4.528232605087981e-06,6.795643765969364e-05,5.292656559118894e-30,4.214501787843995e-06,6.795643766847318e-05,1.0855121219626251e-27,0.00011551686120644304,6.120963977524263e-05,3.8333310236309134e-25,0.0023999937612042502
5,1.3226044597671631,3.9599419591355596,22153970746.160484,6.795663766099514e-05,4.369173799520259e-16,1.9369780439878284,6.795676129487692e-05,9.547670847993682e-17,0.9300011208640487,0.00013442306942873102,1.9311429359576614e-06,4199983.08927517
6,4.997488447722221,1.317281128615271e-11,30803.992074996302,6.80048224673555e-05,2.9065710876790183e-13,472.8492486722023,6.795719024915092e-05,2.7520606581427747e-16,4.955637408110611,4.581721594361918e-05,7.937110444392231e-09,-213875.26607575102
7,3.0964217584960085,4.905765031667565,-26029008105.29541,2.595624417304591,4.195136268735866,7886201038.641395,6.789730895424618e-05,7.177000670731298e-12,-400.31167938993684,1.2110050241983144,1.757811287590228,212087294.6735717
8,0.0007511778081225837,6.72556797741926e-05,10860691.722342797,4.997488597958825,2.0650294866902645e-09,22244.46511966457,6.795788318532843e-05,4.027273878761174e-16,97.91211754577915,-0.0008412811021025249,4.754649328849869e-06,-14404339.475811921
9,2.6124031269272945,4.216950298658847,-12099100868.240374,3.467335106647209,4.225183595520915,-27319035512.368534,6.788605786641094e-05,2.506728378535837e-12,-356.3195675826921,2.5600356437019123,2.134948464582426,19538349802.681595
10,7.406997947857295e-05,4.0271368222192355e-10,-154952.03899957158,7.400754579350849e-05,4.0163779321823023e-10,-153494.85249817837,6.778493746694295e-05,5.928418009483107e-12,-1300.2432777150664,4.125073105272819,0.00023251686523019117,-54952247.24904351
11,6.808843001362927e-05,4.066826993666677e-11,-2993.1256655107577,6.80940793984469e-05,4.4105386814743334e-11,-3398.543129768659,2.0466348858184484,4.956816842525323,27746765836.11218,0.9138926004215391,2.062399915881473,-13981592549.005215
12,0.8641251527855449,2.681304794182548,11800609674.113312,6.79642861388981e-05,8.913248240974111e-13,-392.84885507359866,4.997489839994152,1.5231025917180825e-10,-4172.733053592371,0.0001739845972430457,1.7149968715630212e-06,2957581.167487942
13,4.9971856846435365,8.402067912826665e-07,4210753.727922909,6.795750152649629e-05,1.4153142762351438e-13,-246.77365142403812,4.99749002377877,1.9869366185134381e-13,955.2230585521041,0.00010139432237283806,2.6212633806831696e-09,-291764.6027368802
14,3.7840260630168445,3.6952898521670714,-19281991795.260178,1.9561725215673604,4.205631840360985,7515431612.683058,3.871002105956233,3.1710291313224723,-17580680780.011955,1.1866899729849276,1.7443494118623433,7314607857.260399
15,0.008028982617756877,0.00022392434622945355,-88653471.55448261,4.82210633243762,0.19799740074055946,2002760988.7008932,4.822034425406393,0.198146637891357,2003579449.3121548,0.0016482022819374147,8.003736017123572e-06,-17083638.183647636
16,2.015646134361745,4.420838287917506,7116043908.279713,3.98530834974787,3.169935172323891,-20352104885.92087,3.985318344170665,3.1699051272175525,-20351973111.95897,1.829402369542478,2.7659242275142897,22383081752.1382
17,0.00026162292121590747,1.687644412212992e-07,-3336536.905476259,0.00026161848383051843,1.6891799052969687e-07,-3342009.2455261433,0.00026161961026147687,1.6892139887731736e-07,-3342067.1987286624,4.127879797663878,1.876825370312966e-07,3104227.455692092
18,6.762887497482026e-05,8.874903393085366e-11,246.99340006144004,6.774208887395765e-05,3.735170601311936e-11,27.375428336451733,6.774157900221656e-05,3.705983893785576e-11,42.399203219271136,4.428873514690978,0.13091054616301182,5483887935.492103
19,0.016561298276873436,0.004574135321184285,263426940.76170963,6.803424975329393e-05,1.711800766485866e-11,-1536.254509318479,6.803440112388558e-05,1.6986247236076164e-11,-1524.500301945099,4.99726401897961,3.905359816479065e-05,-4852489.728939347
20,3.69489239090043,2.9995867557487927,14014676619.526663,6.788987519064049e-05,3.1452825434170466e-12,-809.6257481964846,6.788985699358904e-05,3.121244936378774e-12,-803.790360113984,4.985858201848925,0.00011683808232221013,110149734.57093143
21,4.994936076293907,0.0005511861760084514,-56111444.29038538,2.248651912922667,5.589760822748129,27350234197.805107,6.796317191444226e-05,5.96924647666505e-13,-259.1354130805302,4.995985782014586,0.00013315348512705116,31287057.860788614
22,0.9376892274582367,1.8165082835291892,-9187738843.547615,4.997465228773207,5.273558073547751e-10,196726.5791182688,6.795770448446259e-05,2.0023951190352062e-14,-79.44236083776224,4.999400210332007,8.744760483386657e-06,-20621160.106913608
23,1.6671363283662821,4.564766730929519,30884497370.33218,4.997489066111492,1.864499357848454e-13,4774.760347490784,6.795667856067298e-05,6.7407601673038204e-15,-65.35723273523328,4.991228246106398,0.0001283050793484432,-49002431.68777154
24,4.997486836601877,8.556099080151979e-10,14452.220516604977,4.997489858397724,2.569932245581795e-14,798.3674338503232,7.01440790738303e-05,1.3182676859090538e-10,25194.697747366332,4.997480187401744,9.851942198469153e-08,1368598.2414461318
25,3.6779251575891627,3.8245516985778707,-26518722694.768593,3.6782439196887706,3.823825371438969,-26515537360.26563,3.291057289913458,4.369711074885409,28073874720.21426,5.003419599878822,0.00013852207698268897,153893.78567859172
26,9.774184892106793e-05,1.494465160741703e-08,-760310.5542470635,9.777675967607336e-05,1.5030716749604216e-08,-758191.4066233797,4.997485447013015,6.842800706498321e-11,56174.816826738315,4.99735956196538,3.3043227552952184e-08,803808.9164891653
27,2.3525818725700667,5.033407909423052,29708346984.41088,6.793834107764554e-05,5.582032790140602e-12,1664.785085854432,4.997489079868957,6.628654657623304e-12,1857.7758068704825,4.989919269227396,0.00013845125951926046,14823054.562628936
28,4.997475183788099,5.579304608120034e-08,-147392.78405999189,2.0078847000156155,5.306761561606871,27895337406.63539,4.9974898774179,8.586892370021456e-13,479.8131311048745,4.9939692556434,0.00012605391687108504,-1071833.0678189886
29,2.000293955935161,4.585946069998349,-19079125382.569885,4.997438180524622,2.9587828106865627e-09,463132.91670874634,4.9974899840836144,2.9867235794371246e-14,393.30893408502465,5.001957170014204,2.8169824016485028e-05,-44162204.586837105
30,1.5950486736134322,4.437325245306322,27843353423.308018,4.9974889475455955,6.515920001750079e-13,5832.405863804727,4.997490088994383,5.523206157861174e-14,135.20586665939953,4.9913702186796485,0.00012052042138788507,-49160214.05136949
