signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,7.369521627047801e-05,1.3112719349532318e-29,-5.312909786645132e-07,7.369521627100096e-05,1.8406427036134675e-30,-3.978979402401435e-07,7.369521340575987e-05,7.835902821471802e-30,7.941457966778014e-08,6.290386083739576e-05,4.0874285646843877e-29,-3.1165048408115528e-06
2,7.369521627166188e-05,1.1959861404699425e-29,-9.488923835690085e-06,7.369521627060163e-05,8.561917046275919e-30,-4.179797802145384e-06,7.369521340470388e-05,2.1343444558765353e-28,-3.9311194301205005e-05,6.290386112362238e-05,2.963218185407965e-24,0.002462720340313272
3,7.369521627108144e-05,6.531296142083515e-30,2.3119773937482516e-06,7.369521627093363e-05,1.8724495360865532e-30,1.997239470223236e-06,7.369521340678127e-05,1.5633342406675375e-28,-1.085370143982435e-05,6.290386078270273e-05,1.4504035516318386e-24,0.001012913328671947
4,7.369521627056479e-05,1.9235386772881734e-30,-3.3018556001192914e-06,7.369521627079833e-05,6.948462694170242e-30,5.413878114957231e-06,7.369521340498625e-05,1.659605692207998e-29,1.0437764335523436e-06,6.290386083838632e-05,2.5588885549697077e-26,1.9642738637928674e-06
5,1.3023048080857926,3.924290985274887,20699418393.50103,7.369540656678607e-05,4.1828065937076667e-16,1.6972132194150462,7.369541781964892e-05,4.900080987058794e-17,1.224686053000051,0.0001403129000054613,1.8628871384152665e-06,3801473.4326862716
6,4.9974594544186886,1.3455636298462552e-11,32401.963856730465,7.378747447337906e-05,1.6683227971423295e-13,1232.8800985139908,7.369556993335318e-05,1.19425225417155e-16,6.021219522366712,6.15382539536704e-05,8.053608265304902e-10,-23990.122540922417
7,4.2334696032833765,2.4847304260556955,-15743742415.137146,3.5449213422276427,4.5245716035539125,23033244818.524197,7.369519466183928e-05,3.366083914151302e-16,3.690993804920284,0.00040400709519709414,3.4459240761398265e-06,800453.9525946546
8,0.0009657335287146116,4.9079633633536484e-05,-7380250.007679366,4.997460663465559,4.864005075800956e-13,4293.470075060082,7.369597126489851e-05,1.3711124755674089e-16,10.798584470693074,-0.0004451910896740149,8.476433487495446e-07,-6183445.421320538
9,3.265878967957792,3.8713408732319645,19818185621.021072,4.997461042906075,1.0042642475629133e-13,311.85952045520867,7.369473814391794e-05,6.043515994756645e-17,11.252121153615496,0.0007336455517693957,2.503270248637806e-06,-8241485.382709386
10,4.997476726982026,2.595004697522801e-07,456556.0602257988,4.997484238173803,2.9917332410482344e-07,619212.4365531291,5.839118151986115e-05,1.6758044567832652e-09,-275997.66799244797,0.00019844325159347226,5.112009963482208e-07,1848772.1681353494
11,2.701597763121087,4.808638213649923,-26461955549.06575,2.6895966494187262,4.810842103581599,-26424584344.398438,0.007855478642088796,0.00010234740691668241,135784779.96326137,0.00046569475693953357,5.2938706122789796e-06,-9471723.326737773
12,0.969144412126991,3.0619833189055896,14808055341.631636,7.475848973687824e-05,5.1748780744286306e-11,-28685.129458363917,0.025104338632215943,1.739561297276421e-08,471788.08130497095,0.00014402257269503565,1.6270497718022546e-06,3359770.8749551205
13,4.997434856815833,5.661085835859997e-09,404203.00928358303,7.381690819384352e-05,4.700194770576872e-12,-720.4849403341303,0.02503374182523539,2.59309155349252e-11,31997.953395343502,6.572092088763577e-05,9.270314355770549e-11,-45995.58117162055
14,4.494546957161028,1.606348990859134,-10201631991.318783,2.9260852368000636,5.500374173446883,26730378064.419437,0.02502950353498499,2.381910634118518e-08,-513084.9519439992,0.00011644855259492039,1.6918149931579068e-06,1123214.2802701222
15,0.023604806711843486,0.004885357596391211,-450956507.4392758,4.997460118133706,1.2746465058606942e-12,9786.011742854458,0.025034225754432534,4.0493372913925985e-11,-47900.531579229035,6.208543238957404e-05,3.0854287847919038e-12,12602.016257301257
16,1.9841934857106793,4.868662747433166,31768196323.140446,4.997460978614742,1.4444615282726166e-13,1104.0298687977163,0.02512831125367306,1.941608476140762e-08,-900187.0834350594,8.143856942423337e-05,2.567249492204984e-06,3273872.430246815
17,4.997435867322282,9.044511136573333e-09,-464461.65078509646,4.997437127755249,8.599141023519678e-09,-518846.828432975,0.024082702849778842,1.2262420633381395e-05,-24403132.310433876,0.2122137983872273,0.11873232907260306,3941643729.5027547
18,2.6567013348173063,4.741594975958653,-28981703339.023964,2.6567274742255598,4.741600384093385,-28981769164.2514,0.0008983333644222548,2.42605888614435e-06,-13750624.490545187,3.8865363708658696,1.306848559320848,14584649671.413233
19,0.010317762826452524,0.0021385316954358967,165994971.29369742,7.322268533467649e-05,5.812035619264e-10,26350.914834138286,7.369621368473223e-05,7.578823367449366e-16,-84.1386781632192,4.992825144311016,2.525514431654698e-05,3880872.5770209143
20,3.5891287508249046,3.2477578322102625,14956055349.191193,7.364732905327068e-05,2.8037259110870835e-11,5518.452419974274,7.369643403964581e-05,7.514963568157884e-16,-37.68402660220223,4.980627241715994,0.00011490212615928203,110549836.90797624
21,4.997285605586365,3.987628047200843e-05,-4315915.07492953,2.15760359465948,5.487131350311234,27049188652.792458,7.369485292507192e-05,1.0690751701434118e-15,-3.2004499210326838,4.990642152755279,0.00012506364761985178,25526872.149699632
22,1.019868867968716,2.16165405583281,-10201027406.502707,4.99743405278649,6.696782960573506e-10,219649.8296908935,7.369561598555651e-05,5.015211534838797e-18,-7.2550041242207275,4.99461152297214,1.1006781077377174e-05,-23145936.20322347
23,1.661062194169548,4.560113964523732,30377683676.14645,4.997459996956479,1.444733921525994e-13,5513.886674039564,7.369464475015411e-05,7.23157761781693e-16,-7.78411255750001,4.986478332042438,0.00012005784226356863,-47900623.491187066
24,4.997457323203637,3.5680933366819275e-10,34595.12252896223,4.9974608952784365,1.046250012530435e-14,1056.5742114919638,7.501932447298312e-05,1.5833572958318278e-10,12059.121491864636,4.992480385079083,9.166257064133398e-08,1317119.1624171338
25,3.719149484552568,3.788613448261921,-26259614379.314266,3.7194373668669725,3.7880123096855627,-26256705593.278893,3.2636519628699054,4.388385843955668,28059612498.508244,4.998359917868819,0.00013308532287973263,1551976.2579705792
26,0.00010748571639538153,2.2283170841392895e-08,-876463.3524569196,0.00010746884979266286,2.239003561569563e-08,-876459.8412363036,4.997456307987765,6.655614422518597e-11,58123.40782641123,4.992350291959334,1.6639766722201027e-08,647299.2108792603
27,2.3767721083118176,5.098042605563322,25174547226.426083,7.369608487944932e-05,2.485177996598301e-12,-556.6425985395098,4.9974599776775435,7.363782217904321e-12,5345.977301251805,4.985367056074884,0.00012875406725019033,17887522.26194074
28,4.997434792582622,4.290894768334517e-08,-463975.8176246394,1.9729653375405445,5.258560209855747,27968400804.058346,4.997460894362231,9.417055171921399e-13,1203.6104598296768,4.988912768234115,0.00012039347820779263,-3540131.8657200504
29,1.9766600716944351,4.664261456376665,-17907887768.984333,4.997405916681156,3.6873970801629212e-09,473925.64893507434,4.997461052464389,3.435528987518437e-14,429.23645082294576,4.996648153330227,2.5728649660962218e-05,-38566692.09536243
30,1.6583412087112246,4.497072861738206,29932742179.712494,4.997459912207738,1.3645276964098868e-12,6041.599867368789,4.997461163668104,5.496044291527011e-14,168.69289526523238,4.986267304180031,0.00011647878045616738,-49576196.50886699
31,4.99745246608116,8.289108066080645e-11,85517.04410572868,4.9974607916643015,3.6598319483584293e-13,3146.2271574692527,4.997461216446783,1.1994698381654114e-15,19.884548689497795,4.992314207369076,1.0231658888699226e-13,1031.4877917385859
32,4.997460944965248,5.416413291802257e-13,339.65279335068163,4.997461205350178,4.533792319789548e-14,105.27037705277911,4.9974613086587985,1.1341713710317447e-15,23.17239108373321,4.9923141896064624,5.080244986174018e-15,17.30359636240091
