signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.795643765978597e-05,3.8232679662369356e-30,2.506150507195889e-07,6.795643765960091e-05,5.5935182428275915e-30,4.9587695405428984e-08,6.795643766710096e-05,3.540196622086243e-29,-3.971572945065197e-07,6.095594406720326e-05,3.507024725676025e-25,0.00011878948457467093
2,6.795643765977132e-05,2.711482694146008e-29,-3.468886335665877e-08,6.795643765985149e-05,6.825345509424008e-32,-1.1046618014378413e-06,6.7956437664289e-05,1.7600381305365878e-27,-1.7618183033566991e-06,6.095594400789535e-05,1.360372301626765e-23,0.008366449076775565
3,6.795643765972023e-05,5.376196383766927e-30,-4.551478323978337e-06,6.795643765940272e-05,3.4132543827714246e-30,4.898776602049956e-06,6.795643766941721e-05,3.201909705858308e-28,-2.4301093897795186e-05,6.095594393437166e-05,2.095196452100504e-24,0.0012167910001404415
4,6.795643765995518e-05,2.168243931010609e-30,3.4463002915560643e-06,6.795643765993928e-05,6.333928020278792e-30,5.998196539063809e-08,6.795643767637226e-05,1.226198615334775e-27,0.00012414834926211495,6.095594416641664e-05,3.548282508155089e-25,0.002346857078670066
5,1.322604520208402,3.9599420184259397,22153969951.673054,6.79566451718659e-05,4.396337085489774e-16,1.9634464805830028,6.795677932023006e-05,9.554211669950376e-17,0.9726200615852997,0.00013390355548880962,1.8975442476319846e-06,4201111.8844675515
6,4.9974884477397605,1.3172920967031564e-11,30804.142731133503,6.80048318843857e-05,2.906382309231922e-13,472.97431941998957,6.795714801808787e-05,2.9373303900197335e-16,4.1857169168407475,4.620530103779343e-05,7.368928093019877e-09,-205018.2705805381
7,4.161568035962179,2.710652635784519,-16768518991.179546,3.5677824020951436,4.46616502781742,22204825992.40918,6.795639175288413e-05,4.580926853464138e-16,-2.247039124871656,0.000385561215447346,3.3417741941993777e-06,705646.2781163813
8,0.0004303936176639736,3.2593817715989625e-05,-138228.310801919,4.997489639784216,4.603140695050234e-13,3940.5151589358347,6.79575236917571e-05,2.8326971376912422e-16,17.60734492584959,-0.0004295255692151313,8.168903688121096e-07,-6674743.281276319
9,3.2631817586935274,3.890835322521504,19688153748.758034,4.997489978681996,9.654606992665131e-14,219.02195527666913,6.79554966113629e-05,1.104136408543915e-16,18.2369496298532,0.0007300093872972599,2.4654812194920814e-06,-8042905.637032968
10,4.997489358530777,3.712596156635408e-07,243505.42956333494,4.997500939212298,4.1995148782009396e-07,464559.85777962557,1.0693393085138092,2.6158227031747643,15465979681.41715,0.0003067066509712467,1.1748317747546378e-06,4187097.1571838115
11,2.678743532116861,4.740905746488833,-26323183583.774487,2.665418159517873,4.744942228835809,-26282245812.11098,4.994737568753644,3.205412059406033e-05,36900709.290039755,0.00043203157571862044,4.852233754293577e-06,-8822696.546536237
12,0.8351860595000634,2.5575176381415696,12675786125.094522,6.809088290135038e-05,5.2349954144438974e-11,185.84877708014375,4.997489794120493,6.023276074110003e-13,2213.071487225046,0.0001388630677402343,1.7704188448117443e-06,3634731.071339623
13,4.996798192130445,4.453093966621352e-06,9004088.06701808,6.787608101628519e-05,2.5059082123185687e-12,313.18493626482814,4.997490068792411,7.280943332073564e-14,468.3645005418837,9.12699454133459e-05,5.371124514352403e-09,-389809.7561448799
14,4.546901566830679,1.4232311118457195,-8942670902.314758,2.952288925634412,5.4657401082737795,25600555750.77558,4.997490141675055,2.5397578932108758e-14,204.36129818751195,0.00014704351112296366,1.6462447308789977e-06,729635.3583386329
15,0.048816025928492775,0.018664310001811013,-918304985.1495216,4.997489100628237,8.464419945706927e-13,9098.45322568829,4.997490185518295,3.7047788530045226e-16,105.21117403149233,5.840794364178375e-05,7.427921461585543e-11,46988.400997739715
16,1.9606091963094556,4.891620649198307,32689383282.811607,4.997489926339184,3.973640635584915e-14,871.8459271003271,4.997490200930145,9.866357868454032e-15,47.18404905340984,0.0001061353608282105,2.5123910799165246e-06,3297611.0762319947
17,4.99744668870555,1.9017255274890944e-08,-709629.8796984208,4.997447954114628,1.8088359417396636e-08,-770676.1352616628,4.997490254895412,1.499337170562774e-13,661.489854508644,0.2612926845242539,0.15954472659611832,4176372736.491621
18,2.463241678708207,4.531633247341271,-30090329170.75018,2.4632666678575217,4.5316426940133105,-30090403703.819492,4.997438787626208,7.062495888670835e-07,-3202895.75122381,4.021502196827549,1.0709473587877179,14154689615.686434
19,0.017221175237361105,0.004836375184390556,294478616.6716691,6.685734929409217e-05,4.688157805776853e-10,35792.502572020465,4.996576824920104,3.7185627097341045e-13,713.9641529588032,4.997304912202363,4.047998397819728e-05,-5422567.228367119
20,3.698713435008179,2.988683333407939,13972026346.568686,6.808760548616945e-05,1.3131264118231478e-11,1665.683736264328,4.996576797239983,4.565140385690399e-13,1658.900323344196,4.985889843179088,0.00011631918758051703,110038550.54960556
21,4.994927874797876,0.0005538875257716687,-56268016.70069708,2.248799935635357,5.589904353938566,27347119368.31444,4.996576894857797,2.291893268871574e-13,915.2645239126148,4.996016228080541,0.00013268456588342632,31215702.988941226
22,0.9372543843169321,1.8151230204264441,-9185097747.333174,4.997465232548467,5.277336423024138e-10,196856.759051464,4.996576676848206,3.2487582577720544e-14,1227.3569699501031,4.9994380147789945,8.779854186472363e-06,-20689191.782807466
23,1.6676600683442897,4.565769718302727,30871761411.58491,4.99748906461307,1.1828741918393572e-13,4894.636495468112,4.99657682269814,2.3741477080218837e-13,827.2160156975618,4.991261790968493,0.0001277897384865664,-48979796.4130848
24,4.997486871169453,8.911376063427224e-10,13001.313580719812,4.997489858199433,1.0376211881904084e-14,895.4379471689698,4.996578098659368,8.612908693436729e-11,10835.032320044702,4.997511413416822,9.834432890718782e-08,1375132.8453431407
25,3.6151575879999736,3.870876855436962,-26479382169.36744,3.615516534683945,3.870108763408036,-26475976357.684883,4.996994393414022,1.6005298842349704e-07,4590430.565438334,5.002888618919638,0.00013085907203661174,2670165.9283862687
26,9.772362053014337e-05,1.9676550009300766e-08,-823273.1033479486,9.767138281480528e-05,1.9825630756922773e-08,-822843.5822803027,4.997489200480018,8.591660435496079e-13,10059.784570990432,4.9973714488266365,1.5454669132192656e-08,633257.9405848294
27,2.3763633958951265,5.0995753584674945,25366931495.28167,6.801006676214592e-05,1.975001361259465e-11,-2563.33085886341,4.997489916513499,5.239616308295825e-14,804.1160744475172,4.9902278077485205,0.00013562670022626802,18337055.719527613
28,4.997473765007526,4.491743826356061e-08,-245758.76857135462,1.9598032547539999,5.257356633641139,27672223343.379135,4.997490140559688,6.092325768578373e-14,120.40181560540246,4.993830729525301,0.00012179884307588952,-6316777.5296373
29,2.024653149031262,4.538306228965558,-19066247829.435146,4.997436370070516,3.2083014754215782e-09,478088.63814556,4.997490190347077,6.8993104986593155e-15,45.855141709785215,5.001979368432038,2.710074397595509e-05,-43201440.29148985
30,1.627781736284411,4.479485590888354,28453398954.15499,4.997488959022736,1.215941471162448e-12,5156.22373377178,4.997490214556466,2.846437448656772e-14,-69.10690430479406,4.991320575190995,0.00012140586205109566,-47640580.04533989
31,4.997483169388432,1.2925873221045004e-10,29730.10439636658,4.997489776659454,2.546807150556183e-13,-602.6281827772198,4.997490237212875,1.5159398860702925e-17,43.98175151143359,4.997337799833311,9.761800408009883e-14,927.4524531435529
32,4.9974904743865505,3.771492620449206e-12,-270.17191614486575,4.997490173264042,1.0840651811094747e-14,37.54717718805862,4.9974902677795745,1.8031545521304837e-16,9.049581799735494,4.9973377788447655,4.684530108079883e-15,15.58850830613251
