/net039 X,/net039 Y,/net010 X,/net010 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net02 X,/net02 Y
0,6.795643765980472e-05,0,6.795643765978761e-05,0,6.79564376597343e-05,0,6.094256728530583e-05,0,0
1.5e-11,6.79564376598261e-05,1.5e-11,6.795643765982991e-05,1.5e-11,6.795643765962517e-05,1.5e-11,6.094256728537068e-05,1.5e-11,0
4.5e-11,6.795643765973273e-05,4.5e-11,6.79564376597536e-05,4.5e-11,6.795643765970071e-05,4.5e-11,6.094256728518646e-05,4.5e-11,0
1.05e-10,6.795643765703911e-05,1.05e-10,6.795643765691873e-05,1.05e-10,6.795643765986103e-05,1.05e-10,6.094256728540592e-05,1.05e-10,0
2.25e-10,6.795643765949985e-05,2.25e-10,6.795643765964056e-05,2.25e-10,6.79564376595885e-05,2.25e-10,6.094256728488493e-05,2.25e-10,0
4.65e-10,6.79564376573337e-05,4.65e-10,6.795643766006715e-05,4.65e-10,6.795643765724993e-05,4.65e-10,6.094256728547427e-05,4.65e-10,0
7.649999999999999e-10,6.795643766214825e-05,7.649999999999999e-10,6.795643765911309e-05,7.649999999999999e-10,6.795643766551804e-05,7.649999999999999e-10,6.094256728505822e-05,7.649999999999999e-10,0
1.065e-09,6.795643765430464e-05,1.065e-09,6.795643766012771e-05,1.065e-09,6.795643765428378e-05,1.065e-09,6.094256728545843e-05,1.065e-09,0
1.365e-09,6.795643766217893e-05,1.365e-09,6.795643765932843e-05,1.365e-09,6.79564376652486e-05,1.365e-09,6.094256728500753e-05,1.365e-09,0
1.665e-09,6.795643765743559e-05,1.665e-09,6.795643766022509e-05,1.665e-09,6.795643765457932e-05,1.665e-09,6.094256728517051e-05,1.665e-09,0
1.8325e-09,6.795643766185494e-05,1.8325e-09,6.795643765936095e-05,1.8325e-09,6.795643766494516e-05,1.8325e-09,6.094256728540735e-05,1.8325e-09,0
2e-09,6.795643765773865e-05,2e-09,6.795643765980422e-05,2e-09,6.795643765489515e-05,2e-09,6.094256728514992e-05,2e-09,0
2.120144127384571e-09,6.795643765972267e-05,2.120144127384571e-09,6.795643765988114e-05,2.120144127384571e-09,6.795643765945035e-05,2.120144127384571e-09,6.094256728610031e-05,2.120144127384571e-09,0.06674673743587282
2.261585129605973e-09,6.795643765670478e-05,2.261585129605973e-09,6.795643765967162e-05,2.261585129605973e-09,6.795643765686637e-05,2.261585129605973e-09,6.094256725704214e-05,2.261585129605973e-09,0.1453250720033182
