/net039 X,/net039 Y,/net010 X,/net010 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net02 X,/net02 Y
0,6.79564376597583e-05,0,6.795643765968479e-05,0,6.795643765981117e-05,0,6.094256728550759e-05,0,0
1.5e-11,6.795643765982883e-05,1.5e-11,6.79564376597516e-05,1.5e-11,6.79564376598582e-05,1.5e-11,6.094256728543667e-05,1.5e-11,0
4.5e-11,6.795643765977723e-05,4.5e-11,6.795643765968177e-05,4.5e-11,6.795643765984922e-05,4.5e-11,6.094256728550403e-05,4.5e-11,0
1.05e-10,6.795643765688043e-05,1.05e-10,6.795643765999213e-05,1.05e-10,6.795643765959842e-05,1.05e-10,6.094256728552466e-05,1.05e-10,0
2.25e-10,6.795643765961537e-05,2.25e-10,6.795643765967343e-05,2.25e-10,6.795643765694315e-05,2.25e-10,6.094256728547248e-05,2.25e-10,0
4.65e-10,6.795643765981179e-05,4.65e-10,6.795643765978351e-05,4.65e-10,6.795643765937323e-05,4.65e-10,6.094256728569698e-05,4.65e-10,0
7.649999999999999e-10,6.795643765996737e-05,7.649999999999999e-10,6.795643766284528e-05,7.649999999999999e-10,6.795643765719291e-05,7.649999999999999e-10,6.094256728553681e-05,7.649999999999999e-10,0
1.065e-09,6.795643765665184e-05,1.065e-09,6.795643765692478e-05,1.065e-09,6.795643766255092e-05,1.065e-09,6.094256728560856e-05,1.065e-09,0
1.365e-09,6.795643766299495e-05,1.365e-09,6.795643766279958e-05,1.365e-09,6.795643765708992e-05,1.365e-09,6.094256728561762e-05,1.365e-09,0
1.665e-09,6.795643765661277e-05,1.665e-09,6.795643765363253e-05,1.665e-09,6.795643766267947e-05,1.665e-09,6.094256728541673e-05,1.665e-09,0
1.8325e-09,6.795643766308756e-05,1.8325e-09,6.795643766566029e-05,1.8325e-09,6.795643765705754e-05,1.8325e-09,6.094256728586131e-05,1.8325e-09,0
2e-09,6.795643765343808e-05,2e-09,6.795643765407049e-05,2e-09,6.795643765941915e-05,2e-09,6.094256728544173e-05,2e-09,0
2.120144127384571e-09,6.795643765950067e-05,2.120144127384571e-09,6.795643765968821e-05,2.120144127384571e-09,6.795643765985468e-05,2.120144127384571e-09,6.094256728651553e-05,2.120144127384571e-09,0.06674673743587282
2.261585129605973e-09,6.795643765677231e-05,2.261585129605973e-09,6.795643765674624e-05,2.261585129605973e-09,6.795643766288754e-05,2.261585129605973e-09,6.094256725725987e-05,2.261585129605973e-09,0.1453250720033182
2.400273538304042e-09,6.795643766570626e-05,2.400273538304042e-09,6.795643766286064e-05,2.400273538304042e-09,6.795643765707529e-05,2.400273538304042e-09,6.09425674084635e-05,2.400273538304042e-09,0.2223741879466899
2.455693803733439e-09,6.795643765420892e-05,2.455693803733439e-09,6.795643765700201e-05,2.455693803733439e-09,6.79564376613625e-05,2.455693803733439e-09,6.094256661051531e-05,2.455693803733439e-09,0.2531632242963547
2.483403936448137e-09,6.795643766163316e-05,2.483403936448137e-09,6.795643766203205e-05,2.483403936448137e-09,6.795643766474808e-05,2.483403936448137e-09,6.094256951318285e-05,2.483403936448137e-09,0.268557742471187
