/net039 X,/net039 Y,/net010 X,/net010 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net02 X,/net02 Y
0,6.795643765968182e-05,0,6.795643765966129e-05,0,6.795643672322416e-05,0,6.073202149902812e-05,0,0
1.5e-11,6.795643765975183e-05,1.5e-11,6.795643765972804e-05,1.5e-11,6.795643672360632e-05,1.5e-11,6.073202149900052e-05,1.5e-11,0
4.5e-11,6.795643765969932e-05,4.5e-11,6.795643765966887e-05,4.5e-11,6.795643672326667e-05,4.5e-11,6.07320214989431e-05,4.5e-11,0
1.05e-10,6.795643765702576e-05,1.05e-10,6.795643765697644e-05,1.05e-10,6.795643672359443e-05,1.05e-10,6.073202149878017e-05,1.05e-10,0
2.25e-10,6.795643766260852e-05,2.25e-10,6.795643766248645e-05,2.25e-10,6.795643672351949e-05,2.25e-10,6.073202149946192e-05,2.25e-10,0
4.65e-10,6.795643765715914e-05,4.65e-10,6.795643765702662e-05,4.65e-10,6.795643672042885e-05,4.65e-10,6.073202149882757e-05,4.65e-10,0
7.649999999999999e-10,6.795643766541678e-05,7.649999999999999e-10,6.795643766212003e-05,7.649999999999999e-10,6.795643672670253e-05,7.649999999999999e-10,6.073202149958778e-05,7.649999999999999e-10,0
1.065e-09,6.795643765411878e-05,1.065e-09,6.795643765444377e-05,1.065e-09,6.795643672079993e-05,1.065e-09,6.073202149891781e-05,1.065e-09,0
1.365e-09,6.795643766533512e-05,1.365e-09,6.795643766192052e-05,1.365e-09,6.795643672594515e-05,1.365e-09,6.073202149923565e-05,1.365e-09,0
1.665e-09,6.795643765435413e-05,1.665e-09,6.795643765778574e-05,1.665e-09,6.795643672140874e-05,1.665e-09,6.073202149913028e-05,1.665e-09,0
1.8325e-09,6.795643766184611e-05,1.8325e-09,6.79564376648544e-05,1.8325e-09,6.795643672576464e-05,1.8325e-09,6.073202149878838e-05,1.8325e-09,0
2e-09,6.795643765779752e-05,2e-09,6.795643765480725e-05,2e-09,6.795643672118722e-05,2e-09,6.073202149926637e-05,2e-09,0
2.120144127384571e-09,6.795643765968455e-05,2.120144127384571e-09,6.795643765971905e-05,2.120144127384571e-09,6.79564367231882e-05,2.120144127384571e-09,6.073202149990581e-05,2.120144127384571e-09,0.06674673743587282
2.261585129605973e-09,6.79564376597971e-05,2.261585129605973e-09,6.795643765691881e-05,2.261585129605973e-09,6.795643672401277e-05,2.261585129605973e-09,6.073202147152112e-05,2.261585129605973e-09,0.1453250720033182
2.400273538304042e-09,6.795643766007249e-05,2.400273538304042e-09,6.795643766216055e-05,2.400273538304042e-09,6.795643672294365e-05,2.400273538304042e-09,6.073202161816758e-05,2.400273538304042e-09,0.2223741879466899
2.455693803734388e-09,6.795643765939487e-05,2.455693803734388e-09,6.795643765755591e-05,2.455693803734388e-09,6.795643672366527e-05,2.455693803734388e-09,6.073202084897217e-05,2.455693803734388e-09,0.253163224296882
2.483403936449561e-09,6.79564376598513e-05,2.483403936449561e-09,6.795643765910894e-05,2.483403936449561e-09,6.795643672922779e-05,2.483403936449561e-09,6.073202364995548e-05,2.483403936449561e-09,0.2685577424719781
2.538824201879906e-09,6.795643766283792e-05,2.538824201879906e-09,6.795643766047435e-05,2.538824201879906e-09,6.795643671340009e-05,2.538824201879906e-09,6.073201876463329e-05,2.538824201879906e-09,0.2993467788221701
2.561274479319915e-09,6.795643765746823e-05,2.561274479319915e-09,6.795643765649575e-05,2.561274479319915e-09,6.795643674526361e-05,2.561274479319915e-09,6.073202415024729e-05,2.561274479319915e-09,0.3118191551777303
