/net039 X,/net039 Y,/net010 X,/net010 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net02 X,/net02 Y
0,6.795643765966285e-05,0,6.795643765972964e-05,0,6.795643778519304e-05,0,6.029561556167545e-05,0,0
1.5e-11,6.795643765973302e-05,1.5e-11,6.79564376597718e-05,1.5e-11,6.795643778513273e-05,1.5e-11,6.029561556191708e-05,1.5e-11,0
4.5e-11,6.79564376596704e-05,4.5e-11,6.795643765967693e-05,4.5e-11,6.795643778519491e-05,4.5e-11,6.029561556186638e-05,4.5e-11,0
1.05e-10,6.795643765979766e-05,1.05e-10,6.795643765987186e-05,1.05e-10,6.795643778485543e-05,1.05e-10,6.029561556185275e-05,1.05e-10,0
2.25e-10,6.795643766302297e-05,2.25e-10,6.795643766260352e-05,2.25e-10,6.79564377812877e-05,2.25e-10,6.029561556156252e-05,2.25e-10,0
4.65e-10,6.795643765645891e-05,4.65e-10,6.795643765711023e-05,4.65e-10,6.795643778775499e-05,4.65e-10,6.029561556203954e-05,4.65e-10,0
7.649999999999999e-10,6.795643766317911e-05,7.649999999999999e-10,6.795643765923731e-05,7.649999999999999e-10,6.795643778452937e-05,7.649999999999999e-10,6.029561556177131e-05,7.649999999999999e-10,0
1.065e-09,6.795643765329575e-05,1.065e-09,6.795643766032913e-05,1.065e-09,6.795643778769943e-05,1.065e-09,6.029561556158333e-05,1.065e-09,0
1.365e-09,6.795643766316761e-05,1.365e-09,6.795643765620185e-05,1.365e-09,6.795643778503714e-05,1.365e-09,6.029561556212362e-05,1.365e-09,0
1.665e-09,6.795643765644519e-05,1.665e-09,6.795643766320818e-05,1.665e-09,6.795643778729995e-05,1.665e-09,6.029561556158923e-05,1.665e-09,0
1.8325e-09,6.795643765987102e-05,1.8325e-09,6.795643765658302e-05,1.8325e-09,6.795643778220538e-05,1.8325e-09,6.0295615562039e-05,1.8325e-09,0
2e-09,6.795643766285687e-05,2e-09,6.795643766302529e-05,2e-09,6.79564377866039e-05,2e-09,6.029561556163793e-05,2e-09,0
2.120144127384571e-09,6.79564376598443e-05,2.120144127384571e-09,6.79564376597949e-05,2.120144127384571e-09,6.795643778540935e-05,2.120144127384571e-09,6.029561556258089e-05,2.120144127384571e-09,0.06674673743587282
2.261585129605973e-09,6.795643766284271e-05,2.261585129605973e-09,6.795643766281929e-05,2.261585129605973e-09,6.795643778435313e-05,2.261585129605973e-09,6.029561553644336e-05,2.261585129605973e-09,0.1453250720033182
2.400273538304042e-09,6.795643765686783e-05,2.400273538304042e-09,6.795643765687654e-05,2.400273538304042e-09,6.795643778767472e-05,2.400273538304042e-09,6.029561567082432e-05,2.400273538304042e-09,0.2223741879466899
2.455693803734392e-09,6.795643766261982e-05,2.455693803734392e-09,6.79564376623632e-05,2.455693803734392e-09,6.795643778127324e-05,2.455693803734392e-09,6.029561497698752e-05,2.455693803734392e-09,0.2531632242968843
2.483403936449567e-09,6.795643765754651e-05,2.483403936449567e-09,6.795643765467472e-05,2.483403936449567e-09,6.795643779153925e-05,2.483403936449567e-09,6.029561747133515e-05,2.483403936449567e-09,0.2685577424719815
2.538824201879917e-09,6.79564376620552e-05,2.538824201879917e-09,6.795643766759125e-05,2.538824201879917e-09,6.79564377743733e-05,2.538824201879917e-09,6.029561314229964e-05,2.538824201879917e-09,0.2993467788221759
2.561274479319937e-09,6.795643765812347e-05,2.561274479319937e-09,6.795643765371271e-05,2.561274479319937e-09,6.79564378042461e-05,2.561274479319937e-09,6.029561791628317e-05,2.561274479319937e-09,0.3118191551777426
2.572499618039947e-09,6.795643766112308e-05,2.572499618039947e-09,6.795643766623378e-05,2.572499618039947e-09,6.795643776407042e-05,2.572499618039947e-09,6.029561583546682e-05,2.572499618039947e-09,0.3180553433555259
2.594949895479967e-09,6.795643765847084e-05,2.594949895479967e-09,6.795643765609801e-05,2.594949895479967e-09,6.795643779547785e-05,2.594949895479967e-09,6.029561407319485e-05,2.594949895479967e-09,0.3305277197110925
2.620191837978972e-09,6.795643766109474e-05,2.620191837978972e-09,6.795643766074799e-05,2.620191837978972e-09,6.795643778661471e-05,2.620191837978972e-09,6.029561749443249e-05,2.620191837978972e-09,0.3445510210994286
2.641152210963083e-09,6.795643765868871e-05,2.641152210963083e-09,6.795643766154941e-05,2.641152210963083e-09,6.795643777291744e-05,2.641152210963083e-09,6.029561362759876e-05,2.641152210963083e-09,0.3561956727572685
2.66183146074195e-09,6.795643765836433e-05,2.66183146074195e-09,6.795643765853749e-05,2.66183146074195e-09,6.79564378047268e-05,2.66183146074195e-09,6.029561720495971e-05,2.66183146074195e-09,0.3676841448566388
2.683150840004468e-09,6.795643765825307e-05,2.683150840004468e-09,6.795643766059937e-05,2.683150840004468e-09,6.795643776558684e-05,2.683150840004468e-09,6.029561428017416e-05,2.683150840004468e-09,0.3795282444469265
2.702706616568054e-09,6.795643766375243e-05,2.702706616568054e-09,6.795643765654002e-05,2.702706616568054e-09,6.795643780358727e-05,2.702706616568054e-09,6.029561647149514e-05,2.702706616568054e-09,0.3903925647600297
2.725850249364579e-09,6.795643765656206e-05,2.725850249364579e-09,6.795643766263779e-05,2.725850249364579e-09,6.795643776725764e-05,2.725850249364579e-09,6.029561491793115e-05,2.725850249364579e-09,0.4032501385358772
2.754017301164045e-09,6.795643766279637e-05,2.754017301164045e-09,6.795643766030742e-05,2.754017301164045e-09,6.795643780324679e-05,2.754017301164045e-09,6.029561602576947e-05,2.754017301164045e-09,0.4188985006466916
2.784554590447844e-09,6.795643765425967e-05,2.784554590447844e-09,6.795643765941072e-05,2.784554590447844e-09,6.795643776811616e-05,2.784554590447844e-09,6.029561523247466e-05,2.784554590447844e-09,0.4358636613599131
2.813120231787406e-09,6.795643766194401e-05,2.813120231787406e-09,6.795643765739444e-05,2.813120231787406e-09,6.795643779885653e-05,2.813120231787406e-09,6.029561577391498e-05,2.813120231787406e-09,0.4517334621041145
2.842920733337416e-09,6.795643765790255e-05,2.842920733337416e-09,6.795643766177693e-05,2.842920733337416e-09,6.795643777521796e-05,2.842920733337416e-09,6.029561543843425e-05,2.842920733337416e-09,0.4682892962985645
2.867243662813183e-09,6.795643766157268e-05,2.867243662813183e-09,6.795643766085839e-05,2.867243662813183e-09,6.795643778927471e-05,2.867243662813183e-09,6.029561560100783e-05,2.867243662813183e-09,0.4818020348962126
2.895154013063992e-09,6.795643766104944e-05,2.895154013063992e-09,6.795643766165956e-05,2.895154013063992e-09,6.795643778380298e-05,2.895154013063992e-09,6.029561557732914e-05,2.895154013063992e-09,0.4973077850355511
2.921094972943659e-09,6.795643765896296e-05,2.921094972943659e-09,6.795643765839183e-05,2.921094972943659e-09,6.795643778494634e-05,2.921094972943659e-09,6.029561550230247e-05,2.921094972943659e-09,0.5117194294131439
2.972976892702993e-09,6.795643766356796e-05,2.972976892702993e-09,6.795643766138895e-05,2.972976892702993e-09,6.795643778477341e-05,2.972976892702993e-09,6.029561563866863e-05,2.972976892702993e-09,0.5405427181683292
3.015534443809187e-09,6.795643765622755e-05,3.015534443809187e-09,6.795643765837876e-05,3.015534443809187e-09,6.795643778707898e-05,3.015534443809187e-09,6.029561546713225e-05,3.015534443809187e-09,0.5641858021162151
3.058952952513367e-09,6.795643766279115e-05,3.058952952513367e-09,6.795643766092494e-05,3.058952952513367e-09,6.795643778280031e-05,3.058952952513367e-09,6.029561567126811e-05,3.058952952513367e-09,0.5883071958407594
3.070072085180829e-09,6.7956437658411e-05,3.070072085180829e-09,6.795643765913392e-05,3.070072085180829e-09,6.795643778453802e-05,3.070072085180829e-09,6.029561541534544e-05,3.070072085180829e-09,0.594484491767127
3.092310350515752e-09,6.79564376613596e-05,3.092310350515752e-09,6.795643765784464e-05,3.092310350515752e-09,6.795643778484152e-05,3.092310350515752e-09,6.029561571602618e-05,3.092310350515752e-09,0.6068390836198623
3.099638279908505e-09,6.795643765924878e-05,3.099638279908505e-09,6.795643766074098e-05,3.099638279908505e-09,6.795643778350477e-05,3.099638279908505e-09,6.029561540093361e-05,3.099638279908505e-09,0.610910155504725
3.114294138694011e-09,6.795643766040398e-05,3.114294138694011e-09,6.795643765877996e-05,3.114294138694011e-09,6.795643778887882e-05,3.114294138694011e-09,6.029561571887989e-05,3.114294138694011e-09,0.6190522992744505
3.118522099332315e-09,6.795643765953608e-05,3.118522099332315e-09,6.795643765963913e-05,3.118522099332315e-09,6.795643778250947e-05,3.118522099332315e-09,6.029561540995779e-05,3.118522099332315e-09,0.6214011662957305
