/net039 X,/net039 Y,/net010 X,/net010 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net02 X,/net02 Y
0,6.795643765976499e-05,0,6.795643765975418e-05,0,6.795643766654008e-05,0,6.086725322272149e-05,0,0
1.5e-11,6.795643765981052e-05,1.5e-11,6.795643765979668e-05,1.5e-11,6.795643766655205e-05,1.5e-11,6.086725322276438e-05,1.5e-11,0
4.5e-11,6.795643765973044e-05,4.5e-11,6.795643765971004e-05,4.5e-11,6.7956437666593e-05,4.5e-11,6.086725322272026e-05,4.5e-11,0
1.05e-10,6.795643765703589e-05,1.05e-10,6.795643765699549e-05,1.05e-10,6.795643766441678e-05,1.05e-10,6.086725322283505e-05,1.05e-10,0
2.25e-10,6.795643766252211e-05,2.25e-10,6.795643766262521e-05,2.25e-10,6.795643767036303e-05,2.25e-10,6.086725322242998e-05,2.25e-10,0
4.65e-10,6.795643766007579e-05,4.65e-10,6.795643765697301e-05,4.65e-10,6.795643765848179e-05,4.65e-10,6.086725322305993e-05,4.65e-10,0
7.649999999999999e-10,6.795643765958168e-05,7.649999999999999e-10,6.795643765941518e-05,7.649999999999999e-10,6.795643767623924e-05,7.649999999999999e-10,6.086725322246811e-05,7.649999999999999e-10,0
1.065e-09,6.795643765986836e-05,1.065e-09,6.795643766024676e-05,1.065e-09,6.795643765883162e-05,1.065e-09,6.086725322293656e-05,1.065e-09,0
1.365e-09,6.795643766293448e-05,1.365e-09,6.795643765936753e-05,1.365e-09,6.795643767297855e-05,1.365e-09,6.086725322256106e-05,1.365e-09,0
1.665e-09,6.795643765661018e-05,1.665e-09,6.795643766025497e-05,1.665e-09,6.795643765868234e-05,1.665e-09,6.086725322291499e-05,1.665e-09,0
1.8325e-09,6.795643766278733e-05,1.8325e-09,6.795643765953031e-05,1.8325e-09,6.795643767311598e-05,1.8325e-09,6.086725322257422e-05,1.8325e-09,0
2e-09,6.795643765694595e-05,2e-09,6.795643766019035e-05,2e-09,6.795643766490627e-05,2e-09,6.086725322282443e-05,2e-09,0
2.120144127384571e-09,6.795643765957267e-05,2.120144127384571e-09,6.79564376597268e-05,2.120144127384571e-09,6.795643766673563e-05,2.120144127384571e-09,6.086725322354205e-05,2.120144127384571e-09,0.06674673743587282
2.261585129605973e-09,6.79564376569337e-05,2.261585129605973e-09,6.795643765991224e-05,2.261585129605973e-09,6.795643766415302e-05,2.261585129605973e-09,6.086725319537492e-05,2.261585129605973e-09,0.1453250720033182
2.400273538304042e-09,6.795643766214456e-05,2.400273538304042e-09,6.795643765988308e-05,2.400273538304042e-09,6.795643766469051e-05,2.400273538304042e-09,6.086725334146744e-05,2.400273538304042e-09,0.2223741879466899
